6927_86045_000000_000000	[Adapted from Folk-lore Bresilien.]	[Adapted from Folk lore Bresilien.]	false	10.17	22.35	24.668312
6927_86045_000001_000000	The Knights of the Fish	The Knights of the Fish	true	22.35	23.8	22.399837
6927_86045_000002_000000	Once upon a time there lived an old cobbler who worked hard at his trade from morning till night, and scarcely gave himself a moment to eat.	Once upon a time there lived an old cobbler who worked hard at his trade from morning till night, and scarcely gave himself a moment to eat.	true	25.43	35.53	21.757656
6927_86045_000002_000001	But, industrious as he was, he could hardly buy bread and cheese for himself and his wife, and they grew thinner and thinner daily.	But, industrious as he was, he could hardly buy bread and cheese for himself and his wife, and they grew thinner and thinner daily.	true	35.96	44.47	22.36091
6927_86045_000003_000000	For a long while whey pretended to each other that they had no appetite, and that a few blackberries from the hedges were a great deal nicer than a good strong bowl of soup.	For a long while whey pretended to each other that they had no appetite, and that a few blackberries from the hedges were a great deal nicer than a good strong bowl of soup.	true	45.59	56.5	23.050201
6927_86045_000003_000001	But at length there came a day when the cobbler could bear it no longer, and he threw away his last, and borrowing a rod from a neighbour he went out to fish.	But at length there came a day when the cobbler could bear it no longer, and he threw away his last, and borrowing a rod from a neighbour he went out to fish.	true	57.53	67.36	23.463095
6927_86045_000004_000000	Now the cobbler was as patient about fishing as he had been about cobbling.	Now the cobbler was as patient about fishing as he had been about cobbling.	true	68.3	72.73	23.3196
6927_86045_000004_000001	From dawn to dark he stood on the banks of the little stream, without hooking anything better than an eel, or a few old shoes, that even he, clever though he was, felt were not worth mending.	From dawn to dark he stood on the banks of the little stream, without hooking anything better than an eel, or a few old shoes, that even he, clever though he was, felt were not worth mending.	true	73.1	86.02	22.413134
6927_86045_000004_000002	At length his patience began to give way, and as he undressed one night he said to himself: 'Well, I will give it one more chance; and if I don't catch a fish to-morrow, I will go and hang myself.'	At length his patience began to give way, and as he undressed one night he said to himself: 'Well, I will give it one more chance; and if I don't catch a fish to morrow, I will go and hang myself.'	false	87.23	101.05	23.126417
6927_86045_000005_000000	He had not cast his line for ten minutes the next morning before he drew from the river the most beautiful fish he had ever seen in his life. But he nearly fell into the water from surprise, when the fish began to speak to him, in a small, squeaky voice:	He had not cast his line for ten minutes the next morning before he drew from the river the most beautiful fish he had ever seen in his life. But he nearly fell into the water from surprise, when the fish began to speak to him, in a small, squeaky voice:	true	102.65	120.31	23.912313
6927_86045_000006_000000	'Take me back to your hut and cook me; then cut me up, and sprinkle me over with pepper and salt.	'Take me back to your hut and cook me; then cut me up, and sprinkle me over with pepper and salt.	true	121.22	127.51	27.499865
6927_86045_000006_000001	Give two of the pieces to your wife, and bury two more in the garden.'	Give two of the pieces to your wife, and bury two more in the garden.'	true	127.58	133.18	22.696278
6927_86045_000007_000000	The cobbler did not know what to make of these strange words; but he was wiser than many people, and when he did not understand, he thought it was well to obey.	The cobbler did not know what to make of these strange words; but he was wiser than many people, and when he did not understand, he thought it was well to obey.	true	134.09	144.07	22.909533
