288_131220_000000_000000	CHAPTER XXXIV.	CHAPTER thirty four.
288_131220_000000_000001	IN THE COUNTRY	IN THE COUNTRY
288_131220_000001_000000	BEFORE the end of the month, Ruby had got respectably thin, and Diamond respectably stout.	BEFORE the end of the month, Ruby had got respectably thin, and Diamond respectably stout.
288_131220_000001_000001	They really began to look fit for double harness.	They really began to look fit for double harness.
288_131220_000002_000000	Joseph and his wife got their affairs in order, and everything ready for migrating at the shortest notice; and they felt so peaceful and happy that they judged all the trouble they had gone through well worth enduring.	Joseph and his wife got their affairs in order, and everything ready for migrating at the shortest notice; and they felt so peaceful and happy that they judged all the trouble they had gone through well worth enduring.
288_131220_000002_000003	Besides, she was more attached to Jim than to Diamond: Jim was a reasonable being, Diamond in her eyes at best only an amiable, over-grown baby, whom no amount of expostulation would ever bring to talk sense, not to say think it.	Besides, she was more attached to Jim than to Diamond: Jim was a reasonable being, Diamond in her eyes at best only an amiable, over grown baby, whom no amount of expostulation would ever bring to talk sense, not to say think it.
288_131220_000002_000004	Now that she could manage the baby as well as he, she judged herself altogether his superior.	Now that she could manage the baby as well as he, she judged herself altogether his superior.
288_131220_000003_000002	But when at length she went to live with Diamond's family, Jim was willing enough to go and see her.	But when at length she went to live with Diamond's family, Jim was willing enough to go and see her.
288_131220_000003_000003	It was after one of his visits, during which they had been talking of her new prospects, that Nanny expressed to Diamond her opinion of the country.	It was after one of his visits, during which they had been talking of her new prospects, that Nanny expressed to Diamond her opinion of the country.
288_131220_000007_000000	"Ain't they?	"Ain't they?
288_131220_000007_000001	They're so beautiful, they make you happy to look at them."	They're so beautiful, they make you happy to look at them."
288_131220_000009_000000	Diamond smiled with a far-away look, as if he were gazing through clouds of green leaves and the vision contented him.	Diamond smiled with a far away look, as if he were gazing through clouds of green leaves and the vision contented him.
288_131220_000010_000000	"Ah! how do you do, Diamond?" said Mr. Raymond; "I am glad to see you."	"Ah! how do you do, Diamond?" said mr Raymond; "I am glad to see you."
288_131220_000011_000000	And he was indeed, for he had grown very fond of him.	And he was indeed, for he had grown very fond of him.
288_131220_000011_000001	His opinion of him was very different from Nanny's.	His opinion of him was very different from Nanny's.
288_131220_000014_000002	What is it now?"	What is it now?"
288_131220_000015_000000	"There's a friend of Nanny's, a lame boy, called Jim."	"There's a friend of Nanny's, a lame boy, called Jim."
288_131220_000016_000000	"I've heard of him," said Mr. Raymond.	"I've heard of him," said mr Raymond.
288_131220_000016_000001	"Well?"	"Well?"
288_131220_000017_000000	"Nanny doesn't care much about going to the country, sir."	"Nanny doesn't care much about going to the country, sir."
288_131220_000020_000001	That is, if you can show good reason for it."	That is, if you can show good reason for it."
288_131220_000021_000000	"He's a good boy, sir."	"He's a good boy, sir."
288_131220_000022_000000	"Well, so much the better for him."	"Well, so much the better for him."
288_131220_000023_000000	"I know he can shine boots, sir."	"I know he can shine boots, sir."
288_131220_000024_000000	"So much the better for us."	"So much the better for us."
288_131220_000025_000000	"You want your boots shined in the country--don't you, sir?"	"You want your boots shined in the country-don't you, sir?"
288_131220_000026_000000	"Yes, to be sure."	"Yes, to be sure."
288_131220_000027_000000	"It wouldn't be nice to walk over the flowers with dirty boots--would it, sir?"	"It wouldn't be nice to walk over the flowers with dirty boots-would it, sir?"
288_131220_000031_000000	"Then Nanny would be better pleased to go, sir."	"Then Nanny would be better pleased to go, sir."
288_131220_000032_000002	I don't quite see it."	I don't quite see it."
288_131220_000033_000000	"No, sir; I didn't mean that.	"No, sir; I didn't mean that.
288_131220_000033_000001	I meant, if you would take Jim with you to clean your boots, and do odd jobs, you know, sir, then Nanny would like it better.	I meant, if you would take Jim with you to clean your boots, and do odd jobs, you know, sir, then Nanny would like it better.
288_131220_000034_000000	"Now you come to the point, Diamond.	"Now you come to the point, Diamond.
288_131220_000034_000001	I see what you mean, exactly.	I see what you mean, exactly.
288_131220_000034_000002	I will turn it over in my mind.	I will turn it over in my mind.
288_131220_000035_000000	"I'll try, sir.	"I'll try, sir.
288_131220_000036_000000	What Mr. Raymond thought, I dare hardly attempt to put down here.	What mr Raymond thought, I dare hardly attempt to put down here.
288_131220_000037_000001	People's kind to lame boys, you know, sir.	People's kind to lame boys, you know, sir.
288_131220_000037_000002	But after dark, there ain't so much doing."	But after dark, there ain't so much doing."
288_131220_000038_000000	Diamond succeeded in bringing Jim to Mr. Raymond, and the consequence was that he resolved to give the boy a chance.	Diamond succeeded in bringing Jim to mr Raymond, and the consequence was that he resolved to give the boy a chance.
288_131220_000038_000002	All I will say is, that Diamond, who is my only care, was full of quiet delight--a gladness too deep to talk about.	All I will say is, that Diamond, who is my only care, was full of quiet delight-a gladness too deep to talk about.
288_131220_000040_000002	So they have their fun over, and are ready to go to bed again by the time the trees are dressed.	So they have their fun over, and are ready to go to bed again by the time the trees are dressed.
