1028_133395_000001_000000	VIII.	eight.
1028_133395_000001_000001	In the House of the Dragon Scorner.	In the House of the Dragon Scorner.
1028_133395_000002_000001	Such was the little baron's prison in Trutz-Drachen.	Such was the little baron's prison in Trutz Drachen.
1028_133395_000002_000002	Fastened to a bolt and hanging against the walls, hung a pair of heavy chains with gaping fetters at the ends.	Fastened to a bolt and hanging against the walls, hung a pair of heavy chains with gaping fetters at the ends.
1028_133395_000002_000003	They were thick with rust, and the red stain of the rust streaked the wall below where they hung like a smear of blood. Little Otto shuddered as he looked at them; can those be meant for me, he thought.	They were thick with rust, and the red stain of the rust streaked the wall below where they hung like a smear of blood. Little Otto shuddered as he looked at them; can those be meant for me, he thought.
1028_133395_000003_000001	No sound from without was to be heard in that gloomy cell of stone, for the window pierced the outer wall, and the earth and its noises lay far below.	No sound from without was to be heard in that gloomy cell of stone, for the window pierced the outer wall, and the earth and its noises lay far below.
1028_133395_000004_000000	Suddenly a door crashed without, and the footsteps of men were heard coming along the corridor.	Suddenly a door crashed without, and the footsteps of men were heard coming along the corridor.
1028_133395_000004_000001	They stopped in front of Otto's cell; he heard the jingle of keys, and then a loud rattle of one thrust into the lock of the heavy oaken door.	They stopped in front of Otto's cell; he heard the jingle of keys, and then a loud rattle of one thrust into the lock of the heavy oaken door.
1028_133395_000004_000002	The rusty bolt was shot back with a screech, the door opened, and there stood Baron Henry, no longer in his armor, but clad in a long black robe that reached nearly to his feet, a broad leather belt was girdled about his waist, and from it dangled a short, heavy hunting sword.	The rusty bolt was shot back with a screech, the door opened, and there stood Baron Henry, no longer in his armor, but clad in a long black robe that reached nearly to his feet, a broad leather belt was girdled about his waist, and from it dangled a short, heavy hunting sword.
1028_133395_000006_000000	The two stood for a moment looking into the room, and Otto, his pale face glimmering in the gloom, sat upon the edge of the heavy wooden bench or bed, looking back at them out of his great blue eyes.	The two stood for a moment looking into the room, and Otto, his pale face glimmering in the gloom, sat upon the edge of the heavy wooden bench or bed, looking back at them out of his great blue eyes.
1028_133395_000006_000001	Then the two entered and closed the door behind them.	Then the two entered and closed the door behind them.
1028_133395_000007_000000	"Dost thou know why thou art here?" said the Baron, in his deep, harsh voice.	"Dost thou know why thou art here?" said the Baron, in his deep, harsh voice.
1028_133395_000008_000000	"Nay," said Otto, "I know not."	"Nay," said Otto, "I know not."
1028_133395_000009_000000	"So?" said the Baron.	"So?" said the Baron.
1028_133395_000012_000000	"Nay, dear Lord Baron, I know not," said poor little Otto, and began to weep.	"Nay, dear Lord Baron, I know not," said poor little Otto, and began to weep.
1028_133395_000013_000000	The Baron stood for a moment or two looking gloomily upon him, as the little boy sat there with the tears running down his white face.	The Baron stood for a moment or two looking gloomily upon him, as the little boy sat there with the tears running down his white face.
1028_133395_000014_000002	Catch the boy, Casper, and hold him."	Catch the boy, Casper, and hold him."
1028_133395_000015_000000	As the man in the mail shirt stepped toward little Otto, the boy leaped up from where he sat and caught the Baron about the knees.	As the man in the mail shirt stepped toward little Otto, the boy leaped up from where he sat and caught the Baron about the knees.
1028_133395_000015_000001	"Oh! dear Lord Baron," he cried, "do not harm me; I am only a little child, I have never done harm to thee; do not harm me."	"Oh! dear Lord Baron," he cried, "do not harm me; I am only a little child, I have never done harm to thee; do not harm me."
1028_133395_000018_000000	Baron Henry and the other came forth from the cell, carefully closing the wooden door behind them.	Baron Henry and the other came forth from the cell, carefully closing the wooden door behind them.
1028_133395_000019_000000	Otto lay upon the hard couch in his cell, covered with a shaggy bear skin.	Otto lay upon the hard couch in his cell, covered with a shaggy bear skin.
1028_133395_000019_000001	His face was paler and thinner than ever, and dark rings encircled his blue eyes.	His face was paler and thinner than ever, and dark rings encircled his blue eyes.
1028_133395_000019_000002	He was looking toward the door, for there was a noise of someone fumbling with the lock without.	He was looking toward the door, for there was a noise of someone fumbling with the lock without.
1028_133395_000020_000000	Since that dreadful day when Baron Henry had come to his cell, only two souls had visited Otto.	Since that dreadful day when Baron Henry had come to his cell, only two souls had visited Otto.
1028_133395_000020_000001	One was the fellow who had come with the Baron that time; his name, Otto found, was Casper.	One was the fellow who had come with the Baron that time; his name, Otto found, was Casper.
1028_133395_000020_000003	The other visitor was the leech or doctor, a thin, weasand little man, with a kindly, wrinkled face and a gossiping tongue, who, besides binding wounds, bleeding, and leeching, and administering his simple remedies to those who were taken sick in the castle, acted as the Baron's barber.	The other visitor was the leech or doctor, a thin, weasand little man, with a kindly, wrinkled face and a gossiping tongue, who, besides binding wounds, bleeding, and leeching, and administering his simple remedies to those who were taken sick in the castle, acted as the Baron's barber.
1028_133395_000021_000001	At last the bolts grated back, there was a pause, and then the door opened a little way, and Otto thought that he could see someone peeping in from without. By and by the door opened further, there was another pause, and then a slender, elfish-looking little girl, with straight black hair and shining black eyes, crept noiselessly into the room.	At last the bolts grated back, there was a pause, and then the door opened a little way, and Otto thought that he could see someone peeping in from without. By and by the door opened further, there was another pause, and then a slender, elfish looking little girl, with straight black hair and shining black eyes, crept noiselessly into the room.
1028_133395_000022_000000	She stood close by the door with her finger in her mouth, staring at the boy where he lay upon his couch, and Otto upon his part lay, full of wonder, gazing back upon the little elfin creature.	She stood close by the door with her finger in her mouth, staring at the boy where he lay upon his couch, and Otto upon his part lay, full of wonder, gazing back upon the little elfin creature.
1028_133395_000023_000000	She, seeing that he made no sign or motion, stepped a little nearer, and then, after a moment's pause, a little nearer still, until, at last, she stood within a few feet of where he lay.	She, seeing that he made no sign or motion, stepped a little nearer, and then, after a moment's pause, a little nearer still, until, at last, she stood within a few feet of where he lay.
1028_133395_000026_000001	Why, I thought that thou wert a great tall fellow at least, and here thou art a little boy no older than Carl Max, the gooseherd." Then, after a little pause--"My name is Pauline, and my father is the Baron.	Why, I thought that thou wert a great tall fellow at least, and here thou art a little boy no older than Carl Max, the gooseherd." Then, after a little pause-"My name is Pauline, and my father is the Baron.
1028_133395_000026_000002	I heard him tell my mother all about thee, and so I wanted to come here and see thee myself: Art thou sick?"	I heard him tell my mother all about thee, and so I wanted to come here and see thee myself: Art thou sick?"
1028_133395_000027_000000	"Yes," said Otto, "I am sick."	"Yes," said Otto, "I am sick."
1028_133395_000028_000000	"And did my father hurt thee?"	"And did my father hurt thee?"
1028_133395_000030_000000	Little Pauline stood looking seriously at him for a while.	Little Pauline stood looking seriously at him for a while.
1028_133395_000030_000002	And then, at her childish pity, he began crying in earnest.	And then, at her childish pity, he began crying in earnest.
1028_133395_000031_000000	This was only the first visit of many from the little maid, for after that she often came to Otto's prison, who began to look for her coming from day to day as the one bright spot in the darkness and the gloom.	This was only the first visit of many from the little maid, for after that she often came to Otto's prison, who began to look for her coming from day to day as the one bright spot in the darkness and the gloom.
1028_133395_000033_000000	One day the little maid sat for a long while silent after he had ended speaking.	One day the little maid sat for a long while silent after he had ended speaking.
1028_133395_000033_000001	At last she drew a deep breath.	At last she drew a deep breath.
1028_133395_000034_000000	"Yes," said Otto, "all are true."	"Yes," said Otto, "all are true."
1028_133395_000035_000000	"And do they never go out to fight other priests?"	"And do they never go out to fight other priests?"
1028_133395_000036_000000	"No," said Otto, "they know nothing of fighting."	"No," said Otto, "they know nothing of fighting."
1028_133395_000037_000000	"So!" said she.	"So!" said she.
1028_133395_000040_000001	I saw her the night thy father hurt me so, for I could not sleep and my head felt as though it would break asunder.	I saw her the night thy father hurt me so, for I could not sleep and my head felt as though it would break asunder.
1028_133395_000041_000000	"But where did she come from, Otto?" said the little girl.	"But where did she come from, Otto?" said the little girl.
1028_133395_000042_000000	"From paradise, I think," said Otto, with that patient seriousness that he had caught from the monks, and that sat so quaintly upon him.	"From paradise, I think," said Otto, with that patient seriousness that he had caught from the monks, and that sat so quaintly upon him.
1028_133395_000043_000001	When I was sick my mother bade Gretchen carry me to a far part of the house, because I cried and so troubled her.	When I was sick my mother bade Gretchen carry me to a far part of the house, because I cried and so troubled her.
1028_133395_000045_000000	"Mine hath often struck me," said Pauline.	"Mine hath often struck me," said Pauline.
1028_133395_000046_000000	One day little Pauline came bustling into Otto's cell, her head full of the news which she carried.	One day little Pauline came bustling into Otto's cell, her head full of the news which she carried.
1028_133395_000046_000002	There he had seen the Baron Conrad and six of his men, and that they were eating one of the swine that they had killed and roasted.	There he had seen the Baron Conrad and six of his men, and that they were eating one of the swine that they had killed and roasted.
1028_133395_000046_000003	Maybe," said she, seating herself upon the edge of Otto's couch; "maybe my father will kill thy father, and they will bring him here and let him lie upon a black bed with bright candles burning around him, as they did my uncle Frederick when he was killed."	Maybe," said she, seating herself upon the edge of Otto's couch; "maybe my father will kill thy father, and they will bring him here and let him lie upon a black bed with bright candles burning around him, as they did my uncle Frederick when he was killed."
1028_133395_000047_000000	"God forbid!" said Otto, and then lay for a while with his hands clasped.	"God forbid!" said Otto, and then lay for a while with his hands clasped.
1028_133395_000047_000001	"Dost thou love me, Pauline?" said he, after a while.	"Dost thou love me, Pauline?" said he, after a while.
1028_133395_000048_000000	"Yes," said Pauline, "for thou art a good child, though my father says that thy wits are cracked."	"Yes," said Pauline, "for thou art a good child, though my father says that thy wits are cracked."
1028_133395_000049_000000	"Mayhap they are," said Otto, simply, "for I have often been told so before.	"Mayhap they are," said Otto, simply, "for I have often been told so before.
1028_133395_000051_000000	"Then listen, Pauline," said Otto; "if I go not away from here I shall surely die.	"Then listen, Pauline," said Otto; "if I go not away from here I shall surely die.
1028_133395_000052_000000	"Why dost thou cry, Otto?" said she, after a while.	"Why dost thou cry, Otto?" said she, after a while.
1028_133395_000053_000000	"Because," said he, "I am so sick, and I want my father to come and take me away from here."	"Because," said he, "I am so sick, and I want my father to come and take me away from here."
1028_133395_000054_000001	"If thy father takes thee away, thou canst not tell me any more stories."	"If thy father takes thee away, thou canst not tell me any more stories."
1028_133395_000055_000001	Dear Pauline, canst thou not tell my father where I am, that he may come here and take me away before I die?"	Dear Pauline, canst thou not tell my father where I am, that he may come here and take me away before I die?"
1028_133395_000057_000000	"And for my sake, wilt thou tell him, Pauline?" said Otto.	"And for my sake, wilt thou tell him, Pauline?" said Otto.
1028_133395_000059_000000	"Yes," said Otto, very seriously, "I will promise."	"Yes," said Otto, very seriously, "I will promise."
