8498_287358_000000_000000	CHAPTER IV--ANDY FOGER GETS A FRIGHT	CHAPTER four-ANDY FOGER GETS A FRIGHT
8498_287358_000001_000000	Tom Swift considered a few minutes.	Tom Swift considered a few minutes.
8498_287358_000001_000001	On the face of it, the proposition appealed to him.	On the face of it, the proposition appealed to him.
8498_287358_000001_000003	The search for the mysterious mountain, and the cave of the diamond makers, might offer a new field for him.	The search for the mysterious mountain, and the cave of the diamond makers, might offer a new field for him.
8498_287358_000001_000004	But there came to him a certain distrust of Mr. Jenks.	But there came to him a certain distrust of mr Jenks.
8498_287358_000002_000000	"I don't like to doubt your word," began Tom, slowly, "but you know, Mr. Jenks, that some of the greatest chemists have tried in vain to make diamonds; or, at best, they have made only tiny ones.	"I don't like to doubt your word," began Tom, slowly, "but you know, mr Jenks, that some of the greatest chemists have tried in vain to make diamonds; or, at best, they have made only tiny ones.
8498_287358_000002_000001	To think that any man, or set of men, made real diamonds as large as the ones you have, doesn't seem--well--" and Tom hesitated.	To think that any man, or set of men, made real diamonds as large as the ones you have, doesn't seem-well-" and Tom hesitated.
8498_287358_000003_000000	"You mean you can hardly believe me?" asked Mr. Jenks.	"You mean you can hardly believe me?" asked mr Jenks.
8498_287358_000004_000000	"I guess that's it," assented Tom.	"I guess that's it," assented Tom.
8498_287358_000005_000000	"I don't blame you a bit!" exclaimed the odd man.	"I don't blame you a bit!" exclaimed the odd man.
8498_287358_000005_000001	"In fact, I didn't believe it when they told me they could make diamonds.	"In fact, I didn't believe it when they told me they could make diamonds.
8498_287358_000005_000002	But they proved it to me.	But they proved it to me.
8498_287358_000005_000003	I'm ready now to prove it to you."	I'm ready now to prove it to you."
8498_287358_000006_000000	"I'll tell you what I'll do.	"I'll tell you what I'll do.
8498_287358_000006_000001	Here's this one stone, cut ready for setting.	Here's this one stone, cut ready for setting.
8498_287358_000006_000002	Here's another, uncut," and Mr. Jenks drew from his pocket what looked like a piece of crystal.	Here's another, uncut," and mr Jenks drew from his pocket what looked like a piece of crystal.
8498_287358_000006_000003	"Take them to any jeweler," he resumed--"to the one in whose place I saw you to-night.	"Take them to any jeweler," he resumed-"to the one in whose place I saw you to night.
8498_287358_000006_000004	I'll abide by the verdict you get, and I'll come here to-morrow night, and hear what you have to say."	I'll abide by the verdict you get, and I'll come here to morrow night, and hear what you have to say."
8498_287358_000008_000000	"Because my life might be in danger if I was seen talking to you, and showing you diamonds in the daytime--especially just now.	"Because my life might be in danger if I was seen talking to you, and showing you diamonds in the daytime-especially just now.
8498_287358_000009_000000	"Why at this particular time?"	"Why at this particular time?"
8498_287358_000010_000000	"For the reason that the diamond makers are on my trail.	"For the reason that the diamond makers are on my trail.
8498_287358_000010_000001	As long as I remained quiet, after their shabby treatment of me, and did not try to discover their secret, they were all right.	As long as I remained quiet, after their shabby treatment of me, and did not try to discover their secret, they were all right.
8498_287358_000010_000002	But, after I realized that I had been cheated out of my rights, and when I began to make an investigation, with a view to discovering their secret whereabouts, I received mysterious and anonymous warnings to stop."	But, after I realized that I had been cheated out of my rights, and when I began to make an investigation, with a view to discovering their secret whereabouts, I received mysterious and anonymous warnings to stop."
8498_287358_000011_000000	"But I did not.	"But I did not.
8498_287358_000011_000001	I came East, and tried to get help to discover the cave of the diamond makers, but I was unsuccessful.	I came East, and tried to get help to discover the cave of the diamond makers, but I was unsuccessful.
