7938_109179_000000_000000	The horde of marauders were chasing through the lake again, and behind them came the pike.	The horde of marauders were chasing through the lake again, and behind them came the pike.	false	2.91	29.35	21.112146
7938_109179_000000_000001	These last did not go together, like the perch, in serried ranks at a furious hunting pace, but slunk along one by one from stone to stone, and from weedy clump to weedy clump.	These last did not go together, like the perch, in serried ranks at a furious hunting pace, but slunk along one by one from stone to stone, and from weedy clump to weedy clump.	true	29.66	38.38	18
7938_109179_000001_000000	Grim is with them, and like a seal she helps herself to the flying bleak which in their terror rush blindly into her jaws.	Grim is with them, and like a seal she helps herself to the flying bleak which in their terror rush blindly into her jaws.	true	39.02	45.25	19
7938_109179_000001_000001	It is quick work, but nevertheless not quick enough.	It is quick work, but nevertheless not quick enough.	false	45.38	47.67	22.903555
7938_109179_000001_000002	The gluttony of the perch angers and irritates her; she feels her belly growing larger, and her throat widening.	The gluttony of the perch angers and irritates her; she feels her belly growing larger, and her throat widening.	false	47.67	53.14	21.069075
7938_109179_000001_000003	She has room for more fish, mountains of fish!	She has room for more fish, mountains of fish!	true	53.51	56.11	20.089706
7938_109179_000002_000000	With a jerk of her body she comes nearer, and is now right in the whirlpool of bleak and perch.	With a jerk of her body she comes nearer, and is now right in the whirlpool of bleak and perch.	true	56.36	61.27	22
7938_109179_000003_000000	Quivering and trembling, the little fish fly in all directions as she tears among them, and with strong beats of her tail to right and left pursues her victims.	Quivering and trembling, the little fish fly in all directions as she tears among them, and with strong beats of her tail to right and left pursues her victims.	true	61.7	69.37	19
7938_109179_000003_000001	Her eyes gleam, and her thin lips quiver with insatiable desire.	Her eyes gleam, and her thin lips quiver with insatiable desire.	true	69.65	73.09	20
7938_109179_000004_000000	A big, high-backed perch coolie makes a capture right in front of her. In his eagerness he makes such a commotion in the water that it looks as if it were full of thick, shining snakes.	A big, high backed perch coolie makes a capture right in front of her. In his eagerness he makes such a commotion in the water that it looks as if it were full of thick, shining snakes.	false	73.1	82.99	21.180012
7938_109179_000004_000001	Snap!	Snap!	true	83.06	83.745	23.066462
7938_109179_000004_000002	Snap!	Snap!	true	83.745	84.61	27.374666
7938_109179_000004_000003	There goes a bleak right before her nose!	There goes a bleak right before her nose!	true	84.65	86.62	21.79623
7938_109179_000005_000000	This is more than she can endure!	This is more than she can endure!	false	86.87	88.5	24
7938_109179_000005_000001	She dislikes this insolent lake-dog in a still greater degree than when, as a young pike, she stayed in the shelter of the creek.	She dislikes this insolent lake dog in a still greater degree than when, as a young pike, she stayed in the shelter of the creek.	true	88.5	95.11	17
7938_109179_000005_000002	His cunning and deceit, his ability to save himself and to get her into a scrape, has of late frequently irritated her.	His cunning and deceit, his ability to save himself and to get her into a scrape, has of late frequently irritated her.	false	95.24	101.4	17
7938_109179_000006_000000	A moment later, while she is in the middle of a spring, he happens to be pushed by his comrades right in front of her mouth.	A moment later, while she is in the middle of a spring, he happens to be pushed by his comrades right in front of her mouth.	false	101.4	107.23	21
7938_109179_000006_000001	Her jaws are already opened, and the water is streaming in like a mill-race; she sees the bleak-fat upon the mouth of her plump opponent, and her ferocity and murderous lust are doubled.	Her jaws are already opened, and the water is streaming in like a mill race; she sees the bleak fat upon the mouth of her plump opponent, and her ferocity and murderous lust are doubled.	false	107.36	117.13	18
7938_109179_000007_000000	Then she gives way to the innermost need of her being.	Then she gives way to the innermost need of her being.	false	117.38	120.24	13
7938_109179_000007_000001	With an enormous development of energy, intoxicated with the joy of capture, she attacks the Rasper with the full strength of both her serrated jaws, opening them so wide, and dashing at him with such force, that they engulf him to far down his plump hog-back.	With an enormous development of energy, intoxicated with the joy of capture, she attacks the Rasper with the full strength of both her serrated jaws, opening them so wide, and dashing at him with such force, that they engulf him to far down his plump hog back.	false	120.24	133.86	19
7938_109179_000007_000002	The hundreds of little teeth with which her palate is paved have the same desire, the same purpose; to bore right in and hold fast.	The hundreds of little teeth with which her palate is paved have the same desire, the same purpose; to bore right in and hold fast.	false	133.86	140.71	21
7938_109179_000008_000000	Just as the pike's attack is at its height, the Rasper suddenly raises his twelve-spined dorsal fin.	Just as the pike's attack is at its height, the Rasper suddenly raises his twelve spined dorsal fin.	true	140.84	146.11	20
7938_109179_000008_000001	During his chase of the little fish, it had lain neatly folded like a fan along his back; now it is transformed into a murderous weapon, and its bony ribs into a bundle of hidden sword-blades, now stiff and sharp like polished bayonets, now elastically pliable like rapiers.	During his chase of the little fish, it had lain neatly folded like a fan along his back; now it is transformed into a murderous weapon, and its bony ribs into a bundle of hidden sword blades, now stiff and sharp like polished bayonets, now elastically pliable like rapiers.	false	146.51	162.48	18
7938_109179_000009_000000	Joyfully Grim takes the big lump into her mouth.	Joyfully Grim takes the big lump into her mouth.	true	162.48	165.165	16
7938_109179_000009_000001	She feels that it pricks her, but the cavity of her mouth is not troubled with any exaggerated sensitiveness.	She feels that it pricks her, but the cavity of her mouth is not troubled with any exaggerated sensitiveness.	true	165.165	170.74	18
7938_109179_000010_000000	Splendidly heavy and solid the Rasper feels as he lies upon her tongue! And yet--his rough, tile-like scales, and the very small amount of fat and slime on his skin, make it unusually difficult for her to get the lump down.	Splendidly heavy and solid the Rasper feels as he lies upon her tongue! And yet-his rough, tile like scales, and the very small amount of fat and slime on his skin, make it unusually difficult for her to get the lump down.	false	170.96	184.99	20.596869
7938_109179_000011_000000	He is hurting her now.	He is hurting her now.	true	185.42	186.765	18.885742
7938_109179_000011_000001	She quickly takes a better hold, even letting her prehensile teeth come into play, and the long board-like tongue warp in co-operation; but no matter what she does, or how wide she opens her mouth, her efforts are in vain: the high-backed one refuses to move beyond a certain point.	She quickly takes a better hold, even letting her prehensile teeth come into play, and the long board like tongue warp in co-operation; but no matter what she does, or how wide she opens her mouth, her efforts are in vain: the high backed one refuses to move beyond a certain point.	true	186.765	202.51	21.544256
7938_109179_000012_000000	Incomprehensible!	Incomprehensible!	true	202.76	204	23.545073
7938_109179_000012_000001	Impossible!	Impossible!	true	204	205.03	22.895906
7938_109179_000013_000000	She tries again.	She tries again.	true	205.37	206.44	25.888803
7938_109179_000013_000001	Besides her tongue and her prehensile teeth, she brings the muscles of her throat into play, and the bones of her head expand like a snake's.	Besides her tongue and her prehensile teeth, she brings the muscles of her throat into play, and the bones of her head expand like a snake's.	false	206.54	213.16	19
7938_109179_000013_000002	Colours dance before her eyes as the gullet opens and closes, trying to draw in the perch's head.	Colours dance before her eyes as the gullet opens and closes, trying to draw in the perch's head.	true	213.62	218.68	21
7938_109179_000013_000003	But to no avail. The wedge remains immovable.	But to no avail. The wedge remains immovable.	true	218.93	221.86	16.984253
7938_109179_000013_000004	The big mouthful is _too_ big!	The big mouthful is underscore too underscore big!	false	221.93	224.11	24.653202
7938_109179_000014_000000	So there is nothing to be done, but give it up!	So there is nothing to be done, but give it up!	true	224.57	226.93	21.761887
7938_109179_000014_000001	Grim opens her mouth wide, relaxes her prehensile teeth, which, as readily as an adder's, turning on their hinges, return to the perpendicular; she opens her throat-muscles as far as she can, and even pushes with her tongue. "There!	Grim opens her mouth wide, relaxes her prehensile teeth, which, as readily as an adder's, turning on their hinges, return to the perpendicular; she opens her throat muscles as far as she can, and even pushes with her tongue. "There!	false	227	239.745	21
7938_109179_000014_000002	The torture in the spiked barrel is over.	The torture in the spiked barrel is over.	true	239.745	241.74	23
7938_109179_000014_000003	The prison is graciously open to the great perch."	The prison is graciously open to the great perch."	false	241.74	244.42	21.02481
7938_109179_000015_000000	The Rasper, who, all through the battle, has been lashing out with his strong tail, which is hanging out of the pike's mouth, and throwing Grim from one side to the other, suddenly notices the loosening of the strait-jacket, and backs with a jerk.	The Rasper, who, all through the battle, has been lashing out with his strong tail, which is hanging out of the pike's mouth, and throwing Grim from one side to the other, suddenly notices the loosening of the strait jacket, and backs with a jerk.	false	244.67	257.98	21
7938_109179_000015_000001	He thinks he is free, so easily does he swim now, although the darkness before his eyes is just as thick and oppressive.	He thinks he is free, so easily does he swim now, although the darkness before his eyes is just as thick and oppressive.	false	258.2	264.52	20
7938_109179_000016_000000	He is still in the pike's throat, and cannot get away, for he has his twelve stiffest dorsal spines bored into his enemy's palate; and the more he worries and works with his dangerous opponent, the deeper and more firmly do the spines fix themselves.	He is still in the pike's throat, and cannot get away, for he has his twelve stiffest dorsal spines bored into his enemy's palate; and the more he worries and works with his dangerous opponent, the deeper and more firmly do the spines fix themselves.	true	265.1	277.45	21
7938_109179_000017_000000	In the meantime Grim, true to her pike-nature, has for a few moments lost nearly all her energy.	In the meantime Grim, true to her pike nature, has for a few moments lost nearly all her energy.	false	277.7	283.99	22.31023
7938_109179_000017_000001	The spines begin to hurt her, and her mouthful on the whole to incommode her.	The spines begin to hurt her, and her mouthful on the whole to incommode her.	true	284.27	287.925	20.603834
7938_109179_000017_000002	She cannot get sufficient water over her gills, and what does filter into her mouth in spite of the gag, is needed by the gag itself.	She cannot get sufficient water over her gills, and what does filter into her mouth in spite of the gag, is needed by the gag itself.	true	287.925	295.75	21
7938_109179_000017_000003	She can feel it breathing inside her mouth; incessantly, with every indication of excitement, its gill-covers open and close, and take the lion's share of the water.	She can feel it breathing inside her mouth; incessantly, with every indication of excitement, its gill covers open and close, and take the lion's share of the water.	true	296.12	304.6	20.536608
7938_109179_000018_000000	It is impossible for her to bear this suffocation any longer; she must have air; and in ungovernable rage she begins to lash out with her tail.	It is impossible for her to bear this suffocation any longer; she must have air; and in ungovernable rage she begins to lash out with her tail.	true	305.03	313.21	23
7938_109179_000018_000001	Now it is she who takes the upper hand, and pushes the hog-backed one before her through the water.	Now it is she who takes the upper hand, and pushes the hog backed one before her through the water.	true	313.61	318.4	19
7938_109179_000019_000000	Thus the combat continues.	Thus the combat continues.	true	318.8	320.47	21.473103
