8464_282934_000001_000000	Calliope Catesby was in his humours again.	Calliope Catesby was in his humours again.
8464_282934_000001_000001	Ennui was upon him.	Ennui was upon him.
8464_282934_000001_000002	This goodly promontory, the earth--particularly that portion of it known as Quicksand--was to him no more than a pestilent congregation of vapours.	This goodly promontory, the earth-particularly that portion of it known as Quicksand-was to him no more than a pestilent congregation of vapours.
8464_282934_000001_000003	Overtaken by the megrims, the philosopher may seek relief in soliloquy; my lady find solace in tears; the flaccid Easterner scold at the millinery bills of his women folk.	Overtaken by the megrims, the philosopher may seek relief in soliloquy; my lady find solace in tears; the flaccid Easterner scold at the millinery bills of his women folk.
8464_282934_000001_000004	Such recourse was insufficient to the denizens of Quicksand.	Such recourse was insufficient to the denizens of Quicksand.
8464_282934_000001_000005	Calliope, especially, was wont to express his ennui according to his lights.	Calliope, especially, was wont to express his ennui according to his lights.
8464_282934_000002_000000	Over night Calliope had hung out signals of approaching low spirits. He had kicked his own dog on the porch of the Occidental Hotel, and refused to apologise.	Over night Calliope had hung out signals of approaching low spirits. He had kicked his own dog on the porch of the Occidental Hotel, and refused to apologise.
8464_282934_000002_000001	He had become capricious and fault-finding in conversation.	He had become capricious and fault finding in conversation.
8464_282934_000002_000002	While strolling about he reached often for twigs of mesquite and chewed the leaves fiercely.	While strolling about he reached often for twigs of mesquite and chewed the leaves fiercely.
8464_282934_000002_000003	That was always an ominous act.	That was always an ominous act.
8464_282934_000002_000004	Another symptom alarming to those who were familiar with the different stages of his doldrums was his increasing politeness and a tendency to use formal phrases.	Another symptom alarming to those who were familiar with the different stages of his doldrums was his increasing politeness and a tendency to use formal phrases.
8464_282934_000002_000006	A dangerous courtesy marked his manners.	A dangerous courtesy marked his manners.
8464_282934_000002_000007	Later, his smile became crooked, the left side of his mouth slanting upward, and Quicksand got ready to stand from under.	Later, his smile became crooked, the left side of his mouth slanting upward, and Quicksand got ready to stand from under.
8464_282934_000003_000000	At this stage Calliope generally began to drink.	At this stage Calliope generally began to drink.
8464_282934_000003_000001	Finally, about midnight, he was seen going homeward, saluting those whom he met with exaggerated but inoffensive courtesy.	Finally, about midnight, he was seen going homeward, saluting those whom he met with exaggerated but inoffensive courtesy.
8464_282934_000003_000004	More magnanimous than Nero, he would thus give musical warning of the forthcoming municipal upheaval that Quicksand was scheduled to endure.	More magnanimous than Nero, he would thus give musical warning of the forthcoming municipal upheaval that Quicksand was scheduled to endure.
8464_282934_000004_000000	A quiet, amiable man was Calliope Catesby at other times--quiet to indolence, and amiable to worthlessness.	A quiet, amiable man was Calliope Catesby at other times-quiet to indolence, and amiable to worthlessness.
8464_282934_000004_000001	At best he was a loafer and a nuisance; at worst he was the Terror of Quicksand.	At best he was a loafer and a nuisance; at worst he was the Terror of Quicksand.
8464_282934_000004_000002	His ostensible occupation was something subordinate in the real estate line; he drove the beguiled Easterner in buckboards out to look over lots and ranch property.	His ostensible occupation was something subordinate in the real estate line; he drove the beguiled Easterner in buckboards out to look over lots and ranch property.
8464_282934_000004_000003	Originally he came from one of the Gulf States, his lank six feet, slurring rhythm of speech, and sectional idioms giving evidence of his birthplace.	Originally he came from one of the Gulf States, his lank six feet, slurring rhythm of speech, and sectional idioms giving evidence of his birthplace.
8464_282934_000006_000001	Inspired by his own barbarous melodies and the contents of his jug, he was ready primed to gather fresh laurels from the diffident brow of Quicksand.	Inspired by his own barbarous melodies and the contents of his jug, he was ready primed to gather fresh laurels from the diffident brow of Quicksand.
8464_282934_000006_000002	Encircled and criss-crossed with cartridge belts, abundantly garnished with revolvers, and copiously drunk, he poured forth into Quicksand's main street.	Encircled and criss crossed with cartridge belts, abundantly garnished with revolvers, and copiously drunk, he poured forth into Quicksand's main street.
8464_282934_000006_000005	A yellow dog, the personal property of Colonel Swazey, the proprietor of the Occidental, fell feet upward in the dust with one farewell yelp.	A yellow dog, the personal property of Colonel Swazey, the proprietor of the Occidental, fell feet upward in the dust with one farewell yelp.
8464_282934_000007_000000	The artillery was in trim.	The artillery was in trim.
8464_282934_000008_000000	Down the street went Calliope, shooting right and left.	Down the street went Calliope, shooting right and left.
