242_122627_000000_000000	"Did ever anybody see such a picture of passion!"	"Did ever anybody see such a picture of passion!"	false	0	2.43	19.693016
242_122627_000001_000000	Then Mrs. Reed subjoined--	Then mrs Reed subjoined-	false	2.43	3.81	20.724545
242_122627_000002_000000	"Take her away to the red-room, and lock her in there." Four hands were immediately laid upon me, and I was borne upstairs.	"Take her away to the red room, and lock her in there." Four hands were immediately laid upon me, and I was borne upstairs.	false	3.81	17.085	21.715057
242_122627_000003_000000	CHAPTER II	CHAPTER two	true	17.085	18.34	19.85702
242_122627_000004_000000	I resisted all the way: a new thing for me, and a circumstance which greatly strengthened the bad opinion Bessie and Miss Abbot were disposed to entertain of me.	I resisted all the way: a new thing for me, and a circumstance which greatly strengthened the bad opinion Bessie and Miss Abbot were disposed to entertain of me.	true	19.73	28.81	21.126236
242_122627_000004_000001	The fact is, I was a trifle beside myself; or rather _out_ of myself, as the French would say: I was conscious that a moment's mutiny had already rendered me liable to strange penalties, and, like any other rebel slave, I felt resolved, in my desperation, to go all lengths.	The fact is, I was a trifle beside myself; or rather underscore out underscore of myself, as the French would say: I was conscious that a moment's mutiny had already rendered me liable to strange penalties, and, like any other rebel slave, I felt resolved, in my desperation, to go all lengths.	false	29.12	47.11	21.577541
242_122627_000005_000000	"Hold her arms, Miss Abbot: she's like a mad cat."	"Hold her arms, Miss Abbot: she's like a mad cat."	false	47.45	51.16	22.929255
242_122627_000006_000000	"For shame! for shame!" cried the lady's-maid.	"For shame! for shame!" cried the lady's maid.	true	51.62	55.48	17.869064
242_122627_000006_000001	"What shocking conduct, Miss Eyre, to strike a young gentleman, your benefactress's son!	"What shocking conduct, Miss Eyre, to strike a young gentleman, your benefactress's son!	false	55.67	62.26	24.979923
242_122627_000006_000002	Your young master."	Your young master."	true	62.27	64.06	19.307676
242_122627_000007_000000	"Master!	"Master!	true	64.55	65.58	21.390541
242_122627_000007_000001	How is he my master?	How is he my master?	true	65.58	67.38	16
242_122627_000007_000002	Am I a servant?"	Am I a servant?"	false	67.38	68.89	22.117853
242_122627_000008_000000	"No; you are less than a servant, for you do nothing for your keep. There, sit down, and think over your wickedness."	"No; you are less than a servant, for you do nothing for your keep. There, sit down, and think over your wickedness."	true	69.2	77.17	20.726093
242_122627_000009_000000	They had got me by this time into the apartment indicated by Mrs. Reed, and had thrust me upon a stool: my impulse was to rise from it like a spring; their two pair of hands arrested me instantly.	They had got me by this time into the apartment indicated by mrs Reed, and had thrust me upon a stool: my impulse was to rise from it like a spring; their two pair of hands arrested me instantly.	false	77.63	90.85	22.940578
242_122627_000010_000000	"If you don't sit still, you must be tied down," said Bessie.	"If you don't sit still, you must be tied down," said Bessie.	true	91.28	95.59	21.303381
242_122627_000010_000001	"Miss Abbot, lend me your garters; she would break mine directly."	"Miss Abbot, lend me your garters; she would break mine directly."	false	95.69	99.55	25
242_122627_000011_000000	Miss Abbot turned to divest a stout leg of the necessary ligature.	Miss Abbot turned to divest a stout leg of the necessary ligature.	true	99.83	103.99	21
242_122627_000011_000001	This preparation for bonds, and the additional ignominy it inferred, took a little of the excitement out of me.	This preparation for bonds, and the additional ignominy it inferred, took a little of the excitement out of me.	true	104.21	110.59	22.604618
242_122627_000012_000000	"Don't take them off," I cried; "I will not stir."	"Don't take them off," I cried; "I will not stir."	true	110.84	114.94	22.297316
242_122627_000013_000000	In guarantee whereof, I attached myself to my seat by my hands.	In guarantee whereof, I attached myself to my seat by my hands.	false	115.22	119.53	23.836674
242_122627_000014_000000	"Mind you don't," said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.	"Mind you don't," said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.	false	119.78	135.19	20.836607
242_122627_000015_000000	"She never did so before," at last said Bessie, turning to the Abigail.	"She never did so before," at last said Bessie, turning to the Abigail.	false	135.56	140.56	23.091858
242_122627_000016_000000	"But it was always in her," was the reply.	"But it was always in her," was the reply.	true	140.78	143.83	23.563898
242_122627_000016_000001	"I've told Missis often my opinion about the child, and Missis agreed with me.	"I've told Missis often my opinion about the child, and Missis agreed with me.	false	144.02	149.41	22
242_122627_000016_000002	She's an underhand little thing: I never saw a girl of her age with so much cover."	She's an underhand little thing: I never saw a girl of her age with so much cover."	false	149.48	154.87	20
242_122627_000017_000000	Bessie answered not; but ere long, addressing me, she said--"You ought to be aware, Miss, that you are under obligations to Mrs. Reed: she keeps you: if she were to turn you off, you would have to go to the poorhouse."	Bessie answered not; but ere long, addressing me, she said-"You ought to be aware, Miss, that you are under obligations to mrs Reed: she keeps you: if she were to turn you off, you would have to go to the poorhouse."	false	155.27	168.61	21.969696
242_122627_000018_000000	I had nothing to say to these words: they were not new to me: my very first recollections of existence included hints of the same kind.	I had nothing to say to these words: they were not new to me: my very first recollections of existence included hints of the same kind.	true	169.16	177.76	22.009361
242_122627_000018_000001	This reproach of my dependence had become a vague sing-song in my ear: very painful and crushing, but only half intelligible.	This reproach of my dependence had become a vague sing song in my ear: very painful and crushing, but only half intelligible.	true	177.98	186.28	21.270206
242_122627_000018_000002	Miss Abbot joined in--	Miss Abbot joined in-	true	186.5	188.35	23.324049
242_122627_000019_000000	"And you ought not to think yourself on an equality with the Misses Reed and Master Reed, because Missis kindly allows you to be brought up with them.	"And you ought not to think yourself on an equality with the Misses Reed and Master Reed, because Missis kindly allows you to be brought up with them.	false	188.84	198.01	24.636534
242_122627_000019_000001	They will have a great deal of money, and you will have none: it is your place to be humble, and to try to make yourself agreeable to them."	They will have a great deal of money, and you will have none: it is your place to be humble, and to try to make yourself agreeable to them."	true	198.14	205.66	20.576223
242_122627_000020_000000	"What we tell you is for your good," added Bessie, in no harsh voice, "you should try to be useful and pleasant, then, perhaps, you would have a home here; but if you become passionate and rude, Missis will send you away, I am sure."	"What we tell you is for your good," added Bessie, in no harsh voice, "you should try to be useful and pleasant, then, perhaps, you would have a home here; but if you become passionate and rude, Missis will send you away, I am sure."	false	206.33	221.83	21.792446
242_122627_000021_000000	"Besides," said Miss Abbot, "God will punish her: He might strike her dead in the midst of her tantrums, and then where would she go?	"Besides," said Miss Abbot, "God will punish her: He might strike her dead in the midst of her tantrums, and then where would she go?	true	222.14	230.62	22.43287
242_122627_000021_000001	Come, Bessie, we will leave her: I wouldn't have her heart for anything.	Come, Bessie, we will leave her: I wouldn't have her heart for anything.	true	230.9	235.27	23.542927
242_122627_000021_000002	Say your prayers, Miss Eyre, when you are by yourself; for if you don't repent, something bad might be permitted to come down the chimney and fetch you away."	Say your prayers, Miss Eyre, when you are by yourself; for if you don't repent, something bad might be permitted to come down the chimney and fetch you away."	true	235.46	244.54	24.457994
