345_1129_000001_000000	Chapter 19	Chapter nineteen
345_1129_000002_000000	The next day opened a new scene at Longbourn.	The next day opened a new scene at Longbourn.
345_1129_000002_000002	Having resolved to do it without loss of time, as his leave of absence extended only to the following Saturday, and having no feelings of diffidence to make it distressing to himself even at the moment, he set about it in a very orderly manner, with all the observances, which he supposed a regular part of the business.	Having resolved to do it without loss of time, as his leave of absence extended only to the following Saturday, and having no feelings of diffidence to make it distressing to himself even at the moment, he set about it in a very orderly manner, with all the observances, which he supposed a regular part of the business.
345_1129_000002_000003	On finding Mrs. Bennet, Elizabeth, and one of the younger girls together, soon after breakfast, he addressed the mother in these words:	On finding mrs Bennet, Elizabeth, and one of the younger girls together, soon after breakfast, he addressed the mother in these words:
345_1129_000003_000000	"May I hope, madam, for your interest with your fair daughter Elizabeth, when I solicit for the honour of a private audience with her in the course of this morning?"	"May I hope, madam, for your interest with your fair daughter Elizabeth, when I solicit for the honour of a private audience with her in the course of this morning?"
345_1129_000004_000000	Before Elizabeth had time for anything but a blush of surprise, Mrs. Bennet answered instantly, "Oh dear!--yes--certainly.	Before Elizabeth had time for anything but a blush of surprise, mrs Bennet answered instantly, "Oh dear!--yes-certainly.
345_1129_000004_000001	I am sure Lizzy will be very happy--I am sure she can have no objection.	I am sure Lizzy will be very happy-I am sure she can have no objection.
345_1129_000004_000002	Come, Kitty, I want you up stairs." And, gathering her work together, she was hastening away, when Elizabeth called out:	Come, Kitty, I want you up stairs." And, gathering her work together, she was hastening away, when Elizabeth called out:
345_1129_000005_000000	"Dear madam, do not go.	"Dear madam, do not go.
345_1129_000005_000001	I beg you will not go.	I beg you will not go.
345_1129_000005_000002	Mr. Collins must excuse me.	mr Collins must excuse me.
345_1129_000005_000003	He can have nothing to say to me that anybody need not hear.	He can have nothing to say to me that anybody need not hear.
345_1129_000005_000004	I am going away myself."	I am going away myself."
345_1129_000007_000000	Elizabeth would not oppose such an injunction--and a moment's consideration making her also sensible that it would be wisest to get it over as soon and as quietly as possible, she sat down again and tried to conceal, by incessant employment the feelings which were divided between distress and diversion.	Elizabeth would not oppose such an injunction-and a moment's consideration making her also sensible that it would be wisest to get it over as soon and as quietly as possible, she sat down again and tried to conceal, by incessant employment the feelings which were divided between distress and diversion.
345_1129_000007_000001	Mrs. Bennet and Kitty walked off, and as soon as they were gone, Mr. Collins began.	mrs Bennet and Kitty walked off, and as soon as they were gone, mr Collins began.
345_1129_000008_000000	"Believe me, my dear Miss Elizabeth, that your modesty, so far from doing you any disservice, rather adds to your other perfections.	"Believe me, my dear Miss Elizabeth, that your modesty, so far from doing you any disservice, rather adds to your other perfections.
345_1129_000008_000002	You can hardly doubt the purport of my discourse, however your natural delicacy may lead you to dissemble; my attentions have been too marked to be mistaken.	You can hardly doubt the purport of my discourse, however your natural delicacy may lead you to dissemble; my attentions have been too marked to be mistaken.
345_1129_000010_000002	Collins, you must marry.	Collins, you must marry.
345_1129_000010_000005	This is my advice.	This is my advice.
345_1129_000010_000007	You will find her manners beyond anything I can describe; and your wit and vivacity, I think, must be acceptable to her, especially when tempered with the silence and respect which her rank will inevitably excite.	You will find her manners beyond anything I can describe; and your wit and vivacity, I think, must be acceptable to her, especially when tempered with the silence and respect which her rank will inevitably excite.
345_1129_000010_000008	Thus much for my general intention in favour of matrimony; it remains to be told why my views were directed towards Longbourn instead of my own neighbourhood, where I can assure you there are many amiable young women.	Thus much for my general intention in favour of matrimony; it remains to be told why my views were directed towards Longbourn instead of my own neighbourhood, where I can assure you there are many amiable young women.
345_1129_000010_000011	And now nothing remains for me but to assure you in the most animated language of the violence of my affection.	And now nothing remains for me but to assure you in the most animated language of the violence of my affection.
345_1129_000010_000013	On that head, therefore, I shall be uniformly silent; and you may assure yourself that no ungenerous reproach shall ever pass my lips when we are married."	On that head, therefore, I shall be uniformly silent; and you may assure yourself that no ungenerous reproach shall ever pass my lips when we are married."
345_1129_000012_000000	"You are too hasty, sir," she cried.	"You are too hasty, sir," she cried.
345_1129_000012_000001	"You forget that I have made no answer.	"You forget that I have made no answer.
345_1129_000012_000002	Let me do it without further loss of time.	Let me do it without further loss of time.
345_1129_000012_000004	I am very sensible of the honour of your proposals, but it is impossible for me to do otherwise than to decline them."	I am very sensible of the honour of your proposals, but it is impossible for me to do otherwise than to decline them."
345_1129_000013_000000	"I am not now to learn," replied Mr. Collins, with a formal wave of the hand, "that it is usual with young ladies to reject the addresses of the man whom they secretly mean to accept, when he first applies for their favour; and that sometimes the refusal is repeated a second, or even a third time.	"I am not now to learn," replied mr Collins, with a formal wave of the hand, "that it is usual with young ladies to reject the addresses of the man whom they secretly mean to accept, when he first applies for their favour; and that sometimes the refusal is repeated a second, or even a third time.
345_1129_000013_000001	I am therefore by no means discouraged by what you have just said, and shall hope to lead you to the altar ere long."	I am therefore by no means discouraged by what you have just said, and shall hope to lead you to the altar ere long."
345_1129_000014_000000	"Upon my word, sir," cried Elizabeth, "your hope is a rather extraordinary one after my declaration.	"Upon my word, sir," cried Elizabeth, "your hope is a rather extraordinary one after my declaration.
345_1129_000014_000001	I do assure you that I am not one of those young ladies (if such young ladies there are) who are so daring as to risk their happiness on the chance of being asked a second time.	I do assure you that I am not one of those young ladies (if such young ladies there are) who are so daring as to risk their happiness on the chance of being asked a second time.
345_1129_000014_000002	I am perfectly serious in my refusal.	I am perfectly serious in my refusal.
345_1129_000014_000004	Nay, were your friend Lady Catherine to know me, I am persuaded she would find me in every respect ill qualified for the situation."	Nay, were your friend Lady Catherine to know me, I am persuaded she would find me in every respect ill qualified for the situation."
345_1129_000015_000001	And you may be certain when I have the honour of seeing her again, I shall speak in the very highest terms of your modesty, economy, and other amiable qualification."	And you may be certain when I have the honour of seeing her again, I shall speak in the very highest terms of your modesty, economy, and other amiable qualification."
345_1129_000016_000000	"Indeed, Mr. Collins, all praise of me will be unnecessary.	"Indeed, mr Collins, all praise of me will be unnecessary.
345_1129_000016_000001	You must give me leave to judge for myself, and pay me the compliment of believing what I say.	You must give me leave to judge for myself, and pay me the compliment of believing what I say.
