2056_143893_000001_000000	CHAPTER XLV	CHAPTER forty five
2056_143893_000002_000001	That knowledge was very present to her as she went to her cousin's hotel the day after she had invited Lord Warburton to give a tangible proof of his sincerity; and at this moment, as at others, she had a sufficient perception of the sources of Osmond's opposition.	That knowledge was very present to her as she went to her cousin's hotel the day after she had invited Lord Warburton to give a tangible proof of his sincerity; and at this moment, as at others, she had a sufficient perception of the sources of Osmond's opposition.
2056_143893_000002_000002	He wished her to have no freedom of mind, and he knew perfectly well that Ralph was an apostle of freedom.	He wished her to have no freedom of mind, and he knew perfectly well that Ralph was an apostle of freedom.
2056_143893_000002_000003	It was just because he was this, Isabel said to herself, that it was a refreshment to go and see him.	It was just because he was this, Isabel said to herself, that it was a refreshment to go and see him.
2056_143893_000002_000004	It will be perceived that she partook of this refreshment in spite of her husband's aversion to it, that is partook of it, as she flattered herself, discreetly.	It will be perceived that she partook of this refreshment in spite of her husband's aversion to it, that is partook of it, as she flattered herself, discreetly.
2056_143893_000002_000005	She had not as yet undertaken to act in direct opposition to his wishes; he was her appointed and inscribed master; she gazed at moments with a sort of incredulous blankness at this fact.	She had not as yet undertaken to act in direct opposition to his wishes; he was her appointed and inscribed master; she gazed at moments with a sort of incredulous blankness at this fact.
2056_143893_000002_000009	Such a ceremony would be odious and monstrous; she tried to shut her eyes to it meanwhile.	Such a ceremony would be odious and monstrous; she tried to shut her eyes to it meanwhile.
2056_143893_000002_000010	Osmond would do nothing to help it by beginning first; he would put that burden upon her to the end.	Osmond would do nothing to help it by beginning first; he would put that burden upon her to the end.
2056_143893_000002_000011	He had not yet formally forbidden her to call upon Ralph; but she felt sure that unless Ralph should very soon depart this prohibition would come.	He had not yet formally forbidden her to call upon Ralph; but she felt sure that unless Ralph should very soon depart this prohibition would come.
2056_143893_000002_000012	How could poor Ralph depart?	How could poor Ralph depart?
2056_143893_000002_000013	The weather as yet made it impossible.	The weather as yet made it impossible.
2056_143893_000002_000014	She could perfectly understand her husband's wish for the event; she didn't, to be just, see how he COULD like her to be with her cousin.	She could perfectly understand her husband's wish for the event; she didn't, to be just, see how he COULD like her to be with her cousin.
