2512_157242_000000_000000	CHAPTER 10.	CHAPTER ten.	false	6.57	25.17	21.010565
2512_157242_000000_000001	THE HOLE IN THE CARPET	THE HOLE IN THE CARPET	true	25.17	26.56	24.481441
2512_157242_000001_000000	Hooray! hooray!	Hooray! hooray!	true	30.08	31.17	21.210968
2512_157242_000001_000001	hooray! Mother comes home to-day; Mother comes home to-day, Hooray! hooray!	hooray! Mother comes home to day; Mother comes home to day, Hooray! hooray!	true	31.17	36.72	20.33186
2512_157242_000001_000002	hooray!'	hooray!'	true	36.72	37.54	20.347115
2512_157242_000002_000000	Jane sang this simple song directly after breakfast, and the Phoenix shed crystal tears of affectionate sympathy.	Jane sang this simple song directly after breakfast, and the Phoenix shed crystal tears of affectionate sympathy.	true	38.33	44.29	22
2512_157242_000003_000000	'How beautiful,' it said, 'is filial devotion!'	'How beautiful,' it said, 'is filial devotion!'	true	44.54	47.35	19.753815
2512_157242_000004_000000	'She won't be home till past bedtime, though,' said Robert. 'We might have one more carpet-day.'	'She won't be home till past bedtime, though,' said Robert. 'We might have one more carpet day.'	true	47.93	52.6	22.570305
2512_157242_000005_000000	He was glad that mother was coming home--quite glad, very glad; but at the same time that gladness was rudely contradicted by a quite strong feeling of sorrow, because now they could not go out all day on the carpet.	He was glad that mother was coming home-quite glad, very glad; but at the same time that gladness was rudely contradicted by a quite strong feeling of sorrow, because now they could not go out all day on the carpet.	true	53.18	64.96	23.20807
2512_157242_000006_000000	'I do wish we could go and get something nice for mother, only she'd want to know where we got it,' said Anthea. 'And she'd never, never believe it, the truth.	'I do wish we could go and get something nice for mother, only she'd want to know where we got it,' said Anthea. 'And she'd never, never believe it, the truth.	true	65.69	73.875	21.267616
2512_157242_000006_000001	People never do, somehow, if it's at all interesting.'	People never do, somehow, if it's at all interesting.'	true	73.875	76.81	20.323027
2512_157242_000007_000000	'I'll tell you what,' said Robert. 'Suppose we wished the carpet to take us somewhere where we could find a purse with money in it--then we could buy her something.'	'I'll tell you what,' said Robert. 'Suppose we wished the carpet to take us somewhere where we could find a purse with money in it-then we could buy her something.'	true	77.15	83.65	21.921715
2512_157242_000008_000000	'Suppose it took us somewhere foreign, and the purse was covered with strange Eastern devices, embroidered in rich silks, and full of money that wasn't money at all here, only foreign curiosities, then we couldn't spend it, and people would bother about where we got it, and we shouldn't know how on earth to get out of it at all.'	'Suppose it took us somewhere foreign, and the purse was covered with strange Eastern devices, embroidered in rich silks, and full of money that wasn't money at all here, only foreign curiosities, then we couldn't spend it, and people would bother about where we got it, and we shouldn't know how on earth to get out of it at all.'	true	84.86	100.75	21.095146
2512_157242_000009_000000	Cyril moved the table off the carpet as he spoke, and its leg caught in one of Anthea's darns and ripped away most of it, as well as a large slit in the carpet.	Cyril moved the table off the carpet as he spoke, and its leg caught in one of Anthea's darns and ripped away most of it, as well as a large slit in the carpet.	true	101.63	109.9	20.478651
2512_157242_000010_000000	'Well, now you HAVE done it,' said Robert.	'Well, now you HAVE done it,' said Robert.	true	110.39	112.78	15.676558
2512_157242_000011_000000	But Anthea was a really first-class sister.	But Anthea was a really first-class sister.	true	113.12	115.485	20.222563
2512_157242_000011_000001	She did not say a word till she had got out the Scotch heather-mixture fingering wool and the darning-needle and the thimble and the scissors, and by that time she had been able to get the better of her natural wish to be thoroughly disagreeable, and was able to say quite kindly--	She did not say a word till she had got out the Scotch heather mixture fingering wool and the darning needle and the thimble and the scissors, and by that time she had been able to get the better of her natural wish to be thoroughly disagreeable, and was able to say quite kindly-	true	115.485	128.26	17
2512_157242_000012_000000	'Never mind, Squirrel, I'll soon mend it.'	'Never mind, Squirrel, I'll soon mend it.'	false	128.81	131.76	18.282637
2512_157242_000013_000000	Cyril thumped her on the back.	Cyril thumped her on the back.	true	131.76	133.14	22.117939
2512_157242_000013_000001	He understood exactly how she had felt, and he was not an ungrateful brother.	He understood exactly how she had felt, and he was not an ungrateful brother.	true	133.14	137.29	21.802595
2512_157242_000014_000000	'Respecting the purse containing coins,' the Phoenix said, scratching its invisible ear thoughtfully with its shining claw, 'it might be as well, perhaps, to state clearly the amount which you wish to find, as well as the country where you wish to find it, and the nature of the coins which you prefer.	'Respecting the purse containing coins,' the Phoenix said, scratching its invisible ear thoughtfully with its shining claw, 'it might be as well, perhaps, to state clearly the amount which you wish to find, as well as the country where you wish to find it, and the nature of the coins which you prefer.	false	138.47	152.89	21.969818
2512_157242_000014_000001	It would be indeed a cold moment when you should find a purse containing but three oboloi.'	It would be indeed a cold moment when you should find a purse containing but three oboloi.'	false	153.44	158.65	17
2512_157242_000015_000000	'How much is an oboloi?'	'How much is an oboloi?'	true	159.59	161.2	19.414263
2512_157242_000016_000000	'An obol is about twopence halfpenny,' the Phoenix replied.	'An obol is about twopence halfpenny,' the Phoenix replied.	true	161.9	165.25	21.385263
