1112_1043_000000_000000	"The whole place is locked," he said angrily.	"The whole place is locked," he said angrily.	false	27.495	70.125	20
1112_1043_000000_000001	"Where's the laundry key kept?"	"Where's the laundry key kept?"	true	70.125	71.52	23.267601
1112_1043_000001_000000	"It's kept in the door," Liddy snapped.	"It's kept in the door," Liddy snapped.	true	71.52	73.695	21.731838
1112_1043_000001_000001	"That whole end of the cellar is kept locked, so nobody can get at the clothes, and then the key's left in the door?	"That whole end of the cellar is kept locked, so nobody can get at the clothes, and then the key's left in the door?	true	73.695	79.125	21
1112_1043_000001_000002	so that unless a thief was as blind as--as some detectives, he could walk right in."	so that unless a thief was as blind as-as some detectives, he could walk right in."	true	79.125	83.355	21
1112_1043_000002_000000	"Liddy," I said sharply, "come down with us and turn on all the lights."	"Liddy," I said sharply, "come down with us and turn on all the lights."	true	83.355	87.165	19.453407
1112_1043_000003_000000	She offered her resignation, as usual, on the spot, but I took her by the arm, and she came along finally.	She offered her resignation, as usual, on the spot, but I took her by the arm, and she came along finally.	true	87.165	93.585	19.77491
1112_1043_000003_000001	She switched on all the lights and pointed to a door just ahead.	She switched on all the lights and pointed to a door just ahead.	true	93.585	97.05	17
1112_1043_000004_000000	"That's the door," she said sulkily.	"That's the door," she said sulkily.	true	97.05	99.43	22.733625
1112_1043_000004_000001	"The key's in it."	"The key's in it."	true	99.56	100.78	20.026442
1112_1043_000005_000000	But the key was not in it.	But the key was not in it.	true	101	102.79	22.063133
1112_1043_000005_000001	Mr. Jamieson shook it, but it was a heavy door, well locked.	mr Jamieson shook it, but it was a heavy door, well locked.	true	102.92	107.05	20.598223
1112_1043_000005_000002	And then he stooped and began punching around the keyhole with the end of a lead-pencil.	And then he stooped and began punching around the keyhole with the end of a lead pencil.	true	107.09	111.585	15
1112_1043_000005_000003	When he stood up his face was exultant.	When he stood up his face was exultant.	true	111.585	114.25	23.221828
1112_1043_000006_000000	"It's locked on the inside," he said in a low tone.	"It's locked on the inside," he said in a low tone.	true	114.44	117.6	20.965494
1112_1043_000006_000001	"There is somebody in there."	"There is somebody in there."	false	117.6	119.86	15.485984
1112_1043_000007_000000	"Lord have mercy!" gasped Liddy, and turned to run.	"Lord have mercy!" gasped Liddy, and turned to run.	true	120.05	123.345	23.262125
1112_1043_000008_000000	"Liddy," I called, "go through the house at once and see who is missing, or if any one is.	"Liddy," I called, "go through the house at once and see who is missing, or if any one is.	true	123.345	127.725	20.894186
1112_1043_000008_000001	We'll have to clear this thing at once. Mr. Jamieson, if you will watch here I will go to the lodge and find Warner.	We'll have to clear this thing at once. mr Jamieson, if you will watch here I will go to the lodge and find Warner.	false	127.725	134.505	15
1112_1043_000008_000002	Thomas would be of no use.	Thomas would be of no use.	true	134.505	136.095	17
1112_1043_000008_000003	Together you may be able to force the door."	Together you may be able to force the door."	true	136.095	138.27	19
1112_1043_000009_000000	"A good idea," he assented.	"A good idea," he assented.	false	138.27	139.74	19.64355
1112_1043_000009_000001	"But--there are windows, of course, and there is nothing to prevent whoever is in there from getting out that way."	"But-there are windows, of course, and there is nothing to prevent whoever is in there from getting out that way."	true	139.74	144.48	19
1112_1043_000010_000000	"Then lock the door at the top of the basement stairs," I suggested, "and patrol the house from the outside."	"Then lock the door at the top of the basement stairs," I suggested, "and patrol the house from the outside."	false	144.48	149.79	22
1112_1043_000011_000000	We agreed to this, and I had a feeling that the mystery of Sunnyside was about to be solved.	We agreed to this, and I had a feeling that the mystery of Sunnyside was about to be solved.	true	149.79	155.385	11
1112_1043_000011_000001	I ran down the steps and along the drive. Just at the corner I ran full tilt into somebody who seemed to be as much alarmed as I was.	I ran down the steps and along the drive. Just at the corner I ran full tilt into somebody who seemed to be as much alarmed as I was.	true	155.385	162.585	15
1112_1043_000011_000002	It was not until I had recoiled a step or two that I recognized Gertrude, and she me.	It was not until I had recoiled a step or two that I recognized Gertrude, and she me.	true	162.585	168.135	15
1112_1043_000012_000000	"Good gracious, Aunt Ray," she exclaimed, "what is the matter?"	"Good gracious, Aunt Ray," she exclaimed, "what is the matter?"	false	168.135	171.795	21.347313
1112_1043_000013_000000	"There's somebody locked in the laundry," I panted.	"There's somebody locked in the laundry," I panted.	true	171.795	174.69	20.445423
