258_130878_000001_000000	The Coral Realm	The Coral Realm
258_130878_000002_000000	THE NEXT DAY I woke up with my head unusually clear.	THE NEXT DAY I woke up with my head unusually clear.
258_130878_000002_000001	Much to my surprise, I was in my stateroom.	Much to my surprise, I was in my stateroom.
258_130878_000003_000000	I then considered leaving my stateroom.	I then considered leaving my stateroom.
258_130878_000003_000001	Was I free or still a prisoner? Perfectly free.	Was I free or still a prisoner? Perfectly free.
258_130878_000003_000002	I opened my door, headed down the gangways, and climbed the central companionway.	I opened my door, headed down the gangways, and climbed the central companionway.
258_130878_000003_000003	Hatches that had been closed the day before were now open.	Hatches that had been closed the day before were now open.
258_130878_000003_000004	I arrived on the platform.	I arrived on the platform.
258_130878_000004_000001	I questioned them. They knew nothing.	I questioned them. They knew nothing.
258_130878_000004_000002	Lost in a heavy sleep of which they had no memory, they were quite startled to be back in their cabin.	Lost in a heavy sleep of which they had no memory, they were quite startled to be back in their cabin.
258_130878_000007_000000	After renewing its air, the Nautilus stayed at an average depth of fifteen meters, enabling it to return quickly to the surface of the waves.	After renewing its air, the Nautilus stayed at an average depth of fifteen meters, enabling it to return quickly to the surface of the waves.
258_130878_000007_000001	And, contrary to custom, it executed such a maneuver several times during that day of January 19.	And, contrary to custom, it executed such a maneuver several times during that day of january nineteenth.
258_130878_000007_000002	The chief officer would then climb onto the platform, and his usual phrase would ring through the ship's interior.	The chief officer would then climb onto the platform, and his usual phrase would ring through the ship's interior.
258_130878_000009_000000	Near two o'clock I was busy organizing my notes in the lounge, when the captain opened the door and appeared.	Near two o'clock I was busy organizing my notes in the lounge, when the captain opened the door and appeared.
258_130878_000009_000001	I bowed to him. He gave me an almost imperceptible bow in return, without saying a word to me.	I bowed to him. He gave me an almost imperceptible bow in return, without saying a word to me.
258_130878_000009_000002	I resumed my work, hoping he might give me some explanation of the previous afternoon's events.	I resumed my work, hoping he might give me some explanation of the previous afternoon's events.
258_130878_000009_000004	His face looked exhausted; his reddened eyes hadn't been refreshed by sleep; his facial features expressed profound sadness, real chagrin.	His face looked exhausted; his reddened eyes hadn't been refreshed by sleep; his facial features expressed profound sadness, real chagrin.
258_130878_000009_000005	He walked up and down, sat and stood, picked up a book at random, discarded it immediately, consulted his instruments without taking his customary notes, and seemed unable to rest easy for an instant.	He walked up and down, sat and stood, picked up a book at random, discarded it immediately, consulted his instruments without taking his customary notes, and seemed unable to rest easy for an instant.
258_130878_000011_000000	"Are you a physician, Professor Aronnax?"	"Are you a physician, Professor Aronnax?"
258_130878_000012_000000	This inquiry was so unexpected that I stared at him a good while without replying.	This inquiry was so unexpected that I stared at him a good while without replying.
258_130878_000014_000000	"That's right," I said, "I am a doctor, I used to be on call at the hospitals.	"That's right," I said, "I am a doctor, I used to be on call at the hospitals.
258_130878_000014_000001	I was in practice for several years before joining the museum."	I was in practice for several years before joining the museum."
258_130878_000015_000000	"Excellent, sir."	"Excellent, sir."
258_130878_000016_000000	My reply obviously pleased Captain Nemo.	My reply obviously pleased Captain Nemo.
258_130878_000016_000001	But not knowing what he was driving at, I waited for further questions, ready to reply as circumstances dictated.	But not knowing what he was driving at, I waited for further questions, ready to reply as circumstances dictated.
258_130878_000017_000000	"Professor Aronnax," the captain said to me, "would you consent to give your medical attentions to one of my men?"	"Professor Aronnax," the captain said to me, "would you consent to give your medical attentions to one of my men?"
258_130878_000018_000000	"Someone is sick?"	"Someone is sick?"
258_130878_000020_000000	"I'm ready to go with you."	"I'm ready to go with you."
258_130878_000022_000000	I admit that my heart was pounding.	I admit that my heart was pounding.
258_130878_000023_000000	Captain Nemo led me to the Nautilus's stern and invited me into a cabin located next to the sailors' quarters.	Captain Nemo led me to the Nautilus's stern and invited me into a cabin located next to the sailors' quarters.
258_130878_000025_000000	I bent over him.	I bent over him.
258_130878_000025_000001	Not only was he sick, he was wounded. Swathed in blood-soaked linen, his head was resting on a folded pillow. I undid the linen bandages, while the wounded man gazed with great staring eyes and let me proceed without making a single complaint.	Not only was he sick, he was wounded. Swathed in blood soaked linen, his head was resting on a folded pillow. I undid the linen bandages, while the wounded man gazed with great staring eyes and let me proceed without making a single complaint.
258_130878_000026_000001	The cranium had been smashed open by some blunt instrument, leaving the naked brains exposed, and the cerebral matter had suffered deep abrasions.	The cranium had been smashed open by some blunt instrument, leaving the naked brains exposed, and the cerebral matter had suffered deep abrasions.
258_130878_000026_000002	Blood clots had formed in this dissolving mass, taking on the color of wine dregs. Both contusion and concussion of the brain had occurred.	Blood clots had formed in this dissolving mass, taking on the color of wine dregs. Both contusion and concussion of the brain had occurred.
258_130878_000027_000000	I took the wounded man's pulse.	I took the wounded man's pulse.
258_130878_000028_000000	"How did he get this wound?" I asked him.	"How did he get this wound?" I asked him.
258_130878_000029_000001	My chief officer was standing beside him. This man leaped forward to intercept the blow.	My chief officer was standing beside him. This man leaped forward to intercept the blow.
258_130878_000031_000000	"You may talk freely," the captain told me.	"You may talk freely," the captain told me.
258_130878_000031_000001	"This man doesn't understand French."	"This man doesn't understand French."
258_130878_000037_000000	For a few moments more I observed the dying man, whose life was ebbing little by little.	For a few moments more I observed the dying man, whose life was ebbing little by little.
258_130878_000037_000001	He grew still more pale under the electric light that bathed his deathbed.	He grew still more pale under the electric light that bathed his deathbed.
258_130878_000037_000002	I looked at his intelligent head, furrowed with premature wrinkles that misfortune, perhaps misery, had etched long before.	I looked at his intelligent head, furrowed with premature wrinkles that misfortune, perhaps misery, had etched long before.
258_130878_000037_000003	I was hoping to detect the secret of his life in the last words that might escape from his lips!	I was hoping to detect the secret of his life in the last words that might escape from his lips!
258_130878_000039_000002	That night I slept poorly, and between my fitful dreams, I thought I heard a distant moaning, like a funeral dirge.	That night I slept poorly, and between my fitful dreams, I thought I heard a distant moaning, like a funeral dirge.
258_130878_000039_000003	Was it a prayer for the dead, murmured in that language I couldn't understand?	Was it a prayer for the dead, murmured in that language I couldn't understand?
258_130878_000040_000000	The next morning I climbed on deck.	The next morning I climbed on deck.
258_130878_000041_000000	"Professor," he said to me, "would it be convenient for you to make an underwater excursion today?"	"Professor," he said to me, "would it be convenient for you to make an underwater excursion today?"
258_130878_000042_000000	"With my companions?" I asked.	"With my companions?" I asked.
258_130878_000043_000000	"If they're agreeable."	"If they're agreeable."
258_130878_000044_000000	"We're yours to command, captain."	"We're yours to command, captain."
258_130878_000045_000000	"Then kindly put on your diving suits."	"Then kindly put on your diving suits."
258_130878_000046_000002	I informed them of Captain Nemo's proposition. Conseil was eager to accept, and this time the Canadian proved perfectly amenable to going with us.	I informed them of Captain Nemo's proposition. Conseil was eager to accept, and this time the Canadian proved perfectly amenable to going with us.
258_130878_000048_000000	A gentle slope gravitated to an uneven bottom whose depth was about fifteen fathoms.	A gentle slope gravitated to an uneven bottom whose depth was about fifteen fathoms.
