5731_50778_000001_000000	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"
5731_50778_000003_000000	Peter rang the door bell, and presently a servant admitted them, and, whispering something in Sarah's ear, drew her downstairs into the kitchen.	peter rang the door bell, and presently a servant admitted them, and, whispering something in Sarah's ear, drew her downstairs into the kitchen.
5731_50778_000003_000001	The other Ruggleses stood in horror-stricken groups as the door closed behind their commanding officer; but there was no time for reflection, for a voice from above was heard, saying, "Come right up stairs, please!"	The other Ruggleses stood in horror stricken groups as the door closed behind their commanding officer; but there was no time for reflection, for a voice from above was heard, saying, "Come right up stairs, please!"
5731_50778_000004_000000	"Theirs not to make reply, Theirs not to reason why, Theirs but to do or die."	"Theirs not to make reply, Theirs not to reason why, Theirs but to do or die."
5731_50778_000005_000000	Accordingly, they walked upstairs, and Elfrida, the nurse, ushered them into a room more splendid than anything they had ever seen.	Accordingly, they walked upstairs, and Elfrida, the nurse, ushered them into a room more splendid than anything they had ever seen.
5731_50778_000006_000000	However, Mrs. Bird said, pleasantly, "Of course you wouldn't wear hats such a short distance--I forgot when I asked.	However, mrs Bird said, pleasantly, "Of course you wouldn't wear hats such a short distance-I forgot when I asked.
5731_50778_000006_000001	Now, will you come right in to Miss Carol's room, she is so anxious to see you?"	Now, will you come right in to Miss Carol's room, she is so anxious to see you?"
5731_50778_000007_000000	Just then Sarah Maud came up the back-stairs, so radiant with joy from her secret interview with the cook, that Peter could have pinched her with a clear conscience, and Carol gave them a joyful welcome.	Just then Sarah Maud came up the back stairs, so radiant with joy from her secret interview with the cook, that peter could have pinched her with a clear conscience, and Carol gave them a joyful welcome.
5731_50778_000007_000001	"But where is Baby Larry?" she cried, looking over the group with searching eye.	"But where is Baby Larry?" she cried, looking over the group with searching eye.
5731_50778_000007_000002	"Didn't he come?"	"Didn't he come?"
5731_50778_000008_000000	"Larry!	"Larry!
5731_50778_000008_000001	Larry!" Good Gracious, where was Larry?	Larry!" Good Gracious, where was Larry?
5731_50778_000008_000002	They were all sure that he had come in with them, for Susan remembered scolding him for tripping over the door-mat.	They were all sure that he had come in with them, for Susan remembered scolding him for tripping over the door mat.
5731_50778_000008_000003	Uncle Jack went into convulsions of laughter.	Uncle Jack went into convulsions of laughter.
5731_50778_000008_000004	"Are you sure there were nine of you?" he asked, merrily.	"Are you sure there were nine of you?" he asked, merrily.
5731_50778_000009_000000	"I think so, sir," said Peoria, timidly; "but, anyhow, there was Larry;" and she showed signs of weeping.	"I think so, sir," said Peoria, timidly; "but, anyhow, there was Larry;" and she showed signs of weeping.
5731_50778_000010_000000	"Oh, well, cheer up!" cried Uncle Jack.	"Oh, well, cheer up!" cried Uncle Jack.
5731_50778_000010_000001	"I guess he's not lost--only mislaid.	"I guess he's not lost-only mislaid.
5731_50778_000010_000002	I'll go and find him before you can say Jack Robinson!"	I'll go and find him before you can say Jack Robinson!"
5731_50778_000012_000000	The other Ruggleses stood rooted to the floor.	The other Ruggleses stood rooted to the floor.
5731_50778_000013_000000	Sarah Maud went out through the hall, calling, "Larry!	Sarah Maud went out through the hall, calling, "Larry!
5731_50778_000013_000003	He was afraid to yell!	He was afraid to yell!
5731_50778_000013_000005	Uncle Jack dried his tears, carried him upstairs, and soon had him in breathless fits of laughter, while Carol so made the other Ruggleses forget themselves that they were soon talking like accomplished diners-out.	Uncle Jack dried his tears, carried him upstairs, and soon had him in breathless fits of laughter, while Carol so made the other Ruggleses forget themselves that they were soon talking like accomplished diners out.
5731_50778_000014_000000	Carol's bed had been moved into the farthest corner of the room, and she was lying on the outside, dressed in a wonderful soft white wrapper.	Carol's bed had been moved into the farthest corner of the room, and she was lying on the outside, dressed in a wonderful soft white wrapper.
5731_50778_000014_000001	Her golden hair fell in soft fluffy curls over her white forehead and neck, her cheeks flushed delicately, her eyes beamed with joy, and the children told their mother, afterwards, that she looked as beautiful as the pictures of the Blessed Virgin.	Her golden hair fell in soft fluffy curls over her white forehead and neck, her cheeks flushed delicately, her eyes beamed with joy, and the children told their mother, afterwards, that she looked as beautiful as the pictures of the Blessed Virgin.
5731_50778_000014_000002	There was great bustle behind a huge screen in another part of the room, and at half-past five this was taken away, and the Christmas dinner-table stood revealed.	There was great bustle behind a huge screen in another part of the room, and at half past five this was taken away, and the Christmas dinner table stood revealed.
5731_50778_000014_000003	What a wonderful sight it was to the poor little Ruggles children, who ate their sometimes scanty meals on the kitchen table!	What a wonderful sight it was to the poor little Ruggles children, who ate their sometimes scanty meals on the kitchen table!
5731_50778_000014_000004	It blazed with tall colored candles, it gleamed with glass and silver, it blushed with flowers, it groaned with good things to eat; so it was not strange that the Ruggleses, forgetting that their mother was a McGrill, shrieked in admiration of the fairy spectacle.	It blazed with tall colored candles, it gleamed with glass and silver, it blushed with flowers, it groaned with good things to eat; so it was not strange that the Ruggleses, forgetting that their mother was a McGrill, shrieked in admiration of the fairy spectacle.
5731_50778_000015_000001	There was turkey and chicken, with delicious gravy and stuffing, and there were half-a-dozen vegetables, with cranberry jelly, and celery, and pickles; and as for the way these delicacies were served, the Ruggleses never forgot it as long as they lived.	There was turkey and chicken, with delicious gravy and stuffing, and there were half a dozen vegetables, with cranberry jelly, and celery, and pickles; and as for the way these delicacies were served, the Ruggleses never forgot it as long as they lived.
5731_50778_000019_000000	"I declare to goodness," murmured Susan, on the other side, "there's so much to look at I can't scarcely eat nothin!"	"I declare to goodness," murmured Susan, on the other side, "there's so much to look at I can't scarcely eat nothin!"
5731_50778_000020_000001	Then, when Carol and Uncle Jack perceived that more turkey was a physical impossibility, the meats were taken off and the dessert was brought in--a dessert that would have frightened a strong man after such a dinner as had preceded it.	Then, when Carol and Uncle Jack perceived that more turkey was a physical impossibility, the meats were taken off and the dessert was brought in-a dessert that would have frightened a strong man after such a dinner as had preceded it.
5731_50778_000020_000003	Kitty chose ice-cream, explaining that she knew it "by sight," but hadn't never tasted none; but all the rest took the entire variety, without any regard to consequences.	Kitty chose ice cream, explaining that she knew it "by sight," but hadn't never tasted none; but all the rest took the entire variety, without any regard to consequences.
5731_50778_000021_000000	"My dear child," whispered Uncle Jack, as he took Carol an orange, "there is no doubt about the necessity of this feast, but I do advise you after this to have them twice a year, or quarterly, perhaps, for the way they eat is positively dangerous; I assure you I tremble for that terrible Peoria.	"My dear child," whispered Uncle Jack, as he took Carol an orange, "there is no doubt about the necessity of this feast, but I do advise you after this to have them twice a year, or quarterly, perhaps, for the way they eat is positively dangerous; I assure you I tremble for that terrible Peoria.
5731_50778_000021_000001	I'm going to run races with her after dinner."	I'm going to run races with her after dinner."
5731_50778_000023_000000	The feast being over, the Ruggleses lay back in their chairs languidly, and the table was cleared in a trice; then a door was opened into the next room, and there, in a corner facing Carol's bed, which had been wheeled as close as possible, stood the brilliantly lighted Christmas-tree, glittering with gilded walnuts and tiny silver balloons, and wreathed with snowy chains of pop-corn.	The feast being over, the Ruggleses lay back in their chairs languidly, and the table was cleared in a trice; then a door was opened into the next room, and there, in a corner facing Carol's bed, which had been wheeled as close as possible, stood the brilliantly lighted Christmas tree, glittering with gilded walnuts and tiny silver balloons, and wreathed with snowy chains of pop corn.
5731_50778_000023_000002	Each girl had a blue knitted hood, and each boy a red crocheted comforter, all made by Mama, Carol and Elfrida ("because if you buy everything, it doesn't show so much love," said Carol).	Each girl had a blue knitted hood, and each boy a red crocheted comforter, all made by Mama, Carol and Elfrida ("because if you buy everything, it doesn't show so much love," said Carol).
5731_50778_000023_000003	Then every girl had a pretty plaid dress of a different color, and every boy a warm coat of the right size.	Then every girl had a pretty plaid dress of a different color, and every boy a warm coat of the right size.
5731_50778_000023_000004	Here the useful presents stopped, and they were quite enough; but Carol had pleaded to give them something "for fun."	Here the useful presents stopped, and they were quite enough; but Carol had pleaded to give them something "for fun."
5731_50778_000023_000005	"I know they need the clothes," she had said, when they were talking over the matter just after Thanksgiving, "but they don't care much for them, after all.	"I know they need the clothes," she had said, when they were talking over the matter just after Thanksgiving, "but they don't care much for them, after all.
5731_50778_000024_000000	"You can have both," said Mr. Bird, promptly; "is there any need of my little girl's going without her Christmas, I should like to know? Spend all the money you like."	"You can have both," said mr Bird, promptly; "is there any need of my little girl's going without her Christmas, I should like to know? Spend all the money you like."
5731_50778_000025_000000	"But that isn't the thing," objected Carol, nestling close to her father; "it wouldn't be mine.	"But that isn't the thing," objected Carol, nestling close to her father; "it wouldn't be mine.
5731_50778_000025_000001	What is the use?	What is the use?
5731_50778_000025_000002	Haven't I almost everything already, and am I not the happiest girl in the world this year, with Uncle Jack and Donald at home?	Haven't I almost everything already, and am I not the happiest girl in the world this year, with Uncle Jack and Donald at home?
5731_50778_000025_000004	You never look half as happy when you are getting your presents as when you are giving us ours.	You never look half as happy when you are getting your presents as when you are giving us ours.
5731_50778_000025_000005	Now, Papa, submit, or I shall have to be very firm and disagreeable with you!"	Now, Papa, submit, or I shall have to be very firm and disagreeable with you!"
5731_50778_000026_000000	"Very well, your Highness, I surrender."	"Very well, your Highness, I surrender."
5731_50778_000027_000000	"That's a dear Papa!	"That's a dear Papa!
5731_50778_000027_000001	Now, what were you going to give me?	Now, what were you going to give me?
5731_50778_000027_000002	Confess!"	Confess!"
5731_50778_000028_000000	"A bronze figure of Santa Claus; and in the little round belly, that shakes, when he laughs, like a bowl full of jelly, is a wonderful clock.	"A bronze figure of Santa Claus; and in the little round belly, that shakes, when he laughs, like a bowl full of jelly, is a wonderful clock.
