3540_163612_000000_000000	'Now you are mine!' said he to the Princess.	'Now you are mine!' said he to the Princess.	false	0	2.07	24.946833
3540_163612_000001_000000	'Now you can see that it is fated that she should be mine,' he said to the King.	'Now you can see that it is fated that she should be mine,' he said to the King.	false	2.07	6.39	20.092976
3540_163612_000002_000000	'Yes, fated it is,' said the King. 'So what must be, must.'	'Yes, fated it is,' said the King. 'So what must be, must.'	false	6.39	8.31	18
3540_163612_000003_000000	Then everything was made ready for the wedding with great splendour and promptitude, and the youth rode to church on Dapplegrim, and the King's daughter on the other horse.	Then everything was made ready for the wedding with great splendour and promptitude, and the youth rode to church on Dapplegrim, and the King's daughter on the other horse.	false	8.31	15.15	25.95565
3540_163612_000003_000001	So everyone must see that they could not be long on their way thither.(20)	So everyone must see that they could not be long on their way thither.(twenty)	false	15.15	21.39	21.444088
3540_163612_000004_000000	(20) From J. Moe.	(twenty) From j Moe.	false	21.39	22.23	24.5028
3540_163612_000005_000000	THE ENCHANTED CANARY	THE ENCHANTED CANARY	true	22.23	23.67	26.508291
3540_163612_000006_000000	I	I	false	23.67	27.48	15.309472
3540_163612_000007_000000	ONCE upon a time, in the reign of King Cambrinus, there lived at Avesnes one of his lords, who was the finest man--by which I mean the fattest--in the whole country of Flanders.	ONCE upon a time, in the reign of King Cambrinus, there lived at Avesnes one of his lords, who was the finest man-by which I mean the fattest-in the whole country of Flanders.	false	27.48	39.1	23.774572
3540_163612_000007_000001	He ate four meals a day, slept twelve hours out of the twenty-four, and the only thing he ever did was to shoot at small birds with his bow and arrow.	He ate four meals a day, slept twelve hours out of the twenty four, and the only thing he ever did was to shoot at small birds with his bow and arrow.	true	39.38	48.79	21.82258
3540_163612_000008_000000	Still, with all his practice he shot very badly, he was so fat and heavy, and as he grew daily fatter, he was at last obliged to give up walking, and be dragged about in a wheel-chair, and the people made fun of him, and gave him the name of my Lord Tubby.	Still, with all his practice he shot very badly, he was so fat and heavy, and as he grew daily fatter, he was at last obliged to give up walking, and be dragged about in a wheel chair, and the people made fun of him, and gave him the name of my Lord Tubby.	true	48.92	66.52	22.656822
3540_163612_000009_000000	Now, the only trouble that Lord Tubby had was about his son, whom he loved very much, although they were not in the least alike, for the young Prince was as thin as a cuckoo.	Now, the only trouble that Lord Tubby had was about his son, whom he loved very much, although they were not in the least alike, for the young Prince was as thin as a cuckoo.	true	67.04	76.87	22.113754
3540_163612_000009_000001	And what vexed him more than all was, that though the young ladies throughout all his lands did their best to make the Prince fall in love with them, he would have nothing to say to any of them, and told his father he did not wish to marry.	And what vexed him more than all was, that though the young ladies throughout all his lands did their best to make the Prince fall in love with them, he would have nothing to say to any of them, and told his father he did not wish to marry.	true	77.03	88.9	19.904657
3540_163612_000010_000000	Instead of chatting with them in the dusk, he wandered about the woods, whispering to the moon.	Instead of chatting with them in the dusk, he wandered about the woods, whispering to the moon.	true	89.69	95.05	22.111237
3540_163612_000010_000001	No wonder the young ladies thought him very odd, but they liked him all the better for that; and as he had received at his birth the name of Desire, they all called him d'Amour Desire.	No wonder the young ladies thought him very odd, but they liked him all the better for that; and as he had received at his birth the name of Desire, they all called him d'Amour Desire.	false	95.27	106.8	21.775167
3540_163612_000011_000000	'What is the matter with you?' his father often said to him.	'What is the matter with you?' his father often said to him.	true	106.8	109.78	26.735449
3540_163612_000011_000001	'You have everything you can possibly wish for: a good bed, good food, and tuns full of beer.	'You have everything you can possibly wish for: a good bed, good food, and tuns full of beer.	true	109.97	116.47	22.708565
3540_163612_000011_000002	The only thing you want, in order to become as fat as a pig, is a wife that can bring you broad, rich lands.	The only thing you want, in order to become as fat as a pig, is a wife that can bring you broad, rich lands.	true	116.66	123.07	22.996325
3540_163612_000011_000003	So marry, and you will be perfectly happy.'	So marry, and you will be perfectly happy.'	true	123.26	125.95	22.22821
3540_163612_000012_000000	'I ask nothing better than to marry,' replied Desire, 'but I have never seen a woman that pleases me.	'I ask nothing better than to marry,' replied Desire, 'but I have never seen a woman that pleases me.	false	126.35	132.1	23.544586
3540_163612_000012_000001	All the girls here are pink and white, and I am tired to death of their eternal lilie and roses.	All the girls here are pink and white, and I am tired to death of their eternal lilie and roses.	true	132.41	138.73	23.319067
3540_163612_000013_000000	'My faith!' cried Tubby; 'do you want to marry a negress, and give me grandchildren as ugly as monkeys and as stupid as owls?'	'My faith!' cried Tubby; 'do you want to marry a negress, and give me grandchildren as ugly as monkeys and as stupid as owls?'	true	138.83	146.83	22.602797
3540_163612_000014_000000	'No, father, nothing of the sort.	'No, father, nothing of the sort.	true	147.47	149.56	23.139442
3540_163612_000014_000001	But there must be women somewhere in the world who are neither pink nor white, and I tell you, once for all, that I will never marry until I have found one exactly to my taste.'	But there must be women somewhere in the world who are neither pink nor white, and I tell you, once for all, that I will never marry until I have found one exactly to my taste.'	true	149.66	158.94	24.305025
3540_163612_000015_000000	II	two	false	158.94	162.33	16.784681
