7881_109662_000000_000000	The two passengers in a seat near by had heard most of the conversation.	The two passengers in a seat near by had heard most of the conversation.	false	0	2.79	24.932924
7881_109662_000000_000001	Said one of them: "That marshal's a good sort of chap. Some of these Western fellows are all right."	Said one of them: "That marshal's a good sort of chap. Some of these Western fellows are all right."	false	2.79	10.38	24.095345
7881_109662_000001_000000	"Pretty young to hold an office like that, isn't he?" asked the other.	"Pretty young to hold an office like that, isn't he?" asked the other.	false	10.38	15.93	20.740252
7881_109662_000002_000000	"Young!" exclaimed the first speaker, "why--Oh! didn't you catch on? Say--did you ever know an officer to handcuff a prisoner to his _right_ hand?"	"Young!" exclaimed the first speaker, "why-Oh! didn't you catch on? Say-did you ever know an officer to handcuff a prisoner to his underscore right underscore hand?"	false	15.93	25.455	23.046045
7881_109662_000003_000000	THE CACTUS	THE CACTUS	true	25.455	26.5	28.668045
7881_109662_000004_000000	The most notable thing about Time is that it is so purely relative.	The most notable thing about Time is that it is so purely relative.	true	28.55	33.37	24.695673
7881_109662_000004_000001	A large amount of reminiscence is, by common consent, conceded to the drowning man; and it is not past belief that one may review an entire courtship while removing one's gloves.	A large amount of reminiscence is, by common consent, conceded to the drowning man; and it is not past belief that one may review an entire courtship while removing one's gloves.	true	33.74	45.7	18.95815
7881_109662_000005_000000	That is what Trysdale was doing, standing by a table in his bachelor apartments.	That is what Trysdale was doing, standing by a table in his bachelor apartments.	true	46.49	51.97	24.702265
7881_109662_000005_000001	On the table stood a singular-looking green plant in a red earthen jar.	On the table stood a singular looking green plant in a red earthen jar.	true	52.64	57.34	20
7881_109662_000005_000002	The plant was one of the species of cacti, and was provided with long, tentacular leaves that perpetually swayed with the slightest breeze with a peculiar beckoning motion.	The plant was one of the species of cacti, and was provided with long, tentacular leaves that perpetually swayed with the slightest breeze with a peculiar beckoning motion.	true	57.8	68.98	24.310915
7881_109662_000006_000000	Trysdale's friend, the brother of the bride, stood at a sideboard complaining at being allowed to drink alone.	Trysdale's friend, the brother of the bride, stood at a sideboard complaining at being allowed to drink alone.	false	70.01	77.65	21.20341
7881_109662_000006_000001	Both men were in evening dress.	Both men were in evening dress.	true	78.47	80.62	21.281612
7881_109662_000006_000002	White favors like stars upon their coats shone through the gloom of the apartment.	White favors like stars upon their coats shone through the gloom of the apartment.	true	80.93	86.26	25.14418
7881_109662_000007_000000	As he slowly unbuttoned his gloves, there passed through Trysdale's mind a swift, scarifying retrospect of the last few hours.	As he slowly unbuttoned his gloves, there passed through Trysdale's mind a swift, scarifying retrospect of the last few hours.	true	87.77	96.1	20.723686
7881_109662_000007_000001	It seemed that in his nostrils was still the scent of the flowers that had been banked in odorous masses about the church, and in his ears the lowpitched hum of a thousand well-bred voices, the rustle of crisp garments, and, most insistently recurring, the drawling words of the minister irrevocably binding her to another.	It seemed that in his nostrils was still the scent of the flowers that had been banked in odorous masses about the church, and in his ears the lowpitched hum of a thousand well bred voices, the rustle of crisp garments, and, most insistently recurring, the drawling words of the minister irrevocably binding her to another.	true	96.89	119.65	20.97562
7881_109662_000008_000000	From this last hopeless point of view he still strove, as if it had become a habit of his mind, to reach some conjecture as to why and how he had lost her.	From this last hopeless point of view he still strove, as if it had become a habit of his mind, to reach some conjecture as to why and how he had lost her.	true	121.1	131.74	21.345425
7881_109662_000008_000001	Shaken rudely by the uncompromising fact, he had suddenly found himself confronted by a thing he had never before faced--his own innermost, unmitigated, arid unbedecked self.	Shaken rudely by the uncompromising fact, he had suddenly found himself confronted by a thing he had never before faced-his own innermost, unmitigated, arid unbedecked self.	false	132.26	145.33	21.140188
7881_109662_000008_000002	He saw all the garbs of pretence and egoism that he had worn now turn to rags of folly.	He saw all the garbs of pretence and egoism that he had worn now turn to rags of folly.	true	146.66	153.01	19.766226
