8266_279363_000000_000000	Miss Woodville stepped aside and smiled wanly.	Miss Woodville stepped aside and smiled wanly.	false	0	2.7	22.863794
8266_279363_000001_000000	"I think it is best, Miss Woodville," Dick said in a low tone.	"I think it is best, Miss Woodville," Dick said in a low tone.	false	2.7	5.28	24.69139
8266_279363_000002_000000	"Perhaps," she replied.	"Perhaps," she replied.	false	5.28	5.67	17
8266_279363_000003_000000	Colonel Woodville impatiently threw off the cover.	Colonel Woodville impatiently threw off the cover.	false	5.67	6.57	20.233553
8266_279363_000003_000001	He wore a long purple dressing gown, and his wound was in the leg, but it was partly healed. Dick helped him out of the bed and then supported him with his arm under his shoulder.	He wore a long purple dressing gown, and his wound was in the leg, but it was partly healed. Dick helped him out of the bed and then supported him with his arm under his shoulder.	false	6.57	15.63	22.559618
8266_279363_000003_000002	Within that singular abode the roar of the guns was a steady and sinister mutter, but beneath it now appeared another note.	Within that singular abode the roar of the guns was a steady and sinister mutter, but beneath it now appeared another note.	false	15.63	24.12	25.234045
8266_279363_000004_000000	Colonel Woodville had begun to swear.	Colonel Woodville had begun to swear.	true	24.12	26.02	20.943993
8266_279363_000004_000001	It was not the torrent of loud imprecation that Dick had heard in Jackson, but subdued, and all the more fierce because it was so like the ferocious whine of a powerful and hurt wild animal.	It was not the torrent of loud imprecation that Dick had heard in Jackson, but subdued, and all the more fierce because it was so like the ferocious whine of a powerful and hurt wild animal.	true	26.39	36.55	22.118723
8266_279363_000004_000002	Swearing was common enough among the older men of the South, even among the educated, but Colonel Woodville now surpassed them all.	Swearing was common enough among the older men of the South, even among the educated, but Colonel Woodville now surpassed them all.	false	37.16	44.23	22.092087
8266_279363_000005_000000	Dick heard oaths, ripe and rich, entirely new to him, and he heard the old ones in new arrangements and with new inflections.	Dick heard oaths, ripe and rich, entirely new to him, and he heard the old ones in new arrangements and with new inflections.	true	44.81	52	21.041546
8266_279363_000005_000001	And yet there was no blasphemy about it.	And yet there was no blasphemy about it.	true	52.4	54.43	20.994785
8266_279363_000005_000002	It seemed a part of time and place, and, what was more, it seemed natural coming from the lips of the old colonel.	It seemed a part of time and place, and, what was more, it seemed natural coming from the lips of the old colonel.	false	54.71	61.03	22.750114
