6505_231836_000002_000000	CHAPTER IV	CHAPTER four
6505_231836_000003_000000	MRS. KEBBY'S DISCOVERY	mrs KEBBY'S DISCOVERY
6505_231836_000005_000002	Also, he made him look out of the window into the yard itself, with its tall black fence dividing it from the other properties.	Also, he made him look out of the window into the yard itself, with its tall black fence dividing it from the other properties.
6505_231836_000006_000000	This exploration finished, and Lucian being convinced that himself and his host were the only two living beings in the house, Berwin conducted his half-frozen guest back to the warm sitting-room and poured out a glass of wine.	This exploration finished, and Lucian being convinced that himself and his host were the only two living beings in the house, Berwin conducted his half frozen guest back to the warm sitting room and poured out a glass of wine.
6505_231836_000007_000000	"Here, Mr. Denzil," said he in good-natured tones, "drink this and draw near the fire; you must be chilled to the bone after our Arctic expedition."	"Here, mr Denzil," said he in good-natured tones, "drink this and draw near the fire; you must be chilled to the bone after our Arctic expedition."
6505_231836_000008_000001	When Lucian stood up to take his departure, he addressed him directly:	When Lucian stood up to take his departure, he addressed him directly:
6505_231836_000012_000001	I cannot explain what I saw to-night, but as surely as you were out of this house, some people were in it.	I cannot explain what I saw to night, but as surely as you were out of this house, some people were in it.
6505_231836_000012_000003	Keep your own secrets, and go your own way.	Keep your own secrets, and go your own way.
6505_231836_000012_000004	I wish you good-night, sir," and Lucian moved towards the door.	I wish you good night, sir," and Lucian moved towards the door.
6505_231836_000013_000000	Berwin, who was holding a full tumbler of rich, strong port, drank the whole of it in one gulp.	Berwin, who was holding a full tumbler of rich, strong port, drank the whole of it in one gulp.
6505_231836_000015_000001	I will have nothing to do with your business.	I will have nothing to do with your business.
6505_231836_000015_000003	Besides," added Lucian, with a shrug, "they do not interest me."	Besides," added Lucian, with a shrug, "they do not interest me."
6505_231836_000016_000000	"Yet they may interest the three kingdoms one day," said Berwin softly.	"Yet they may interest the three kingdoms one day," said Berwin softly.
6505_231836_000017_000000	"Oh, if they deal with danger to society," said Denzil, thinking his strange neighbour spoke of anarchistic schemes, "I would----"	"Oh, if they deal with danger to society," said Denzil, thinking his strange neighbour spoke of anarchistic schemes, "I would----"
6505_231836_000018_000000	"They deal with danger to myself," interrupted Berwin.	"They deal with danger to myself," interrupted Berwin.
6505_231836_000020_000000	"People with whom you have no concern," replied the man sullenly.	"People with whom you have no concern," replied the man sullenly.
6505_231836_000021_000000	"That is true enough, Mr. Berwin, so I'll say good-night!"	"That is true enough, mr Berwin, so I'll say good night!"
