203_132073_000009_000000	THE BADGE OF POLICEMAN O'ROON	THE BADGE OF POLICEMAN O'ROON
203_132073_000010_000000	It cannot be denied that men and women have looked upon one another for the first time and become instantly enamored.	It cannot be denied that men and women have looked upon one another for the first time and become instantly enamored.
203_132073_000010_000001	It is a risky process, this love at first sight, before she has seen him in Bradstreet or he has seen her in curl papers.	It is a risky process, this love at first sight, before she has seen him in Bradstreet or he has seen her in curl papers.
203_132073_000010_000002	But these things do happen; and one instance must form a theme for this story--though not, thank Heaven, to the overshadowing of more vital and important subjects, such as drink, policemen, horses and earldoms.	But these things do happen; and one instance must form a theme for this story-though not, thank Heaven, to the overshadowing of more vital and important subjects, such as drink, policemen, horses and earldoms.
203_132073_000011_000000	During a certain war a troop calling itself the Gentle Riders rode into history and one or two ambuscades.	During a certain war a troop calling itself the Gentle Riders rode into history and one or two ambuscades.
203_132073_000011_000001	The Gentle Riders were recruited from the aristocracy of the wild men of the West and the wild men of the aristocracy of the East.	The Gentle Riders were recruited from the aristocracy of the wild men of the West and the wild men of the aristocracy of the East.
203_132073_000011_000002	In khaki there is little telling them one from another, so they became good friends and comrades all around.	In khaki there is little telling them one from another, so they became good friends and comrades all around.
203_132073_000012_000000	Ellsworth Remsen, whose old Knickerbocker descent atoned for his modest rating at only ten millions, ate his canned beef gayly by the campfires of the Gentle Riders.	Ellsworth Remsen, whose old Knickerbocker descent atoned for his modest rating at only ten millions, ate his canned beef gayly by the campfires of the Gentle Riders.
203_132073_000012_000001	The war was a great lark to him, so that he scarcely regretted polo and planked shad.	The war was a great lark to him, so that he scarcely regretted polo and planked shad.
203_132073_000013_000000	One of the troopers was a well set up, affable, cool young man, who called himself O'Roon.	One of the troopers was a well set up, affable, cool young man, who called himself O'Roon.
203_132073_000013_000001	To this young man Remsen took an especial liking.	To this young man Remsen took an especial liking.
203_132073_000013_000002	The two rode side by side during the famous mooted up-hill charge that was disputed so hotly at the time by the Spaniards and afterward by the Democrats.	The two rode side by side during the famous mooted up hill charge that was disputed so hotly at the time by the Spaniards and afterward by the Democrats.
203_132073_000014_000000	After the war Remsen came back to his polo and shad.	After the war Remsen came back to his polo and shad.
203_132073_000014_000001	One day a well set up, affable, cool young man disturbed him at his club, and he and O'Roon were soon pounding each other and exchanging opprobrious epithets after the manner of long-lost friends.	One day a well set up, affable, cool young man disturbed him at his club, and he and O'Roon were soon pounding each other and exchanging opprobrious epithets after the manner of long lost friends.
203_132073_000014_000002	O'Roon looked seedy and out of luck and perfectly contented.	O'Roon looked seedy and out of luck and perfectly contented.
203_132073_000014_000003	But it seemed that his content was only apparent.	But it seemed that his content was only apparent.
203_132073_000015_000000	"Get me a job, Remsen," he said.	"Get me a job, Remsen," he said.
203_132073_000016_000000	"No trouble at all," said Remsen.	"No trouble at all," said Remsen.
203_132073_000016_000002	Any particular line you fancy?"	Any particular line you fancy?"
203_132073_000017_000000	"Yes," said O'Roon, with a look of interest.	"Yes," said O'Roon, with a look of interest.
203_132073_000017_000001	"I took a walk in your Central Park this morning.	"I took a walk in your Central Park this morning.
203_132073_000017_000002	I'd like to be one of those bobbies on horseback.	I'd like to be one of those bobbies on horseback.
203_132073_000017_000003	That would be about the ticket.	That would be about the ticket.
203_132073_000017_000004	Besides, it's the only thing I could do.	Besides, it's the only thing I could do.
203_132073_000017_000005	I can ride a little and the fresh air suits me. Think you could land that for me?"	I can ride a little and the fresh air suits me. Think you could land that for me?"
203_132073_000018_000000	Remsen was sure that he could.	Remsen was sure that he could.
203_132073_000018_000001	And in a very short time he did.	And in a very short time he did.
203_132073_000019_000000	And now at the extreme risk of wearying old gentlemen who carry leather fob chains, and elderly ladies who--but no! grandmother herself yet thrills at foolish, immortal Romeo--there must be a hint of love at first sight.	And now at the extreme risk of wearying old gentlemen who carry leather fob chains, and elderly ladies who-but no! grandmother herself yet thrills at foolish, immortal Romeo-there must be a hint of love at first sight.
203_132073_000020_000000	It came just as Remsen was strolling into Fifth avenue from his club a few doors away.	It came just as Remsen was strolling into Fifth avenue from his club a few doors away.
203_132073_000021_000000	A motor car was creeping along foot by foot, impeded by a freshet of vehicles that filled the street.	A motor car was creeping along foot by foot, impeded by a freshet of vehicles that filled the street.
203_132073_000021_000001	In the car was a chauffeur and an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while automobiling except by a personage. Not even a wine agent would dare do it.	In the car was a chauffeur and an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while automobiling except by a personage. Not even a wine agent would dare do it.
203_132073_000021_000002	But these two were of no consequence--except, perhaps, for the guiding of the machine and the paying for it.	But these two were of no consequence-except, perhaps, for the guiding of the machine and the paying for it.
203_132073_000021_000004	He could have flung himself under the very wheels that conveyed her, but he knew that would be the last means of attracting the attention of those who ride in motor cars. Slowly the auto passed, and, if we place the poets above the autoists, carried the heart of Remsen with it.	He could have flung himself under the very wheels that conveyed her, but he knew that would be the last means of attracting the attention of those who ride in motor cars. Slowly the auto passed, and, if we place the poets above the autoists, carried the heart of Remsen with it.
203_132073_000021_000006	Yet he hoped to see her again; for each one fancies that his romance has its own tutelary guardian and divinity.	Yet he hoped to see her again; for each one fancies that his romance has its own tutelary guardian and divinity.
203_132073_000022_000001	There were not many of them--perhaps a score--and there was wassail and things to eat, and speeches and the Spaniard was bearded again in recapitulation.	There were not many of them-perhaps a score-and there was wassail and things to eat, and speeches and the Spaniard was bearded again in recapitulation.
203_132073_000022_000002	And when daylight threatened them the survivors prepared to depart.	And when daylight threatened them the survivors prepared to depart.
203_132073_000022_000003	But some remained upon the battlefield.	But some remained upon the battlefield.
203_132073_000022_000004	One of these was Trooper O'Roon, who was not seasoned to potent liquids. His legs declined to fulfil the obligations they had sworn to the police department.	One of these was Trooper O'Roon, who was not seasoned to potent liquids. His legs declined to fulfil the obligations they had sworn to the police department.
203_132073_000023_000000	"I'm stewed, Remsen," said O'Roon to his friend.	"I'm stewed, Remsen," said O'Roon to his friend.
