476_134312_000002_000000	CHAPTER VI	CHAPTER six
476_134312_000004_000000	John Lexman--A.	john Lexman-A.
476_134312_000004_000002	A day to him was the beginning and the end of an eternity.	A day to him was the beginning and the end of an eternity.
476_134312_000005_000002	The future meant Sunday chapel; the present whatever task they found him.	The future meant Sunday chapel; the present whatever task they found him.
476_134312_000007_000001	They were desperate men, peculiarly interesting to him, and he had watched their faces furtively in the early period of his imprisonment.	They were desperate men, peculiarly interesting to him, and he had watched their faces furtively in the early period of his imprisonment.
476_134312_000008_000002	It was usual to have twelve months at the Scrubbs before testing the life of a convict establishment.	It was usual to have twelve months at the Scrubbs before testing the life of a convict establishment.
476_134312_000008_000003	He believed there was some talk of sending him to Parkhurst, and here he traced the influence which T. X. would exercise, for Parkhurst was a prisoner's paradise.	He believed there was some talk of sending him to Parkhurst, and here he traced the influence which t x would exercise, for Parkhurst was a prisoner's paradise.
476_134312_000009_000000	He heard his warder's voice behind him.	He heard his warder's voice behind him.
476_134312_000010_000000	"Right turn, 43, quick march."	"Right turn, forty three, quick march."
476_134312_000012_000000	The house was as yet without a tenant.	The house was as yet without a tenant.
476_134312_000020_000000	"What have you got!"	"What have you got!"
476_134312_000023_000000	"Hardly," said Lexman, drily.	"Hardly," said Lexman, drily.
476_134312_000025_000000	John Lexman looked at him enviously.	john Lexman looked at him enviously.
476_134312_000027_000000	The drive in the brake to the station, the ride to London in creased, but comfortable clothing, free as the air, at liberty to go to bed and rise when he liked, to choose his own dinner, to answer no call save the call of his conscience, to see--he checked himself.	The drive in the brake to the station, the ride to London in creased, but comfortable clothing, free as the air, at liberty to go to bed and rise when he liked, to choose his own dinner, to answer no call save the call of his conscience, to see-he checked himself.
476_134312_000029_000000	"Conspiracy and fraud," said the other cheerfully.	"Conspiracy and fraud," said the other cheerfully.
476_134312_000029_000002	Damn rough luck, wasn't it?"	Damn rough luck, wasn't it?"
476_134312_000035_000001	"He's coming out next month, too, and we are all fixed up proper.	"He's coming out next month, too, and we are all fixed up proper.
