7938_109180_000000_000000	But the angler himself saw nothing funny in it at all.	But the angler himself saw nothing funny in it at all.	false	6.87	17.025	25.186497
7938_109180_000001_000000	VIII: THE ANGLER'S END	eight: THE ANGLER'S END	false	17.025	19.95	20.714848
7938_109180_000002_000000	It was so natural for Grim to be once more splashing freely in the lake; it was so natural for her to be feeding on roach again.	It was so natural for Grim to be once more splashing freely in the lake; it was so natural for her to be feeding on roach again.	true	19.95	26.59	20
7938_109180_000002_000001	She should have learned a lesson from her adventure in the air with the man, but the qualifications were lacking.	She should have learned a lesson from her adventure in the air with the man, but the qualifications were lacking.	true	26.96	32.86	22.262619
7938_109180_000003_000000	Her senses, and her power of discrimination, however, had become keener, and she grew more timid and watchful in regard to splashing and noise; indeed, she quite lost her appetite when she was frightened.	Her senses, and her power of discrimination, however, had become keener, and she grew more timid and watchful in regard to splashing and noise; indeed, she quite lost her appetite when she was frightened.	false	33.08	44.02	19
7938_109180_000004_000000	The time was past when she would confidently approach the shadow of a boat, she was exceedingly cautious now when she saw the "great bird" on the water.	The time was past when she would confidently approach the shadow of a boat, she was exceedingly cautious now when she saw the "great bird" on the water.	true	44.6	52.75	19
7938_109180_000005_000000	By this time she weighs about eighteen pounds, and measures the length of a grown man's leg from hip to heel; her dorsal fin measures more than two hand-breadths, and it would take a large hand to span her back.	By this time she weighs about eighteen pounds, and measures the length of a grown man's leg from hip to heel; her dorsal fin measures more than two hand breadths, and it would take a large hand to span her back.	true	53.18	64.03	22.977766
7938_109180_000006_000000	She loves peace and quiet, and feels very irritable under the influence of others.	She loves peace and quiet, and feels very irritable under the influence of others.	true	64.61	69.16	23
7938_109180_000007_000000	On the approach of storm and bad weather, which she perceives a long time in advance, she generally retires into deep water, where the noise of the waves cannot reach her.	On the approach of storm and bad weather, which she perceives a long time in advance, she generally retires into deep water, where the noise of the waves cannot reach her.	true	69.68	78.04	16
7938_109180_000007_000001	She feels indisposed and ill, and remains motionless in her watery lair.	She feels indisposed and ill, and remains motionless in her watery lair.	true	78.59	82.51	25.44187
7938_109180_000007_000002	Day after day she stays thus, without feeling hunger, or any desire for action.	Day after day she stays thus, without feeling hunger, or any desire for action.	true	82.88	87.58	23.071943
7938_109180_000007_000003	She sleeps and lets all her nerves and muscles rest; only her gills and fins keep working mechanically.	She sleeps and lets all her nerves and muscles rest; only her gills and fins keep working mechanically.	true	87.83	93.61	22.123592
7938_109180_000008_000000	At such times the angler may try to tempt her with spoon or other artificial bait, or with live fish, but she will not touch them!	At such times the angler may try to tempt her with spoon or other artificial bait, or with live fish, but she will not touch them!	true	93.86	101.65	27.359564
7938_109180_000008_000001	One tempting little decoy-fish after another may whisk past her nose, but both palate and stomach easily withstand the temptations that are placed before her surfeited eyes.	One tempting little decoy fish after another may whisk past her nose, but both palate and stomach easily withstand the temptations that are placed before her surfeited eyes.	true	101.72	110.68	22
7938_109180_000009_000000	But when the weather calms down and the waves once more grow less, she comes to life again, and is then well and rested.	But when the weather calms down and the waves once more grow less, she comes to life again, and is then well and rested.	true	110.96	117.13	22.173687
7938_109180_000009_000001	The storm has cleared her blood; she needs food and exercise, and is biting madly.	The storm has cleared her blood; she needs food and exercise, and is biting madly.	true	117.14	121.33	23.06191
7938_109180_000010_000000	One afternoon the angler is sitting in his boat with all his rods and lines out; he is smoking a pipe and listening to the loud "karr-karr" of the grebes.	One afternoon the angler is sitting in his boat with all his rods and lines out; he is smoking a pipe and listening to the loud "karr karr" of the grebes.	false	121.37	129.4	22.6056
7938_109180_000011_000000	As usual he is alone in the boat.	As usual he is alone in the boat.	true	129.74	132.28	18.248842
7938_109180_000012_000000	He has anchored off his favourite bank, a narrow reef which, in the shelter of the wood, runs far out into the lake.	He has anchored off his favourite bank, a narrow reef which, in the shelter of the wood, runs far out into the lake.	true	133.16	139.6	20
7938_109180_000012_000001	This fishing-ground, which in windy weather is the richest in the lake, he has discovered himself.	This fishing ground, which in windy weather is the richest in the lake, he has discovered himself.	false	139.91	144.82	22.355618
7938_109180_000013_000000	It was hard work getting out to it!	It was hard work getting out to it!	true	145.4	147.225	20.88066
7938_109180_000013_000001	The gusts of wind came down upon him unexpectedly as he bounded over the water in his little green-painted boat.	The gusts of wind came down upon him unexpectedly as he bounded over the water in his little green painted boat.	false	147.225	153.75	21
7938_109180_000013_000002	Suddenly the lake assumed a wilder aspect, the great wave-mountains were broken up into small pieces, and the valleys were filled with wrinkles.	Suddenly the lake assumed a wilder aspect, the great wave mountains were broken up into small pieces, and the valleys were filled with wrinkles.	true	153.75	160.81	18
7938_109180_000013_000003	The boat quivered, and the angler started and let the main-sail down, while the black wind from the frayed clouds raged under the heavens.	The boat quivered, and the angler started and let the main sail down, while the black wind from the frayed clouds raged under the heavens.	true	161.12	168.1	22.752525
