1923_155646_000000_000000	THE CAMP OF THE GHOSTS	THE CAMP OF THE GHOSTS	false	8.7	24.52	22.79917
1923_155646_000001_000000	There was once a man who loved his wife dearly.	There was once a man who loved his wife dearly.	true	25.82	29.23	23.637405
1923_155646_000001_000001	After they had been married for a time they had a little boy.	After they had been married for a time they had a little boy.	true	29.75	34.12	23.655806
1923_155646_000001_000002	Some time after that the woman grew sick and did not get well.	Some time after that the woman grew sick and did not get well.	true	34.22	38.68	23.656046
1923_155646_000001_000003	She was sick for a long time. The young man loved his wife so much that he did not wish to take a second woman.	She was sick for a long time. The young man loved his wife so much that he did not wish to take a second woman.	true	38.9	47.11	22.793188
1923_155646_000001_000004	The woman grew worse and worse.	The woman grew worse and worse.	true	47.3	49.78	19.759146
1923_155646_000001_000005	Doctoring did not seem to do her any good.	Doctoring did not seem to do her any good.	true	49.85	52.96	27.650219
1923_155646_000001_000006	At last she died.	At last she died.	true	53.03	55.09	23.693502
1923_155646_000002_000000	For a few days after this, the man used to take his baby on his back and travel out away from the camp, walking over the hills, crying and mourning.	For a few days after this, the man used to take his baby on his back and travel out away from the camp, walking over the hills, crying and mourning.	true	56.24	67.6	24.974796
1923_155646_000002_000001	He felt badly, and he did not know what to do.	He felt badly, and he did not know what to do.	true	68.12	71.62	27.631643
1923_155646_000003_000000	After a time he said to the little child, "My little boy, you will have to go and live with your grandmother.	After a time he said to the little child, "My little boy, you will have to go and live with your grandmother.	true	72.92	80.2	21.714802
1923_155646_000003_000001	I shall go away and try to find your mother and bring her back."	I shall go away and try to find your mother and bring her back."	true	80.21	84.49	24.517088
1923_155646_000004_000000	He took the baby to his mother's lodge and asked her to take care of it and left it with her.	He took the baby to his mother's lodge and asked her to take care of it and left it with her.	true	85.22	91.33	24.362131
1923_155646_000004_000001	Then he started away, not knowing where he was going nor what he should do.	Then he started away, not knowing where he was going nor what he should do.	true	91.58	96.88	22.675198
1923_155646_000005_000000	When he left the camp, he travelled toward the Sand Hills.	When he left the camp, he travelled toward the Sand Hills.	true	97.97	102.04	23.738369
1923_155646_000005_000001	On the fourth night of his journeying he had a dream.	On the fourth night of his journeying he had a dream.	true	102.47	106.3	21.805782
1923_155646_000005_000002	He dreamed that he went into a little lodge in which was an old woman.	He dreamed that he went into a little lodge in which was an old woman.	true	106.46	111.16	23.369156
1923_155646_000005_000003	This old woman said to him, "Why are you here, my son?"	This old woman said to him, "Why are you here, my son?"	true	111.5	115.87	21.562025
