2992_164101_000000_000000	VI	VI	false	1.8	2.43	22
2992_164101_000001_000000	THE BEGINNING OF HORROR	THE BEGINNING OF HORROR	false	2.43	4.29	22.847296
2992_164101_000002_000000	WITHIN PELLUCIDAR ONE TIME IS AS GOOD AS ANOTHER.	WITHIN p e l l u c i d a r ONE TIME IS AS GOOD AS ANOTHER.	false	4.29	28.45	24.173594
2992_164101_000002_000001	There were no nights to mask our attempted escape.	There were no nights to mask our attempted escape.	true	28.76	31.72	26.41935
2992_164101_000002_000002	All must be done in broad daylight--all but the work I had to do in the apartment beneath the building.	All must be done in broad daylight-all but the work I had to do in the apartment beneath the building.	true	31.97	37.72	26.586552
2992_164101_000002_000003	So we determined to put our plan to an immediate test lest the Mahars who made it possible should awake before I reached them; but we were doomed to disappointment, for no sooner had we reached the main floor of the building on our way to the pits beneath, than we encountered hurrying bands of slaves being hastened under strong Sagoth guard out of the edifice to the avenue beyond.	So we determined to put our plan to an immediate test lest the Mahars who made it possible should awake before I reached them; but we were doomed to disappointment, for no sooner had we reached the main floor of the building on our way to the pits beneath, than we encountered hurrying bands of slaves being hastened under strong Sagoth guard out of the edifice to the avenue beyond.	false	38.45	59.59	24.084555
2992_164101_000003_000000	Other Sagoths were darting hither and thither in search of other slaves, and the moment that we appeared we were pounced upon and hustled into the line of marching humans.	Other Sagoths were darting hither and thither in search of other slaves, and the moment that we appeared we were pounced upon and hustled into the line of marching humans.	true	60.29	69.22	18
2992_164101_000004_000000	What the purpose or nature of the general exodus we did not know, but presently through the line of captives ran the rumor that two escaped slaves had been recaptured--a man and a woman--and that we were marching to witness their punishment, for the man had killed a Sagoth of the detachment that had pursued and overtaken them.	What the purpose or nature of the general exodus we did not know, but presently through the line of captives ran the rumor that two escaped slaves had been recaptured-a man and a woman-and that we were marching to witness their punishment, for the man had killed a Sagoth of the detachment that had pursued and overtaken them.	true	69.71	87.37	24.02457
2992_164101_000005_000000	At the intelligence my heart sprang to my throat, for I was sure that the two were of those who escaped in the dark grotto with Hooja the Sly One, and that Dian must be the woman.	At the intelligence my heart sprang to my throat, for I was sure that the two were of those who escaped in the dark grotto with Hooja the Sly One, and that Dian must be the woman.	false	87.56	96.87	22.46022
2992_164101_000005_000001	Ghak thought so too, as did Perry.	g h a k thought so too, as did Perry.	false	96.87	99.85	22.53431
2992_164101_000006_000000	"Is there naught that we may do to save her?" I asked Ghak.	"Is there naught that we may do to save her?" I asked g h a k.	false	100.46	104.07	24.043278
2992_164101_000007_000000	"Naught," he replied.	"Naught," he replied.	true	104.07	105.58	28.217945
2992_164101_000008_000000	Along the crowded avenue we marched, the guards showing unusual cruelty toward us, as though we, too, had been implicated in the murder of their fellow.	Along the crowded avenue we marched, the guards showing unusual cruelty toward us, as though we, too, had been implicated in the murder of their fellow.	true	105.95	114.49	24
2992_164101_000008_000001	The occasion was to serve as an object-lesson to all other slaves of the danger and futility of attempted escape, and the fatal consequences of taking the life of a superior being, and so I imagine that Sagoths felt amply justified in making the entire proceeding as uncomfortable and painful to us as possible.	The occasion was to serve as an object lesson to all other slaves of the danger and futility of attempted escape, and the fatal consequences of taking the life of a superior being, and so I imagine that Sagoths felt amply justified in making the entire proceeding as uncomfortable and painful to us as possible.	true	114.95	132.4	20.935518
2992_164101_000009_000000	They jabbed us with their spears and struck at us with the hatchets at the least provocation, and at no provocation at all.	They jabbed us with their spears and struck at us with the hatchets at the least provocation, and at no provocation at all.	true	132.92	139.48	26.172993
2992_164101_000009_000001	It was a most uncomfortable half-hour that we spent before we were finally herded through a low entrance into a huge building the center of which was given up to a good-sized arena.	It was a most uncomfortable half hour that we spent before we were finally herded through a low entrance into a huge building the center of which was given up to a good sized arena.	false	139.82	149.83	22.212708
2992_164101_000009_000002	Benches surrounded this open space upon three sides, and along the fourth were heaped huge bowlders which rose in receding tiers toward the roof.	Benches surrounded this open space upon three sides, and along the fourth were heaped huge bowlders which rose in receding tiers toward the roof.	true	150.11	158.98	20.204805
2992_164101_000010_000000	At first I couldn't make out the purpose of this mighty pile of rock, unless it were intended as a rough and picturesque background for the scenes which were enacted in the arena before it, but presently, after the wooden benches had been pretty well filled by slaves and Sagoths, I discovered the purpose of the bowlders, for then the Mahars began to file into the enclosure.	At first I couldn't make out the purpose of this mighty pile of rock, unless it were intended as a rough and picturesque background for the scenes which were enacted in the arena before it, but presently, after the wooden benches had been pretty well filled by slaves and Sagoths, I discovered the purpose of the bowlders, for then the Mahars began to file into the enclosure.	true	159.5	179.65	21.462753
2992_164101_000011_000000	They marched directly across the arena toward the rocks upon the opposite side, where, spreading their bat-like wings, they rose above the high wall of the pit, settling down upon the bowlders above.	They marched directly across the arena toward the rocks upon the opposite side, where, spreading their bat like wings, they rose above the high wall of the pit, settling down upon the bowlders above.	true	179.93	191.05	22
2992_164101_000011_000001	These were the reserved seats, the boxes of the elect.	These were the reserved seats, the boxes of the elect.	true	191.27	195.1	22.889091
2992_164101_000012_000000	Reptiles that they are, the rough surface of a great stone is to them as plush as upholstery to us.	Reptiles that they are, the rough surface of a great stone is to them as plush as upholstery to us.	true	195.74	201.07	19
2992_164101_000012_000001	Here they lolled, blinking their hideous eyes, and doubtless conversing with one another in their sixth-sense-fourth-dimension language.	Here they lolled, blinking their hideous eyes, and doubtless conversing with one another in their sixth sense fourth dimension language.	true	201.5	210.13	21.794708
2992_164101_000013_000000	For the first time I beheld their queen.	For the first time I beheld their queen.	true	210.71	213.25	23.989405
2992_164101_000013_000001	She differed from the others in no feature that was appreciable to my earthly eyes, in fact all Mahars look alike to me: but when she crossed the arena after the balance of her female subjects had found their bowlders, she was preceded by a score of huge Sagoths, the largest I ever had seen, and on either side of her waddled a huge thipdar, while behind came another score of Sagoth guardsmen.	She differed from the others in no feature that was appreciable to my earthly eyes, in fact all Mahars look alike to me: but when she crossed the arena after the balance of her female subjects had found their bowlders, she was preceded by a score of huge Sagoths, the largest I ever had seen, and on either side of her waddled a huge thipdar, while behind came another score of Sagoth guardsmen.	false	213.44	236.77	21.78158
2992_164101_000014_000000	At the barrier the Sagoths clambered up the steep side with truly apelike agility, while behind them the haughty queen rose upon her wings with her two frightful dragons close beside her, and settled down upon the largest bowlder of them all in the exact center of that side of the amphitheater which is reserved for the dominant race.	At the barrier the Sagoths clambered up the steep side with truly apelike agility, while behind them the haughty queen rose upon her wings with her two frightful dragons close beside her, and settled down upon the largest bowlder of them all in the exact center of that side of the amphitheater which is reserved for the dominant race.	false	237.41	267.64	20
2992_164101_000014_000001	Here she squatted, a most repulsive and uninteresting queen; though doubtless quite as well assured of her beauty and divine right to rule as the proudest monarch of the outer world.	Here she squatted, a most repulsive and uninteresting queen; though doubtless quite as well assured of her beauty and divine right to rule as the proudest monarch of the outer world.	true	267.95	277.93	19
2992_164101_000015_000000	And then the music started--music without sound!	And then the music started-music without sound!	true	278.21	281.26	24.269182
2992_164101_000015_000001	The Mahars cannot hear, so the drums and fifes and horns of earthly bands are unknown among them.	The Mahars cannot hear, so the drums and fifes and horns of earthly bands are unknown among them.	true	281.36	287.08	18.987827
2992_164101_000015_000002	The "band" consists of a score or more Mahars.	The "band" consists of a score or more Mahars.	true	287.24	290.35	19
2992_164101_000015_000003	It filed out in the center of the arena where the creatures upon the rocks might see it, and there it performed for fifteen or twenty minutes.	It filed out in the center of the arena where the creatures upon the rocks might see it, and there it performed for fifteen or twenty minutes.	false	290.66	297.73	23
2992_164101_000016_000000	Their technic consisted in waving their tails and moving their heads in a regular succession of measured movements resulting in a cadence which evidently pleased the eye of the Mahar as the cadence of our own instrumental music pleases our ears.	Their technic consisted in waving their tails and moving their heads in a regular succession of measured movements resulting in a cadence which evidently pleased the eye of the Mahar as the cadence of our own instrumental music pleases our ears.	false	298.25	311.68	17
