1422_149735_000001_000000	Wherein Freckles Wins Honor and Finds a Footprint on the Trail	Wherein Freckles Wins Honor and Finds a Footprint on the Trail
1422_149735_000002_000001	Considering what they had been through, they never would come again.	Considering what they had been through, they never would come again.
1422_149735_000002_000002	His heart sank until he had palpitation in his wading-boots.	His heart sank until he had palpitation in his wading boots.
1422_149735_000003_000000	Stretching the length of the limb, he thought deeply, though he was not thinking of Black Jack or Wessner.	Stretching the length of the limb, he thought deeply, though he was not thinking of Black Jack or Wessner.
1422_149735_000003_000001	Would the Bird Woman and the Angel come again?	Would the Bird Woman and the Angel come again?
1422_149735_000003_000002	No other woman whom he ever had known would.	No other woman whom he ever had known would.
1422_149735_000004_000000	What were the people in the big world like?	What were the people in the big world like?
1422_149735_000004_000001	His knowledge was so very limited.	His knowledge was so very limited.
1422_149735_000004_000002	There had been people at the Home, who exchanged a stilted, perfunctory kindness for their salaries.	There had been people at the Home, who exchanged a stilted, perfunctory kindness for their salaries.
1422_149735_000004_000004	They made him feel they cared that he was there, and that they would have been glad to see him elsewhere.	They made him feel they cared that he was there, and that they would have been glad to see him elsewhere.
1422_149735_000005_000000	Now here was another class, that had all they needed of the world's best and were engaged in doing work that counted.	Now here was another class, that had all they needed of the world's best and were engaged in doing work that counted.
1422_149735_000005_000001	They had things worth while to be proud of; and they had met him as a son and brother.	They had things worth while to be proud of; and they had met him as a son and brother.
1422_149735_000005_000002	With them he could, for the only time in his life, forget the lost hand that every day tortured him with a new pang.	With them he could, for the only time in his life, forget the lost hand that every day tortured him with a new pang.
1422_149735_000005_000003	What kind of people were they and where did they belong among the classes he knew?	What kind of people were they and where did they belong among the classes he knew?
1422_149735_000005_000004	He failed to decide, because he never had known others similar to them; but how he loved them!	He failed to decide, because he never had known others similar to them; but how he loved them!
1422_149735_000006_000000	In the world where he was going soon, were the majority like them, or were they of the hypocrite and bun-throwing classes?	In the world where he was going soon, were the majority like them, or were they of the hypocrite and bun throwing classes?
1422_149735_000007_000000	He had forgotten the excitement of the morning and the passing of time when distant voices aroused him, and he gently lifted his head.	He had forgotten the excitement of the morning and the passing of time when distant voices aroused him, and he gently lifted his head.
1422_149735_000007_000001	Nearer and nearer they came, and as the heavy wagons rumbled down the east trail he could hear them plainly.	Nearer and nearer they came, and as the heavy wagons rumbled down the east trail he could hear them plainly.
1422_149735_000007_000002	The gang were shouting themselves hoarse for the Limberlost guard.	The gang were shouting themselves hoarse for the Limberlost guard.
1422_149735_000007_000003	Freckles did not feel that he deserved it.	Freckles did not feel that he deserved it.
1422_149735_000007_000004	He would have given much to be able to go to the men and explain, but to McLean only could he tell his story.	He would have given much to be able to go to the men and explain, but to McLean only could he tell his story.
1422_149735_000008_000000	At the sight of Freckles the men threw up their hats and cheered.	At the sight of Freckles the men threw up their hats and cheered.
1422_149735_000008_000001	McLean shook hands with him warmly, but big Duncan gathered him into his arms and hugged him as a bear and choked over a few words of praise.	McLean shook hands with him warmly, but big Duncan gathered him into his arms and hugged him as a bear and choked over a few words of praise.
1422_149735_000008_000002	The gang drove in and finished felling the tree.	The gang drove in and finished felling the tree.
1422_149735_000008_000003	McLean was angry beyond measure at this attempt on his property, for in their haste to fell the tree the thieves had cut too high and wasted a foot and a half of valuable timber.	McLean was angry beyond measure at this attempt on his property, for in their haste to fell the tree the thieves had cut too high and wasted a foot and a half of valuable timber.
1422_149735_000009_000000	When the last wagon rolled away, McLean sat on the stump and Freckles told the story he was aching to tell.	When the last wagon rolled away, McLean sat on the stump and Freckles told the story he was aching to tell.
1422_149735_000009_000001	The Boss scarcely could believe his senses.	The Boss scarcely could believe his senses.
1422_149735_000009_000002	Also, he was much disappointed.	Also, he was much disappointed.
1422_149735_000010_000000	"I have been almost praying all the way over, Freckles," he said, "that you would have some evidence by which we could arrest those fellows and get them out of our way, but this will never do.	"I have been almost praying all the way over, Freckles," he said, "that you would have some evidence by which we could arrest those fellows and get them out of our way, but this will never do.
1422_149735_000010_000001	We can't mix up those women in it.	We can't mix up those women in it.
1422_149735_000011_000000	"No, indeed; nor the Angel, either, sir," said Freckles.	"No, indeed; nor the Angel, either, sir," said Freckles.
1422_149735_000012_000000	"The Angel?" queried the astonished McLean.	"The Angel?" queried the astonished McLean.
1422_149735_000014_000000	"I know her father well," said McLean at last, "and I have often seen her.	"I know her father well," said McLean at last, "and I have often seen her.
1422_149735_000015_000001	The man isn't made who wouldn't lay down the life of him for her.	The man isn't made who wouldn't lay down the life of him for her.
1422_149735_000016_000000	"Did you say she handled one of the revolvers?" asked McLean.	"Did you say she handled one of the revolvers?" asked McLean.
1422_149735_000017_000000	"She scared all the breath out of me body," admitted Freckles.	"She scared all the breath out of me body," admitted Freckles.
1422_149735_000017_000001	"Seems that her father has taught her to shoot.	"Seems that her father has taught her to shoot.
1422_149735_000017_000002	The Bird Woman told her distinctly to lie low and blaze away high, just to help scare them.	The Bird Woman told her distinctly to lie low and blaze away high, just to help scare them.
1422_149735_000017_000004	I never saw much shooting, but if that wasn't the nearest to miss I ever want to see!	I never saw much shooting, but if that wasn't the nearest to miss I ever want to see!
1422_149735_000017_000005	Scared the life near out of me body with the fear that she'd drop one of them.	Scared the life near out of me body with the fear that she'd drop one of them.
1422_149735_000018_000000	"Now, will they come back?" asked McLean.	"Now, will they come back?" asked McLean.
1422_149735_000019_000000	"Of course!" said Freckles.	"Of course!" said Freckles.
1422_149735_000019_000001	"They're not going to be taking that.	"They're not going to be taking that.
1422_149735_000019_000002	You could stake your life on it, they'll be coming back.	You could stake your life on it, they'll be coming back.
1422_149735_000019_000003	At least, Black Jack will.	At least, Black Jack will.
1422_149735_000019_000004	Wessner may not have the pluck, unless he is half drunk.	Wessner may not have the pluck, unless he is half drunk.
1422_149735_000019_000005	Then he'd be a terror.	Then he'd be a terror.
1422_149735_000019_000006	And the next time--" Freckles hesitated.	And the next time-" Freckles hesitated.
1422_149735_000020_000000	"What?"	"What?"
1422_149735_000022_000001	As soon as I feel that we have the rarest of the stuff out below, we will come.	As soon as I feel that we have the rarest of the stuff out below, we will come.
1422_149735_000022_000003	It won't do to leave you here longer alone.	It won't do to leave you here longer alone.
1422_149735_000022_000004	Jack has been shooting twenty years to your one, and it stands to reason that you are no match for him.	Jack has been shooting twenty years to your one, and it stands to reason that you are no match for him.
1422_149735_000023_000000	"No one, sir," said Freckles emphatically.	"No one, sir," said Freckles emphatically.
1422_149735_000023_000002	I'll just be getting wind of them, and then make tracks for you.	I'll just be getting wind of them, and then make tracks for you.
1422_149735_000023_000003	I'll need to come like lightning, and Duncan has no extra horse, so I'm thinking you'd best get me one--or perhaps a wheel would be better.	I'll need to come like lightning, and Duncan has no extra horse, so I'm thinking you'd best get me one-or perhaps a wheel would be better.
1422_149735_000023_000004	I used to do extra work for the Home doctor, and he would let me take his bicycle to ride around the place.	I used to do extra work for the Home doctor, and he would let me take his bicycle to ride around the place.
1422_149735_000023_000006	A wheel would cost less and be faster than a horse, and would take less care.	A wheel would cost less and be faster than a horse, and would take less care.
1422_149735_000023_000007	I believe, if you are going to town soon, you had best pick up any kind of an old one at some second-hand store, for if I'm ever called to use it in a hurry there won't be the handlebars left after crossing the corduroy."	I believe, if you are going to town soon, you had best pick up any kind of an old one at some second-hand store, for if I'm ever called to use it in a hurry there won't be the handlebars left after crossing the corduroy."
1422_149735_000024_000000	"Yes," said McLean; "and if you didn't have a first-class wheel, you never could cross the corduroy on it at all."	"Yes," said McLean; "and if you didn't have a first-class wheel, you never could cross the corduroy on it at all."
1422_149735_000025_000000	As they walked to the cabin, McLean insisted on another guard, but Freckles was stubbornly set on fighting his battle alone.	As they walked to the cabin, McLean insisted on another guard, but Freckles was stubbornly set on fighting his battle alone.
1422_149735_000025_000002	If the Bird Woman was going to give up the Little Chicken series, he would yield to the second guard, solely for the sake of her work and the presence of the Angel in the Limberlost.	If the Bird Woman was going to give up the Little Chicken series, he would yield to the second guard, solely for the sake of her work and the presence of the Angel in the Limberlost.
1422_149735_000025_000003	He did not propose to have a second man unless it were absolutely necessary, for he had been alone so long that he loved the solitude, his chickens, and flowers.	He did not propose to have a second man unless it were absolutely necessary, for he had been alone so long that he loved the solitude, his chickens, and flowers.
1422_149735_000025_000004	The thought of having a stranger to all his ways come and meddle with his arrangements, frighten his pets, pull his flowers, and interrupt him when he wanted to study, so annoyed him that he was blinded to his real need for help.	The thought of having a stranger to all his ways come and meddle with his arrangements, frighten his pets, pull his flowers, and interrupt him when he wanted to study, so annoyed him that he was blinded to his real need for help.
1422_149735_000026_000000	With McLean it was a case of letting his sober, better judgment be overridden by the boy he was growing so to love that he could not endure to oppose him, and to have Freckles keep his trust and win alone meant more than any money the Boss might lose.	With McLean it was a case of letting his sober, better judgment be overridden by the boy he was growing so to love that he could not endure to oppose him, and to have Freckles keep his trust and win alone meant more than any money the Boss might lose.
1422_149735_000027_000000	The following morning McLean brought the wheel, and Freckles took it to the trail to test it.	The following morning McLean brought the wheel, and Freckles took it to the trail to test it.
1422_149735_000028_000001	In the excitement of yesterday all of them had forgotten it.	In the excitement of yesterday all of them had forgotten it.
