3728_105386_000001_000000	CHAPTER VII THE SECRET ORCHARD	CHAPTER seven THE SECRET ORCHARD
3728_105386_000002_000000	Once outside the noisy coffee-room, alone in the dimly-lighted passage, Marguerite Blakeney seemed to breathe more freely.	Once outside the noisy coffee room, alone in the dimly lighted passage, Marguerite Blakeney seemed to breathe more freely.
3728_105386_000002_000001	She heaved a deep sigh, like one who had long been oppressed with the heavy weight of constant self-control, and she allowed a few tears to fall unheeded down her cheeks.	She heaved a deep sigh, like one who had long been oppressed with the heavy weight of constant self control, and she allowed a few tears to fall unheeded down her cheeks.
3728_105386_000003_000000	Outside the rain had ceased, and through the swiftly passing clouds, the pale rays of an after-storm sun shone upon the beautiful white coast of Kent and the quaint, irregular houses that clustered round the Admiralty Pier.	Outside the rain had ceased, and through the swiftly passing clouds, the pale rays of an after storm sun shone upon the beautiful white coast of Kent and the quaint, irregular houses that clustered round the Admiralty Pier.
3728_105386_000005_000000	"Armand!" said Marguerite Blakeney, as soon as she saw him approaching from the distance, and a happy smile shone on her sweet face, even through the tears.	"Armand!" said Marguerite Blakeney, as soon as she saw him approaching from the distance, and a happy smile shone on her sweet face, even through the tears.
3728_105386_000010_000000	"Half an hour," she said, looking wistfully out to sea, "half an hour more and you'll be far from me, Armand!	"Half an hour," she said, looking wistfully out to sea, "half an hour more and you'll be far from me, Armand!
3728_105386_000010_000001	Oh!	Oh!
3728_105386_000010_000002	I can't believe that you are going, dear!	I can't believe that you are going, dear!
3728_105386_000012_000000	"Nay, 'tis not the distance, Armand--but that awful Paris . . . just now . . ."	"Nay, 'tis not the distance, Armand-but that awful Paris . . . just now . . ."
3728_105386_000013_000000	They had reached the edge of the cliff.	They had reached the edge of the cliff.
3728_105386_000013_000002	She tried to pierce the distance far away, beyond which lay the shores of France: that relentless and stern France which was exacting her pound of flesh, the blood-tax from the noblest of her sons.	She tried to pierce the distance far away, beyond which lay the shores of France: that relentless and stern France which was exacting her pound of flesh, the blood tax from the noblest of her sons.
3728_105386_000014_000000	"Our own beautiful country, Marguerite," said Armand, who seemed to have divined her thoughts.	"Our own beautiful country, Marguerite," said Armand, who seemed to have divined her thoughts.
3728_105386_000015_000000	"They are going too far, Armand," she said vehemently.	"They are going too far, Armand," she said vehemently.
3728_105386_000016_000000	"Hush!--" said Armand, instinctively, as he threw a quick, apprehensive glance around him.	"Hush!--" said Armand, instinctively, as he threw a quick, apprehensive glance around him.
3728_105386_000018_000000	Her voice was choked in sobs, her eyes, tender, blue and loving, gazed appealingly at the young man, who in his turn looked steadfastly into hers.	Her voice was choked in sobs, her eyes, tender, blue and loving, gazed appealingly at the young man, who in his turn looked steadfastly into hers.
3728_105386_000019_000000	"You would in any case be my own brave sister," he said gently, "who would remember that, when France is in peril, it is not for her sons to turn their backs on her."	"You would in any case be my own brave sister," he said gently, "who would remember that, when France is in peril, it is not for her sons to turn their backs on her."
3728_105386_000021_000000	"Oh! Armand!" she said quaintly, "I sometimes wish you had not so many lofty virtues. . . .	"Oh! Armand!" she said quaintly, "I sometimes wish you had not so many lofty virtues. . . .
3728_105386_000021_000001	I assure you little sins are far less dangerous and uncomfortable.	I assure you little sins are far less dangerous and uncomfortable.
3728_105386_000021_000002	But you WILL be prudent?" she added earnestly.	But you WILL be prudent?" she added earnestly.
3728_105386_000022_000000	"As far as possible . . .	"As far as possible . . .
3728_105386_000022_000001	I promise you."	I promise you."
3728_105386_000024_000000	"Nay, sweet one, you have other interests now.	"Nay, sweet one, you have other interests now.
3728_105386_000024_000001	Percy cares for you . . ."	Percy cares for you . . ."
3728_105386_000025_000000	A look of strange wistfulness crept into her eyes as she murmured,--	A look of strange wistfulness crept into her eyes as she murmured,--
3728_105386_000026_000000	"He did . . . once . . ."	"He did . . . once . . ."
3728_105386_000027_000000	"But surely . . ."	"But surely . . ."
3728_105386_000028_000000	"There, there, dear, don't distress yourself on my account.	"There, there, dear, don't distress yourself on my account.
3728_105386_000028_000001	Percy is very good . . ."	Percy is very good . . ."
3728_105386_000029_000000	"Nay!" he interrupted energetically, "I will distress myself on your account, my Margot.	"Nay!" he interrupted energetically, "I will distress myself on your account, my Margot.
3728_105386_000029_000001	Listen, dear, I have not spoken of these things to you before; something always seemed to stop me when I wished to question you.	Listen, dear, I have not spoken of these things to you before; something always seemed to stop me when I wished to question you.
3728_105386_000029_000002	But, somehow, I feel as if I could not go away and leave you now without asking you one question. . . .	But, somehow, I feel as if I could not go away and leave you now without asking you one question. . . .
3728_105386_000030_000000	"What is it?" she asked simply.	"What is it?" she asked simply.
3728_105386_000031_000001	I mean, does he know the part you played in the arrest of the Marquis de St. Cyr?"	I mean, does he know the part you played in the arrest of the Marquis de st Cyr?"
3728_105386_000032_000000	She laughed--a mirthless, bitter, contemptuous laugh, which was like a jarring chord in the music of her voice.	She laughed-a mirthless, bitter, contemptuous laugh, which was like a jarring chord in the music of her voice.
3728_105386_000033_000001	Yes, he does know. . . . .	Yes, he does know. . . . .
3728_105386_000033_000002	I told him after I married him. . . ."	I told him after I married him. . . ."
3728_105386_000034_000000	"You told him all the circumstances--which so completely exonerated you from any blame?"	"You told him all the circumstances-which so completely exonerated you from any blame?"
3728_105386_000035_000001	I could no longer plead extenuating circumstances: I could not demean myself by trying to explain--"	I could no longer plead extenuating circumstances: I could not demean myself by trying to explain-"
3728_105386_000036_000000	"And?"	"And?"
3728_105386_000037_000000	"And now I have the satisfaction, Armand, of knowing that the biggest fool in England has the most complete contempt for his wife."	"And now I have the satisfaction, Armand, of knowing that the biggest fool in England has the most complete contempt for his wife."
3728_105386_000039_000000	"But Sir Percy loved you, Margot," he repeated gently.	"But Sir Percy loved you, Margot," he repeated gently.
3728_105386_000040_000000	"Loved me?--Well, Armand, I thought at one time that he did, or I should not have married him.	"Loved me?--Well, Armand, I thought at one time that he did, or I should not have married him.
3728_105386_000040_000001	I daresay," she added, speaking very rapidly, as if she were about to lay down a heavy burden, which had oppressed her for months, "I daresay that even you thought--as everybody else did--that I married Sir Percy because of his wealth--but I assure you, dear, that it was not so.	I daresay," she added, speaking very rapidly, as if she were about to lay down a heavy burden, which had oppressed her for months, "I daresay that even you thought-as everybody else did-that I married Sir Percy because of his wealth-but I assure you, dear, that it was not so.
3728_105386_000040_000003	I had never loved any one before, as you know, and I was four-and-twenty then--so I naturally thought that it was not in my nature to love.	I had never loved any one before, as you know, and I was four and twenty then-so I naturally thought that it was not in my nature to love.
3728_105386_000040_000004	But it has always seemed to me that it MUST be HEAVENLY to be loved blindly, passionately, wholly . . . worshipped, in fact--and the very fact that Percy was slow and stupid was an attraction for me, as I thought he would love me all the more.	But it has always seemed to me that it MUST be HEAVENLY to be loved blindly, passionately, wholly . . . worshipped, in fact-and the very fact that Percy was slow and stupid was an attraction for me, as I thought he would love me all the more.
3728_105386_000040_000006	I thought that a fool would worship, and think of nothing else.	I thought that a fool would worship, and think of nothing else.
3728_105386_000040_000007	And I was ready to respond, Armand; I would have allowed myself to be worshipped, and given infinite tenderness in return. . . ."	And I was ready to respond, Armand; I would have allowed myself to be worshipped, and given infinite tenderness in return. . . ."
3728_105386_000042_000002	She had been young, misguided, ill-advised perhaps.	She had been young, misguided, ill advised perhaps.
3728_105386_000043_000000	Yet even now, his own sister puzzled him.	Yet even now, his own sister puzzled him.
3728_105386_000043_000002	Could it be that with the waning of her husband's love, Marguerite's heart had awakened with love for him?	Could it be that with the waning of her husband's love, Marguerite's heart had awakened with love for him?
