5293_82020_000000_000000	Karl soon found himself before the house in which his friend Hoellenrachen resided.	Karl soon found himself before the house in which his friend Hoellenrachen resided.
5293_82020_000000_000001	Knowing his studious habits, he had hoped to see his light still burning, nor was he disappointed.	Knowing his studious habits, he had hoped to see his light still burning, nor was he disappointed.
5293_82020_000000_000002	He contrived to bring him to his window, and a moment after, the door was cautiously opened.	He contrived to bring him to his window, and a moment after, the door was cautiously opened.
5293_82020_000002_000000	"From the grave, Heinrich, or next door to it."	"From the grave, Heinrich, or next door to it."
5293_82020_000004_000000	"Perhaps you were not far wrong.	"Perhaps you were not far wrong.
5293_82020_000004_000001	But get me a horn of ale, for even a vampire is thirsty, you know."	But get me a horn of ale, for even a vampire is thirsty, you know."
5293_82020_000005_000000	"A vampire!" exclaimed Heinrich, retreating a pace, and involuntarily putting himself upon his guard.	"A vampire!" exclaimed Heinrich, retreating a pace, and involuntarily putting himself upon his guard.
5293_82020_000006_000000	Karl laughed.	Karl laughed.
5293_82020_000007_000000	"My hand was warm, was it not, old fellow?" he said.	"My hand was warm, was it not, old fellow?" he said.
5293_82020_000007_000001	"Vampires are cold, all but the blood."	"Vampires are cold, all but the blood."
5293_82020_000008_000000	"What a fool I am!" rejoined Heinrich.	"What a fool I am!" rejoined Heinrich.
5293_82020_000009_000000	Karl told him the whole story; and the mental process of regarding it for the sake of telling it, revealed to him pretty clearly some of the treatment of which he had been unconscious at the time.	Karl told him the whole story; and the mental process of regarding it for the sake of telling it, revealed to him pretty clearly some of the treatment of which he had been unconscious at the time.
5293_82020_000009_000001	Heinrich was quite sure that his suspicions were correct.	Heinrich was quite sure that his suspicions were correct.
5293_82020_000009_000002	And now the question was, what was to be done next?	And now the question was, what was to be done next?
5293_82020_000011_000000	To this proposal Karl agreed with hearty thanks, and soon all was arranged.	To this proposal Karl agreed with hearty thanks, and soon all was arranged.
5293_82020_000011_000001	The only conclusion they could yet arrive at was, that somehow or other the old demon-painter must be tamed.	The only conclusion they could yet arrive at was, that somehow or other the old demon painter must be tamed.
5293_82020_000012_000000	Meantime, how fared it with Lilith?	Meantime, how fared it with Lilith?
