3905_149791_000001_000000	Chapter Ten	Chapter Ten
3905_149791_000002_000000	Under Water	Under Water
3905_149791_000003_000000	When night fell all the interior of the Great Dome, streets and houses, became lighted with brilliant incandescent lamps, which rendered it bright as day.	When night fell all the interior of the Great Dome, streets and houses, became lighted with brilliant incandescent lamps, which rendered it bright as day.
3905_149791_000003_000001	Dorothy thought the island must look beautiful by night from the outer shore of the lake.	Dorothy thought the island must look beautiful by night from the outer shore of the lake.
3905_149791_000003_000002	There was revelry and feasting in the Queen's palace, and the music of the royal band could be plainly heard in Lady Aurex's house, where Ozma and Dorothy remained with their hostess and keeper.	There was revelry and feasting in the Queen's palace, and the music of the royal band could be plainly heard in Lady Aurex's house, where Ozma and Dorothy remained with their hostess and keeper.
3905_149791_000003_000003	They were prisoners, but treated with much consideration.	They were prisoners, but treated with much consideration.
3905_149791_000004_000000	Lady Aurex gave them a nice supper and when they wished to retire showed them to a pretty room with comfortable beds and wished them a good night and pleasant dreams.	Lady Aurex gave them a nice supper and when they wished to retire showed them to a pretty room with comfortable beds and wished them a good night and pleasant dreams.
3905_149791_000005_000000	"What do you think of all this, Ozma?" Dorothy anxiously inquired when they were alone.	"What do you think of all this, Ozma?" Dorothy anxiously inquired when they were alone.
3905_149791_000006_000000	"I am glad we came," was the reply, "for although there may be mischief done to-morrow, it was necessary I should know about these people, whose leaders are wild and lawless and oppress their subjects with injustice and cruelties.	"I am glad we came," was the reply, "for although there may be mischief done to morrow, it was necessary I should know about these people, whose leaders are wild and lawless and oppress their subjects with injustice and cruelties.
3905_149791_000006_000002	I have no doubt I can accomplish this in time."	I have no doubt I can accomplish this in time."
3905_149791_000007_000000	"Just now, though, we're in a bad fix," asserted Dorothy.	"Just now, though, we're in a bad fix," asserted Dorothy.
3905_149791_000007_000001	"If Queen Coo-ee-oh conquers to-morrow, she won't be nice to us, and if the Su-dic conquers, he'll be worse."	"If Queen Coo ee oh conquers to morrow, she won't be nice to us, and if the Su dic conquers, he'll be worse."
3905_149791_000008_000000	"Do not worry, dear," said Ozma, "I do not think we are in danger, whatever happens, and the result of our adventure is sure to be good."	"Do not worry, dear," said Ozma, "I do not think we are in danger, whatever happens, and the result of our adventure is sure to be good."
3905_149791_000009_000000	Dorothy was not worrying, especially.	Dorothy was not worrying, especially.
3905_149791_000009_000001	She had confidence in her friend, the fairy Princess of Oz, and she enjoyed the excitement of the events in which she was taking part.	She had confidence in her friend, the fairy Princess of Oz, and she enjoyed the excitement of the events in which she was taking part.
3905_149791_000010_000000	A sort of grating, grinding sound awakened her.	A sort of grating, grinding sound awakened her.
3905_149791_000010_000002	Dorothy sat up in bed, rubbing her eyes to get the sleep out of them, and then found it was daybreak.	Dorothy sat up in bed, rubbing her eyes to get the sleep out of them, and then found it was daybreak.
3905_149791_000012_000000	"What is it?" asked Dorothy, jumping out of bed.	"What is it?" asked Dorothy, jumping out of bed.
3905_149791_000013_000000	"I'm not sure," answered Ozma "but it feels as if the island is sinking."	"I'm not sure," answered Ozma "but it feels as if the island is sinking."
3905_149791_000014_000000	As soon as possible they finished dressing, while the creaking and swaying continued.	As soon as possible they finished dressing, while the creaking and swaying continued.
3905_149791_000014_000001	Then they rushed into the living room of the house and found Lady Aurex, fully dressed, awaiting them.	Then they rushed into the living room of the house and found Lady Aurex, fully dressed, awaiting them.
3905_149791_000015_000000	"Do not be alarmed," said their hostess.	"Do not be alarmed," said their hostess.
3905_149791_000015_000001	"Coo-ee-oh has decided to submerge the island, that is all.	"Coo ee oh has decided to submerge the island, that is all.
3905_149791_000015_000002	But it proves the Flatheads are coming to attack us."	But it proves the Flatheads are coming to attack us."
3905_149791_000016_000000	"What do you mean by sub-sub-merging the island?" asked Dorothy.	"What do you mean by sub sub merging the island?" asked Dorothy.
3905_149791_000017_000000	"Come here and see," was the reply.	"Come here and see," was the reply.
3905_149791_000018_000000	Lady Aurex led them to a window which faced the side of the great dome which covered all the village, and they could see that the island was indeed sinking, for the water of the lake was already half way up the side of the dome.	Lady Aurex led them to a window which faced the side of the great dome which covered all the village, and they could see that the island was indeed sinking, for the water of the lake was already half way up the side of the dome.
3905_149791_000018_000001	Through the glass could be seen swimming fishes, and tall stalks of swaying seaweeds, for the water was clear as crystal and through it they could distinguish even the farther shore of the lake.	Through the glass could be seen swimming fishes, and tall stalks of swaying seaweeds, for the water was clear as crystal and through it they could distinguish even the farther shore of the lake.
3905_149791_000019_000000	"The Flatheads are not here yet," said Lady Aurex.	"The Flatheads are not here yet," said Lady Aurex.
3905_149791_000019_000001	"They will come soon, but not until all of this dome is under the surface of the water."	"They will come soon, but not until all of this dome is under the surface of the water."
3905_149791_000020_000000	"Won't the dome leak?" Dorothy inquired anxiously.	"Won't the dome leak?" Dorothy inquired anxiously.
3905_149791_000021_000000	"No, indeed."	"No, indeed."
3905_149791_000022_000000	"Was the island ever sub-sub-sunk before?"	"Was the island ever sub sub sunk before?"
3905_149791_000023_000000	"Oh, yes; on several occasions.	"Oh, yes; on several occasions.
3905_149791_000023_000001	But Coo-ee-oh doesn't care to do that often, for it requires a lot of hard work to operate the machinery.	But Coo ee oh doesn't care to do that often, for it requires a lot of hard work to operate the machinery.
3905_149791_000023_000002	The dome was built so that the island could disappear.	The dome was built so that the island could disappear.
3905_149791_000023_000003	I think," she continued, "that our Queen fears the Flatheads will attack the island and try to break the glass of the dome."	I think," she continued, "that our Queen fears the Flatheads will attack the island and try to break the glass of the dome."
3905_149791_000024_000000	"Well, if we're under water, they can't fight us, and we can't fight them," asserted Dorothy.	"Well, if we're under water, they can't fight us, and we can't fight them," asserted Dorothy.
3905_149791_000025_000000	"They could kill the fishes, however," said Ozma gravely.	"They could kill the fishes, however," said Ozma gravely.
3905_149791_000029_000000	By this time the top of the dome was quite under water and suddenly the island stopped sinking and became stationary.	By this time the top of the dome was quite under water and suddenly the island stopped sinking and became stationary.
3905_149791_000030_000000	"See!" cried Lady Aurex, pointing to the shore.	"See!" cried Lady Aurex, pointing to the shore.
3905_149791_000030_000001	"The Flatheads have come."	"The Flatheads have come."
3905_149791_000031_000000	On the bank, which was now far above their heads, a crowd of dark figures could be seen.	On the bank, which was now far above their heads, a crowd of dark figures could be seen.
3905_149791_000032_000000	"Now let us see what Coo-ee-oh will do to oppose them," continued Lady Aurex, in a voice that betrayed her excitement.	"Now let us see what Coo ee oh will do to oppose them," continued Lady Aurex, in a voice that betrayed her excitement.
3905_149791_000033_000000	The Flatheads, pushing their way through the line of palm trees, had reached the shore of the lake just as the top of the island's dome disappeared beneath the surface.	The Flatheads, pushing their way through the line of palm trees, had reached the shore of the lake just as the top of the island's dome disappeared beneath the surface.
3905_149791_000033_000001	The water now flowed from shore to shore, but through the clear water the dome was still visible and the houses of the Skeezers could be dimly seen through the panes of glass.	The water now flowed from shore to shore, but through the clear water the dome was still visible and the houses of the Skeezers could be dimly seen through the panes of glass.
