7241_90850_000000_000000	An instant later, a green monkey swung off into the tree-tops.	An instant later, a green monkey swung off into the tree tops.	false	0	3.06	22.974817
7241_90850_000001_000000	Then the grateful Prince thanked the King of the Trees, the mighty Gorbodoc, and the brave maiden, with all his heart.	Then the grateful Prince thanked the King of the Trees, the mighty Gorbodoc, and the brave maiden, with all his heart.	false	3.06	8.13	14
7241_90850_000001_000001	I am glad to say that he got his castle back again and married the maiden who had saved his life, and they lived happily ever after.	I am glad to say that he got his castle back again and married the maiden who had saved his life, and they lived happily ever after.	false	8.13	18.6	21.208185
7241_90850_000002_000000	THE BIRD BOY	THE BIRD BOY	true	18.6	19.87	22.185034
7241_90850_000003_000000	Late one autumn night a young queen stood by her window, gazing upon the silent and deserted meadows gleaming in the moonlight.	Late one autumn night a young queen stood by her window, gazing upon the silent and deserted meadows gleaming in the moonlight.	true	21.77	30.16	19.545353
7241_90850_000003_000001	Suddenly, far, far up in the sky, she heard the weird cry of birds flying southward, and lifting her eyes, the Queen beheld bird after bird fly across the golden shield of the moon.	Suddenly, far, far up in the sky, she heard the weird cry of birds flying southward, and lifting her eyes, the Queen beheld bird after bird fly across the golden shield of the moon.	true	30.26	43.9	21.72298
7241_90850_000004_000000	"Oh, lovely, happy birds," said she; "would that I might have a son with wings!"	"Oh, lovely, happy birds," said she; "would that I might have a son with wings!"	false	44.09	50.8	20.225443
7241_90850_000005_000000	Now it came to pass that before the harvest moon rose again over the land, the Queen became the mother of a little boy who was born with wings on his shoulders.	Now it came to pass that before the harvest moon rose again over the land, the Queen became the mother of a little boy who was born with wings on his shoulders.	true	50.81	61.15	20.101439
7241_90850_000005_000001	But instead of being pleased with so strange and wonderful a little son, the King (who was very superstitious and under the domination of wicked chamberlain named Malefico) took it into his head that his wife was a sorceress, and gave orders that she should be imprisoned in a lonely tower and the child destroyed.	But instead of being pleased with so strange and wonderful a little son, the King (who was very superstitious and under the domination of wicked chamberlain named Malefico) took it into his head that his wife was a sorceress, and gave orders that she should be imprisoned in a lonely tower and the child destroyed.	false	61.16	82	19.989864
7241_90850_000005_000002	So the Queen and her baby were taken to an old and gloomy tower on a great rock overlooking the northern sea; and after they had been there a day or two, the chief jailer came to the Queen's room to take the child and kill him.	So the Queen and her baby were taken to an old and gloomy tower on a great rock overlooking the northern sea; and after they had been there a day or two, the chief jailer came to the Queen's room to take the child and kill him.	true	82.22	96.99	20.320616
7241_90850_000006_000000	[Illustration: Foreground, small winged boy seat on the ground, approached by a large bird in flight; background, small cottage.]	[Illustration: Foreground, small winged boy seat on the ground, approached by a large bird in flight; background, small cottage.]	false	96.99	98.7	100
7241_90850_000007_000000	Every year, on the Bird-Boy's birthday, a great gray bird was seen.	Every year, on the Bird Boy's birthday, a great gray bird was seen.	false	98.7	98.7	
7241_90850_000008_000000	The Queen, when she heard this terrible order, uttered a gasping scream, and seizing her little son from out his cradle, pressed him close to her breast.	The Queen, when she heard this terrible order, uttered a gasping scream, and seizing her little son from out his cradle, pressed him close to her breast.	false	98.7	107.62	20.401587
7241_90850_000008_000001	But although she fought for her baby with all her might, the rude strength of the jailers prevailed, and the child was torn from its mother's arms.	But although she fought for her baby with all her might, the rude strength of the jailers prevailed, and the child was torn from its mother's arms.	true	107.9	116.8	20.507309
