1259_137770_000000_000000	It is convenient to follow him in the discharge of his duties.	It is convenient to follow him in the discharge of his duties.	false	0	1.59	17.090637
1259_137770_000000_000001	Margaret summoned him the next day.	Margaret summoned him the next day.	false	1.59	2.58	18.295553
1259_137770_000000_000002	She was terrified at Helen's flight, and he had to say that she had called in at Oxford.	She was terrified at Helen's flight, and he had to say that she had called in at Oxford.	false	2.58	5.73	19.02436
1259_137770_000000_000003	Then she said: "Did she seem worried at any rumour about Henry?"	Then she said: "Did she seem worried at any rumour about Henry?"	false	5.73	5.82	20
1259_137770_000000_000004	He answered, "Yes." "I knew it was that!" she exclaimed.	He answered, "Yes." "I knew it was that!" she exclaimed.	false	5.82	5.91	5
1259_137770_000000_000005	"I'll write to her." Tibby was relieved.	"I'll write to her." Tibby was relieved.	false	5.91	5.97	3
1259_137770_000001_000000	He then sent the cheque to the address that Helen gave him, and stated that later on he was instructed to forward five thousand pounds.	He then sent the cheque to the address that Helen gave him, and stated that later on he was instructed to forward five thousand pounds.	false	5.97	6.18	4
1259_137770_000001_000001	An answer came back, very civil and quiet in tone--such an answer as Tibby himself would have given.	An answer came back, very civil and quiet in tone-such an answer as Tibby himself would have given.	false	6.18	6.36	-20
1259_137770_000001_000002	The cheque was returned, the legacy refused, the writer being in no need of money.	The cheque was returned, the legacy refused, the writer being in no need of money.	false	6.36	9.03	18.121056
1259_137770_000001_000003	Tibby forwarded this to Helen, adding in the fulness of his heart that Leonard Bast seemed somewhat a monumental person after all.	Tibby forwarded this to Helen, adding in the fulness of his heart that Leonard Bast seemed somewhat a monumental person after all.	false	9.03	11.97	20.448696
1259_137770_000001_000004	Helen's reply was frantic.	Helen's reply was frantic.	false	11.97	12.3	16
1259_137770_000001_000005	He was to take no notice.	He was to take no notice.	false	12.3	12.78	23.011469
1259_137770_000001_000006	He was to go down at once and say that she commanded acceptance.	He was to go down at once and say that she commanded acceptance.	false	12.78	13.5	19.0916
1259_137770_000001_000007	He went.	He went.	false	13.5	13.59	-8
1259_137770_000001_000008	A scurf of books and china ornaments awaited them.	A scurf of books and china ornaments awaited them.	false	13.59	13.98	-20
1259_137770_000001_000009	The Basts had just been evicted for not paying their rent, and had wandered no one knew whither.	The Basts had just been evicted for not paying their rent, and had wandered no one knew whither.	false	13.98	14.76	12.432491
1259_137770_000001_000010	Helen had begun bungling with her money by this time, and had even sold out her shares in the Nottingham and Derby Railway.	Helen had begun bungling with her money by this time, and had even sold out her shares in the Nottingham and Derby Railway.	false	14.76	17.16	21.127605
1259_137770_000001_000011	For some weeks she did nothing.	For some weeks she did nothing.	false	17.16	17.94	17.748487
1259_137770_000001_000012	Then she reinvested, and, owing to the good advice of her stockbrokers, became rather richer than she had been before.	Then she reinvested, and, owing to the good advice of her stockbrokers, became rather richer than she had been before.	false	17.94	20.55	20.041786
1259_137770_000002_000000	Chapter 31	Chapter thirty one	true	20.55	21.82	22.400015
1259_137770_000003_000000	Houses have their own ways of dying, falling as variously as the generations of men, some with a tragic roar, some quietly, but to an after-life in the city of ghosts, while from others--and thus was the death of Wickham Place--the spirit slips before the body perishes.	Houses have their own ways of dying, falling as variously as the generations of men, some with a tragic roar, some quietly, but to an after life in the city of ghosts, while from others-and thus was the death of Wickham Place-the spirit slips before the body perishes.	true	24.2	42.88	20.272438
1259_137770_000003_000001	It had decayed in the spring, disintegrating the girls more than they knew, and causing either to accost unfamiliar regions.	It had decayed in the spring, disintegrating the girls more than they knew, and causing either to accost unfamiliar regions.	true	43.16	51.01	20.49321
1259_137770_000003_000002	By September it was a corpse, void of emotion, and scarcely hallowed by the memories of thirty years of happiness.	By September it was a corpse, void of emotion, and scarcely hallowed by the memories of thirty years of happiness.	true	51.29	58.36	20.535065
1259_137770_000003_000003	Through its round-topped doorway passed furniture, and pictures, and books, until the last room was gutted and the last van had rumbled away.	Through its round topped doorway passed furniture, and pictures, and books, until the last room was gutted and the last van had rumbled away.	true	58.49	67.03	20.959343
1259_137770_000003_000004	It stood for a week or two longer, open-eyed, as if astonished at its own emptiness.	It stood for a week or two longer, open eyed, as if astonished at its own emptiness.	true	67.43	73.21	19.913277
1259_137770_000003_000005	Then it fell.	Then it fell.	true	73.52	74.83	20.58379
1259_137770_000003_000006	Navvies came, and spilt it back into the grey.	Navvies came, and spilt it back into the grey.	true	75.23	78.34	21.41234
1259_137770_000003_000007	With their muscles and their beery good temper, they were not the worst of undertakers for a house which had always been human, and had not mistaken culture for an end.	With their muscles and their beery good temper, they were not the worst of undertakers for a house which had always been human, and had not mistaken culture for an end.	true	78.83	87.88	19.369774
1259_137770_000004_000000	The furniture, with a few exceptions, went down into Hertfordshire, Mr. Wilcox having most kindly offered Howards End as a warehouse.	The furniture, with a few exceptions, went down into Hertfordshire, mr Wilcox having most kindly offered Howards End as a warehouse.	false	88.73	96.82	20
1259_137770_000004_000001	Mr. Bryce had died abroad--an unsatisfactory affair--and as there seemed little guarantee that the rent would be paid regularly, he cancelled the agreement, and resumed possession himself.	mr Bryce had died abroad-an unsatisfactory affair-and as there seemed little guarantee that the rent would be paid regularly, he cancelled the agreement, and resumed possession himself.	true	96.98	108.82	19.779305
1259_137770_000004_000002	Until he relet the house, the Schlegels were welcome to stack their furniture in the garage and lower rooms.	Until he relet the house, the Schlegels were welcome to stack their furniture in the garage and lower rooms.	true	109.07	114.82	17
1259_137770_000004_000003	Margaret demurred, but Tibby accepted the offer gladly; it saved him from coming to any decision about the future.	Margaret demurred, but Tibby accepted the offer gladly; it saved him from coming to any decision about the future.	true	115.52	122.32	22.23937
1259_137770_000004_000004	The plate and the more valuable pictures found a safer home in London, but the bulk of the things went country-ways, and were entrusted to the guardianship of Miss Avery.	The plate and the more valuable pictures found a safer home in London, but the bulk of the things went country ways, and were entrusted to the guardianship of Miss Avery.	true	122.42	131.77	20.34368
1259_137770_000005_000000	Shortly before the move, our hero and heroine were married.	Shortly before the move, our hero and heroine were married.	true	132.44	136.27	17.458448
1259_137770_000005_000001	They have weathered the storm, and may reasonably expect peace.	They have weathered the storm, and may reasonably expect peace.	true	136.43	140.14	20.404606
1259_137770_000005_000002	To have no illusions and yet to love--what stronger surety can a woman find?	To have no illusions and yet to love-what stronger surety can a woman find?	true	140.48	146.02	17.416927
1259_137770_000005_000003	She had seen her husband's past as well as his heart.	She had seen her husband's past as well as his heart.	true	146.24	149.29	19.673044
