6567_53342_000000_000000	THE PRIDE OF THE VILLAGE.	THE PRIDE OF THE VILLAGE.	false	29.865	42.07	20.113651
6567_53342_000001_000000	May no wolfe howle; no screech owle stir A wing about thy sepulchre! No boysterous winds or stormes come hither, To starve or wither Thy soft sweet earth!	May no wolfe howle; no screech owle stir A wing about thy sepulchre! No boysterous winds or stormes come hither, To starve or wither Thy soft sweet earth!	true	43.88	58.57	22.732222
6567_53342_000001_000001	but, like a spring, Love kept it ever flourishing. HERRICK.	but, like a spring, Love kept it ever flourishing. HERRICK.	true	59.36	68.17	20.682415
6567_53342_000002_000000	IN the course of an excursion through one of the remote counties of England, I had struck into one of those cross-roads that lead through the more secluded parts of the country, and stopped one afternoon at a village the situation of which was beautifully rural and retired.	IN the course of an excursion through one of the remote counties of England, I had struck into one of those cross roads that lead through the more secluded parts of the country, and stopped one afternoon at a village the situation of which was beautifully rural and retired.	true	70.43	88.63	21
6567_53342_000002_000001	There was an air of primitive simplicity about its inhabitants not to be found in the villages which lie on the great coach-roads.	There was an air of primitive simplicity about its inhabitants not to be found in the villages which lie on the great coach roads.	true	89.42	98.5	20
6567_53342_000002_000002	I determined to pass the night there, and, having taken an early dinner, strolled out to enjoy the neighboring scenery.	I determined to pass the night there, and, having taken an early dinner, strolled out to enjoy the neighboring scenery.	true	99.17	108.04	23.505228
6567_53342_000003_000000	My ramble, as is usually the case with travellers, soon led me to the church, which stood at a little distance from the village.	My ramble, as is usually the case with travellers, soon led me to the church, which stood at a little distance from the village.	true	109.07	119.11	19.678925
6567_53342_000003_000001	Indeed, it was an object of some curiosity, its old tower being completely overrun with ivy so that only here and there a jutting buttress, an angle of gray wall, or a fantastically carved ornament peered through the verdant covering.	Indeed, it was an object of some curiosity, its old tower being completely overrun with ivy so that only here and there a jutting buttress, an angle of gray wall, or a fantastically carved ornament peered through the verdant covering.	true	119.54	138.67	21
6567_53342_000003_000002	It was a lovely evening.	It was a lovely evening.	true	139.58	142.63	19.239382
6567_53342_000003_000003	The early part of the day had been dark and showery, but in the afternoon it had cleared up, and, though sullen clouds still hung overhead, yet there was a broad tract of golden sky in the west, from which the setting sun gleamed through the dripping leaves and lit up all Nature into a melancholy smile.	The early part of the day had been dark and showery, but in the afternoon it had cleared up, and, though sullen clouds still hung overhead, yet there was a broad tract of golden sky in the west, from which the setting sun gleamed through the dripping leaves and lit up all Nature into a melancholy smile.	true	143.03	167.5	21.841646
6567_53342_000003_000004	It seemed like the parting hour of a good Christian smiling on the sins and sorrows of the world, and giving, in the serenity of his decline, an assurance that he will rise again in glory.	It seemed like the parting hour of a good Christian smiling on the sins and sorrows of the world, and giving, in the serenity of his decline, an assurance that he will rise again in glory.	true	168.71	184.27	19
6567_53342_000004_000000	I had seated myself on a half-sunken tombstone, and was musing, as one is apt to do at this sober-thoughted hour, on past scenes and early friends--on those who were distant and those who were dead--and indulging in that kind of melancholy fancying which has in it something sweeter even than pleasure.	I had seated myself on a half sunken tombstone, and was musing, as one is apt to do at this sober thoughted hour, on past scenes and early friends-on those who were distant and those who were dead-and indulging in that kind of melancholy fancying which has in it something sweeter even than pleasure.	true	185.63	212.05	21.353508
6567_53342_000004_000001	Every now and then the stroke of a bell from the neighboring tower fell on my ear; its tones were in unison with the scene, and, instead of jarring, chimed in with my feelings; and it was some time before I recollected that it must be tolling the knell of some new tenant of the tomb.	Every now and then the stroke of a bell from the neighboring tower fell on my ear; its tones were in unison with the scene, and, instead of jarring, chimed in with my feelings; and it was some time before I recollected that it must be tolling the knell of some new tenant of the tomb.	true	213.14	235.84	21.635664
6567_53342_000005_000000	Presently I saw a funeral train moving across the village green; it wound slowly along a lane, was lost, and reappeared through the breaks of the hedges, until it passed the place where I was sitting.	Presently I saw a funeral train moving across the village green; it wound slowly along a lane, was lost, and reappeared through the breaks of the hedges, until it passed the place where I was sitting.	true	236.87	252.22	19.89752
6567_53342_000005_000001	The pall was supported by young girls dressed in white, and another, about the age of seventeen, walked before, bearing a chaplet of white flowers--a token that the deceased was a young and unmarried female.	The pall was supported by young girls dressed in white, and another, about the age of seventeen, walked before, bearing a chaplet of white flowers-a token that the deceased was a young and unmarried female.	false	253.07	271.06	21.760834
6567_53342_000005_000002	The corpse was followed by the parents.	The corpse was followed by the parents.	true	272.12	274.93	21.721022
6567_53342_000005_000003	They were a venerable couple of the better order of peasantry.	They were a venerable couple of the better order of peasantry.	true	275.33	279.07	18
6567_53342_000005_000004	The father seemed to repress his feelings, but his fixed eye, contracted brow, and deeply-furrowed face showed the struggle that was passing within.	The father seemed to repress his feelings, but his fixed eye, contracted brow, and deeply furrowed face showed the struggle that was passing within.	true	279.74	293.14	21.44073
6567_53342_000005_000005	His wife hung on his arm, and wept aloud with the convulsive bursts of a mother's sorrow.	His wife hung on his arm, and wept aloud with the convulsive bursts of a mother's sorrow.	true	293.99	301.81	20.98808
6567_53342_000006_000000	I followed the funeral into the church.	I followed the funeral into the church.	true	302.6	305.41	22.82814
6567_53342_000006_000001	The bier was placed in the centre aisle, and the chaplet of white flowers, with a pair of white gloves, was hung over the seat which the deceased had occupied.	The bier was placed in the centre aisle, and the chaplet of white flowers, with a pair of white gloves, was hung over the seat which the deceased had occupied.	true	305.6	317.8	22.520424
6567_53342_000007_000000	Every one knows the soul-subduing pathos of the funeral service, for who is so fortunate as never to have followed some one he has loved to the tomb?	Every one knows the soul subduing pathos of the funeral service, for who is so fortunate as never to have followed some one he has loved to the tomb?	true	319.31	330.58	20.869379
6567_53342_000007_000001	But when performed over the remains of innocence and beauty, thus laid low in the bloom of existence, what can be more affecting?	But when performed over the remains of innocence and beauty, thus laid low in the bloom of existence, what can be more affecting?	true	331.58	342.76	20.072012
6567_53342_000007_000002	At that simple but most solemn consignment of the body to the grave-"Earth to earth, ashes to ashes, dust to dust!"--the tears of the youthful companions of the deceased flowed unrestrained.	At that simple but most solemn consignment of the body to the grave "Earth to earth, ashes to ashes, dust to dust!"--the tears of the youthful companions of the deceased flowed unrestrained.	true	344.15	359.59	22.732473
6567_53342_000007_000003	The father still seemed to struggle with his feelings, and to comfort himself with the assurance that the dead are blessed which die in the Lord; but the mother only thought of her child as a flower of the field cut down and withered in the midst of its sweetness; she was like Rachel, "mourning over her children, and would not be comforted."	The father still seemed to struggle with his feelings, and to comfort himself with the assurance that the dead are blessed which die in the Lord; but the mother only thought of her child as a flower of the field cut down and withered in the midst of its sweetness; she was like Rachel, "mourning over her children, and would not be comforted."	true	360.41	387.37	21.328747
6567_53342_000008_000000	On returning to the inn I learnt the whole story of the deceased.	On returning to the inn I learnt the whole story of the deceased.	true	389.18	394.42	24.638674
6567_53342_000008_000001	It was a simple one, and such as has often been told.	It was a simple one, and such as has often been told.	true	394.88	399.73	21.828392
6567_53342_000008_000002	She had been the beauty and pride of the village.	She had been the beauty and pride of the village.	true	400.16	404.47	19
6567_53342_000008_000003	Her father had once been an opulent farmer, but was reduced in circumstances.	Her father had once been an opulent farmer, but was reduced in circumstances.	true	405.14	411.1	22.294294
6567_53342_000008_000004	This was an only child, and brought up entirely at home in the simplicity of rural life.	This was an only child, and brought up entirely at home in the simplicity of rural life.	true	411.89	418.63	17
6567_53342_000008_000005	She had been the pupil of the village pastor, the favorite lamb of his little flock.	She had been the pupil of the village pastor, the favorite lamb of his little flock.	true	419.06	425.77	20.68044
