1748_1562_000000_000000	CHAPTER III	CHAPTER three	true	20.13	21.07	22.522758
1748_1562_000001_000000	"Man doth usurp all space, Stares thee, in rock, bush, river, in the face. Never thine eyes behold a tree; 'Tis no sea thou seest in the sea, 'Tis but a disguised humanity. To avoid thy fellow, vain thy plan; All that interests a man, is man." HENRY SUTTON.	"Man doth usurp all space, Stares thee, in rock, bush, river, in the face. Never thine eyes behold a tree; 'tis no sea thou seest in the sea, 'tis but a disguised humanity. To avoid thy fellow, vain thy plan; All that interests a man, is man." HENRY SUTTON.	false	22.43	46.81	19.279272
1748_1562_000002_000000	The trees, which were far apart where I entered, giving free passage to the level rays of the sun, closed rapidly as I advanced, so that ere long their crowded stems barred the sunlight out, forming as it were a thick grating between me and the East.	The trees, which were far apart where I entered, giving free passage to the level rays of the sun, closed rapidly as I advanced, so that ere long their crowded stems barred the sunlight out, forming as it were a thick grating between me and the East.	false	48.62	63.91	21.175373
1748_1562_000002_000001	I seemed to be advancing towards a second midnight.	I seemed to be advancing towards a second midnight.	true	64.4	67.48	24.504232
1748_1562_000002_000002	In the midst of the intervening twilight, however, before I entered what appeared to be the darkest portion of the forest, I saw a country maiden coming towards me from its very depths.	In the midst of the intervening twilight, however, before I entered what appeared to be the darkest portion of the forest, I saw a country maiden coming towards me from its very depths.	true	67.88	77.68	21.82046
1748_1562_000002_000003	She did not seem to observe me, for she was apparently intent upon a bunch of wild flowers which she carried in her hand.	She did not seem to observe me, for she was apparently intent upon a bunch of wild flowers which she carried in her hand.	true	78.35	84.7	18
1748_1562_000002_000004	I could hardly see her face; for, though she came direct towards me, she never looked up.	I could hardly see her face; for, though she came direct towards me, she never looked up.	true	85.46	91.03	21.880112
1748_1562_000002_000005	But when we met, instead of passing, she turned and walked alongside of me for a few yards, still keeping her face downwards, and busied with her flowers. She spoke rapidly, however, all the time, in a low tone, as if talking to herself, but evidently addressing the purport of her words to me.	But when we met, instead of passing, she turned and walked alongside of me for a few yards, still keeping her face downwards, and busied with her flowers. She spoke rapidly, however, all the time, in a low tone, as if talking to herself, but evidently addressing the purport of her words to me.	true	91.64	109.9	21.543007
1748_1562_000003_000000	She seemed afraid of being observed by some lurking foe.	She seemed afraid of being observed by some lurking foe.	true	110.63	113.98	19.641985
1748_1562_000003_000001	"Trust the Oak," said she; "trust the Oak, and the Elm, and the great Beech.	"Trust the Oak," said she; "trust the Oak, and the Elm, and the great Beech.	true	114.32	119.05	22.239336
1748_1562_000003_000002	Take care of the Birch, for though she is honest, she is too young not to be changeable.	Take care of the Birch, for though she is honest, she is too young not to be changeable.	true	119.09	123.85	21.611843
1748_1562_000003_000003	But shun the Ash and the Alder; for the Ash is an ogre,--you will know him by his thick fingers; and the Alder will smother you with her web of hair, if you let her near you at night." All this was uttered without pause or alteration of tone.	But shun the Ash and the Alder; for the Ash is an ogre,--you will know him by his thick fingers; and the Alder will smother you with her web of hair, if you let her near you at night." All this was uttered without pause or alteration of tone.	false	124.04	139.09	20.627386
1748_1562_000003_000004	Then she turned suddenly and left me, walking still with the same unchanging gait.	Then she turned suddenly and left me, walking still with the same unchanging gait.	true	139.49	144.19	22.389893
1748_1562_000003_000005	I could not conjecture what she meant, but satisfied myself with thinking that it would be time enough to find out her meaning when there was need to make use of her warning, and that the occasion would reveal the admonition.	I could not conjecture what she meant, but satisfied myself with thinking that it would be time enough to find out her meaning when there was need to make use of her warning, and that the occasion would reveal the admonition.	true	144.62	155.77	20.986364
1748_1562_000003_000006	I concluded from the flowers that she carried, that the forest could not be everywhere so dense as it appeared from where I was now walking; and I was right in this conclusion.	I concluded from the flowers that she carried, that the forest could not be everywhere so dense as it appeared from where I was now walking; and I was right in this conclusion.	true	156.44	165.61	20.847198
1748_1562_000003_000007	For soon I came to a more open part, and by-and-by crossed a wide grassy glade, on which were several circles of brighter green.	For soon I came to a more open part, and by and by crossed a wide grassy glade, on which were several circles of brighter green.	false	165.89	173.5	20
1748_1562_000003_000008	But even here I was struck with the utter stillness.	But even here I was struck with the utter stillness.	true	174.02	176.62	20
1748_1562_000003_000009	No bird sang.	No bird sang.	false	177.14	179.04	17.227468
1748_1562_000003_000010	No insect hummed.	No insect hummed.	true	179.04	180.52	22.099972
1748_1562_000003_000011	Not a living creature crossed my way.	Not a living creature crossed my way.	true	180.89	183.01	18.892824
1748_1562_000003_000012	Yet somehow the whole environment seemed only asleep, and to wear even in sleep an air of expectation.	Yet somehow the whole environment seemed only asleep, and to wear even in sleep an air of expectation.	true	183.47	190	20.871786
1748_1562_000003_000013	The trees seemed all to have an expression of conscious mystery, as if they said to themselves, "we could, an' if we would." They had all a meaning look about them.	The trees seemed all to have an expression of conscious mystery, as if they said to themselves, "we could, an' if we would." They had all a meaning look about them.	false	191.09	200.71	21.270437
1748_1562_000003_000014	Then I remembered that night is the fairies' day, and the moon their sun; and I thought--Everything sleeps and dreams now: when the night comes, it will be different.	Then I remembered that night is the fairies' day, and the moon their sun; and I thought-Everything sleeps and dreams now: when the night comes, it will be different.	true	201.17	211.24	20.826677
1748_1562_000003_000015	At the same time I, being a man and a child of the day, felt some anxiety as to how I should fare among the elves and other children of the night who wake when mortals dream, and find their common life in those wondrous hours that flow noiselessly over the moveless death-like forms of men and women and children, lying strewn and parted beneath the weight of the heavy waves of night, which flow on and beat them down, and hold them drowned and senseless, until the ebbtide comes, and the waves sink away, back into the ocean of the dark.	At the same time I, being a man and a child of the day, felt some anxiety as to how I should fare among the elves and other children of the night who wake when mortals dream, and find their common life in those wondrous hours that flow noiselessly over the moveless death like forms of men and women and children, lying strewn and parted beneath the weight of the heavy waves of night, which flow on and beat them down, and hold them drowned and senseless, until the ebbtide comes, and the waves sink away, back into the ocean of the dark.	true	211.94	244	19
1748_1562_000003_000016	But I took courage and went on.	But I took courage and went on.	true	244.79	246.61	19.57398
1748_1562_000003_000017	Soon, however, I became again anxious, though from another cause.	Soon, however, I became again anxious, though from another cause.	true	247.1	251.71	22.07344
