5655_46267_000000_000000	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	false	0	4.23	25.156517
5655_46267_000000_000001	"Tell about Fritz and the parrot, too," said Virginia.	"Tell about Fritz and the parrot, too," said Virginia.	false	4.23	7.44	24.341759
5655_46267_000000_000002	"Here, Malcolm, there's room on this side for you."	"Here, Malcolm, there's room on this side for you."	false	7.44	10.38	25.288849
5655_46267_000001_000000	Aunt Allison smiled.	Aunt Allison smiled.	false	10.38	11.37	12
5655_46267_000001_000001	The storm had blown over, and they were all friends again.	The storm had blown over, and they were all friends again.	false	11.37	15	31.3966
5655_46267_000002_000000	[Illustration: "'DAPHNE, WHAT'S DEM CHILLUN ALLUZ RACIN' DOWN TO DE SPRING-HOUSE FO'?'"]	[Illustration: "'DAPHNE, WHAT'S DEM c h i l l u n a l l u z RACIN' DOWN TO DE SPRING HOUSE FO'?'"]	false	15	22.59	28.391693
5655_46267_000003_000000	CHAPTER III.	CHAPTER three.	true	22.59	23.77	24.221714
5655_46267_000004_000000	THE VALENTINE PARTY.	THE VALENTINE PARTY.	true	24.05	25.6	27.09981
5655_46267_000005_000000	"Now we can tell Ginger about the bear," was Keith's first remark, when he awoke early next morning.	"Now we can tell Ginger about the bear," was Keith's first remark, when he awoke early next morning.	true	26.12	32.14	24.872097
5655_46267_000006_000000	"But not until after we have seen the man again," answered Malcolm.	"But not until after we have seen the man again," answered Malcolm.	false	32.54	35.8	19.63886
5655_46267_000006_000001	"You know we promised him that."	"You know we promised him that."	false	36.02	37.93	24.859016
5655_46267_000007_000000	"Then let's go down before breakfast," exclaimed Keith, springing out of bed and beginning to dress himself.	"Then let's go down before breakfast," exclaimed Keith, springing out of bed and beginning to dress himself.	true	38.3	44.29	23.98017
5655_46267_000007_000001	A little while later, the old coloured coachman saw them run past the window, where he was warming himself by the kitchen stove.	A little while later, the old coloured coachman saw them run past the window, where he was warming himself by the kitchen stove.	true	44.72	52.24	22.921833
5655_46267_000008_000000	"Daphne," he called out to the cook, who was beating biscuit in the adjoining pantry, "Daphne, what's dem chillun alluz racin' down to de spring-house fo' in de snow?	"Daphne," he called out to the cook, who was beating biscuit in the adjoining pantry, "Daphne, what's dem chillun alluz racin' down to de spring house fo' in de snow?	false	53	64.02	21.86112
5655_46267_000008_000001	Peah's lak dee has a heap o' business down yandah."	Peah's lak dee has a heap o' business down yandah."	false	64.02	67.99	24.260382
5655_46267_000009_000000	Daphne, who had just been coaxed into filling a basket with a generous supply of cold victuals, pretended not to hear until he repeated his question.	Daphne, who had just been coaxed into filling a basket with a generous supply of cold victuals, pretended not to hear until he repeated his question.	true	68.63	77.41	23.774311
5655_46267_000009_000001	Then she stopped pounding long enough to say, sharply, "Whuffo' you alluz 'spicion dem boys so evahlastin'ly, Unc' Henry?	Then she stopped pounding long enough to say, sharply, "Whuffo' you alluz 'spicion dem boys so evahlastin'ly, u n c' Henry?	false	77.72	85.96	21.955269
5655_46267_000009_000002	Lak enough dee's settin' a rabbit trap.	Lak enough dee's settin' a rabbit trap.	true	86.3	89.385	23.773655
5655_46267_000009_000003	Boys has done such things befo'. You's done it yo'se'f, hasn't you?"	Boys has done such things befo'. You's done it yo'se'f, hasn't you?"	false	89.385	93.97	22.330673
5655_46267_000010_000000	Daphne had seen them setting rabbit traps there, but she knew well enough that was not what they had gone for now, and that the food they carried was not for the game of Robinson Crusoe, which they had played in the deserted cabin the summer before.	Daphne had seen them setting rabbit traps there, but she knew well enough that was not what they had gone for now, and that the food they carried was not for the game of Robinson Crusoe, which they had played in the deserted cabin the summer before.	true	94.64	108.91	22.958864
5655_46267_000010_000001	Still, she did not care to take Unc' Henry into her confidence.	Still, she did not care to take u n c' Henry into her confidence.	false	109.13	113.53	26.469477
5655_46267_000011_000000	The food, the warmth, and the night's rest had so restored the bear that it was able to go through all its performances for the boys' entertainment, although it limped badly.	The food, the warmth, and the night's rest had so restored the bear that it was able to go through all its performances for the boys' entertainment, although it limped badly.	false	113.93	124.75	25.46605
5655_46267_000012_000000	"Isn't he a dandy?" cried Keith; "I wish we had one.	"Isn't he a dandy?" cried Keith; "I wish we had one.	false	124.91	128.77	26.21501
5655_46267_000012_000001	It's nicer than any pets we ever had, except the ponies.	It's nicer than any pets we ever had, except the ponies.	true	128.78	133.03	25.160868
5655_46267_000012_000002	Something always happened to the dogs, and the monkey was such a nuisance, and the white rabbits were stolen, and the guinea pigs died."	Something always happened to the dogs, and the monkey was such a nuisance, and the white rabbits were stolen, and the guinea pigs died."	false	133.37	142.15	24.576832
5655_46267_000013_000000	"Haven't we had a lot of things, when you come to think of it?" exclaimed Malcolm.	"Haven't we had a lot of things, when you come to think of it?" exclaimed Malcolm.	true	142.49	146.56	23
5655_46267_000013_000001	"Squirrels, and white mice, and the coon that Uncle Harry brought us, and the parrot from Mexico."	"Squirrels, and white mice, and the coon that Uncle Harry brought us, and the parrot from Mexico."	false	146.78	153.31	24.278652
5655_46267_000014_000000	"Yes, and the gold-fish, and the little baby alligator that froze to death in its tank," added Keith.	"Yes, and the gold fish, and the little baby alligator that froze to death in its tank," added Keith.	true	153.8	159.85	20.908678
5655_46267_000014_000001	"But a bear like this would be nicer than any of them.	"But a bear like this would be nicer than any of them.	true	160.22	163.54	23
5655_46267_000014_000002	As soon as papa comes home I am going to ask him to buy us one."	As soon as papa comes home I am going to ask him to buy us one."	true	163.61	167.5	25.348482
5655_46267_000015_000000	"Jonesy's nearly done for," said the tramp, pointing to the boy who lay curled up in the hay, coughing at nearly every breath.	"Jonesy's nearly done for," said the tramp, pointing to the boy who lay curled up in the hay, coughing at nearly every breath.	true	168.11	175.69	21.132843
5655_46267_000015_000001	"We ought to stay here another day, if you young gen'lemen don't object."	"We ought to stay here another day, if you young gen'lemen don't object."	false	175.76	180.75	19.884998
5655_46267_000016_000000	"Oh, goody!" cried Keith.	"Oh, goody!" cried Keith.	true	180.75	182.655	24.59792
5655_46267_000016_000001	"Then we can bring Ginger down to see the bear perform."	"Then we can bring Ginger down to see the bear perform."	true	182.655	185.56	19.431751
5655_46267_000017_000000	"Yes," answered the man, "we'll give a free show to all your friends, if you will only kindly wait till to-morrow.	"Yes," answered the man, "we'll give a free show to all your friends, if you will only kindly wait till to morrow.	false	185.72	192.9	20.652048
5655_46267_000017_000001	Give us one more day to rest up and get in a little better trim.	Give us one more day to rest up and get in a little better trim.	true	192.9	197.5	20.786886
5655_46267_000017_000002	The poor beast's foot is still too lame for him to do his best, and you're too kind-hearted, I am sure, to want anything to suffer in order to give you pleasure."	The poor beast's foot is still too lame for him to do his best, and you're too kind hearted, I am sure, to want anything to suffer in order to give you pleasure."	true	197.54	207.76	21.647598
5655_46267_000018_000000	"Of course," answered both the boys, agreeing so quickly to all the man's smooth speeches that, before they left the cabin, they had renewed their promise to keep silent one more day.	"Of course," answered both the boys, agreeing so quickly to all the man's smooth speeches that, before they left the cabin, they had renewed their promise to keep silent one more day.	true	208.16	219.22	23.033491
5655_46267_000018_000001	The man was a shrewd one, and knew well how to make these unsuspecting little souls serve his purpose, like puppets tied to a string.	The man was a shrewd one, and knew well how to make these unsuspecting little souls serve his purpose, like puppets tied to a string.	true	219.59	228.64	21.304808
5655_46267_000019_000000	Miss Allison was so busy with preparations for the party that she had no time all that day to notice what the boys were doing.	Miss Allison was so busy with preparations for the party that she had no time all that day to notice what the boys were doing.	true	229.19	237.25	20.733463
5655_46267_000019_000001	When they came back from reciting their lessons to the minister, she sent them on several errands, but the rest of the time they divided between the cabin and the post-office.	When they came back from reciting their lessons to the minister, she sent them on several errands, but the rest of the time they divided between the cabin and the post office.	true	237.47	247.21	20
5655_46267_000020_000000	Every mail brought a few valentines to each of them, but it was not until the five o'clock train came that they found the long-looked-for letters from their father and mother.	Every mail brought a few valentines to each of them, but it was not until the five o'clock train came that they found the long looked for letters from their father and mother.	true	248.33	259.78	22.7109
5655_46267_000021_000000	"I knew they'd each send us a valentine," cried Keith, tearing both of his open.	"I knew they'd each send us a valentine," cried Keith, tearing both of his open.	true	260.03	265.12	21
5655_46267_000021_000001	"I'll bet that papa's is a comic one.	"I'll bet that papa's is a comic one.	true	265.25	267.67	28.746374
5655_46267_000021_000002	Yes, here it is.	Yes, here it is.	true	267.77	269.2	18.581184
5655_46267_000021_000003	Papa is such a tease.	Papa is such a tease.	false	269.3	270.975	26
5655_46267_000021_000004	Isn't it a stunner?	Isn't it a stunner?	true	270.975	272.265	25.523415
5655_46267_000021_000005	a base-ball player.	a base ball player.	true	272.265	273.76	27.180243
5655_46267_000021_000006	And, whoopee! Here's a dollar bill in each of 'em."	And, whoopee! Here's a dollar bill in each of 'em."	false	273.77	277.74	22.472637
5655_46267_000022_000000	"So there is in mine," said Malcolm.	"So there is in mine," said Malcolm.	true	277.74	280	17
5655_46267_000022_000001	"Mamma says we are to buy anything we want, and call it a valentine.	"Mamma says we are to buy anything we want, and call it a valentine.	true	280.04	284.35	19.392584
5655_46267_000022_000002	They couldn't find anything down on the coast that they thought we would like."	They couldn't find anything down on the coast that they thought we would like."	true	284.39	288.13	22.954498
5655_46267_000023_000000	"I don't know what to get with mine," said Keith, folding his two bills together.	"I don't know what to get with mine," said Keith, folding his two bills together.	true	288.5	293.11	21.36948
5655_46267_000023_000001	"Seems to me I have everything I want except a camera, and I couldn't buy the kind I want for two dollars."	"Seems to me I have everything I want except a camera, and I couldn't buy the kind I want for two dollars."	true	293.36	299.8	21.203394
5655_46267_000024_000000	They were half-way home when a happy thought came to Malcolm.	They were half-way home when a happy thought came to Malcolm.	true	300.56	303.85	21.198048
5655_46267_000024_000001	"Keith," he cried, excitedly, "if you would put your money with mine, that would make four dollars, and maybe it would be enough to buy that bear!"	"Keith," he cried, excitedly, "if you would put your money with mine, that would make four dollars, and maybe it would be enough to buy that bear!"	false	304.1	313.45	22.293673
5655_46267_000025_000000	"Let's do it!" exclaimed Keith, turning a handspring in the snow to show his delight.	"Let's do it!" exclaimed Keith, turning a handspring in the snow to show his delight.	true	313.82	318.825	22.592037
