1859_145701_000000_000000	And now she desired him to guide her thither at once.	And now she desired him to guide her thither at once.	false	0	2.07	22.528784
1859_145701_000000_000001	The old man did so, and when they came to the palace he hid her behind the great picture and advised her to keep quite still, and he placed himself behind the picture also.	The old man did so, and when they came to the palace he hid her behind the great picture and advised her to keep quite still, and he placed himself behind the picture also.	false	2.07	3.39	14
1859_145701_000000_000002	Presently the eagles came flying in, and changed themselves into young men, and in a moment the Princess recognised her husband amongst them all, and tried to come out of her hiding-place; but the old man held her back.	Presently the eagles came flying in, and changed themselves into young men, and in a moment the Princess recognised her husband amongst them all, and tried to come out of her hiding place; but the old man held her back.	false	3.39	4.26	11
1859_145701_000000_000003	The youths seated themselves at the table; and now the Prince said again, while he took up the cup of wine:	The youths seated themselves at the table; and now the Prince said again, while he took up the cup of wine:	false	4.26	5.385	20.209358
1859_145701_000001_000000	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	false	5.385	8.34	16
1859_145701_000002_000000	Then the Princess could restrain herself no longer, but ran forward and threw her arms round her husband.	Then the Princess could restrain herself no longer, but ran forward and threw her arms round her husband.	false	8.34	9.42	12
1859_145701_000002_000001	And immediately he knew her again, and said:	And immediately he knew her again, and said:	false	9.42	9.81	17
1859_145701_000003_000000	'Do you remember how I told you that day that you would betray me? Now you see that I spoke the truth.	'Do you remember how I told you that day that you would betray me? Now you see that I spoke the truth.	false	9.81	10.89	9
1859_145701_000003_000001	But all that bad time is past.	But all that bad time is past.	false	10.89	11.04	11
1859_145701_000003_000002	Now listen to me: I must still remain enchanted for three months.	Now listen to me: I must still remain enchanted for three months.	false	11.04	11.88	8
1859_145701_000003_000003	Will you stay here with me till that time is over?'	Will you stay here with me till that time is over?'	false	11.88	12.93	16.389307
