5290_26685_000000_000000	CHAPTER XXIX	CHAPTER twenty nine	false	0.66	24.81	20.823837
5290_26685_000001_000000	IN WHICH CASSANDRA VISITS DAVID THRYNG'S ANCESTORS	IN WHICH CASSANDRA VISITS DAVID THRYNG'S ANCESTORS	true	24.81	27.88	21
5290_26685_000002_000000	It was a pleasant morning in London, with as clear a sky as is ever permitted to that great city.	It was a pleasant morning in London, with as clear a sky as is ever permitted to that great city.	false	29.24	35.02	22.028875
5290_26685_000002_000001	Cassandra had placed her little son in the middle of a huge bed which nearly filled the small room she had been given in a hotel, recommended to her by Betty Towers as one where "nice ladies travelling alone" could stop.	Cassandra had placed her little son in the middle of a huge bed which nearly filled the small room she had been given in a hotel, recommended to her by Betty Towers as one where "nice ladies travelling alone" could stop.	true	35.51	49.36	22
5290_26685_000003_000000	The child was dressed in a fresh white coat, and Cassandra had much ado to keep him clean.	The child was dressed in a fresh white coat, and Cassandra had much ado to keep him clean.	true	49.97	55.81	25.720415
5290_26685_000003_000001	She heaped him about with pillows and bedclothing to make a nest for him, and gave him a spoon and a drinking cup for entertainment, while she arranged her own toilet before a cloudy mirror by a slant ray of daylight that managed to sift through the heavy draperies and lace curtains that obscured the one high, narrow window of her room.	She heaped him about with pillows and bedclothing to make a nest for him, and gave him a spoon and a drinking cup for entertainment, while she arranged her own toilet before a cloudy mirror by a slant ray of daylight that managed to sift through the heavy draperies and lace curtains that obscured the one high, narrow window of her room.	false	56.21	76.36	22.445604
5290_26685_000004_000000	She had tried to put them one side that she might look out when she awoke, but she could see only chimney-pots and grimy, irregularly tiled roofs.	She had tried to put them one side that she might look out when she awoke, but she could see only chimney pots and grimy, irregularly tiled roofs.	true	77.3	86.71	25.626259
5290_26685_000004_000001	A narrow opening at the top of the window let in a little air; still she felt smothered, and tried to raise the lower sash, but could not move it.	A narrow opening at the top of the window let in a little air; still she felt smothered, and tried to raise the lower sash, but could not move it.	true	87.26	96.52	23.550371
5290_26685_000004_000002	She thought of the books she had read about great cities, and how some people had to live in places like this always; and her heart filled with a large pity for them.	She thought of the books she had read about great cities, and how some people had to live in places like this always; and her heart filled with a large pity for them.	false	97.1	106.66	24.036053
5290_26685_000004_000003	Here only a small triangle of blue sky could be seen--not a tree, not a bit of earth--and in the small room all those heavy furnishings closed around her, dark red, stuffy, and greasy with London smoke.	Here only a small triangle of blue sky could be seen-not a tree, not a bit of earth-and in the small room all those heavy furnishings closed around her, dark red, stuffy, and greasy with London smoke.	true	107.27	122.35	22.59187
5290_26685_000004_000004	She could not touch them without blackening her hands, nor let her baby sit on the floor for the dirt he wiped up on his clothing as he rolled and kicked about.	She could not touch them without blackening her hands, nor let her baby sit on the floor for the dirt he wiped up on his clothing as he rolled and kicked about.	true	122.51	131.95	24.320875
5290_26685_000005_000000	The room seemed to sway and tip as the ship had done, and there was a continuous sound as of thunder, a strange undercurrent that seemed to her strained nerves like the moaning of the lost souls of all the ages, who had lived and toiled and smothered in this monstrous and terrible city.	The room seemed to sway and tip as the ship had done, and there was a continuous sound as of thunder, a strange undercurrent that seemed to her strained nerves like the moaning of the lost souls of all the ages, who had lived and toiled and smothered in this monstrous and terrible city.	true	132.02	148.47	22
5290_26685_000006_000000	Ah, she must get out of it.	Ah, she must get out of it.	false	148.47	151.2	19.972208
5290_26685_000006_000001	She must hurry--hurry and find David.	She must hurry-hurry and find David.	true	151.2	154.39	21.547298
5290_26685_000006_000002	He would be glad to see his little son.	He would be glad to see his little son.	true	154.52	156.67	23.155462
5290_26685_000006_000003	He would take him in his arms.	He would take him in his arms.	true	157.01	158.92	21.207054
