512_124520_000004_000000	GOPHER PRAIRIE was digging in for the winter.	GOPHER PRAIRIE was digging in for the winter.
512_124520_000004_000001	Through late November and all December it snowed daily; the thermometer was at zero and might drop to twenty below, or thirty.	Through late November and all December it snowed daily; the thermometer was at zero and might drop to twenty below, or thirty.
512_124520_000004_000002	Winter is not a season in the North Middlewest; it is an industry.	Winter is not a season in the North Middlewest; it is an industry.
512_124520_000004_000003	Storm sheds were erected at every door. In every block the householders, Sam Clark, the wealthy Mr. Dawson, all save asthmatic Ezra Stowbody who extravagantly hired a boy, were seen perilously staggering up ladders, carrying storm windows and screwing them to second-story jambs.	Storm sheds were erected at every door. In every block the householders, Sam Clark, the wealthy mr Dawson, all save asthmatic ezra Stowbody who extravagantly hired a boy, were seen perilously staggering up ladders, carrying storm windows and screwing them to second story jambs.
512_124520_000004_000004	While Kennicott put up his windows Carol danced inside the bedrooms and begged him not to swallow the screws, which he held in his mouth like an extraordinary set of external false teeth.	While Kennicott put up his windows Carol danced inside the bedrooms and begged him not to swallow the screws, which he held in his mouth like an extraordinary set of external false teeth.
512_124520_000005_000002	The children's parents either laughed at him or hated him.	The children's parents either laughed at him or hated him.
512_124520_000005_000003	He was the one democrat in town.	He was the one democrat in town.
512_124520_000005_000004	He called both Lyman Cass the miller and the Finn homesteader from Lost Lake by their first names. He was known as "The Red Swede," and considered slightly insane.	He called both Lyman Cass the miller and the Finn homesteader from Lost Lake by their first names. He was known as "The Red Swede," and considered slightly insane.
512_124520_000006_000000	Bjornstam could do anything with his hands--solder a pan, weld an automobile spring, soothe a frightened filly, tinker a clock, carve a Gloucester schooner which magically went into a bottle.	Bjornstam could do anything with his hands-solder a pan, weld an automobile spring, soothe a frightened filly, tinker a clock, carve a Gloucester schooner which magically went into a bottle.
512_124520_000006_000001	Now, for a week, he was commissioner general of Gopher Prairie.	Now, for a week, he was commissioner general of Gopher Prairie.
512_124520_000006_000002	He was the only person besides the repairman at Sam Clark's who understood plumbing.	He was the only person besides the repairman at Sam Clark's who understood plumbing.
512_124520_000006_000004	He rushed from house to house till after bedtime--ten o'clock.	He rushed from house to house till after bedtime-ten o'clock.
512_124520_000006_000005	Icicles from burst water-pipes hung along the skirt of his brown dog-skin overcoat; his plush cap, which he never took off in the house, was a pulp of ice and coal-dust; his red hands were cracked to rawness; he chewed the stub of a cigar.	Icicles from burst water pipes hung along the skirt of his brown dog skin overcoat; his plush cap, which he never took off in the house, was a pulp of ice and coal dust; his red hands were cracked to rawness; he chewed the stub of a cigar.
512_124520_000007_000000	But he was courtly to Carol.	But he was courtly to Carol.
512_124520_000007_000001	He stooped to examine the furnace flues; he straightened, glanced down at her, and hemmed, "Got to fix your furnace, no matter what else I do."	He stooped to examine the furnace flues; he straightened, glanced down at her, and hemmed, "Got to fix your furnace, no matter what else I do."
512_124520_000008_000001	Along the railroad the sections of snow fence, which had been stacked all summer in romantic wooden tents occupied by roving small boys, were set up to prevent drifts from covering the track.	Along the railroad the sections of snow fence, which had been stacked all summer in romantic wooden tents occupied by roving small boys, were set up to prevent drifts from covering the track.
512_124520_000011_000000	Winter garments surpassed even personal gossip as the topic at parties. It was good form to ask, "Put on your heavies yet?" There were as many distinctions in wraps as in motor cars.	Winter garments surpassed even personal gossip as the topic at parties. It was good form to ask, "Put on your heavies yet?" There were as many distinctions in wraps as in motor cars.
512_124520_000011_000001	The lesser sort appeared in yellow and black dogskin coats, but Kennicott was lordly in a long raccoon ulster and a new seal cap.	The lesser sort appeared in yellow and black dogskin coats, but Kennicott was lordly in a long raccoon ulster and a new seal cap.
512_124520_000012_000000	Carol herself stirred Main Street by a loose coat of nutria.	Carol herself stirred Main Street by a loose coat of nutria.
512_124520_000014_000001	It was so rich-looking to sit and drive--and so easy. Skiing and sliding were "stupid" and "old-fashioned." In fact, the village longed for the elegance of city recreations almost as much as the cities longed for village sports; and Gopher Prairie took as much pride in neglecting coasting as St. Paul--or New York--in going coasting.	It was so rich looking to sit and drive-and so easy. Skiing and sliding were "stupid" and "old-fashioned." In fact, the village longed for the elegance of city recreations almost as much as the cities longed for village sports; and Gopher Prairie took as much pride in neglecting coasting as saint Paul--or New York-in going coasting.
512_124520_000014_000004	Harry Haydock did figure-eights, and Carol was certain that she had found the perfect life.	Harry Haydock did figure eights, and Carol was certain that she had found the perfect life.
512_124520_000014_000006	She had to nag them.	She had to nag them.
512_124520_000014_000007	They scooted down a long hill on a bob-sled, they upset and got snow down their necks they shrieked that they would do it again immediately--and they did not do it again at all.	They scooted down a long hill on a bob sled, they upset and got snow down their necks they shrieked that they would do it again immediately-and they did not do it again at all.
512_124520_000015_000000	She badgered another group into going skiing.	She badgered another group into going skiing.
512_124520_000016_000000	Carol was discouraged.	Carol was discouraged.
512_124520_000016_000004	He belonged there, masculine in reefer and sweater and high-laced boots.	He belonged there, masculine in reefer and sweater and high laced boots.
512_124520_000016_000005	That night she ate prodigiously of steak and fried potatoes; she produced electric sparks by touching his ear with her finger-tip; she slept twelve hours; and awoke to think how glorious was this brave land.	That night she ate prodigiously of steak and fried potatoes; she produced electric sparks by touching his ear with her finger tip; she slept twelve hours; and awoke to think how glorious was this brave land.
512_124520_000017_000001	Snug in her furs she trotted up-town.	Snug in her furs she trotted up town.
512_124520_000017_000004	The frames of their buck-saws were cherry-red, the blades blued steel, and the fresh cut ends of the sticks--poplar, maple, iron-wood, birch--were marked with engraved rings of growth.	The frames of their buck saws were cherry red, the blades blued steel, and the fresh cut ends of the sticks-poplar, maple, iron wood, birch-were marked with engraved rings of growth.
512_124520_000017_000005	The boys wore shoe-packs, blue flannel shirts with enormous pearl buttons, and mackinaws of crimson, lemon yellow, and foxy brown.	The boys wore shoe packs, blue flannel shirts with enormous pearl buttons, and mackinaws of crimson, lemon yellow, and foxy brown.
512_124520_000018_000000	Carol cried "Fine day!" to the boys; she came in a glow to Howland & Gould's grocery, her collar white with frost from her breath; she bought a can of tomatoes as though it were Orient fruit; and returned home planning to surprise Kennicott with an omelet creole for dinner.	Carol cried "Fine day!" to the boys; she came in a glow to Howland and Gould's grocery, her collar white with frost from her breath; she bought a can of tomatoes as though it were Orient fruit; and returned home planning to surprise Kennicott with an omelet creole for dinner.
512_124520_000019_000000	So brilliant was the snow-glare that when she entered the house she saw the door-knobs, the newspaper on the table, every white surface as dazzling mauve, and her head was dizzy in the pyrotechnic dimness.	So brilliant was the snow glare that when she entered the house she saw the door knobs, the newspaper on the table, every white surface as dazzling mauve, and her head was dizzy in the pyrotechnic dimness.
512_124520_000019_000001	When her eyes had recovered she felt expanded, drunk with health, mistress of life.	When her eyes had recovered she felt expanded, drunk with health, mistress of life.
512_124520_000020_000000	In the mid-afternoon of this same day Kennicott was called into the country.	In the mid afternoon of this same day Kennicott was called into the country.
512_124520_000021_000000	Thus she chanced to discover that she had nothing to do.	Thus she chanced to discover that she had nothing to do.
512_124520_000023_000004	The cuts of beef were not cuts.	The cuts of beef were not cuts.
512_124520_000023_000005	They were hacks.	They were hacks.
512_124520_000023_000006	Lamb chops were as exotic as sharks' fins.	Lamb chops were as exotic as sharks' fins.
512_124520_000024_000001	She could not find a glass-headed picture-nail in town; she did not hunt for the sort of veiling she wanted--she took what she could get; and only at Howland & Gould's was there such a luxury as canned asparagus.	She could not find a glass headed picture nail in town; she did not hunt for the sort of veiling she wanted-she took what she could get; and only at Howland and Gould's was there such a luxury as canned asparagus.
512_124520_000024_000003	Only by such fussing as the Widow Bogart's could she make it fill her time.	Only by such fussing as the Widow Bogart's could she make it fill her time.
512_124520_000025_000000	She could not have outside employment.	She could not have outside employment.
512_124520_000025_000001	To the village doctor's wife it was taboo.	To the village doctor's wife it was taboo.
512_124520_000026_000000	She was a woman with a working brain and no work.	She was a woman with a working brain and no work.
512_124520_000027_000000	There were only three things which she could do: Have children; start her career of reforming; or become so definitely a part of the town that she would be fulfilled by the activities of church and study-club and bridge-parties.	There were only three things which she could do: Have children; start her career of reforming; or become so definitely a part of the town that she would be fulfilled by the activities of church and study club and bridge parties.
512_124520_000028_000000	Children, yes, she wanted them, but----She was not quite ready.	Children, yes, she wanted them, but----She was not quite ready.
512_124520_000028_000001	She had been embarrassed by Kennicott's frankness, but she agreed with him that in the insane condition of civilization, which made the rearing of citizens more costly and perilous than any other crime, it was inadvisable to have children till he had made more money.	She had been embarrassed by Kennicott's frankness, but she agreed with him that in the insane condition of civilization, which made the rearing of citizens more costly and perilous than any other crime, it was inadvisable to have children till he had made more money.
512_124520_000028_000002	She was sorry----Perhaps he had made all the mystery of love a mechanical cautiousness but----She fled from the thought with a dubious, "Some day."	She was sorry----Perhaps he had made all the mystery of love a mechanical cautiousness but----She fled from the thought with a dubious, "Some day."
512_124520_000029_000000	Her "reforms," her impulses toward beauty in raw Main Street, they had become indistinct.	Her "reforms," her impulses toward beauty in raw Main Street, they had become indistinct.
512_124520_000029_000001	But she would set them going now.	But she would set them going now.
512_124520_000030_000000	Become an authentic part of the town?	Become an authentic part of the town?
512_124520_000030_000001	She began to think with unpleasant lucidity.	She began to think with unpleasant lucidity.
512_124520_000030_000002	She reflected that she did not know whether the people liked her.	She reflected that she did not know whether the people liked her.
512_124520_000030_000004	The men smiled--but did they like her?	The men smiled-but did they like her?
512_124520_000031_000000	She was poisoned with doubt, as she drooped up to bed.	She was poisoned with doubt, as she drooped up to bed.
512_124520_000032_000000	Next day, through her shopping, her mind sat back and observed.	Next day, through her shopping, her mind sat back and observed.
512_124520_000032_000002	Was that merely his usual manner?	Was that merely his usual manner?
