4744_31668_000000_000000	~VI~	~ VI ~	false	8.79	18.99	25.118246
4744_31668_000001_000000	Mrs. Bittacy had never liked their present home.	mrs Bittacy had never liked their present home.	true	18.99	21.61	20.775612
4744_31668_000001_000001	She preferred a flat, more open country that left approaches clear.	She preferred a flat, more open country that left approaches clear.	true	21.86	25.6	22.680532
4744_31668_000001_000002	She liked to see things coming.	She liked to see things coming.	true	25.94	27.73	23.754778
4744_31668_000001_000003	This cottage on the very edge of the old hunting grounds of William the Conqueror had never satisfied her ideal of a safe and pleasant place to settle down in.	This cottage on the very edge of the old hunting grounds of William the Conqueror had never satisfied her ideal of a safe and pleasant place to settle down in.	true	28.19	36.82	22
4744_31668_000001_000004	The sea-coast, with treeless downs behind and a clear horizon in front, as at Eastbourne, say, was her ideal of a proper home.	The sea coast, with treeless downs behind and a clear horizon in front, as at Eastbourne, say, was her ideal of a proper home.	false	37.46	45.22	20.834213
4744_31668_000002_000000	It was curious, this instinctive aversion she felt to being shut in--by trees especially; a kind of claustrophobia almost; probably due, as has been said, to the days in India when the trees took her husband off and surrounded him with dangers.	It was curious, this instinctive aversion she felt to being shut in-by trees especially; a kind of claustrophobia almost; probably due, as has been said, to the days in India when the trees took her husband off and surrounded him with dangers.	false	45.71	60.73	21.479504
4744_31668_000002_000001	In those weeks of solitude the feeling had matured.	In those weeks of solitude the feeling had matured.	true	61.4	64.51	21.669971
4744_31668_000002_000002	She had fought it in her fashion, but never conquered it. Apparently routed, it had a way of creeping back in other forms.	She had fought it in her fashion, but never conquered it. Apparently routed, it had a way of creeping back in other forms.	false	64.85	72.34	24.308458
4744_31668_000002_000003	In this particular case, yielding to his strong desire, she thought the battle won, but the terror of the trees came back before the first month had passed.	In this particular case, yielding to his strong desire, she thought the battle won, but the terror of the trees came back before the first month had passed.	true	72.62	81.52	22.917225
4744_31668_000002_000004	They laughed in her face.	They laughed in her face.	true	81.8	83.32	25.774998
4744_31668_000003_000000	She never lost knowledge of the fact that the leagues of forest lay about their cottage like a mighty wall, a crowding, watching, listening presence that shut them in from freedom and escape.	She never lost knowledge of the fact that the leagues of forest lay about their cottage like a mighty wall, a crowding, watching, listening presence that shut them in from freedom and escape.	false	84.23	95.17	19.78476
4744_31668_000003_000001	Far from morbid naturally, she did her best to deny the thought, and so simple and unartificial was her type of mind that for weeks together she would wholly lose it.	Far from morbid naturally, she did her best to deny the thought, and so simple and unartificial was her type of mind that for weeks together she would wholly lose it.	true	95.63	106.03	22.557272
4744_31668_000003_000002	Then, suddenly it would return upon her with a rush of bleak reality.	Then, suddenly it would return upon her with a rush of bleak reality.	false	106.31	109.84	20
4744_31668_000003_000003	It was not only in her mind; it existed apart from any mere mood; a separate fear that walked alone; it came and went, yet when it went--went only to watch her from another point of view.	It was not only in her mind; it existed apart from any mere mood; a separate fear that walked alone; it came and went, yet when it went-went only to watch her from another point of view.	true	110.24	121.24	20.157755
4744_31668_000003_000004	It was in abeyance--hidden round the corner.	It was in abeyance-hidden round the corner.	true	121.73	124.93	22.715237
4744_31668_000004_000000	The Forest never let her go completely.	The Forest never let her go completely.	true	125.69	127.84	25.239153
4744_31668_000004_000001	It was ever ready to encroach. All the branches, she sometimes fancied, stretched one way--towards their tiny cottage and garden, as though it sought to draw them in and merge them in itself.	It was ever ready to encroach. All the branches, she sometimes fancied, stretched one way-towards their tiny cottage and garden, as though it sought to draw them in and merge them in itself.	true	128.54	139.96	21.365
4744_31668_000004_000002	Its great, deep-breathing soul resented the mockery, the insolence, the irritation of the prim garden at its very gates.	Its great, deep breathing soul resented the mockery, the insolence, the irritation of the prim garden at its very gates.	false	140.48	147.7	23.618326
4744_31668_000004_000003	It would absorb and smother them if it could.	It would absorb and smother them if it could.	true	148.13	150.49	20.300386
4744_31668_000004_000004	And every wind that blew its thundering message over the huge sounding-board of the million, shaking trees conveyed the purpose that it had.	And every wind that blew its thundering message over the huge sounding board of the million, shaking trees conveyed the purpose that it had.	false	150.8	158.32	20.786842
4744_31668_000004_000005	They had angered its great soul.	They had angered its great soul.	true	158.72	160.75	23.024881
4744_31668_000004_000006	At its heart was this deep, incessant roaring.	At its heart was this deep, incessant roaring.	true	161.09	164.29	22.498398
4744_31668_000005_000000	All this she never framed in words, the subtleties of language lay far beyond her reach.	All this she never framed in words, the subtleties of language lay far beyond her reach.	true	165.17	170.35	19.606697
4744_31668_000005_000001	But instinctively she felt it; and more besides.	But instinctively she felt it; and more besides.	true	170.72	173.61	22.578821
4744_31668_000005_000002	It troubled her profoundly.	It troubled her profoundly.	false	173.61	175.63	20.755219
4744_31668_000005_000003	Chiefly, moreover, for her husband.	Chiefly, moreover, for her husband.	true	175.91	178.06	23.977245
4744_31668_000005_000004	Merely for herself, the nightmare might have left her cold.	Merely for herself, the nightmare might have left her cold.	true	178.79	181.84	24.040222
4744_31668_000005_000005	It was David's peculiar interest in the trees that gave the special invitation.	It was David's peculiar interest in the trees that gave the special invitation.	true	182.48	186.82	21
4744_31668_000005_000006	Jealousy, then, in its most subtle aspect came to strengthen this aversion and dislike, for it came in a form that no reasonable wife could possibly object to. Her husband's passion, she reflected, was natural and inborn.	Jealousy, then, in its most subtle aspect came to strengthen this aversion and dislike, for it came in a form that no reasonable wife could possibly object to. Her husband's passion, she reflected, was natural and inborn.	true	187.22	200.5	19.119976
4744_31668_000005_000007	It had decided his vocation, fed his ambition, nourished his dreams, desires, hopes.	It had decided his vocation, fed his ambition, nourished his dreams, desires, hopes.	true	201.05	206.95	21.471172
4744_31668_000005_000008	All his best years of active life had been spent in the care and guardianship of trees.	All his best years of active life had been spent in the care and guardianship of trees.	true	207.38	212.17	23
4744_31668_000005_000009	He knew them, understood their secret life and nature, "managed" them intuitively as other men "managed" dogs and horses.	He knew them, understood their secret life and nature, "managed" them intuitively as other men "managed" dogs and horses.	false	212.54	219.43	19.796818
