205_157088_000000_000000	Ellen McCormick choked a little as she answered him, promising to do what he asked.	Ellen McCormick choked a little as she answered him, promising to do what he asked.	false	0	3.6	21.931015
205_157088_000000_000001	He would always remember her as a sympathetic little thing, and half an hour later, after he had explained everything to Sandy, he wished her happiness when he took her hand in saying good-by. Her hand was trembling.	He would always remember her as a sympathetic little thing, and half an hour later, after he had explained everything to Sandy, he wished her happiness when he took her hand in saying good by. Her hand was trembling.	false	3.6	8.49	19.03683
205_157088_000000_000002	He wondered at it and said something to Sandy about the priceless value of a happiness such as his, as they went down to the beach.	He wondered at it and said something to Sandy about the priceless value of a happiness such as his, as they went down to the beach.	false	8.49	9.15	15
205_157088_000001_000000	The velvety darkness of the sky was athrob with the heart-beat of stars, when the _Norden's_ shimmering trail led once more out to sea.	The velvety darkness of the sky was athrob with the heart beat of stars, when the underscore Norden's underscore shimmering trail led once more out to sea.	false	9.15	11.34	17.544243
205_157088_000001_000001	Alan looked up at them, and his mind groped strangely in the infinity that lay above him.	Alan looked up at them, and his mind groped strangely in the infinity that lay above him.	false	11.34	12.45	15
205_157088_000001_000002	He had never measured it before.	He had never measured it before.	false	12.45	13.11	17
205_157088_000001_000003	Life had been too full. But now it seemed so vast, and his range in the tundras so far away, that a great loneliness seized upon him as he turned his eyes to look back at the dimly white shore-line dissolving swiftly in the gloom that lay beneath the mountains.	Life had been too full. But now it seemed so vast, and his range in the tundras so far away, that a great loneliness seized upon him as he turned his eyes to look back at the dimly white shore line dissolving swiftly in the gloom that lay beneath the mountains.	false	13.11	18.48	21.054085
205_157088_000002_000000	CHAPTER XI	CHAPTER eleven	true	18.48	19.51	18.720337
205_157088_000003_000000	That night, in Olaf's cabin, Alan put himself back on the old track again.	That night, in Olaf's cabin, Alan put himself back on the old track again.	true	20.84	25.57	21.614468
205_157088_000003_000001	He made no effort to minimize the tragedy that had come into his life, and he knew its effect upon him would never be wiped away, and that Mary Standish would always live in his thoughts, no matter what happened in the years to come.	He made no effort to minimize the tragedy that had come into his life, and he knew its effect upon him would never be wiped away, and that Mary Standish would always live in his thoughts, no matter what happened in the years to come.	true	25.76	38.95	19
205_157088_000003_000002	But he was not the sort to let any part of himself wither up and die because of a blow that had darkened his mental visions of things.	But he was not the sort to let any part of himself wither up and die because of a blow that had darkened his mental visions of things.	true	39.47	46.78	17
205_157088_000003_000003	His plans lay ahead of him, his old ambitions and his dreams of achievement.	His plans lay ahead of him, his old ambitions and his dreams of achievement.	true	47.3	52.18	18.814056
205_157088_000003_000004	They seemed pulseless and dead now, but he knew it was because his own fire had temporarily burned out.	They seemed pulseless and dead now, but he knew it was because his own fire had temporarily burned out.	true	52.46	58.9	18
205_157088_000003_000005	And he realized the vital necessity of building it up again.	And he realized the vital necessity of building it up again.	true	59.24	62.59	17
205_157088_000003_000006	So he first wrote a letter to Ellen McCormick, and in this placed a second letter--carefully sealed--which was not to be opened unless they found Mary Standish, and which contained something he had found impossible to put into words in Sandy's cabin.	So he first wrote a letter to Ellen McCormick, and in this placed a second letter-carefully sealed-which was not to be opened unless they found Mary Standish, and which contained something he had found impossible to put into words in Sandy's cabin.	true	62.93	77.77	18
205_157088_000003_000007	It was trivial and embarrassing when spoken to others, but it meant a great deal to him.	It was trivial and embarrassing when spoken to others, but it meant a great deal to him.	true	78.26	83.41	19
205_157088_000003_000008	Then he made the final arrangements for Olaf to carry him to Seward in the _Norden_, for Captain Rifle's ship was well on her way to Unalaska.	Then he made the final arrangements for Olaf to carry him to Seward in the underscore Norden underscore, for Captain Rifle's ship was well on her way to Unalaska.	false	83.69	93.1	18.986336
205_157088_000003_000009	Thought of Captain Rifle urged him to write another letter in which he told briefly the disappointing details of his search.	Thought of Captain Rifle urged him to write another letter in which he told briefly the disappointing details of his search.	true	93.38	100.75	17
