7145_87280_000000_000000	_CHAPTER VII_	underscore CHAPTER seven underscore	false	0	16.32	22.889149
7145_87280_000001_000000	_Love's Fierce Sweetness_	underscore Love's Fierce Sweetness underscore	false	16.32	32.16	19.692043
7145_87280_000002_000000	After we had all returned to Greenwich the princess and Brandon were together frequently.	After we had all returned to Greenwich the princess and Brandon were together frequently.	true	32.16	36.79	20
7145_87280_000002_000001	Upon several occasions he was invited, with others, to her parlor for card playing.	Upon several occasions he was invited, with others, to her parlor for card playing.	true	37.19	42.7	22.339327
7145_87280_000002_000002	But we spent two evenings, with only four of us present, prior to the disastrous events which changed everything, and of which I am soon to tell you.	But we spent two evenings, with only four of us present, prior to the disastrous events which changed everything, and of which I am soon to tell you.	true	43.64	52.84	21.248722
7145_87280_000002_000003	During these two evenings the "Sailor Lass" was in constant demand.	During these two evenings the "Sailor Lass" was in constant demand.	true	53.66	58.48	20.197609
7145_87280_000003_000000	This pair, who should have remained apart, met constantly in and about the palace, and every glance added fuel to the flame.	This pair, who should have remained apart, met constantly in and about the palace, and every glance added fuel to the flame.	true	59.75	68.23	24.109127
7145_87280_000003_000001	Part of the time it was the princess with her troublesome dignity, and part of the time it was Mary--simply girl.	Part of the time it was the princess with her troublesome dignity, and part of the time it was Mary-simply girl.	true	68.63	76.66	19.957014
7145_87280_000003_000002	Notwithstanding these haughty moods, anyone with half an eye could see that the princess was gradually succumbing to the budding woman; that Brandon's stronger nature had dominated her with that half fear which every woman feels who loves a strong man--stronger than herself.	Notwithstanding these haughty moods, anyone with half an eye could see that the princess was gradually succumbing to the budding woman; that Brandon's stronger nature had dominated her with that half fear which every woman feels who loves a strong man-stronger than herself.	true	77.48	96.91	20.996841
7145_87280_000004_000000	One day the rumor spread through the court that the old French king, Louis XII, whose wife, Anne of Brittany, had just died, had asked Mary's hand in marriage.	One day the rumor spread through the court that the old French king, Louis the twelfth, whose wife, Anne of Brittany, had just died, had asked Mary's hand in marriage.	true	98.33	109.93	23.058838
7145_87280_000004_000001	It was this, probably, which opened Brandon's eyes to the fact that he had been playing with the very worst sort of fire; and first made him see that in spite of himself, and almost without his knowledge, the girl had grown wonderfully sweet and dear to him.	It was this, probably, which opened Brandon's eyes to the fact that he had been playing with the very worst sort of fire; and first made him see that in spite of himself, and almost without his knowledge, the girl had grown wonderfully sweet and dear to him.	false	111.65	127.96	21.885748
7145_87280_000004_000002	He now saw his danger, and struggled to keep himself beyond the spell of her perilous glances and siren song.	He now saw his danger, and struggled to keep himself beyond the spell of her perilous glances and siren song.	true	128.78	136	17
7145_87280_000004_000003	This modern Ulysses made a masterful effort, but alas! had no ships to carry him away, and no wax with which to fill his ears.	This modern Ulysses made a masterful effort, but alas! had no ships to carry him away, and no wax with which to fill his ears.	true	136.55	145.78	20
7145_87280_000004_000004	Wax is a good thing, and no one should enter the Siren country without it.	Wax is a good thing, and no one should enter the Siren country without it.	true	146.24	150.73	19.991014
7145_87280_000004_000005	Ships, too, are good, with masts to tie one's self to, and sails and rudder, and a gust of wind to waft one quickly past the island.	Ships, too, are good, with masts to tie one's self to, and sails and rudder, and a gust of wind to waft one quickly past the island.	true	150.98	160.87	21.848843
7145_87280_000004_000006	In fact, one cannot take too many precautions when in those enchanted waters.	In fact, one cannot take too many precautions when in those enchanted waters.	true	161.45	166.33	21.09791
7145_87280_000005_000000	Matters began to look dark to me.	Matters began to look dark to me.	true	167.54	169.75	24.06506
7145_87280_000005_000001	Love had dawned in Mary's breast, that was sure, and for the first time, with all its fierce sweetness. Not that it had reached its noon, or anything like it.	Love had dawned in Mary's breast, that was sure, and for the first time, with all its fierce sweetness. Not that it had reached its noon, or anything like it.	false	169.91	181	20.875887
7145_87280_000005_000002	In truth, it might, I hoped, die in the dawning, for my lady was as capricious as a May day; but it was love--love as plain as the sun at rising.	In truth, it might, I hoped, die in the dawning, for my lady was as capricious as a May day; but it was love-love as plain as the sun at rising.	true	181.28	193.72	20.395926
