272_130226_000000_000000	Tuesday	Tuesday
272_130226_000001_000000	She has littered the whole estate with execrable names and offensive signs:	She has littered the whole estate with execrable names and offensive signs:
272_130226_000002_000000	THIS WAY TO THE WHIRLPOOL.	THIS WAY TO THE WHIRLPOOL.
272_130226_000003_000000	THIS WAY TO GOAT ISLAND.	THIS WAY TO GOAT ISLAND.
272_130226_000005_000000	She says this park would make a tidy summer resort, if there was any custom for it.	She says this park would make a tidy summer resort, if there was any custom for it.
272_130226_000005_000001	Summer resort--another invention of hers--just words, without any meaning.	Summer resort-another invention of hers-just words, without any meaning.
272_130226_000005_000002	What is a summer resort?	What is a summer resort?
272_130226_000005_000003	But it is best not to ask her, she has such a rage for explaining.	But it is best not to ask her, she has such a rage for explaining.
272_130226_000006_000000	Friday	Friday
272_130226_000007_000000	She has taken to beseeching me to stop going over the Falls.	She has taken to beseeching me to stop going over the Falls.
272_130226_000007_000001	What harm does it do?	What harm does it do?
272_130226_000007_000002	Says it makes her shudder.	Says it makes her shudder.
272_130226_000007_000003	I wonder why.	I wonder why.
272_130226_000007_000005	I supposed it was what the Falls were for.	I supposed it was what the Falls were for.
272_130226_000007_000006	They have no other use that I can see, and they must have been made for something.	They have no other use that I can see, and they must have been made for something.
272_130226_000007_000007	She says they were only made for scenery--like the rhinoceros and the mastodon.	She says they were only made for scenery-like the rhinoceros and the mastodon.
272_130226_000008_000000	I went over the Falls in a barrel--not satisfactory to her.	I went over the Falls in a barrel-not satisfactory to her.
272_130226_000008_000001	Went over in a tub--still not satisfactory.	Went over in a tub-still not satisfactory.
272_130226_000008_000002	Swam the Whirlpool and the Rapids in a fig-leaf suit.	Swam the Whirlpool and the Rapids in a fig leaf suit.
272_130226_000008_000003	It got much damaged.	It got much damaged.
272_130226_000008_000004	Hence, tedious complaints about my extravagance.	Hence, tedious complaints about my extravagance.
272_130226_000009_000000	Saturday	Saturday
272_130226_000010_000001	She engages herself in many foolish things: among others, trying to study out why the animals called lions and tigers live on grass and flowers, when, as she says, the sort of teeth they wear would indicate that they were intended to eat each other.	She engages herself in many foolish things: among others, trying to study out why the animals called lions and tigers live on grass and flowers, when, as she says, the sort of teeth they wear would indicate that they were intended to eat each other.
272_130226_000010_000002	This is foolish, because to do that would be to kill each other, and that would introduce what, as I understand it, is called "death;" and death, as I have been told, has not yet entered the Park.	This is foolish, because to do that would be to kill each other, and that would introduce what, as I understand it, is called "death;" and death, as I have been told, has not yet entered the Park.
272_130226_000011_000000	Sunday	Sunday
272_130226_000012_000000	Pulled through.	Pulled through.
272_130226_000013_000000	Monday	Monday
272_130226_000014_000001	It seems a good idea....	It seems a good idea....
272_130226_000014_000002	She has been climbing that tree again.	She has been climbing that tree again.
272_130226_000014_000003	Clodded her out of it.	Clodded her out of it.
272_130226_000014_000004	She said nobody was looking.	She said nobody was looking.
272_130226_000014_000005	Seems to consider that a sufficient justification for chancing any dangerous thing.	Seems to consider that a sufficient justification for chancing any dangerous thing.
272_130226_000014_000006	Told her that. The word justification moved her admiration--and envy too, I thought.	Told her that. The word justification moved her admiration-and envy too, I thought.
272_130226_000014_000007	It is a good word.	It is a good word.
272_130226_000015_000000	Thursday	Thursday
272_130226_000016_000000	She told me she was made out of a rib taken from my body.	She told me she was made out of a rib taken from my body.
272_130226_000016_000001	This is at least doubtful, if not more than that.	This is at least doubtful, if not more than that.
272_130226_000016_000002	I have not missed any rib....	I have not missed any rib....
272_130226_000016_000003	She is in much trouble about the buzzard; says grass does not agree with it; is afraid she can't raise it; thinks it was intended to live on decayed flesh.	She is in much trouble about the buzzard; says grass does not agree with it; is afraid she can't raise it; thinks it was intended to live on decayed flesh.
272_130226_000016_000004	The buzzard must get along the best it can with what is provided.	The buzzard must get along the best it can with what is provided.
272_130226_000016_000005	We cannot overturn the whole scheme to accommodate the buzzard.	We cannot overturn the whole scheme to accommodate the buzzard.
272_130226_000017_000000	Saturday	Saturday
272_130226_000018_000000	She fell in the pond yesterday, when she was looking at herself in it, which she is always doing.	She fell in the pond yesterday, when she was looking at herself in it, which she is always doing.
272_130226_000018_000003	When night comes I shall throw them out-doors.	When night comes I shall throw them out doors.
272_130226_000019_000000	Sunday	Sunday
272_130226_000021_000000	Tuesday	Tuesday
272_130226_000022_000000	She has taken up with a snake now.	She has taken up with a snake now.
272_130226_000022_000001	The other animals are glad, for she was always experimenting with them and bothering them; and I am glad, because the snake talks, and this enables me to get a rest.	The other animals are glad, for she was always experimenting with them and bothering them; and I am glad, because the snake talks, and this enables me to get a rest.
272_130226_000023_000000	Friday	Friday
272_130226_000024_000000	She says the snake advises her to try the fruit of that tree, and says the result will be a great and fine and noble education.	She says the snake advises her to try the fruit of that tree, and says the result will be a great and fine and noble education.
272_130226_000024_000001	I told her there would be another result, too--it would introduce death into the world.	I told her there would be another result, too-it would introduce death into the world.
272_130226_000024_000002	That was a mistake--it had been better to keep the remark to myself; it only gave her an idea--she could save the sick buzzard, and furnish fresh meat to the despondent lions and tigers.	That was a mistake-it had been better to keep the remark to myself; it only gave her an idea-she could save the sick buzzard, and furnish fresh meat to the despondent lions and tigers.
272_130226_000024_000005	I foresee trouble.	I foresee trouble.
272_130226_000024_000006	Will emigrate.	Will emigrate.
