7910_80534_000000_000000	'Sidney!	'Sidney!	false	1.35	1.8	20.350487
7910_80534_000000_000001	Come this way; I want to speak to you.'	Come this way; I want to speak to you.'	false	1.8	5.88	25.516363
7910_80534_000001_000000	'Why, what's wrong?'	'Why, what's wrong?'	false	5.88	7.665	19
7910_80534_000002_000000	'Come over here.	'Come over here.	false	7.665	9.48	24.005136
7910_80534_000002_000001	Sidney--I've found my girl--I've found Clara!'	Sidney-I've found my girl-I've found Clara!'	false	9.48	20.325	25.740423
7910_80534_000003_000000	CHAPTER XXVII	CHAPTER twenty seven	true	20.325	21.73	27.036406
7910_80534_000004_000000	CLARA'S RETURN	CLARA'S RETURN	true	21.83	23.23	25.100935
7910_80534_000005_000000	Mrs. Eagles, a middle-aged woman of something more than average girth, always took her time in ascending to that fifth storey where she and her husband shared a tenement with the Hewett family.	mrs Eagles, a middle aged woman of something more than average girth, always took her time in ascending to that fifth storey where she and her husband shared a tenement with the Hewett family.	false	24.56	36.55	25.727102
7910_80534_000005_000001	This afternoon her pause on each landing was longer than usual, for a yellow fog, which mocked the pale glimmer of gas-jets on the staircase, made her gasp asthmatically.	This afternoon her pause on each landing was longer than usual, for a yellow fog, which mocked the pale glimmer of gas jets on the staircase, made her gasp asthmatically.	true	37.07	48.61	26.347025
7910_80534_000005_000002	She carried, too, a heavy market-bag, having done her Saturday purchasing earlier than of wont on account of the intolerable weather.	She carried, too, a heavy market bag, having done her Saturday purchasing earlier than of wont on account of the intolerable weather.	false	49.73	58.15	24.77908
7910_80534_000005_000003	She reached the door at length, and being too much exhausted to search her pocket for the latchkey, knocked for admission. Amy Hewett opened to her, and she sank on a chair in the first room, where the other two Hewett children were bending over 'home-lessons' with a studiousness not altogether natural.	She reached the door at length, and being too much exhausted to search her pocket for the latchkey, knocked for admission. Amy Hewett opened to her, and she sank on a chair in the first room, where the other two Hewett children were bending over 'home lessons' with a studiousness not altogether natural.	true	59.18	78.94	25.214226
7910_80534_000005_000004	Mrs. Eagles had a shrewd eye; having glanced at Annie and Tom with a discreet smile, she turned her look towards the elder girl, who was standing full in the lamplight.	mrs Eagles had a shrewd eye; having glanced at Annie and Tom with a discreet smile, she turned her look towards the elder girl, who was standing full in the lamplight.	true	79.37	90.19	23.13987
7910_80534_000006_000000	'Come here, Amy,' she said after a moment's scrutiny.	'Come here, Amy,' she said after a moment's scrutiny.	true	90.77	94.45	26.312103
7910_80534_000006_000001	'So you _will_ keep doin' that foolish thing!	'So you underscore will underscore keep doin' that foolish thing!	false	94.76	97.39	28.976727
7910_80534_000006_000002	Very well, then, I shall have to speak to your father about it; I'm not goin' to see you make yourself ill and do nothing to prevent you.'	Very well, then, I shall have to speak to your father about it; I'm not goin' to see you make yourself ill and do nothing to prevent you.'	false	97.43	105.1	26.691513
7910_80534_000007_000000	Amy, now a girl of eleven, affected much indignation.	Amy, now a girl of eleven, affected much indignation.	false	105.5	110.02	24.631153
7910_80534_000008_000000	'Why, I haven't touched a drop, Mrs. Eagles!'	'Why, I haven't touched a drop, mrs Eagles!'	true	110.45	113.23	22.39983
7910_80534_000009_000000	'Now, now, now, now, now!	'Now, now, now, now, now!	true	113.69	116.29	18.523645
7910_80534_000009_000001	Why, your lips are shrivelled up like a bit of o' dried orange-peel!	Why, your lips are shrivelled up like a bit of o' dried orange peel!	false	116.57	120.31	22.367392
7910_80534_000009_000002	You're a silly girl, that's what you are!'	You're a silly girl, that's what you are!'	true	120.44	122.98	30.212236
7910_80534_000010_000000	Of late Amy Hewett had become the victim of a singular propensity; whenever she could obtain vinegar, she drank it as a toper does spirits.	Of late Amy Hewett had become the victim of a singular propensity; whenever she could obtain vinegar, she drank it as a toper does spirits.	true	123.74	133.36	24.362192
