22_121148_000000_000000	as the great Corneille has said.	as the great Corneille has said.	false	0	2.88	19.933352
22_121148_000001_000000	XIII.	thirteen.	false	2.88	3.21	-20
22_121148_000001_000001	MME. DE L'ESTORADE TO MLLE.	MME. DE L'ESTORADE TO m l l e.	false	3.21	12.6	18.933773
22_121148_000001_000002	DE CHAULIEU LA CRAMPADE, February.	DE c h a u l i e u l a c r a m p a d e, February.	false	12.6	30.22	20.889717
22_121148_000002_000000	My dear Louise,--I was bound to wait some time before writing to you; but now I know, or rather I have learned, many things which, for the sake of your future happiness, I must tell you.	My dear Louise,--I was bound to wait some time before writing to you; but now I know, or rather I have learned, many things which, for the sake of your future happiness, I must tell you.	true	31.1	43.15	20.360073
22_121148_000002_000001	The difference between a girl and a married woman is so vast, that the girl can no more comprehend it than the married woman can go back to girlhood again.	The difference between a girl and a married woman is so vast, that the girl can no more comprehend it than the married woman can go back to girlhood again.	true	43.76	52.3	21.24484
22_121148_000003_000000	I chose to marry Louis de l'Estorade rather than return to the convent; that at least is plain.	I chose to marry Louis de l'Estorade rather than return to the convent; that at least is plain.	false	53.12	59.74	20.57388
22_121148_000003_000001	So soon as I realized that the convent was the only alternative to marrying Louis, I had, as girls say, to "submit," and my submission once made, the next thing was to examine the situation and try to make the best of it.	So soon as I realized that the convent was the only alternative to marrying Louis, I had, as girls say, to "submit," and my submission once made, the next thing was to examine the situation and try to make the best of it.	false	60.14	74.53	20
22_121148_000004_000000	The serious nature of what I was undertaking filled me at first with terror.	The serious nature of what I was undertaking filled me at first with terror.	true	75.08	79.63	20.418156
22_121148_000004_000001	Marriage is a matter concerning the whole of life, whilst love aims only at pleasure.	Marriage is a matter concerning the whole of life, whilst love aims only at pleasure.	true	80.24	86.05	21.60393
22_121148_000004_000002	On the other hand, marriage will remain when pleasures have vanished, and it is the source of interests far more precious than those of the man and woman entering on the alliance.	On the other hand, marriage will remain when pleasures have vanished, and it is the source of interests far more precious than those of the man and woman entering on the alliance.	false	86.57	96.52	16
22_121148_000004_000003	Might it not therefore be that the only requisite for a happy marriage was friendship--a friendship which, for the sake of these advantages, would shut its eyes to many of the imperfections of humanity?	Might it not therefore be that the only requisite for a happy marriage was friendship-a friendship which, for the sake of these advantages, would shut its eyes to many of the imperfections of humanity?	true	97.37	108.88	21
22_121148_000004_000004	Now there was no obstacle to the existence of friendship between myself and Louis de l'Estorade.	Now there was no obstacle to the existence of friendship between myself and Louis de l'Estorade.	false	110	116.07	19.301067
22_121148_000004_000005	Having renounced all idea of finding in marriage those transports of love on which our minds used so often, and with such perilous rapture, to dwell, I found a gentle calm settling over me. "If debarred from love, why not seek for happiness?" I said to myself. "Moreover, I am loved, and the love offered me I shall accept.	Having renounced all idea of finding in marriage those transports of love on which our minds used so often, and with such perilous rapture, to dwell, I found a gentle calm settling over me. "If debarred from love, why not seek for happiness?" I said to myself. "Moreover, I am loved, and the love offered me I shall accept.	true	116.07	138.79	19.768463
22_121148_000004_000006	My married life will be no slavery, but rather a perpetual reign.	My married life will be no slavery, but rather a perpetual reign.	true	138.98	143.44	20.809448
22_121148_000004_000007	What is there to say against such a situation for a woman who wishes to remain absolute mistress of herself?"	What is there to say against such a situation for a woman who wishes to remain absolute mistress of herself?"	true	143.93	150.37	16
22_121148_000005_000000	The important point of separating marriage from marital rights was settled in a conversation between Louis and me, in the course of which he gave proof of an excellent temper and a tender heart.	The important point of separating marriage from marital rights was settled in a conversation between Louis and me, in the course of which he gave proof of an excellent temper and a tender heart.	true	151.22	162.34	20
22_121148_000005_000001	Darling, my desire was to prolong that fair season of hope which, never culminating in satisfaction, leaves to the soul its virginity.	Darling, my desire was to prolong that fair season of hope which, never culminating in satisfaction, leaves to the soul its virginity.	true	162.95	171.88	19.778297
22_121148_000005_000002	To grant nothing to duty or the law, to be guided entirely by one's own will, retaining perfect independence--what could be more attractive, more honorable?	To grant nothing to duty or the law, to be guided entirely by one's own will, retaining perfect independence-what could be more attractive, more honorable?	true	172.25	182.71	22.0474
22_121148_000006_000000	A contract of this kind, directly opposed to the legal contract, and even to the sacrament itself, could be concluded only between Louis and me.	A contract of this kind, directly opposed to the legal contract, and even to the sacrament itself, could be concluded only between Louis and me.	true	183.26	193.06	20.848038
22_121148_000006_000001	This difficulty, the first which has arisen, is the only one which has delayed the completion of our marriage.	This difficulty, the first which has arisen, is the only one which has delayed the completion of our marriage.	false	193.43	199.78	20
22_121148_000006_000002	Although, at first, I may have made up my mind to accept anything rather than return to the convent, it is only in human nature, having got an inch, to ask for an ell, and you and I, sweet love, are of those who would have it all.	Although, at first, I may have made up my mind to accept anything rather than return to the convent, it is only in human nature, having got an inch, to ask for an ell, and you and I, sweet love, are of those who would have it all.	true	200.21	215.32	20.442768
22_121148_000007_000000	I watched Louis out of the corner of my eye, and put it to myself, "Has suffering had a softening or a hardening effect on him?" By dint of close study, I arrived at the conclusion that his love amounted to a passion.	I watched Louis out of the corner of my eye, and put it to myself, "Has suffering had a softening or a hardening effect on him?" By dint of close study, I arrived at the conclusion that his love amounted to a passion.	false	215.99	230.83	20.242035
22_121148_000007_000001	Once transformed into an idol, whose slightest frown would turn him white and trembling, I realized that I might venture anything.	Once transformed into an idol, whose slightest frown would turn him white and trembling, I realized that I might venture anything.	true	231.2	238.99	19
22_121148_000007_000002	I drew him aside in the most natural manner on solitary walks, during which I discreetly sounded his feelings.	I drew him aside in the most natural manner on solitary walks, during which I discreetly sounded his feelings.	true	239.36	246.58	20
22_121148_000007_000003	I made him talk, and got him to expound to me his ideas and plans for our future.	I made him talk, and got him to expound to me his ideas and plans for our future.	true	246.89	252.28	21.43669
