781_126737_000000_000000	CHAPTER VIII	CHAPTER eight	true	20.625	21.82	20.044147
781_126737_000001_000000	Having infused by persistent importunities some sort of heat into the chilly interest of several licensed victuallers (the acquaintances once upon a time of her late unlucky husband), Mrs Verloc's mother had at last secured her admission to certain almshouses founded by a wealthy innkeeper for the destitute widows of the trade.	Having infused by persistent importunities some sort of heat into the chilly interest of several licensed victuallers (the acquaintances once upon a time of her late unlucky husband), Mrs Verloc's mother had at last secured her admission to certain almshouses founded by a wealthy innkeeper for the destitute widows of the trade.	true	24.32	50.62	18.746584
781_126737_000002_000000	This end, conceived in the astuteness of her uneasy heart, the old woman had pursued with secrecy and determination.	This end, conceived in the astuteness of her uneasy heart, the old woman had pursued with secrecy and determination.	true	51.92	60.57	17.556381
781_126737_000002_000001	That was the time when her daughter Winnie could not help passing a remark to Mr Verloc that "mother has been spending half-crowns and five shillings almost every day this last week in cab fares." But the remark was not made grudgingly.	That was the time when her daughter Winnie could not help passing a remark to Mr Verloc that "mother has been spending half crowns and five shillings almost every day this last week in cab fares." But the remark was not made grudgingly.	false	60.57	78.1	18.272196
781_126737_000002_000002	Winnie respected her mother's infirmities.	Winnie respected her mother's infirmities.	true	78.95	81.67	19
781_126737_000002_000003	She was only a little surprised at this sudden mania for locomotion.	She was only a little surprised at this sudden mania for locomotion.	true	82.1	86.62	16
781_126737_000002_000004	Mr Verloc, who was sufficiently magnificent in his way, had grunted the remark impatiently aside as interfering with his meditations.	Mr Verloc, who was sufficiently magnificent in his way, had grunted the remark impatiently aside as interfering with his meditations.	true	87.74	97.84	18.371689
781_126737_000002_000005	These were frequent, deep, and prolonged; they bore upon a matter more important than five shillings. Distinctly more important, and beyond all comparison more difficult to consider in all its aspects with philosophical serenity.	These were frequent, deep, and prolonged; they bore upon a matter more important than five shillings. Distinctly more important, and beyond all comparison more difficult to consider in all its aspects with philosophical serenity.	true	98.27	113.68	19.22107
781_126737_000003_000000	Her object attained in astute secrecy, the heroic old woman had made a clean breast of it to Mrs Verloc.	Her object attained in astute secrecy, the heroic old woman had made a clean breast of it to Mrs Verloc.	true	115.55	123.46	19.006794
781_126737_000003_000001	Her soul was triumphant and her heart tremulous.	Her soul was triumphant and her heart tremulous.	true	123.92	126.91	19
781_126737_000003_000002	Inwardly she quaked, because she dreaded and admired the calm, self-contained character of her daughter Winnie, whose displeasure was made redoubtable by a diversity of dreadful silences.	Inwardly she quaked, because she dreaded and admired the calm, self-contained character of her daughter Winnie, whose displeasure was made redoubtable by a diversity of dreadful silences.	false	127.37	140.62	19.096
781_126737_000003_000003	But she did not allow her inward apprehensions to rob her of the advantage of venerable placidity conferred upon her outward person by her triple chin, the floating ampleness of her ancient form, and the impotent condition of her legs.	But she did not allow her inward apprehensions to rob her of the advantage of venerable placidity conferred upon her outward person by her triple chin, the floating ampleness of her ancient form, and the impotent condition of her legs.	true	141.35	157.45	18.341211
781_126737_000004_000000	The shock of the information was so unexpected that Mrs Verloc, against her usual practice when addressed, interrupted the domestic occupation she was engaged upon.	The shock of the information was so unexpected that Mrs Verloc, against her usual practice when addressed, interrupted the domestic occupation she was engaged upon.	true	158.69	170.68	19.051455
781_126737_000004_000001	It was the dusting of the furniture in the parlour behind the shop.	It was the dusting of the furniture in the parlour behind the shop.	true	171.02	174.91	19.855953
781_126737_000004_000002	She turned her head towards her mother.	She turned her head towards her mother.	true	175.4	177.73	18.487085
781_126737_000005_000000	"Whatever did you want to do that for?" she exclaimed, in scandalised astonishment.	"Whatever did you want to do that for?" she exclaimed, in scandalised astonishment.	true	178.79	184.06	16
781_126737_000006_000000	The shock must have been severe to make her depart from that distant and uninquiring acceptance of facts which was her force and her safeguard in life.	The shock must have been severe to make her depart from that distant and uninquiring acceptance of facts which was her force and her safeguard in life.	true	184.79	195.43	18.327005
781_126737_000007_000000	"Weren't you made comfortable enough here?"	"Weren't you made comfortable enough here?"	true	196.67	198.85	18
781_126737_000008_000000	She had lapsed into these inquiries, but next moment she saved the consistency of her conduct by resuming her dusting, while the old woman sat scared and dumb under her dingy white cap and lustreless dark wig.	She had lapsed into these inquiries, but next moment she saved the consistency of her conduct by resuming her dusting, while the old woman sat scared and dumb under her dingy white cap and lustreless dark wig.	false	199.76	215.38	18.642212
781_126737_000009_000000	Winnie finished the chair, and ran the duster along the mahogany at the back of the horse-hair sofa on which Mr Verloc loved to take his ease in hat and overcoat.	Winnie finished the chair, and ran the duster along the mahogany at the back of the horse hair sofa on which Mr Verloc loved to take his ease in hat and overcoat.	true	216.71	228.64	18.838467
781_126737_000009_000001	She was intent on her work, but presently she permitted herself another question.	She was intent on her work, but presently she permitted herself another question.	true	229.94	235.15	19.84061
781_126737_000010_000000	"How in the world did you manage it, mother?"	"How in the world did you manage it, mother?"	true	236.06	238.33	19
781_126737_000011_000000	As not affecting the inwardness of things, which it was Mrs Verloc's principle to ignore, this curiosity was excusable.	As not affecting the inwardness of things, which it was Mrs Verloc's principle to ignore, this curiosity was excusable.	true	238.82	247.12	19.109562
781_126737_000011_000001	It bore merely on the methods.	It bore merely on the methods.	true	247.64	249.91	19.564318
781_126737_000011_000002	The old woman welcomed it eagerly as bringing forward something that could be talked about with much sincerity.	The old woman welcomed it eagerly as bringing forward something that could be talked about with much sincerity.	false	250.1	256.96	17.83677
781_126737_000012_000000	She favoured her daughter by an exhaustive answer, full of names and enriched by side comments upon the ravages of time as observed in the alteration of human countenances.	She favoured her daughter by an exhaustive answer, full of names and enriched by side comments upon the ravages of time as observed in the alteration of human countenances.	true	258.41	269.53	16
781_126737_000012_000001	The names were principally the names of licensed victuallers--"poor daddy's friends, my dear." She enlarged with special appreciation on the kindness and condescension of a large brewer, a Baronet and an M. P., the Chairman of the Governors of the Charity.	The names were principally the names of licensed victuallers-"poor daddy's friends, my dear." She enlarged with special appreciation on the kindness and condescension of a large brewer, a Baronet and an m p, the Chairman of the Governors of the Charity.	true	270.02	287.83	17.352018
781_126737_000012_000002	She expressed herself thus warmly because she had been allowed to interview by appointment his Private Secretary--"a very polite gentleman, all in black, with a gentle, sad voice, but so very, very thin and quiet.	She expressed herself thus warmly because she had been allowed to interview by appointment his Private Secretary-"a very polite gentleman, all in black, with a gentle, sad voice, but so very, very thin and quiet.	true	288.8	303.91	16
781_126737_000012_000003	He was like a shadow, my dear."	He was like a shadow, my dear."	true	304.19	305.92	15
781_126737_000013_000000	Winnie, prolonging her dusting operations till the tale was told to the end, walked out of the parlour into the kitchen (down two steps) in her usual manner, without the slightest comment.	Winnie, prolonging her dusting operations till the tale was told to the end, walked out of the parlour into the kitchen (down two steps) in her usual manner, without the slightest comment.	true	306.65	320.35	18.006847
781_126737_000014_000000	Shedding a few tears in sign of rejoicing at her daughter's mansuetude in this terrible affair, Mrs Verloc's mother gave play to her astuteness in the direction of her furniture, because it was her own; and sometimes she wished it hadn't been.	Shedding a few tears in sign of rejoicing at her daughter's mansuetude in this terrible affair, Mrs Verloc's mother gave play to her astuteness in the direction of her furniture, because it was her own; and sometimes she wished it hadn't been.	true	321.2	338.38	18.577188
781_126737_000014_000001	Heroism is all very well, but there are circumstances when the disposal of a few tables and chairs, brass bedsteads, and so on, may be big with remote and disastrous consequences. She required a few pieces herself, the Foundation which, after many importunities, had gathered her to its charitable breast, giving nothing but bare planks and cheaply papered bricks to the objects of its solicitude.	Heroism is all very well, but there are circumstances when the disposal of a few tables and chairs, brass bedsteads, and so on, may be big with remote and disastrous consequences. She required a few pieces herself, the Foundation which, after many importunities, had gathered her to its charitable breast, giving nothing but bare planks and cheaply papered bricks to the objects of its solicitude.	true	339.41	370.06	18.848167
