2769_176256_000000_000000	CHAPTER XXXVII	CHAPTER thirty seven
2769_176256_000001_000000	WHAT WAS HIDDEN UNDER THE FLOOR	WHAT WAS HIDDEN UNDER THE FLOOR
2769_176256_000002_000000	The cab pulled up in front of a tumbledown cheap 'villa' in an unfinished cheap neighbourhood,--the whole place a living monument of the defeat of the speculative builder.	The cab pulled up in front of a tumbledown cheap 'villa' in an unfinished cheap neighbourhood,--the whole place a living monument of the defeat of the speculative builder.
2769_176256_000003_000000	Atherton leaped out on to the grass-grown rubble which was meant for a footpath.	Atherton leaped out on to the grass grown rubble which was meant for a footpath.
2769_176256_000005_000000	Nor did I,--I saw nothing but what appeared to be an unoccupied ramshackle brick abomination.	Nor did I,--I saw nothing but what appeared to be an unoccupied ramshackle brick abomination.
2769_176256_000008_000000	'What do you mean?'	'What do you mean?'
2769_176256_000010_000000	He knocked.	He knocked.
2769_176256_000010_000001	While we waited for a response I questioned him.	While we waited for a response I questioned him.
2769_176256_000011_000000	'Why did you leave the door open when you went?'	'Why did you leave the door open when you went?'
2769_176256_000012_000000	'I hardly know,--I imagine that it was with some dim idea of Marjorie's being able to get in if she returned while I was absent,--but the truth is I was in such a condition of helter skelter that I am not prepared to swear that I had any reasonable reason.'	'I hardly know,--I imagine that it was with some dim idea of Marjorie's being able to get in if she returned while I was absent,--but the truth is I was in such a condition of helter skelter that I am not prepared to swear that I had any reasonable reason.'
2769_176256_000013_000000	'I suppose there is no doubt that you did leave it open?'	'I suppose there is no doubt that you did leave it open?'
2769_176256_000015_000000	'Was it open when you returned from your pursuit of Holt?'	'Was it open when you returned from your pursuit of Holt?'
2769_176256_000016_000000	'Wide open,--I walked straight in expecting to find her waiting for me in the front room,--I was struck all of a heap when I found she wasn't there.'	'Wide open,--I walked straight in expecting to find her waiting for me in the front room,--I was struck all of a heap when I found she wasn't there.'
2769_176256_000018_000000	'None,--there were no signs of anything.	'None,--there were no signs of anything.
2769_176256_000018_000001	Everything was just as I had left it, with the exception of the ring which I trod on in the passage, and which Lessingham has.'	Everything was just as I had left it, with the exception of the ring which I trod on in the passage, and which Lessingham has.'
2769_176256_000019_000000	'If Miss Lindon has returned, it does not look as if she were in the house at present.'	'If Miss Lindon has returned, it does not look as if she were in the house at present.'
2769_176256_000020_000000	It did not,--unless silence had such meaning.	It did not,--unless silence had such meaning.
2769_176256_000021_000000	'It strikes me that this is another case of seeking admission through that hospitable window at the back.'	'It strikes me that this is another case of seeking admission through that hospitable window at the back.'
2769_176256_000022_000000	Atherton led the way to the rear.	Atherton led the way to the rear.
2769_176256_000022_000002	There was not even an apology for a yard, still less a garden,--there was not even a fence of any sort, to serve as an enclosure, and to shut off the house from the wilderness of waste land.	There was not even an apology for a yard, still less a garden,--there was not even a fence of any sort, to serve as an enclosure, and to shut off the house from the wilderness of waste land.
2769_176256_000022_000003	The kitchen window was open.	The kitchen window was open.
2769_176256_000024_000000	While he spoke, he scrambled over the sill.	While he spoke, he scrambled over the sill.
2769_176256_000024_000001	We followed.	We followed.
2769_176256_000024_000002	When he was in, he shouted at the top of his voice,	When he was in, he shouted at the top of his voice,
2769_176256_000025_000000	'Marjorie!	'Marjorie!
2769_176256_000025_000001	Marjorie!	Marjorie!
2769_176256_000026_000000	The words echoed through the house.	The words echoed through the house.
2769_176256_000026_000001	Only silence answered.	Only silence answered.
2769_176256_000026_000002	He led the way to the front room.	He led the way to the front room.
2769_176256_000026_000003	Suddenly he stopped.	Suddenly he stopped.
2769_176256_000027_000000	'Hollo!' he cried.	'Hollo!' he cried.
2769_176256_000027_000001	'The blind's down!' I had noticed, when we were outside, that the blind was down at the front room window.	'The blind's down!' I had noticed, when we were outside, that the blind was down at the front room window.
2769_176256_000027_000002	'It was up when I went, that I'll swear.	'It was up when I went, that I'll swear.
2769_176256_000027_000003	That someone has been here is pretty plain,--let's hope it's Marjorie.'	That someone has been here is pretty plain,--let's hope it's Marjorie.'
2769_176256_000029_000000	'My stars!--here's a sudden clearance!--Why, the place is empty,-- everything's clean gone!'	'My stars!--here's a sudden clearance!--Why, the place is empty,-- everything's clean gone!'
2769_176256_000030_000000	'What do you mean?--was it furnished when you left?'	'What do you mean?--was it furnished when you left?'
2769_176256_000031_000000	The room was empty enough then.	The room was empty enough then.
2769_176256_000032_000001	They seem to have evaporated into smoke,--which may be a way which is common enough among Eastern curiosities, though it's queer to me.'	They seem to have evaporated into smoke,--which may be a way which is common enough among Eastern curiosities, though it's queer to me.'
2769_176256_000033_000000	Atherton was staring about him as if he found it difficult to credit the evidence of his own eyes.	Atherton was staring about him as if he found it difficult to credit the evidence of his own eyes.
2769_176256_000034_000000	'How long ago is it since you left?'	'How long ago is it since you left?'
2769_176256_000035_000000	He referred to his watch.	He referred to his watch.
2769_176256_000036_000000	'Something over an hour,--possibly an hour and a half; I couldn't swear to the exact moment, but it certainly isn't more.'	'Something over an hour,--possibly an hour and a half; I couldn't swear to the exact moment, but it certainly isn't more.'
2769_176256_000037_000000	'Did you notice any signs of packing up?'	'Did you notice any signs of packing up?'
2769_176256_000038_000000	'Not a sign.' Going to the window he drew up the blind,--speaking as he did so.	'Not a sign.' Going to the window he drew up the blind,--speaking as he did so.
2769_176256_000039_000001	Sydney perceived him too.	Sydney perceived him too.
2769_176256_000039_000002	He threw up the sash.	He threw up the sash.
2769_176256_000040_000000	'What's the matter with you?'	'What's the matter with you?'
2769_176256_000041_000000	'Excuse me, sir, but who's the old gent?'	'Excuse me, sir, but who's the old gent?'
2769_176256_000043_000000	'Why the old gent peeping through the window of the room upstairs?'	'Why the old gent peeping through the window of the room upstairs?'
2769_176256_000044_000001	I followed rather more soberly,--his methods were a little too flighty for me.	I followed rather more soberly,--his methods were a little too flighty for me.
2769_176256_000044_000002	When I reached the landing, dashing out of the front room he rushed into the one at the back,--then through a door at the side.	When I reached the landing, dashing out of the front room he rushed into the one at the back,--then through a door at the side.
2769_176256_000044_000003	He came out shouting.	He came out shouting.
