1446_122614_000000_000000	CHAPTER 23	CHAPTER twenty three	false	0	2.64	21.01359
1446_122614_000001_000000	"But though the beast of game The privilege of chase may claim; Though space and law the stag we lend Ere hound we slip, or bow we bend; Whoever recked, where, how, or when The prowling fox was trapped or slain?" --Lady of the Lake.	"But though the beast of game The privilege of chase may claim; Though space and law the stag we lend Ere hound we slip, or bow we bend; Whoever recked, where, how, or when The prowling fox was trapped or slain?" --Lady of the Lake.	false	2.64	35.49	21.265816
1446_122614_000002_000000	It is unusual to find an encampment of the natives, like those of the more instructed whites, guarded by the presence of armed men.	It is unusual to find an encampment of the natives, like those of the more instructed whites, guarded by the presence of armed men.	true	35.49	42.67	21.496042
1446_122614_000002_000001	Well informed of the approach of every danger, while it is yet at a distance, the Indian generally rests secure under his knowledge of the signs of the forest, and the long and difficult paths that separate him from those he has most reason to dread.	Well informed of the approach of every danger, while it is yet at a distance, the Indian generally rests secure under his knowledge of the signs of the forest, and the long and difficult paths that separate him from those he has most reason to dread.	true	43.73	57.01	21.549719
1446_122614_000002_000002	But the enemy who, by any lucky concurrence of accidents, has found means to elude the vigilance of the scouts, will seldom meet with sentinels nearer home to sound the alarm. In addition to this general usage, the tribes friendly to the French knew too well the weight of the blow that had just been struck, to apprehend any immediate danger from the hostile nations that were tributary to the crown of Britain.	But the enemy who, by any lucky concurrence of accidents, has found means to elude the vigilance of the scouts, will seldom meet with sentinels nearer home to sound the alarm. In addition to this general usage, the tribes friendly to the French knew too well the weight of the blow that had just been struck, to apprehend any immediate danger from the hostile nations that were tributary to the crown of Britain.	true	57.92	83.41	20.893454
1446_122614_000003_000000	When Duncan and David, therefore, found themselves in the center of the children, who played the antics already mentioned, it was without the least previous intimation of their approach.	When Duncan and David, therefore, found themselves in the center of the children, who played the antics already mentioned, it was without the least previous intimation of their approach.	true	84.89	95.08	20.957848
1446_122614_000003_000001	But so soon as they were observed the whole of the juvenile pack raised, by common consent, a shrill and warning whoop; and then sank, as it were, by magic, from before the sight of their visitors.	But so soon as they were observed the whole of the juvenile pack raised, by common consent, a shrill and warning whoop; and then sank, as it were, by magic, from before the sight of their visitors.	true	95.42	107.53	22.215826
1446_122614_000003_000002	The naked, tawny bodies of the crouching urchins blended so nicely at that hour, with the withered herbage, that at first it seemed as if the earth had, in truth, swallowed up their forms; though when surprise permitted Duncan to bend his look more curiously about the spot, he found it everywhere met by dark, quick, and rolling eyeballs.	The naked, tawny bodies of the crouching urchins blended so nicely at that hour, with the withered herbage, that at first it seemed as if the earth had, in truth, swallowed up their forms; though when surprise permitted Duncan to bend his look more curiously about the spot, he found it everywhere met by dark, quick, and rolling eyeballs.	true	108.2	126.97	21.542725
1446_122614_000004_000000	Gathering no encouragement from this startling presage of the nature of the scrutiny he was likely to undergo from the more mature judgments of the men, there was an instant when the young soldier would have retreated.	Gathering no encouragement from this startling presage of the nature of the scrutiny he was likely to undergo from the more mature judgments of the men, there was an instant when the young soldier would have retreated.	true	127.55	139.09	21.186237
1446_122614_000004_000001	It was, however, too late to appear to hesitate.	It was, however, too late to appear to hesitate.	true	139.49	142.69	25.323576
1446_122614_000004_000002	The cry of the children had drawn a dozen warriors to the door of the nearest lodge, where they stood clustered in a dark and savage group, gravely awaiting the nearer approach of those who had unexpectedly come among them.	The cry of the children had drawn a dozen warriors to the door of the nearest lodge, where they stood clustered in a dark and savage group, gravely awaiting the nearer approach of those who had unexpectedly come among them.	true	142.97	155.77	21.722792
1446_122614_000005_000000	David, in some measure familiarized to the scene, led the way with a steadiness that no slight obstacle was likely to disconcert, into this very building.	David, in some measure familiarized to the scene, led the way with a steadiness that no slight obstacle was likely to disconcert, into this very building.	true	155.9	165.31	22.540714
1446_122614_000005_000001	It was the principal edifice of the village, though roughly constructed of the bark and branches of trees; being the lodge in which the tribe held its councils and public meetings during their temporary residence on the borders of the English province.	It was the principal edifice of the village, though roughly constructed of the bark and branches of trees; being the lodge in which the tribe held its councils and public meetings during their temporary residence on the borders of the English province.	true	165.56	179.02	21
1446_122614_000005_000002	Duncan found it difficult to assume the necessary appearance of unconcern, as he brushed the dark and powerful frames of the savages who thronged its threshold; but, conscious that his existence depended on his presence of mind, he trusted to the discretion of his companion, whose footsteps he closely followed, endeavoring, as he proceeded, to rally his thoughts for the occasion.	Duncan found it difficult to assume the necessary appearance of unconcern, as he brushed the dark and powerful frames of the savages who thronged its threshold; but, conscious that his existence depended on his presence of mind, he trusted to the discretion of his companion, whose footsteps he closely followed, endeavoring, as he proceeded, to rally his thoughts for the occasion.	false	179.57	201.01	23.083616
1446_122614_000005_000003	His blood curdled when he found himself in absolute contact with such fierce and implacable enemies; but he so far mastered his feelings as to pursue his way into the center of the lodge, with an exterior that did not betray the weakness.	His blood curdled when he found himself in absolute contact with such fierce and implacable enemies; but he so far mastered his feelings as to pursue his way into the center of the lodge, with an exterior that did not betray the weakness.	true	201.5	214.78	22.007963
1446_122614_000005_000004	Imitating the example of the deliberate Gamut, he drew a bundle of fragrant brush from beneath a pile that filled the corner of the hut, and seated himself in silence.	Imitating the example of the deliberate Gamut, he drew a bundle of fragrant brush from beneath a pile that filled the corner of the hut, and seated himself in silence.	false	215.3	224.38	21.387857
1446_122614_000006_000000	So soon as their visitor had passed, the observant warriors fell back from the entrance, and arranging themselves about him, they seemed patiently to await the moment when it might comport with the dignity of the stranger to speak.	So soon as their visitor had passed, the observant warriors fell back from the entrance, and arranging themselves about him, they seemed patiently to await the moment when it might comport with the dignity of the stranger to speak.	true	225.14	237.34	22.676132
1446_122614_000006_000001	By far the greater number stood leaning, in lazy, lounging attitudes, against the upright posts that supported the crazy building, while three or four of the oldest and most distinguished of the chiefs placed themselves on the earth a little more in advance.	By far the greater number stood leaning, in lazy, lounging attitudes, against the upright posts that supported the crazy building, while three or four of the oldest and most distinguished of the chiefs placed themselves on the earth a little more in advance.	true	238.1	252.46	22.63962
1446_122614_000007_000000	A flaring torch was burning in the place, and set its red glare from face to face and figure to figure, as it waved in the currents of air. Duncan profited by its light to read the probable character of his reception, in the countenances of his hosts.	A flaring torch was burning in the place, and set its red glare from face to face and figure to figure, as it waved in the currents of air. Duncan profited by its light to read the probable character of his reception, in the countenances of his hosts.	false	253.1	267.91	22.444609
1446_122614_000007_000001	But his ingenuity availed him little, against the cold artifices of the people he had encountered. The chiefs in front scarce cast a glance at his person, keeping their eyes on the ground, with an air that might have been intended for respect, but which it was quite easy to construe into distrust.	But his ingenuity availed him little, against the cold artifices of the people he had encountered. The chiefs in front scarce cast a glance at his person, keeping their eyes on the ground, with an air that might have been intended for respect, but which it was quite easy to construe into distrust.	true	268.28	285.94	21.878124
1446_122614_000007_000002	The men in the shadow were less reserved.	The men in the shadow were less reserved.	true	286.34	288.64	17.669123
