6235_36641_000000_000000	"Ye gods, just give me a good harpoon!	"Ye gods, just give me a good harpoon!	false	0	3.18	21.883673
6235_36641_000000_000001	You see, sir, these sharks are badly designed.	You see, sir, these sharks are badly designed.	false	3.18	6.39	24.484253
6235_36641_000000_000002	They have to roll their bellies over to snap you up, and in the meantime . . ."	They have to roll their bellies over to snap you up, and in the meantime . . ."	false	6.39	10.74	21.970623
6235_36641_000001_000000	Ned Land had a way of pronouncing the word "snap" that sent chills down the spine.	Ned Land had a way of pronouncing the word "snap" that sent chills down the spine.	false	10.74	18.63	26.253698
6235_36641_000002_000000	"Well, how about you, Conseil?	"Well, how about you, Conseil?	false	18.63	19.83	24.499325
6235_36641_000002_000001	What are your feelings about these man-eaters?"	What are your feelings about these man eaters?"	false	19.83	21.75	22.377972
6235_36641_000003_000000	"Me?" Conseil said.	"Me?" Conseil said.	false	21.75	22.5	100
6235_36641_000003_000001	"I'm afraid I must be frank with master."	"I'm afraid I must be frank with master."	false	22.5	24.42	18
6235_36641_000004_000000	Good for you, I thought.	Good for you, I thought.	false	24.42	25.62	26.047916
6235_36641_000005_000000	"If master faces these sharks," Conseil said, "I think his loyal manservant should face them with him!"	"If master faces these sharks," Conseil said, "I think his loyal manservant should face them with him!"	false	25.62	29.73	30.159641
6235_36641_000006_000000	CHAPTER 3	CHAPTER three	false	29.73	30.225	-20
6235_36641_000007_000000	A Pearl Worth Ten Million	A Pearl Worth Ten Million	true	30.225	32.23	23.103897
6235_36641_000008_000000	NIGHT FELL.	NIGHT FELL.	true	34.91	35.95	30.240486
6235_36641_000008_000001	I went to bed.	I went to bed.	true	36.38	37.48	22.55563
6235_36641_000008_000002	I slept pretty poorly.	I slept pretty poorly.	true	37.91	39.7	25.736895
6235_36641_000008_000003	Man-eaters played a major role in my dreams.	Man eaters played a major role in my dreams.	true	40.16	43.03	18.463993
6235_36641_000008_000004	And I found it more or less appropriate that the French word for shark, requin, has its linguistic roots in the word requiem.	And I found it more or less appropriate that the French word for shark, requin, has its linguistic roots in the word requiem.	false	43.19	51.55	25.610453
6235_36641_000009_000000	The next day at four o'clock in the morning, I was awakened by the steward whom Captain Nemo had placed expressly at my service. I got up quickly, dressed, and went into the lounge.	The next day at four o'clock in the morning, I was awakened by the steward whom Captain Nemo had placed expressly at my service. I got up quickly, dressed, and went into the lounge.	true	52.76	64.54	23.073723
6235_36641_000010_000000	Captain Nemo was waiting for me.	Captain Nemo was waiting for me.	true	65.15	67.12	23.395859
6235_36641_000011_000000	"Professor Aronnax," he said to me, "are you ready to start?"	"Professor Aronnax," he said to me, "are you ready to start?"	true	67.85	72.31	24.689667
6235_36641_000012_000000	"I'm ready."	"I'm ready."	true	72.86	73.84	17.25237
6235_36641_000013_000000	"Kindly follow me."	"Kindly follow me."	true	74.3	76.69	20.577745
6235_36641_000014_000000	"What about my companions, captain?"	"What about my companions, captain?"	true	76.73	79.36	24.654707
6235_36641_000015_000000	"They've been alerted and are waiting for us."	"They've been alerted and are waiting for us."	true	80.78	83.11	23.822802
6235_36641_000016_000000	"Aren't we going to put on our diving suits?" I asked.	"Aren't we going to put on our diving suits?" I asked.	true	84.38	87.25	21.29627
6235_36641_000017_000000	"Not yet.	"Not yet.	true	87.68	88.75	31.083689
