1422_146123_000000_000000	CHAPTER 17.	CHAPTER seventeen.	true	22.86	24.31	23.598701
1422_146123_000001_000000	The gift of hiding private emotion and keeping up appearances before strangers is not, as many suppose, entirely a product of our modern civilization.	The gift of hiding private emotion and keeping up appearances before strangers is not, as many suppose, entirely a product of our modern civilization.	true	25.4	36.52	21.449974
1422_146123_000001_000001	Centuries before we were born or thought of there was a widely press-agented boy in Sparta who even went so far as to let a fox gnaw his tender young stomach without permitting the discomfort inseparable from such a proceeding to interfere with either his facial expression or his flow of small talk.	Centuries before we were born or thought of there was a widely press agented boy in Sparta who even went so far as to let a fox gnaw his tender young stomach without permitting the discomfort inseparable from such a proceeding to interfere with either his facial expression or his flow of small talk.	true	37.01	57.19	22.554848
1422_146123_000001_000002	Historians have handed it down that, even in the later stages of the meal, the polite lad continued to be the life and soul of the party.	Historians have handed it down that, even in the later stages of the meal, the polite lad continued to be the life and soul of the party.	false	57.5	66.49	18
1422_146123_000001_000003	But, while this feat may be said to have established a record never subsequently lowered, there is no doubt that almost every day in modern times men and women are performing similar and scarcely less impressive miracles of self-restraint.	But, while this feat may be said to have established a record never subsequently lowered, there is no doubt that almost every day in modern times men and women are performing similar and scarcely less impressive miracles of self restraint.	true	67.13	82.39	20
1422_146123_000001_000004	Of all the qualities which belong exclusively to Man and are not shared by the lower animals, this surely is the one which marks him off most sharply from the beasts of the field.	Of all the qualities which belong exclusively to Man and are not shared by the lower animals, this surely is the one which marks him off most sharply from the beasts of the field.	true	83.39	95.02	23.139349
1422_146123_000001_000005	Animals care nothing about keeping up appearances.	Animals care nothing about keeping up appearances.	true	95.48	98.5	22.778418
1422_146123_000001_000006	Observe Bertram the Bull when things are not going just as he could wish.	Observe Bertram the Bull when things are not going just as he could wish.	true	98.9	103.06	21.02556
1422_146123_000001_000007	He stamps.	He stamps.	true	103.19	104.37	29.943005
1422_146123_000001_000008	He snorts.	He snorts.	true	104.37	105.48	24.449461
1422_146123_000001_000009	He paws the ground.	He paws the ground.	true	105.48	106.87	26.27101
1422_146123_000001_000010	He throws back his head and bellows.	He throws back his head and bellows.	true	106.88	109.33	23.29608
1422_146123_000001_000011	He is upset, and he doesn't care who knows it.	He is upset, and he doesn't care who knows it.	true	109.43	112.66	23.701715
1422_146123_000001_000012	Instances could be readily multiplied.	Instances could be readily multiplied.	true	113.24	115.66	23
1422_146123_000001_000013	Deposit a charge of shot in some outlying section of Thomas the Tiger, and note the effect.	Deposit a charge of shot in some outlying section of Thomas the Tiger, and note the effect.	true	115.94	122.05	24.243385
1422_146123_000001_000014	Irritate Wilfred the Wasp, or stand behind Maud the Mule and prod her with a pin.	Irritate Wilfred the Wasp, or stand behind Maud the Mule and prod her with a pin.	true	122.36	127.36	19
1422_146123_000001_000015	There is not an animal on the list who has even a rudimentary sense of the social amenities; and it is this more than anything else which should make us proud that we are human beings on a loftier plane of development.	There is not an animal on the list who has even a rudimentary sense of the social amenities; and it is this more than anything else which should make us proud that we are human beings on a loftier plane of development.	false	127.61	141.4	21.84925
1422_146123_000002_000000	In the days which followed Lord Marshmoreton's visit to George at the cottage, not a few of the occupants of Belpher Castle had their mettle sternly tested in this respect; and it is a pleasure to be able to record that not one of them failed to come through the ordeal with success.	In the days which followed Lord Marshmoreton's visit to George at the cottage, not a few of the occupants of Belpher Castle had their mettle sternly tested in this respect; and it is a pleasure to be able to record that not one of them failed to come through the ordeal with success.	true	142.28	159.28	24
1422_146123_000002_000001	The general public, as represented by the uncles, cousins, and aunts who had descended on the place to help Lord Belpher celebrate his coming-of-age, had not a notion that turmoil lurked behind the smooth fronts of at least half a dozen of those whom they met in the course of the daily round.	The general public, as represented by the uncles, cousins, and aunts who had descended on the place to help Lord Belpher celebrate his coming of age, had not a notion that turmoil lurked behind the smooth fronts of at least half a dozen of those whom they met in the course of the daily round.	false	159.74	176.98	19
1422_146123_000003_000000	Lord Belpher, for example, though he limped rather painfully, showed nothing of the baffled fury which was reducing his weight at the rate of ounces a day.	Lord Belpher, for example, though he limped rather painfully, showed nothing of the baffled fury which was reducing his weight at the rate of ounces a day.	true	177.62	186.82	23
1422_146123_000003_000001	His uncle Francis, the Bishop, when he tackled him in the garden on the subject of Intemperance--for Uncle Francis, like thousands of others, had taken it for granted, on reading the report of the encounter with the policeman and Percy's subsequent arrest, that the affair had been the result of a drunken outburst--had no inkling of the volcanic emotions that seethed in his nephew's bosom.	His uncle Francis, the Bishop, when he tackled him in the garden on the subject of Intemperance-for Uncle Francis, like thousands of others, had taken it for granted, on reading the report of the encounter with the policeman and Percy's subsequent arrest, that the affair had been the result of a drunken outburst-had no inkling of the volcanic emotions that seethed in his nephew's bosom.	true	187.37	211.18	20.60432
1422_146123_000003_000002	He came away from the interview, indeed, feeling that the boy had listened attentively and with a becoming regret, and that there was hope for him after all, provided that he fought the impulse.	He came away from the interview, indeed, feeling that the boy had listened attentively and with a becoming regret, and that there was hope for him after all, provided that he fought the impulse.	true	212.18	223.93	22.363354
1422_146123_000003_000003	He little knew that, but for the conventions (which frown on the practice of murdering bishops), Percy would gladly have strangled him with his bare hands and jumped upon the remains.	He little knew that, but for the conventions (which frown on the practice of murdering bishops), Percy would gladly have strangled him with his bare hands and jumped upon the remains.	true	224.24	235.33	20.291294
1422_146123_000004_000000	Lord Belpher's case, inasmuch as he took himself extremely seriously and was not one of those who can extract humour even from their own misfortunes, was perhaps the hardest which comes under our notice; but his sister Maud was also experiencing mental disquietude of no mean order.	Lord Belpher's case, inasmuch as he took himself extremely seriously and was not one of those who can extract humour even from their own misfortunes, was perhaps the hardest which comes under our notice; but his sister Maud was also experiencing mental disquietude of no mean order.	true	236.24	253.96	21.127531
1422_146123_000004_000001	Everything had gone wrong with Maud. Barely a mile separated her from George, that essential link in her chain of communication with Geoffrey Raymond; but so thickly did it bristle with obstacles and dangers that it might have been a mile of No Man's Land.	Everything had gone wrong with Maud. Barely a mile separated her from George, that essential link in her chain of communication with Geoffrey Raymond; but so thickly did it bristle with obstacles and dangers that it might have been a mile of No Man's Land.	true	254.6	270.88	21.432142
1422_146123_000004_000002	Twice, since the occasion when the discovery of Lord Marshmoreton at the cottage had caused her to abandon her purpose of going in and explaining everything to George, had she attempted to make the journey; and each time some trifling, maddening accident had brought about failure.	Twice, since the occasion when the discovery of Lord Marshmoreton at the cottage had caused her to abandon her purpose of going in and explaining everything to George, had she attempted to make the journey; and each time some trifling, maddening accident had brought about failure.	true	271.46	288.34	21
1422_146123_000004_000003	Once, just as she was starting, her aunt Augusta had insisted on joining her for what she described as "a nice long walk"; and the second time, when she was within a bare hundred yards of her objective, some sort of a cousin popped out from nowhere and forced his loathsome company on her.	Once, just as she was starting, her aunt Augusta had insisted on joining her for what she described as "a nice long walk"; and the second time, when she was within a bare hundred yards of her objective, some sort of a cousin popped out from nowhere and forced his loathsome company on her.	true	288.92	307.93	21.615822
1422_146123_000005_000000	Foiled in this fashion, she had fallen back in desperation on her second line of attack.	Foiled in this fashion, she had fallen back in desperation on her second line of attack.	true	308.45	313.75	21.763628
1422_146123_000005_000001	She had written a note to George, explaining the whole situation in good, clear phrases and begging him as a man of proved chivalry to help her.	She had written a note to George, explaining the whole situation in good, clear phrases and begging him as a man of proved chivalry to help her.	true	314	323.92	22.635334
1422_146123_000005_000002	It had taken up much of one afternoon, this note, for it was not easy to write; and it had resulted in nothing.	It had taken up much of one afternoon, this note, for it was not easy to write; and it had resulted in nothing.	true	324.38	331.21	22.68529
1422_146123_000005_000003	She had given it to Albert to deliver and Albert had returned empty-handed.	She had given it to Albert to deliver and Albert had returned empty handed.	true	331.55	336.73	23.82088
1422_146123_000006_000000	"The gentleman said there was no answer, m'lady!"	"The gentleman said there was no answer, m'lady!"	false	337.64	340.42	19
1422_146123_000007_000000	"No answer!	"No answer!	true	340.97	342.1	22.930565
1422_146123_000007_000001	But there must be an answer!"	But there must be an answer!"	true	342.5	344.11	22.287825
1422_146123_000008_000000	"No answer, m'lady.	"No answer, m'lady.	true	344.45	345.97	18.954493
1422_146123_000008_000001	Those was his very words," stoutly maintained the black-souled boy, who had destroyed the letter within two minutes after it had been handed to him.	Those was his very words," stoutly maintained the black souled boy, who had destroyed the letter within two minutes after it had been handed to him.	false	346.19	355.45	20.070166
1422_146123_000008_000002	He had not even bothered to read it.	He had not even bothered to read it.	true	355.67	357.76	22.7522
1422_146123_000008_000003	A deep, dangerous, dastardly stripling this, who fought to win and only to win.	A deep, dangerous, dastardly stripling this, who fought to win and only to win.	true	358.25	364.9	24.12955
