4071_39913_000000_000000	The Old Chest at Wyther Grange	The Old Chest at Wyther Grange	true	22.08	24.07	14
4071_39913_000001_000000	When I was a child I always thought a visit to Wyther Grange was a great treat.	When I was a child I always thought a visit to Wyther Grange was a great treat.	true	24.59	29.41	12
4071_39913_000001_000001	It was a big, quiet, old-fashioned house where Grandmother Laurance and Mrs. DeLisle, my Aunt Winnifred, lived.	It was a big, quiet, old-fashioned house where Grandmother Laurance and mrs DeLisle, my Aunt Winnifred, lived.	true	29.51	35.77	9
4071_39913_000001_000002	I was a favourite with them, yet I could never overcome a certain awe of them both.	I was a favourite with them, yet I could never overcome a certain awe of them both.	false	35.9	40.57	11
4071_39913_000001_000003	Grandmother was a tall, dignified old lady with keen black eyes that seemed veritably to bore through one.	Grandmother was a tall, dignified old lady with keen black eyes that seemed veritably to bore through one.	true	40.88	47.05	7
4071_39913_000001_000004	She always wore stiffly-rustling gowns of rich silk made in the fashion of her youth. I suppose she must have changed her dress occasionally, but the impression on my mind was always the same, as she went trailing about the house with a big bunch of keys at her belt--keys that opened a score of wonderful old chests and boxes and drawers.	She always wore stiffly rustling gowns of rich silk made in the fashion of her youth. I suppose she must have changed her dress occasionally, but the impression on my mind was always the same, as she went trailing about the house with a big bunch of keys at her belt-keys that opened a score of wonderful old chests and boxes and drawers.	false	47.45	66.58	15
4071_39913_000001_000005	It was one of my dearest delights to attend Grandmother in her peregrinations and watch the unfolding and examining of all those old treasures and heirlooms of bygone Laurances.	It was one of my dearest delights to attend Grandmother in her peregrinations and watch the unfolding and examining of all those old treasures and heirlooms of bygone Laurances.	true	67.01	77.37	9
4071_39913_000002_000000	Of Aunt Winnifred I was less in awe, possibly because she dressed in a modern way and so looked to my small eyes more human and natural.	Of Aunt Winnifred I was less in awe, possibly because she dressed in a modern way and so looked to my small eyes more human and natural.	false	77.37	86.53	13
4071_39913_000002_000001	As Winnifred Laurance she had been the beauty of the family and was a handsome woman still, with brilliant dark eyes and cameo-like features.	As Winnifred Laurance she had been the beauty of the family and was a handsome woman still, with brilliant dark eyes and cameo like features.	true	86.87	95.02	9
4071_39913_000002_000002	She always looked very sad, spoke in a low sweet voice, and was my childish ideal of all that was high-bred and graceful.	She always looked very sad, spoke in a low sweet voice, and was my childish ideal of all that was high bred and graceful.	true	95.18	103.23	15
4071_39913_000003_000000	I had many beloved haunts at the Grange, but I liked the garret best. It was a roomy old place, big enough to have comfortably housed a family in itself, and was filled with cast-off furniture and old trunks and boxes of discarded finery.	I had many beloved haunts at the Grange, but I liked the garret best. It was a roomy old place, big enough to have comfortably housed a family in itself, and was filled with cast off furniture and old trunks and boxes of discarded finery.	false	103.23	119.65	12
4071_39913_000003_000001	I was never tired of playing there, dressing up in the old-fashioned gowns and hats and practising old-time dance steps before the high, cracked mirror that hung at one end.	I was never tired of playing there, dressing up in the old-fashioned gowns and hats and practising old time dance steps before the high, cracked mirror that hung at one end.	true	119.99	129.55	11
4071_39913_000003_000002	That old garret was a veritable fairyland to me.	That old garret was a veritable fairyland to me.	true	130.04	133.18	7
4071_39913_000004_000000	There was one old chest which I could not explore and, like all forbidden things, it possessed a great attraction for me.	There was one old chest which I could not explore and, like all forbidden things, it possessed a great attraction for me.	true	134.24	141.49	11
4071_39913_000004_000001	It stood away back in a dusty, cobwebbed corner, a strong, high wooden box, painted blue.	It stood away back in a dusty, cobwebbed corner, a strong, high wooden box, painted blue.	true	141.89	148.33	13
