345_1120_000000_000000	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	false	0	2.79	18.720335
345_1120_000000_000001	Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern in parting with her, that Miss Bingley was obliged to convert the offer of the chaise to an invitation to remain at Netherfield for the present. Elizabeth most thankfully consented, and a servant was dispatched to Longbourn to acquaint the family with her stay and bring back a supply of clothes.	Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern in parting with her, that Miss Bingley was obliged to convert the offer of the chaise to an invitation to remain at Netherfield for the present. Elizabeth most thankfully consented, and a servant was dispatched to Longbourn to acquaint the family with her stay and bring back a supply of clothes.	false	2.79	16.485	15
345_1120_000001_000000	Chapter 8	Chapter eight	true	16.485	17.46	17.746923
345_1120_000002_000000	At five o'clock the two ladies retired to dress, and at half-past six Elizabeth was summoned to dinner.	At five o'clock the two ladies retired to dress, and at half past six Elizabeth was summoned to dinner.	false	17.46	24.64	18.38107
345_1120_000002_000001	To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley's, she could not make a very favourable answer.	To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of mr Bingley's, she could not make a very favourable answer.	true	25.34	36.1	17.589863
345_1120_000002_000002	Jane was by no means better.	Jane was by no means better.	true	37.34	39.13	19.48563
345_1120_000002_000003	The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them restored Elizabeth to the enjoyment of all her former dislike.	The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them restored Elizabeth to the enjoyment of all her former dislike.	false	40.25	57.52	18.41909
345_1120_000003_000000	Their brother, indeed, was the only one of the party whom she could regard with any complacency.	Their brother, indeed, was the only one of the party whom she could regard with any complacency.	false	58.49	63.43	19.179976
345_1120_000003_000001	His anxiety for Jane was evident, and his attentions to herself most pleasing, and they prevented her feeling herself so much an intruder as she believed she was considered by the others.	His anxiety for Jane was evident, and his attentions to herself most pleasing, and they prevented her feeling herself so much an intruder as she believed she was considered by the others.	true	64.43	74.65	16.491575
345_1120_000003_000002	She had very little notice from any but him.	She had very little notice from any but him.	true	75.11	77.68	17.75519
345_1120_000003_000003	Miss Bingley was engrossed by Mr. Darcy, her sister scarcely less so; and as for Mr. Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards; who, when he found her to prefer a plain dish to a ragout, had nothing to say to her.	Miss Bingley was engrossed by mr Darcy, her sister scarcely less so; and as for mr Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards; who, when he found her to prefer a plain dish to a ragout, had nothing to say to her.	true	78.11	97.12	17.866787
345_1120_000004_000000	When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.	When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.	true	97.91	103.93	17.549603
345_1120_000004_000001	Her manners were pronounced to be very bad indeed, a mixture of pride and impertinence; she had no conversation, no style, no beauty.	Her manners were pronounced to be very bad indeed, a mixture of pride and impertinence; she had no conversation, no style, no beauty.	true	104.15	112.33	18.439789
345_1120_000004_000002	Mrs. Hurst thought the same, and added:	mrs Hurst thought the same, and added:	true	112.73	115.365	19.403284
345_1120_000005_000000	"She has nothing, in short, to recommend her, but being an excellent walker.	"She has nothing, in short, to recommend her, but being an excellent walker.	true	115.365	119.44	18
345_1120_000005_000001	I shall never forget her appearance this morning.	I shall never forget her appearance this morning.	true	119.66	121.75	16.340899
345_1120_000005_000002	She really looked almost wild."	She really looked almost wild."	true	121.88	123.79	15
345_1120_000006_000000	"She did, indeed, Louisa.	"She did, indeed, Louisa.	true	125.33	127.15	14
345_1120_000006_000001	I could hardly keep my countenance.	I could hardly keep my countenance.	true	127.61	129.37	15
345_1120_000006_000002	Very nonsensical to come at all!	Very nonsensical to come at all!	true	129.68	131.8	16
345_1120_000006_000003	Why must _she_ be scampering about the country, because her sister had a cold?	Why must underscore she underscore be scampering about the country, because her sister had a cold?	false	132.29	136.48	14
345_1120_000006_000004	Her hair, so untidy, so blowsy!"	Her hair, so untidy, so blowsy!"	true	137.03	139.33	18
345_1120_000007_000000	"Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain; and the gown which had been let down to hide it not doing its office."	"Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain; and the gown which had been let down to hide it not doing its office."	true	140.51	151.48	14
345_1120_000008_000000	"Your picture may be very exact, Louisa," said Bingley; "but this was all lost upon me.	"Your picture may be very exact, Louisa," said Bingley; "but this was all lost upon me.	true	152.93	158.8	15.936072
345_1120_000008_000001	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning.	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning.	true	158.84	162.94	12
345_1120_000008_000002	Her dirty petticoat quite escaped my notice."	Her dirty petticoat quite escaped my notice."	true	163.22	165.45	15
345_1120_000009_000000	"_You_ observed it, Mr. Darcy, I am sure," said Miss Bingley; "and I am inclined to think that you would not wish to see _your_ sister make such an exhibition."	"underscore You underscore observed it, mr Darcy, I am sure," said Miss Bingley; "and I am inclined to think that you would not wish to see underscore your underscore sister make such an exhibition."	false	165.45	174.13	15.014578
345_1120_000010_000000	"Certainly not."	"Certainly not."	true	174.95	175.96	15
345_1120_000011_000000	"To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone!	"To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone!	true	176.75	183.01	14
345_1120_000011_000001	What could she mean by it?	What could she mean by it?	true	183.11	184.66	18.148922
345_1120_000011_000002	It seems to me to show an abominable sort of conceited independence, a most country-town indifference to decorum."	It seems to me to show an abominable sort of conceited independence, a most country town indifference to decorum."	true	185.06	191.62	12
345_1120_000012_000000	"It shows an affection for her sister that is very pleasing," said Bingley.	"It shows an affection for her sister that is very pleasing," said Bingley.	true	192.95	196.51	16
345_1120_000013_000000	"I am afraid, Mr. Darcy," observed Miss Bingley in a half whisper, "that this adventure has rather affected your admiration of her fine eyes."	"I am afraid, mr Darcy," observed Miss Bingley in a half whisper, "that this adventure has rather affected your admiration of her fine eyes."	false	196.76	206.8	16
345_1120_000014_000000	"Not at all," he replied; "they were brightened by the exercise." A short pause followed this speech, and Mrs. Hurst began again:	"Not at all," he replied; "they were brightened by the exercise." A short pause followed this speech, and mrs Hurst began again:	true	206.96	215.89	18.010406
345_1120_000015_000000	"I have an excessive regard for Miss Jane Bennet, she is really a very sweet girl, and I wish with all my heart she were well settled.	"I have an excessive regard for Miss Jane Bennet, she is really a very sweet girl, and I wish with all my heart she were well settled.	false	216.83	224.17	15
345_1120_000015_000001	But with such a father and mother, and such low connections, I am afraid there is no chance of it."	But with such a father and mother, and such low connections, I am afraid there is no chance of it."	true	224.27	229.18	17.761147
345_1120_000016_000000	"I think I have heard you say that their uncle is an attorney in Meryton."	"I think I have heard you say that their uncle is an attorney in Meryton."	false	230.42	234.49	16
345_1120_000017_000000	"Yes; and they have another, who lives somewhere near Cheapside."	"Yes; and they have another, who lives somewhere near Cheapside."	true	235.25	239.2	18.68374
345_1120_000018_000000	"That is capital," added her sister, and they both laughed heartily.	"That is capital," added her sister, and they both laughed heartily.	true	240.35	244.18	14
345_1120_000019_000000	"If they had uncles enough to fill _all_ Cheapside," cried Bingley, "it would not make them one jot less agreeable."	"If they had uncles enough to fill underscore all underscore Cheapside," cried Bingley, "it would not make them one jot less agreeable."	false	245.39	252.1	19.173168
345_1120_000020_000000	"But it must very materially lessen their chance of marrying men of any consideration in the world," replied Darcy.	"But it must very materially lessen their chance of marrying men of any consideration in the world," replied Darcy.	true	252.41	258.64	15
345_1120_000021_000000	To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend's vulgar relations.	To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend's vulgar relations.	false	259.31	267.37	13
345_1120_000022_000000	With a renewal of tenderness, however, they returned to her room on leaving the dining-parlour, and sat with her till summoned to coffee. She was still very poorly, and Elizabeth would not quit her at all, till late in the evening, when she had the comfort of seeing her sleep, and when it seemed to her rather right than pleasant that she should go downstairs herself.	With a renewal of tenderness, however, they returned to her room on leaving the dining parlour, and sat with her till summoned to coffee. She was still very poorly, and Elizabeth would not quit her at all, till late in the evening, when she had the comfort of seeing her sleep, and when it seemed to her rather right than pleasant that she should go downstairs herself.	true	268.19	289.93	17.771734
345_1120_000022_000001	On entering the drawing-room she found the whole party at loo, and was immediately invited to join them; but suspecting them to be playing high she declined it, and making her sister the excuse, said she would amuse herself for the short time she could stay below, with a book.	On entering the drawing room she found the whole party at loo, and was immediately invited to join them; but suspecting them to be playing high she declined it, and making her sister the excuse, said she would amuse herself for the short time she could stay below, with a book.	true	290.93	305.53	16
345_1120_000022_000002	Mr. Hurst looked at her with astonishment.	mr Hurst looked at her with astonishment.	true	305.99	308.38	17.476055
345_1120_000023_000000	"Do you prefer reading to cards?" said he; "that is rather singular."	"Do you prefer reading to cards?" said he; "that is rather singular."	true	308.75	314.41	19.12689
345_1120_000024_000000	"Miss Eliza Bennet," said Miss Bingley, "despises cards.	"Miss Eliza Bennet," said Miss Bingley, "despises cards.	true	315.29	320.05	16.728642
345_1120_000024_000001	She is a great reader, and has no pleasure in anything else."	She is a great reader, and has no pleasure in anything else."	true	320.21	324.64	15.970574
345_1120_000025_000000	"I deserve neither such praise nor such censure," cried Elizabeth; "I am _not_ a great reader, and I have pleasure in many things."	"I deserve neither such praise nor such censure," cried Elizabeth; "I am underscore not underscore a great reader, and I have pleasure in many things."	false	324.77	331.81	17
345_1120_000026_000000	"In nursing your sister I am sure you have pleasure," said Bingley; "and I hope it will be soon increased by seeing her quite well."	"In nursing your sister I am sure you have pleasure," said Bingley; "and I hope it will be soon increased by seeing her quite well."	true	332.33	339.52	19.138159
345_1120_000027_000000	Elizabeth thanked him from her heart, and then walked towards the table where a few books were lying.	Elizabeth thanked him from her heart, and then walked towards the table where a few books were lying.	true	340.22	345.37	13
345_1120_000027_000001	He immediately offered to fetch her others--all that his library afforded.	He immediately offered to fetch her others-all that his library afforded.	true	345.62	349.75	17.744062
345_1120_000028_000000	"And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow, and though I have not many, I have more than I ever looked into."	"And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow, and though I have not many, I have more than I ever looked into."	true	350.33	358.12	16.558744
345_1120_000029_000000	Elizabeth assured him that she could suit herself perfectly with those in the room.	Elizabeth assured him that she could suit herself perfectly with those in the room.	true	358.37	363.94	18.126276
345_1120_000030_000000	"I am astonished," said Miss Bingley, "that my father should have left so small a collection of books.	"I am astonished," said Miss Bingley, "that my father should have left so small a collection of books.	true	364.34	370.51	14
345_1120_000030_000001	What a delightful library you have at Pemberley, Mr. Darcy!"	What a delightful library you have at Pemberley, mr Darcy!"	true	370.67	374.26	15
345_1120_000031_000000	"It ought to be good," he replied, "it has been the work of many generations."	"It ought to be good," he replied, "it has been the work of many generations."	true	375.44	379.87	16.59308
345_1120_000032_000000	"And then you have added so much to it yourself, you are always buying books."	"And then you have added so much to it yourself, you are always buying books."	true	381.2	385.3	15
345_1120_000033_000000	"I cannot comprehend the neglect of a family library in such days as these."	"I cannot comprehend the neglect of a family library in such days as these."	true	385.73	389.53	11
345_1120_000034_000000	"Neglect!	"Neglect!	true	390.47	391.51	19.833136
345_1120_000034_000001	I am sure you neglect nothing that can add to the beauties of that noble place.	I am sure you neglect nothing that can add to the beauties of that noble place.	true	391.52	395.38	14
345_1120_000034_000002	Charles, when you build _your_ house, I wish it may be half as delightful as Pemberley."	Charles, when you build underscore your underscore house, I wish it may be half as delightful as Pemberley."	false	395.69	401.68	18.083164
345_1120_000035_000000	"I wish it may."	"I wish it may."	true	401.93	402.91	20.810616
345_1120_000036_000000	"But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.	"But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.	true	403.4	409.18	18.17826
345_1120_000036_000001	There is not a finer county in England than Derbyshire."	There is not a finer county in England than Derbyshire."	true	409.4	412.72	15
345_1120_000037_000000	"With all my heart; I will buy Pemberley itself if Darcy will sell it."	"With all my heart; I will buy Pemberley itself if Darcy will sell it."	true	413.33	417.01	19.206478
345_1120_000038_000000	"I am talking of possibilities, Charles."	"I am talking of possibilities, Charles."	true	417.92	420.55	17.910152
