4438_48525_000000_000000	XV	fifteen	true	8.25	9.22	25.443027
4438_48525_000001_000000	Early in their engagement Wemyss had expounded his theory to Lucy that there should be the most perfect frankness between lovers, while as for husband and wife there oughtn't to be a corner anywhere about either of them, mind, body, or soul, which couldn't be revealed to the other one.	Early in their engagement Wemyss had expounded his theory to Lucy that there should be the most perfect frankness between lovers, while as for husband and wife there oughtn't to be a corner anywhere about either of them, mind, body, or soul, which couldn't be revealed to the other one.	true	9.53	26.77	22.848928
4438_48525_000002_000000	'You can talk about everything to your Everard,' he assured her.	'You can talk about everything to your Everard,' he assured her.	true	28.01	31.6	22.6119
4438_48525_000002_000001	'Tell him your innermost thoughts, whatever they may be.	'Tell him your innermost thoughts, whatever they may be.	true	31.73	35.05	21.546396
4438_48525_000002_000002	You need no more be ashamed of telling him than of thinking them by yourself.	You need no more be ashamed of telling him than of thinking them by yourself.	true	35.54	40.05	21.724424
4438_48525_000002_000003	He _is_ you. You and he are one in mind and soul now, and when he is your husband you and he will become perfect and complete by being one in body as well. Everard--Lucy.	He underscore is underscore you. You and he are one in mind and soul now, and when he is your husband you and he will become perfect and complete by being one in body as well. Everard-Lucy.	false	40.05	53.085	21.88138
4438_48525_000002_000004	Lucy--Everard.	Lucy-Everard.	false	53.085	55.2	21.86644
4438_48525_000002_000005	We shan't know where one ends and the other begins.	We shan't know where one ends and the other begins.	true	55.2	57.94	19.416473
4438_48525_000002_000006	That, little Love, is real marriage.	That, little Love, is real marriage.	true	58.25	60.82	23.7563
4438_48525_000002_000007	What do you think of it?'	What do you think of it?'	true	61.01	62.38	27.603104
4438_48525_000003_000000	Lucy thought so highly of it that she had no words with which to express her admiration, and fell to kissing him instead.	Lucy thought so highly of it that she had no words with which to express her admiration, and fell to kissing him instead.	true	63.23	70.78	23.143219
4438_48525_000003_000001	What ideal happiness, to be for ever removed from the fear of loneliness by the simple expedient of being doubled; and who so happy as herself to have found the exactly right person for this doubling, one she could so perfectly agree with and understand?	What ideal happiness, to be for ever removed from the fear of loneliness by the simple expedient of being doubled; and who so happy as herself to have found the exactly right person for this doubling, one she could so perfectly agree with and understand?	false	71.84	90.37	23.67886
4438_48525_000003_000002	She felt quite sorry she had nothing in her mind in the way of thoughts she was ashamed of to tell him then and there, but there wasn't a doubt, there wasn't a shred of anything a little wrong, not even an unworthy suspicion.	She felt quite sorry she had nothing in her mind in the way of thoughts she was ashamed of to tell him then and there, but there wasn't a doubt, there wasn't a shred of anything a little wrong, not even an unworthy suspicion.	false	90.95	105.1	21.984241
4438_48525_000003_000003	Her mind was a chalice filled only with love, and so clear and bright was the love that even at the bottom, when she stirred it up to look, there wasn't a trace of sediment.	Her mind was a chalice filled only with love, and so clear and bright was the love that even at the bottom, when she stirred it up to look, there wasn't a trace of sediment.	true	105.86	116.86	24.052866
4438_48525_000004_000000	But marriage--or was it sleeplessness?--completely changed this, and there were perfect crowds of thoughts in her mind that she was thoroughly ashamed of.	But marriage-or was it sleeplessness?--completely changed this, and there were perfect crowds of thoughts in her mind that she was thoroughly ashamed of.	true	118.37	130.005	24.21282
4438_48525_000004_000001	Remembering his words, and whole-heartedly agreeing that to be able to tell each other everything, to have no concealments, was real marriage, the day after her wedding she first of all reminded him of what he had said, then plunged bravely into the announcement that she'd got a thought she was ashamed of.	Remembering his words, and whole heartedly agreeing that to be able to tell each other everything, to have no concealments, was real marriage, the day after her wedding she first of all reminded him of what he had said, then plunged bravely into the announcement that she'd got a thought she was ashamed of.	false	130.005	150.19	22.76388
4438_48525_000005_000000	Wemyss pricked up his ears, thinking it was something interesting to do with sex, and waited with an amused, inquisitive smile.	Wemyss pricked up his ears, thinking it was something interesting to do with sex, and waited with an amused, inquisitive smile.	true	150.68	158.95	25.457096
4438_48525_000005_000001	But Lucy in such matters was content to follow him, aware of her want of experience and of the abundance of his, and the thought that was worrying her only had to do with a waiter.	But Lucy in such matters was content to follow him, aware of her want of experience and of the abundance of his, and the thought that was worrying her only had to do with a waiter.	true	159.8	171.61	23.419981
4438_48525_000005_000002	A waiter, if you please.	A waiter, if you please.	true	171.92	173.92	24.455414
4438_48525_000006_000000	Wemyss's smile died away.	Wemyss's smile died away.	true	175.22	177.61	23.507402
4438_48525_000006_000001	He had had occasion to reprimand this waiter at lunch for gross negligence, and here was Lucy alleging he had done so without any reason that she could see, and anyhow roughly.	He had had occasion to reprimand this waiter at lunch for gross negligence, and here was Lucy alleging he had done so without any reason that she could see, and anyhow roughly.	true	178.1	190.84	21.372498
4438_48525_000006_000002	Would he remove the feeling of discomfort she had at being forced to think her own heart's beloved, the kindest and gentlest of men, hadn't been kind and gentle but unjust, by explaining?	Would he remove the feeling of discomfort she had at being forced to think her own heart's beloved, the kindest and gentlest of men, hadn't been kind and gentle but unjust, by explaining?	true	191.6	204.31	22.935457
4438_48525_000007_000000	Well, that was at the very beginning.	Well, that was at the very beginning.	true	205.07	207.73	23.361671
4438_48525_000007_000001	She soon learned that a doubt in her mind was better kept there.	She soon learned that a doubt in her mind was better kept there.	true	208.46	212.89	24.806849
4438_48525_000007_000002	If she brought it out to air it and dispel it by talking it over with him, all that happened was that he was hurt, and when he was hurt she instantly became perfectly miserable. Seeing, then, that this happened about small things, how impossible it was to talk with him of big things; of, especially, her immense doubt in regard to The Willows.	If she brought it out to air it and dispel it by talking it over with him, all that happened was that he was hurt, and when he was hurt she instantly became perfectly miserable. Seeing, then, that this happened about small things, how impossible it was to talk with him of big things; of, especially, her immense doubt in regard to The Willows.	true	213.77	240.16	24.482721
4438_48525_000007_000003	For a long while she was sure he was bearing her feeling in mind, since it couldn't have changed since Christmas, and that when she arrived there she would find that he had had everything altered and all traces of Vera's life there removed.	For a long while she was sure he was bearing her feeling in mind, since it couldn't have changed since Christmas, and that when she arrived there she would find that he had had everything altered and all traces of Vera's life there removed.	true	241.4	256.21	22.956049
4438_48525_000007_000004	Then, when he began to talk about The Willows, she found that such an idea as alterations hadn't entered his head.	Then, when he began to talk about The Willows, she found that such an idea as alterations hadn't entered his head.	true	256.67	263.92	24.38627
4438_48525_000007_000005	She was to sleep in the very room that had been his and Vera's, in the very bed.	She was to sleep in the very room that had been his and Vera's, in the very bed.	true	264.71	270.13	21.537899
4438_48525_000007_000006	And positively, so far was it from true that she could tell him every thought and talk everything over with him, when she discovered this she wasn't able to say more than that hesitating remark on the chateau terrace at Amboise about supposing he was going to change his bedroom.	And positively, so far was it from true that she could tell him every thought and talk everything over with him, when she discovered this she wasn't able to say more than that hesitating remark on the chateau terrace at Amboise about supposing he was going to change his bedroom.	true	270.47	287.89	22.534729
4438_48525_000008_000000	Yet The Willows haunted her, and what a comfort it would have been to tell him all she felt and let him help her to get rid of her growing obsession by laughing at her.	Yet The Willows haunted her, and what a comfort it would have been to tell him all she felt and let him help her to get rid of her growing obsession by laughing at her.	false	289.04	299.29	25.438307
4438_48525_000008_000001	What a comfort if, even if he had thought her too silly and morbid to be laughed at, he had indulged her and consented to alter those rooms.	What a comfort if, even if he had thought her too silly and morbid to be laughed at, he had indulged her and consented to alter those rooms.	true	300.14	309.4	24.669912
