7704_106974_000001_000000	Found	Found
7704_106974_000002_000000	It was winter time, and Teddy was back at school, full of health and spirits, yet, through all his boyish mirth, the loss of his button was never forgotten.	It was winter time, and Teddy was back at school, full of health and spirits, yet, through all his boyish mirth, the loss of his button was never forgotten.
7704_106974_000002_000001	Daily he prayed for it to be found, and his hope and faith in God never failed him.	Daily he prayed for it to be found, and his hope and faith in God never failed him.
7704_106974_000003_000000	'Perhaps God will send it to me for a Christmas surprise.	'Perhaps God will send it to me for a Christmas surprise.
7704_106974_000003_000001	Perhaps I shall find it in my stocking on Christmas morning,' he used to say to his mother; and she told him to pray on.	Perhaps I shall find it in my stocking on Christmas morning,' he used to say to his mother; and she told him to pray on.
7704_106974_000005_000000	'The master wants you to let the youngster come up with me now and speak to him.'	'The master wants you to let the youngster come up with me now and speak to him.'
7704_106974_000006_000000	'What about?' questioned Mrs. John, rather alarmed at this summons, and wondering if Teddy had been up to mischief.	'What about?' questioned mrs john, rather alarmed at this summons, and wondering if Teddy had been up to mischief.
7704_106974_000007_000000	'He won't keep him long.' Then, as excited Teddy began pulling on his great-coat, he whispered something into his mother's ear, which had the effect of completely reassuring her, and bringing a pleased smile about her lips.	'He won't keep him long.' Then, as excited Teddy began pulling on his great coat, he whispered something into his mother's ear, which had the effect of completely reassuring her, and bringing a pleased smile about her lips.
7704_106974_000008_000000	'I shall never be a footman,' he was asserting; 'I couldn't keep my legs so stiff.	'I shall never be a footman,' he was asserting; 'I couldn't keep my legs so stiff.
7704_106974_000008_000001	You're always like the soldiers when they stand at Attention.	You're always like the soldiers when they stand at Attention.
7704_106974_000008_000002	Don't you never kick your legs out in the kitchen, or have you got stiff knees?'	Don't you never kick your legs out in the kitchen, or have you got stiff knees?'
7704_106974_000010_000000	'Don't you think it's nicer to be a soldier?	'Don't you think it's nicer to be a soldier?
7704_106974_000010_000001	Wouldn't you like to be one?'	Wouldn't you like to be one?'
7704_106974_000011_000000	'No; their grub is something shocking, and they live like cattle!'	'No; their grub is something shocking, and they live like cattle!'
7704_106974_000013_000000	'I say, just tell me, is the colonel angry?' asked Teddy, as looking into the large, brightly lighted hall, he suddenly felt his diminutive size.	'I say, just tell me, is the colonel angry?' asked Teddy, as looking into the large, brightly lighted hall, he suddenly felt his diminutive size.
7704_106974_000014_000000	'Not he.	'Not he.
7704_106974_000014_000001	Wipe your feet, and take your cap off.'	Wipe your feet, and take your cap off.'
7704_106974_000015_000000	Teddy stepped in upon the soft rugs almost on tiptoe, and the colonel himself came out into the hall to meet him.	Teddy stepped in upon the soft rugs almost on tiptoe, and the colonel himself came out into the hall to meet him.
7704_106974_000015_000001	'Come in, my little man, and don't be frightened.'	'Come in, my little man, and don't be frightened.'
7704_106974_000016_000000	Teddy held his head erect as he followed the colonel into a bright, cheery room, where a group of ladies and gentlemen were round the fire enjoying their cup of five o'clock tea.	Teddy held his head erect as he followed the colonel into a bright, cheery room, where a group of ladies and gentlemen were round the fire enjoying their cup of five o'clock tea.
7704_106974_000017_000000	Mrs. Graham came forward and gave him a kindly greeting.	mrs Graham came forward and gave him a kindly greeting.
7704_106974_000018_000000	'This is our would-be soldier,' said Colonel Graham--'the "button-boy," as I hear he is called.	'This is our would be soldier,' said Colonel Graham-'the "button boy," as I hear he is called.
7704_106974_000018_000001	Some of you remember his story told in our schoolroom to the regiment passing through in the summer, and we weren't surprised to hear of his narrow escape from death from trying to regain his button.	Some of you remember his story told in our schoolroom to the regiment passing through in the summer, and we weren't surprised to hear of his narrow escape from death from trying to regain his button.
7704_106974_000018_000003	A button isn't worth much sorrow after the first pang of its loss is over.'	A button isn't worth much sorrow after the first pang of its loss is over.'
7704_106974_000019_000001	I'd rather have it back than anything else in the world!	I'd rather have it back than anything else in the world!
7704_106974_000020_000000	'But it's at the bottom of the river, isn't it?'	'But it's at the bottom of the river, isn't it?'
7704_106974_000021_000000	'I don't know where it is, but God does, and I ask Him every day to send it back to me.	'I don't know where it is, but God does, and I ask Him every day to send it back to me.
7704_106974_000021_000001	I'm quite sure He will, and I think it will be this Christmas.'	I'm quite sure He will, and I think it will be this Christmas.'
7704_106974_000023_000000	'"Fact is stranger than fiction," certainly,' said the colonel.	'"Fact is stranger than fiction," certainly,' said the colonel.
7704_106974_000023_000001	'Now, my boy, come here.'	'Now, my boy, come here.'
7704_106974_000024_000000	He was standing on the hearthrug with his back to the fire, and putting his hand into his pocket he drew out a small box and placed it in the child's hand.	He was standing on the hearthrug with his back to the fire, and putting his hand into his pocket he drew out a small box and placed it in the child's hand.
7704_106974_000025_000000	'Open it, and tell me if you recognise the contents.'	'Open it, and tell me if you recognise the contents.'
7704_106974_000027_000000	'Oh, my button, my own button!	'Oh, my button, my own button!
7704_106974_000027_000001	Oh, sir!'	Oh, sir!'
7704_106974_000028_000000	And here the tears welled up in the blue eyes, and, utterly regardless of the place he was in, he flung himself down on the hearthrug and buried his head, face foremost, in his arms.	And here the tears welled up in the blue eyes, and, utterly regardless of the place he was in, he flung himself down on the hearthrug and buried his head, face foremost, in his arms.
7704_106974_000028_000001	He lay there so still for a moment that Mrs. Graham bent forward to touch him, fearing that the excitement might be too much for him, but he was only trying to hide his emotion from those looking on.	He lay there so still for a moment that mrs Graham bent forward to touch him, fearing that the excitement might be too much for him, but he was only trying to hide his emotion from those looking on.
7704_106974_000028_000002	In another minute he rose to his feet, and with a face perfectly radiant he turned to, the colonel, 'It's lovely, sir, it's lovely!'	In another minute he rose to his feet, and with a face perfectly radiant he turned to, the colonel, 'It's lovely, sir, it's lovely!'
7704_106974_000030_000000	'Now, my boy, I don't think you will ever guess how it came into our possession.	'Now, my boy, I don't think you will ever guess how it came into our possession.
7704_106974_000030_000001	The other day I brought home a few fish, and in preparing one of these for table our cook discovered your button inside it--I wonder the fish had not come to an untimely end before from such an indigestible meal!	The other day I brought home a few fish, and in preparing one of these for table our cook discovered your button inside it-I wonder the fish had not come to an untimely end before from such an indigestible meal!
7704_106974_000030_000002	She told us of it, not recognising what a valuable treasure she had brought to light, and directly we saw it, we knew it was the redoubtable button that has been the means of causing such interest in our neighbourhood.'	She told us of it, not recognising what a valuable treasure she had brought to light, and directly we saw it, we knew it was the redoubtable button that has been the means of causing such interest in our neighbourhood.'
7704_106974_000031_000000	Teddy listened eagerly.	Teddy listened eagerly.
7704_106974_000031_000001	'No wonder no one couldn't find it!' he said, fingering his adornment proudly.	'No wonder no one couldn't find it!' he said, fingering his adornment proudly.
7704_106974_000031_000002	'It's like the fish that brought Peter some money once.'	'It's like the fish that brought peter some money once.'
7704_106974_000033_000000	'Now, major, what do you think of this youngster?	'Now, major, what do you think of this youngster?
7704_106974_000033_000001	Would you like to take him as a drummer boy into your regiment?'	Would you like to take him as a drummer boy into your regiment?'
7704_106974_000034_000000	The major scanned the boy from head to foot, then answered emphatically, 'I wouldn't take a boy with a face like that for a good deal!'	The major scanned the boy from head to foot, then answered emphatically, 'I wouldn't take a boy with a face like that for a good deal!'
7704_106974_000035_000000	'Why not?' asked Mrs. Graham.	'Why not?' asked mrs Graham.
7704_106974_000036_000000	'Because it's the ruination of them.	'Because it's the ruination of them.
7704_106974_000036_000001	I shall never forget a pretty boy we had once; he was called the "cherub," and had been a chorister--sang divinely.	I shall never forget a pretty boy we had once; he was called the "cherub," and had been a chorister-sang divinely.
7704_106974_000036_000002	He was only four years in the regiment, and his case was brought to me before he was discharged.	He was only four years in the regiment, and his case was brought to me before he was discharged.
7704_106974_000036_000005	When I see a fresh drummer brought in, I wonder how long he will keep his innocence, and sometimes wish his friends could see the life he is subjected to.	When I see a fresh drummer brought in, I wonder how long he will keep his innocence, and sometimes wish his friends could see the life he is subjected to.
7704_106974_000036_000006	I give them a month generally, and then away flies their bloom and all their home training.'	I give them a month generally, and then away flies their bloom and all their home training.'
