3638_696_000005_000000	Chapter III.	Chapter three.
3638_696_000005_000001	The Brothers Make Friends	The Brothers Make Friends
3638_696_000006_000002	Waiters were continually darting to and fro in it.	Waiters were continually darting to and fro in it.
3638_696_000006_000003	The only customer in the room was an old retired military man drinking tea in a corner.	The only customer in the room was an old retired military man drinking tea in a corner.
3638_696_000006_000004	But there was the usual bustle going on in the other rooms of the tavern; there were shouts for the waiters, the sound of popping corks, the click of billiard balls, the drone of the organ.	But there was the usual bustle going on in the other rooms of the tavern; there were shouts for the waiters, the sound of popping corks, the click of billiard balls, the drone of the organ.
3638_696_000006_000006	So he must have come here, he reflected, simply to meet Dmitri by arrangement.	So he must have come here, he reflected, simply to meet Dmitri by arrangement.
3638_696_000006_000007	Yet Dmitri was not there.	Yet Dmitri was not there.
3638_696_000008_000000	"Let me have soup, and tea afterwards, I am hungry," said Alyosha gayly.	"Let me have soup, and tea afterwards, I am hungry," said Alyosha gayly.
3638_696_000009_000000	"And cherry jam?	"And cherry jam?
3638_696_000009_000001	They have it here.	They have it here.
3638_696_000009_000002	You remember how you used to love cherry jam when you were little?"	You remember how you used to love cherry jam when you were little?"
3638_696_000010_000000	"You remember that?	"You remember that?
3638_696_000010_000001	Let me have jam too, I like it still."	Let me have jam too, I like it still."
3638_696_000012_000000	"I remember everything, Alyosha, I remember you till you were eleven, I was nearly fifteen.	"I remember everything, Alyosha, I remember you till you were eleven, I was nearly fifteen.
3638_696_000012_000001	There's such a difference between fifteen and eleven that brothers are never companions at those ages.	There's such a difference between fifteen and eleven that brothers are never companions at those ages.
3638_696_000012_000002	I don't know whether I was fond of you even.	I don't know whether I was fond of you even.
3638_696_000012_000003	When I went away to Moscow for the first few years I never thought of you at all.	When I went away to Moscow for the first few years I never thought of you at all.
3638_696_000012_000004	Then, when you came to Moscow yourself, we only met once somewhere, I believe.	Then, when you came to Moscow yourself, we only met once somewhere, I believe.
3638_696_000012_000005	And now I've been here more than three months, and so far we have scarcely said a word to each other.	And now I've been here more than three months, and so far we have scarcely said a word to each other.
3638_696_000012_000006	To-morrow I am going away, and I was just thinking as I sat here how I could see you to say good-by and just then you passed."	To morrow I am going away, and I was just thinking as I sat here how I could see you to say good by and just then you passed."
3638_696_000013_000000	"Were you very anxious to see me, then?"	"Were you very anxious to see me, then?"
3638_696_000014_000000	"Very.	"Very.
3638_696_000014_000001	I want to get to know you once for all, and I want you to know me. And then to say good-by.	I want to get to know you once for all, and I want you to know me. And then to say good by.
3638_696_000014_000002	I believe it's always best to get to know people just before leaving them.	I believe it's always best to get to know people just before leaving them.
3638_696_000014_000003	I've noticed how you've been looking at me these three months.	I've noticed how you've been looking at me these three months.
3638_696_000014_000004	There has been a continual look of expectation in your eyes, and I can't endure that.	There has been a continual look of expectation in your eyes, and I can't endure that.
3638_696_000014_000005	That's how it is I've kept away from you.	That's how it is I've kept away from you.
3638_696_000014_000007	The little man stands firm, I thought.	The little man stands firm, I thought.
3638_696_000014_000008	Though I am laughing, I am serious.	Though I am laughing, I am serious.
