4148_183988_000010_000000	XVII	seventeen
4148_183988_000011_000001	Owen was still in the same state of moody abstraction as when Darrow had left him at the piano; and even Anna's face, to her friend's vigilant eye, revealed not, perhaps, a personal preoccupation, but a vague sense of impending disturbance.	Owen was still in the same state of moody abstraction as when Darrow had left him at the piano; and even Anna's face, to her friend's vigilant eye, revealed not, perhaps, a personal preoccupation, but a vague sense of impending disturbance.
4148_183988_000012_000000	She smiled, she bore a part in the talk, her eyes dwelt on Darrow's with their usual deep reliance; but beneath the surface of her serenity his tense perceptions detected a hidden stir.	She smiled, she bore a part in the talk, her eyes dwelt on Darrow's with their usual deep reliance; but beneath the surface of her serenity his tense perceptions detected a hidden stir.
4148_183988_000013_000000	He was sufficiently self-possessed to tell himself that it was doubtless due to causes with which he was not directly concerned.	He was sufficiently self possessed to tell himself that it was doubtless due to causes with which he was not directly concerned.
4148_183988_000013_000002	But this, again, was negatived by the fact that, during the afternoon's shooting, young Leath had been in a mood of almost extravagant expansiveness, and that, from the moment of his late return to the house till just before dinner, there had been, to Darrow's certain knowledge, no possibility of a private talk between himself and his step-mother.	But this, again, was negatived by the fact that, during the afternoon's shooting, young Leath had been in a mood of almost extravagant expansiveness, and that, from the moment of his late return to the house till just before dinner, there had been, to Darrow's certain knowledge, no possibility of a private talk between himself and his step mother.
4148_183988_000014_000000	This obscured, if it narrowed, the field of conjecture; and Darrow's gropings threw him back on the conclusion that he was probably reading too much significance into the moods of a lad he hardly knew, and who had been described to him as subject to sudden changes of humour.	This obscured, if it narrowed, the field of conjecture; and Darrow's gropings threw him back on the conclusion that he was probably reading too much significance into the moods of a lad he hardly knew, and who had been described to him as subject to sudden changes of humour.
4148_183988_000015_000002	On the score of that one, at least, his mind, if not easy, was relieved.	On the score of that one, at least, his mind, if not easy, was relieved.
4148_183988_000015_000005	It had been his first business to convince the girl that their secret was safe with him; but it was far from easy to square this with the equally urgent obligation of safe-guarding Anna's responsibility toward her child. Darrow was not much afraid of accidental disclosures.	It had been his first business to convince the girl that their secret was safe with him; but it was far from easy to square this with the equally urgent obligation of safe guarding Anna's responsibility toward her child. Darrow was not much afraid of accidental disclosures.
4148_183988_000015_000006	Both he and Sophy Viner had too much at stake not to be on their guard.	Both he and Sophy Viner had too much at stake not to be on their guard.
4148_183988_000015_000007	The fear that beset him was of another kind, and had a profounder source.	The fear that beset him was of another kind, and had a profounder source.
4148_183988_000016_000001	This discrepancy, which at the time had seemed to simplify the incident, now turned out to be its most galling complication.	This discrepancy, which at the time had seemed to simplify the incident, now turned out to be its most galling complication.
4148_183988_000016_000002	The bare truth, indeed, was that he had hardly thought of her at all, either at the time or since, and that he was ashamed to base his judgement of her on his meagre memory of their adventure.	The bare truth, indeed, was that he had hardly thought of her at all, either at the time or since, and that he was ashamed to base his judgement of her on his meagre memory of their adventure.
4148_183988_000017_000000	The essential cheapness of the whole affair--as far as his share in it was concerned--came home to him with humiliating distinctness.	The essential cheapness of the whole affair-as far as his share in it was concerned-came home to him with humiliating distinctness.
4148_183988_000017_000001	He would have liked to be able to feel that, at the time at least, he had staked something more on it, and had somehow, in the sequel, had a more palpable loss to show.	He would have liked to be able to feel that, at the time at least, he had staked something more on it, and had somehow, in the sequel, had a more palpable loss to show.
4148_183988_000017_000002	But the plain fact was that he hadn't spent a penny on it; which was no doubt the reason of the prodigious score it had since been rolling up.	But the plain fact was that he hadn't spent a penny on it; which was no doubt the reason of the prodigious score it had since been rolling up.
4148_183988_000018_000000	The night brought no aid to the solving of this problem; but it gave him, at any rate, the clear conviction that no time was to be lost.	The night brought no aid to the solving of this problem; but it gave him, at any rate, the clear conviction that no time was to be lost.
4148_183988_000018_000001	His first step must be to obtain from Miss Viner the chance of another and calmer talk; and he resolved to seek it at the earliest hour.	His first step must be to obtain from Miss Viner the chance of another and calmer talk; and he resolved to seek it at the earliest hour.
4148_183988_000019_000000	He had gathered that Effie's lessons were preceded by an early scamper in the park, and conjecturing that her governess might be with her he betook himself the next morning to the terrace, whence he wandered on to the gardens and the walks beyond.	He had gathered that Effie's lessons were preceded by an early scamper in the park, and conjecturing that her governess might be with her he betook himself the next morning to the terrace, whence he wandered on to the gardens and the walks beyond.
4148_183988_000020_000000	The atmosphere was still and pale.	The atmosphere was still and pale.
4148_183988_000021_000000	The stillness was presently broken by joyful barks, and Darrow, tracking the sound, overtook Effie flying down one of the long alleys at the head of her pack.	The stillness was presently broken by joyful barks, and Darrow, tracking the sound, overtook Effie flying down one of the long alleys at the head of her pack.
4148_183988_000022_000000	The girl, coming forward at his approach, returned his greeting almost gaily.	The girl, coming forward at his approach, returned his greeting almost gaily.
4148_183988_000022_000002	For the first time he saw in her again the sidelong grace that had charmed his eyes in Paris; but he saw it now as in a painted picture.	For the first time he saw in her again the sidelong grace that had charmed his eyes in Paris; but he saw it now as in a painted picture.
4148_183988_000023_000000	"Shall we sit down a minute?" he asked, as Effie trotted off.	"Shall we sit down a minute?" he asked, as Effie trotted off.
4148_183988_000024_000000	The girl looked away from him.	The girl looked away from him.
4148_183988_000024_000001	"I'm afraid there's not much time; we must be back at lessons at half-past nine."	"I'm afraid there's not much time; we must be back at lessons at half past nine."
4148_183988_000025_000000	"But it's barely ten minutes past.	"But it's barely ten minutes past.
4148_183988_000025_000001	Let's at least walk a little way toward the river."	Let's at least walk a little way toward the river."
4148_183988_000026_000001	"If you like," she said in a low voice, with one of her quick fluctuations of colour; but instead of taking the way he proposed she turned toward a narrow path which branched off obliquely through the trees.	"If you like," she said in a low voice, with one of her quick fluctuations of colour; but instead of taking the way he proposed she turned toward a narrow path which branched off obliquely through the trees.
4148_183988_000027_000000	Darrow was struck, and vaguely troubled, by the change in her look and tone.	Darrow was struck, and vaguely troubled, by the change in her look and tone.
4148_183988_000027_000001	There was in them an undefinable appeal, whether for help or forbearance he could not tell.	There was in them an undefinable appeal, whether for help or forbearance he could not tell.
4148_183988_000027_000002	Then it occurred to him that there might have been something misleading in his so pointedly seeking her, and he felt a momentary constraint.	Then it occurred to him that there might have been something misleading in his so pointedly seeking her, and he felt a momentary constraint.
4148_183988_000027_000003	To ease it he made an abrupt dash at the truth.	To ease it he made an abrupt dash at the truth.
4148_183988_000028_000001	I want to hear more about you--about your plans and prospects.	I want to hear more about you-about your plans and prospects.
4148_183988_000029_000000	Her face instantly sharpened to distrust.	Her face instantly sharpened to distrust.
4148_183988_000029_000001	"I had to live," she said in an off-hand tone.	"I had to live," she said in an off hand tone.
4148_183988_000030_000000	"I understand perfectly that you should like it here--for a time." His glance strayed down the gold-roofed windings ahead of them.	"I understand perfectly that you should like it here-for a time." His glance strayed down the gold roofed windings ahead of them.
4148_183988_000030_000001	"It's delightful: you couldn't be better placed.	"It's delightful: you couldn't be better placed.
4148_183988_000031_000000	She waited for a moment before answering: "I suppose I'm less restless than I used to be."	She waited for a moment before answering: "I suppose I'm less restless than I used to be."
4148_183988_000032_000000	"It's certainly natural that you should be less restless here than at Mrs. Murrett's; yet somehow I don't seem to see you permanently given up to forming the young."	"It's certainly natural that you should be less restless here than at mrs Murrett's; yet somehow I don't seem to see you permanently given up to forming the young."
4148_183988_000033_000000	"What--exactly--DO you seem to see me permanently given up to?	"What-exactly-DO you seem to see me permanently given up to?
4148_183988_000033_000001	You know you warned me rather emphatically against the theatre." She threw off the statement without impatience, as though they were discussing together the fate of a third person in whom both were benevolently interested.	You know you warned me rather emphatically against the theatre." She threw off the statement without impatience, as though they were discussing together the fate of a third person in whom both were benevolently interested.
4148_183988_000033_000002	Darrow considered his reply.	Darrow considered his reply.
4148_183988_000033_000003	"If I did, it was because you so emphatically refused to let me help you to a start."	"If I did, it was because you so emphatically refused to let me help you to a start."
4148_183988_000034_000000	She stopped short and faced him "And you think I may let you now?"	She stopped short and faced him "And you think I may let you now?"
4148_183988_000035_000000	Darrow felt the blood in his cheek.	Darrow felt the blood in his cheek.
4148_183988_000035_000004	But he had a fixed purpose ahead and could only push on to it.	But he had a fixed purpose ahead and could only push on to it.
4148_183988_000036_000000	"I hope, at any rate, you'll listen to my reasons.	"I hope, at any rate, you'll listen to my reasons.
4148_183988_000036_000001	There's been time, on both sides, to think them over since----"	There's been time, on both sides, to think them over since----"
4148_183988_000037_000000	She walked on beside him, her eyes on the ground.	She walked on beside him, her eyes on the ground.
4148_183988_000037_000001	"Then I'm to understand--definitely--that you DO renew your offer?" she asked	"Then I'm to understand-definitely-that you DO renew your offer?" she asked
4148_183988_000038_000000	"With all my heart!	"With all my heart!
4148_183988_000038_000001	If you'll only let me----"	If you'll only let me----"
4148_183988_000039_000001	"It's extremely friendly of you--I DO believe you mean it as a friend--but I don't quite understand why, finding me, as you say, so well placed here, you should show more anxiety about my future than at a time when I was actually, and rather desperately, adrift."	"It's extremely friendly of you-I DO believe you mean it as a friend-but I don't quite understand why, finding me, as you say, so well placed here, you should show more anxiety about my future than at a time when I was actually, and rather desperately, adrift."
4148_183988_000040_000000	"Oh, no, not more!"	"Oh, no, not more!"
4148_183988_000042_000000	Darrow stood still in the path.	Darrow stood still in the path.
4148_183988_000043_000000	Effie sprang past them, and Darrow took up the girl's challenge.	Effie sprang past them, and Darrow took up the girl's challenge.
4148_183988_000044_000002	It's true enough that I want to help you; but the wish isn't due to...to any past kindness on your part, but simply to my own interest in you.	It's true enough that I want to help you; but the wish isn't due to...to any past kindness on your part, but simply to my own interest in you.
4148_183988_000045_000000	She took a few hesitating steps and then paused again.	She took a few hesitating steps and then paused again.
4148_183988_000047_000001	"A long time--yes."	"A long time-yes."
4148_183988_000048_000000	"She told me you were friends--great friends"	"She told me you were friends-great friends"
4148_183988_000049_000000	"Yes," he admitted, "we're great friends."	"Yes," he admitted, "we're great friends."
4148_183988_000050_000000	"Then you might naturally feel yourself justified in telling her that you don't think I'm the right person for Effie." He uttered a sound of protest, but she disregarded it.	"Then you might naturally feel yourself justified in telling her that you don't think I'm the right person for Effie." He uttered a sound of protest, but she disregarded it.
4148_183988_000050_000001	"I don't say you'd LIKE to do it.	"I don't say you'd LIKE to do it.
4148_183988_000050_000002	You wouldn't: you'd hate it.	You wouldn't: you'd hate it.
4148_183988_000050_000004	But supposing that failed, and you saw I was determined to stay?	But supposing that failed, and you saw I was determined to stay?
