4148_183988_000000_000000	The girl, a quick red in her cheeks, still hesitated on the threshold.	The girl, a quick red in her cheeks, still hesitated on the threshold.	false	0	2.28	18.997185
4148_183988_000001_000000	"I'm so sorry; but Effie has mislaid her Latin grammar, and I thought she might have left it here.	"I'm so sorry; but Effie has mislaid her Latin grammar, and I thought she might have left it here.	false	2.28	3.3	20.888212
4148_183988_000001_000001	I need it to prepare for tomorrow's lesson."	I need it to prepare for tomorrow's lesson."	false	3.3	3.72	100
4148_183988_000002_000000	"Is this it?" Darrow asked, picking up a book from the table.	"Is this it?" Darrow asked, picking up a book from the table.	false	3.72	4.29	4
4148_183988_000003_000000	"Oh, thank you!"	"Oh, thank you!"	false	4.29	4.47	8
4148_183988_000004_000000	He held it out to her and she took it and moved to the door.	He held it out to her and she took it and moved to the door.	false	4.47	5.31	20.60035
4148_183988_000005_000000	"Wait a minute, please, Miss Viner," Anna said; and as the girl turned back, she went on with her quiet smile: "Effie told us you'd gone to your room with a headache.	"Wait a minute, please, Miss Viner," Anna said; and as the girl turned back, she went on with her quiet smile: "Effie told us you'd gone to your room with a headache.	false	5.31	7.08	13.738243
4148_183988_000005_000001	You mustn't sit up over tomorrow's lessons if you don't feel well."	You mustn't sit up over tomorrow's lessons if you don't feel well."	false	7.08	7.23	8
4148_183988_000006_000000	Sophy's blush deepened.	Sophy's blush deepened.	false	7.23	7.26	0
4148_183988_000006_000001	"But you see I have to.	"But you see I have to.	false	7.26	7.35	5
4148_183988_000006_000002	Latin's one of my weak points, and there's generally only one page of this book between me and Effie." She threw the words off with a half-ironic smile.	Latin's one of my weak points, and there's generally only one page of this book between me and Effie." She threw the words off with a half ironic smile.	false	7.35	7.86	12
4148_183988_000006_000003	"Do excuse my disturbing you," she added.	"Do excuse my disturbing you," she added.	false	7.86	7.95	6
4148_183988_000007_000000	"You didn't disturb me," Anna answered.	"You didn't disturb me," Anna answered.	false	7.95	8.04	13
4148_183988_000007_000001	Darrow perceived that she was looking intently at the girl, as though struck by something tense and tremulous in her face, her voice, her whole mien and attitude.	Darrow perceived that she was looking intently at the girl, as though struck by something tense and tremulous in her face, her voice, her whole mien and attitude.	false	8.04	11.91	20.453264
4148_183988_000007_000002	"You DO look tired.	"You DO look tired.	false	11.91	12.72	14.585657
4148_183988_000007_000003	You'd much better go straight to bed.	You'd much better go straight to bed.	false	12.72	14.16	15
4148_183988_000007_000004	Effie won't be sorry to skip her Latin."	Effie won't be sorry to skip her Latin."	false	14.16	15.84	20.738447
4148_183988_000008_000000	"Thank you--but I'm really all right," murmured Sophy Viner.	"Thank you-but I'm really all right," murmured Sophy Viner.	false	15.84	17.04	21.68139
4148_183988_000008_000001	Her glance, making a swift circuit of the room, dwelt for an appreciable instant on the intimate propinquity of arm-chair and sofa-corner; then she turned back to the door.	Her glance, making a swift circuit of the room, dwelt for an appreciable instant on the intimate propinquity of arm chair and sofa corner; then she turned back to the door.	false	17.04	20.28	21.141167
4148_183988_000009_000000	BOOK III	BOOK three	false	20.28	20.52	16
4148_183988_000010_000000	XVII	seventeen	true	20.52	21.55	25.82117
4148_183988_000011_000000	At dinner that evening Madame de Chantelle's slender monologue was thrown out over gulfs of silence.	At dinner that evening Madame de Chantelle's slender monologue was thrown out over gulfs of silence.	false	22.82	28.75	16
4148_183988_000011_000001	Owen was still in the same state of moody abstraction as when Darrow had left him at the piano; and even Anna's face, to her friend's vigilant eye, revealed not, perhaps, a personal preoccupation, but a vague sense of impending disturbance.	Owen was still in the same state of moody abstraction as when Darrow had left him at the piano; and even Anna's face, to her friend's vigilant eye, revealed not, perhaps, a personal preoccupation, but a vague sense of impending disturbance.	true	29.48	43.66	20.980593
4148_183988_000012_000000	She smiled, she bore a part in the talk, her eyes dwelt on Darrow's with their usual deep reliance; but beneath the surface of her serenity his tense perceptions detected a hidden stir.	She smiled, she bore a part in the talk, her eyes dwelt on Darrow's with their usual deep reliance; but beneath the surface of her serenity his tense perceptions detected a hidden stir.	true	44.24	56.08	20.242483
4148_183988_000013_000000	He was sufficiently self-possessed to tell himself that it was doubtless due to causes with which he was not directly concerned.	He was sufficiently self possessed to tell himself that it was doubtless due to causes with which he was not directly concerned.	true	56.72	63.85	20
4148_183988_000013_000001	He knew the question of Owen's marriage was soon to be raised, and the abrupt alteration in the young man's mood made it seem probable that he was himself the centre of the atmospheric disturbance, For a moment it occurred to Darrow that Anna might have employed her afternoon in preparing Madame de Chantelle for her grandson's impending announcement; but a glance at the elder lady's unclouded brow showed that he must seek elsewhere the clue to Owen's taciturnity and his step-mother's concern. Possibly Anna had found reason to change her own attitude in the matter, and had made the change known to Owen.	He knew the question of Owen's marriage was soon to be raised, and the abrupt alteration in the young man's mood made it seem probable that he was himself the centre of the atmospheric disturbance, For a moment it occurred to Darrow that Anna might have employed her afternoon in preparing Madame de Chantelle for her grandson's impending announcement; but a glance at the elder lady's unclouded brow showed that he must seek elsewhere the clue to Owen's taciturnity and his step mother's concern. Possibly Anna had found reason to change her own attitude in the matter, and had made the change known to Owen.	true	64.55	100.51	19.707668
4148_183988_000013_000002	But this, again, was negatived by the fact that, during the afternoon's shooting, young Leath had been in a mood of almost extravagant expansiveness, and that, from the moment of his late return to the house till just before dinner, there had been, to Darrow's certain knowledge, no possibility of a private talk between himself and his step-mother.	But this, again, was negatived by the fact that, during the afternoon's shooting, young Leath had been in a mood of almost extravagant expansiveness, and that, from the moment of his late return to the house till just before dinner, there had been, to Darrow's certain knowledge, no possibility of a private talk between himself and his step mother.	true	101.12	121.36	21
4148_183988_000014_000000	This obscured, if it narrowed, the field of conjecture; and Darrow's gropings threw him back on the conclusion that he was probably reading too much significance into the moods of a lad he hardly knew, and who had been described to him as subject to sudden changes of humour.	This obscured, if it narrowed, the field of conjecture; and Darrow's gropings threw him back on the conclusion that he was probably reading too much significance into the moods of a lad he hardly knew, and who had been described to him as subject to sudden changes of humour.	true	122.36	138.76	20.630184
4148_183988_000014_000001	As to Anna's fancied perturbation, it might simply be due to the fact that she had decided to plead Owen's cause the next day, and had perhaps already had a glimpse of the difficulties awaiting her.	As to Anna's fancied perturbation, it might simply be due to the fact that she had decided to plead Owen's cause the next day, and had perhaps already had a glimpse of the difficulties awaiting her.	false	139.64	150.64	18
4148_183988_000014_000002	But Darrow knew that he was too deep in his own perplexities to judge the mental state of those about him.	But Darrow knew that he was too deep in his own perplexities to judge the mental state of those about him.	true	151.34	156.85	18
4148_183988_000014_000003	It might be, after all, that the variations he felt in the currents of communication were caused by his own inward tremor.	It might be, after all, that the variations he felt in the currents of communication were caused by his own inward tremor.	true	157.28	164.56	18
4148_183988_000015_000000	Such, at any rate, was the conclusion he had reached when, shortly after the two ladies left the drawing-room, he bade Owen good-night and went up to his room.	Such, at any rate, was the conclusion he had reached when, shortly after the two ladies left the drawing room, he bade Owen good night and went up to his room.	true	165.26	175.24	19.95743
4148_183988_000015_000001	Ever since the rapid self-colloquy which had followed on his first sight of Sophy Viner, he had known there were other questions to be faced behind the one immediately confronting him.	Ever since the rapid self colloquy which had followed on his first sight of Sophy Viner, he had known there were other questions to be faced behind the one immediately confronting him.	true	176.09	185.95	18
4148_183988_000015_000002	On the score of that one, at least, his mind, if not easy, was relieved.	On the score of that one, at least, his mind, if not easy, was relieved.	true	186.59	191.11	20.38297
4148_183988_000015_000003	He had done what was possible to reassure the girl, and she had apparently recognized the sincerity of his intention.	He had done what was possible to reassure the girl, and she had apparently recognized the sincerity of his intention.	true	191.6	198.31	18
4148_183988_000015_000004	He had patched up as decent a conclusion as he could to an incident that should obviously have had no sequel; but he had known all along that with the securing of Miss Viner's peace of mind only a part of his obligation was discharged, and that with that part his remaining duty was in conflict.	He had patched up as decent a conclusion as he could to an incident that should obviously have had no sequel; but he had known all along that with the securing of Miss Viner's peace of mind only a part of his obligation was discharged, and that with that part his remaining duty was in conflict.	true	199.07	216.28	19.3364
4148_183988_000015_000005	It had been his first business to convince the girl that their secret was safe with him; but it was far from easy to square this with the equally urgent obligation of safe-guarding Anna's responsibility toward her child. Darrow was not much afraid of accidental disclosures.	It had been his first business to convince the girl that their secret was safe with him; but it was far from easy to square this with the equally urgent obligation of safe guarding Anna's responsibility toward her child. Darrow was not much afraid of accidental disclosures.	true	217.13	234.07	20.65524
4148_183988_000015_000006	Both he and Sophy Viner had too much at stake not to be on their guard.	Both he and Sophy Viner had too much at stake not to be on their guard.	true	234.59	238.87	20
4148_183988_000015_000007	The fear that beset him was of another kind, and had a profounder source.	The fear that beset him was of another kind, and had a profounder source.	true	239.45	244	20.595564
4148_183988_000015_000008	He wanted to do all he could for the girl, but the fact of having had to urge Anna to confide Effie to her was peculiarly repugnant to him.	He wanted to do all he could for the girl, but the fact of having had to urge Anna to confide Effie to her was peculiarly repugnant to him.	false	244.7	252.52	19
4148_183988_000015_000009	His own ideas about Sophy Viner were too mixed and indeterminate for him not to feel the risk of such an experiment; yet he found himself in the intolerable position of appearing to press it on the woman he desired above all others to protect...	His own ideas about Sophy Viner were too mixed and indeterminate for him not to feel the risk of such an experiment; yet he found himself in the intolerable position of appearing to press it on the woman he desired above all others to protect...	true	253.07	266.89	19.350388
4148_183988_000016_000000	Till late in the night his thoughts revolved in a turmoil of indecision. His pride was humbled by the discrepancy between what Sophy Viner had been to him and what he had thought of her.	Till late in the night his thoughts revolved in a turmoil of indecision. His pride was humbled by the discrepancy between what Sophy Viner had been to him and what he had thought of her.	true	268.13	280	19.985577
4148_183988_000016_000001	This discrepancy, which at the time had seemed to simplify the incident, now turned out to be its most galling complication.	This discrepancy, which at the time had seemed to simplify the incident, now turned out to be its most galling complication.	true	280.55	288.37	21.796276
4148_183988_000016_000002	The bare truth, indeed, was that he had hardly thought of her at all, either at the time or since, and that he was ashamed to base his judgement of her on his meagre memory of their adventure.	The bare truth, indeed, was that he had hardly thought of her at all, either at the time or since, and that he was ashamed to base his judgement of her on his meagre memory of their adventure.	true	289.16	300.31	21
4148_183988_000017_000000	The essential cheapness of the whole affair--as far as his share in it was concerned--came home to him with humiliating distinctness.	The essential cheapness of the whole affair-as far as his share in it was concerned-came home to him with humiliating distinctness.	true	301.1	309.19	20.150053
4148_183988_000017_000001	He would have liked to be able to feel that, at the time at least, he had staked something more on it, and had somehow, in the sequel, had a more palpable loss to show.	He would have liked to be able to feel that, at the time at least, he had staked something more on it, and had somehow, in the sequel, had a more palpable loss to show.	true	309.83	319.93	22.582714
4148_183988_000017_000002	But the plain fact was that he hadn't spent a penny on it; which was no doubt the reason of the prodigious score it had since been rolling up.	But the plain fact was that he hadn't spent a penny on it; which was no doubt the reason of the prodigious score it had since been rolling up.	true	320.63	327.82	21.858688
4148_183988_000017_000003	At any rate, beat about the case as he would, it was clear that he owed it to Anna--and incidentally to his own peace of mind--to find some way of securing Sophy Viner's future without leaving her installed at Givre when he and his wife should depart for their new post.	At any rate, beat about the case as he would, it was clear that he owed it to Anna-and incidentally to his own peace of mind-to find some way of securing Sophy Viner's future without leaving her installed at Givre when he and his wife should depart for their new post.	false	328.58	344.29	20.236792
4148_183988_000018_000000	The night brought no aid to the solving of this problem; but it gave him, at any rate, the clear conviction that no time was to be lost.	The night brought no aid to the solving of this problem; but it gave him, at any rate, the clear conviction that no time was to be lost.	true	345.56	353.44	20.176271
4148_183988_000018_000001	His first step must be to obtain from Miss Viner the chance of another and calmer talk; and he resolved to seek it at the earliest hour.	His first step must be to obtain from Miss Viner the chance of another and calmer talk; and he resolved to seek it at the earliest hour.	true	354.02	362.53	21.33958
