5968_55202_000000_000000	CHAPTER VII.	CHAPTER seven.	false	0.51	19.875	22.213402
5968_55202_000000_000001	OLD FRIENDS AND NEW	OLD FRIENDS AND NEW	true	19.875	21.42	16
5968_55202_000001_000000	At ten minutes before six on the afternoon of Arkwright's arrival, Billy came into the living-room to welcome the three Henshaw brothers, who, as was frequently the case, were dining at Hillside.	At ten minutes before six on the afternoon of Arkwright's arrival, Billy came into the living room to welcome the three Henshaw brothers, who, as was frequently the case, were dining at Hillside.	false	21.42	33.49	21.311115
5968_55202_000002_000000	Bertram thought Billy had never looked prettier than she did this afternoon with the bronze sheen of her pretty house gown bringing out the bronze lights in her dark eyes and in the soft waves of her beautiful hair.	Bertram thought Billy had never looked prettier than she did this afternoon with the bronze sheen of her pretty house gown bringing out the bronze lights in her dark eyes and in the soft waves of her beautiful hair.	true	34.13	46.09	18
5968_55202_000002_000001	Her countenance, too, carried a peculiar something that the artist's eye was quick to detect, and that the artist's fingers tingled to put on canvas.	Her countenance, too, carried a peculiar something that the artist's eye was quick to detect, and that the artist's fingers tingled to put on canvas.	true	46.61	55.99	22
5968_55202_000003_000000	"Jove!	"Jove!	true	57.11	57.855	20.32662
5968_55202_000003_000001	Billy," he said low in her ear, as he greeted her, "I wish I had a brush in my hand this minute.	Billy," he said low in her ear, as he greeted her, "I wish I had a brush in my hand this minute.	true	57.855	63.13	17.281075
5968_55202_000003_000002	I'd have a 'Face of a Girl' that would be worth while!"	I'd have a 'Face of a Girl' that would be worth while!"	true	63.44	66.43	17
5968_55202_000004_000000	Billy laughed and dimpled her appreciation; but down in her heart she was conscious of a vague unrest.	Billy laughed and dimpled her appreciation; but down in her heart she was conscious of a vague unrest.	true	66.65	73	18
5968_55202_000004_000001	Billy wished, sometimes, that she did not so often seem to Bertram--a picture.	Billy wished, sometimes, that she did not so often seem to Bertram-a picture.	true	73.4	78.7	23.772055
5968_55202_000005_000000	She turned to Cyril with outstretched hand.	She turned to Cyril with outstretched hand.	true	79.46	81.855	20.263277
5968_55202_000006_000000	"Oh, yes, Marie's coming," she smiled in answer to the quick shifting of Cyril's eyes to the hall doorway.	"Oh, yes, Marie's coming," she smiled in answer to the quick shifting of Cyril's eyes to the hall doorway.	true	81.855	87.67	13
5968_55202_000006_000001	"And Aunt Hannah, too.	"And Aunt Hannah, too.	false	87.83	89.16	19
5968_55202_000006_000002	They're up-stairs."	They're up stairs."	true	89.16	90.4	17
5968_55202_000007_000000	"And Mary Jane?" demanded William, a little anxiously	"And Mary Jane?" demanded William, a little anxiously	true	91.25	94.51	18
5968_55202_000008_000000	"Will's getting nervous," volunteered Bertram, airily.	"Will's getting nervous," volunteered Bertram, airily.	true	95.15	98.35	17
5968_55202_000008_000001	"He wants to see Mary Jane.	"He wants to see Mary Jane.	true	98.45	100.335	17
5968_55202_000008_000002	You see we've told him that we shall expect him to see that she doesn't bother us four too much, you know.	You see we've told him that we shall expect him to see that she doesn't bother us four too much, you know.	true	100.335	105.64	12
5968_55202_000008_000003	He's expected always to remove her quietly but effectually, whenever he sees that she is likely to interrupt a tete-a-tete.	He's expected always to remove her quietly but effectually, whenever he sees that she is likely to interrupt a tete a tete.	true	105.83	113.17	20
5968_55202_000008_000004	Naturally, then, Will wants to see Mary Jane."	Naturally, then, Will wants to see Mary Jane."	true	113.33	116.5	14
5968_55202_000009_000000	Billy began to laugh hysterically.	Billy began to laugh hysterically.	true	117.29	119.46	19
5968_55202_000009_000001	She dropped into a chair and raised both her hands, palms outward.	She dropped into a chair and raised both her hands, palms outward.	true	119.46	124.12	20
5968_55202_000010_000000	"Don't, don't--please don't!" she choked, "or I shall die.	"Don't, don't-please don't!" she choked, "or I shall die.	false	124.55	128.055	23.716677
5968_55202_000010_000001	I've had all I can stand, already."	I've had all I can stand, already."	true	128.055	130.45	20
5968_55202_000011_000000	"All you can stand?"	"All you can stand?"	true	131.09	132.61	25.937077
5968_55202_000012_000000	"What do you mean?"	"What do you mean?"	true	133.1	134.17	21
5968_55202_000013_000000	"Is she so--impossible?"	"Is she so-impossible?"	true	135.29	138.64	18.719822
5968_55202_000013_000001	This last was from Bertram, spoken softly, and with a hurried glance toward the hall.	This last was from Bertram, spoken softly, and with a hurried glance toward the hall.	true	139.07	144.46	21.774668
5968_55202_000014_000000	Billy dropped her hands and lifted her head.	Billy dropped her hands and lifted her head.	true	145.01	147.19	23
5968_55202_000014_000001	By heroic effort she pulled her face into sobriety--all but her eyes--and announced:	By heroic effort she pulled her face into sobriety-all but her eyes-and announced:	true	147.41	152.74	22.946602
5968_55202_000015_000000	"Mary Jane is--a man."	"Mary Jane is-a man."	true	153.56	157.02	18.7266
5968_55202_000016_000000	"Wha-at?"	"Wha at?"	false	157.02	160.8	26.949726
5968_55202_000017_000000	"A _man!_"	"A underscore man!underscore"	false	160.8	162.3	21.012535
5968_55202_000018_000000	"Billy!"	"Billy!"	true	162.3	163.27	16.290283
5968_55202_000019_000000	Three masculine forms sat suddenly erect.	Three masculine forms sat suddenly erect.	true	163.79	166.66	22.114254
5968_55202_000020_000000	"Yes.	"Yes.	true	167.09	168.09	18.551569
5968_55202_000020_000001	Oh, Uncle William, I know now just how you felt--I know, I know," gurgled Billy, incoherently.	Oh, Uncle William, I know now just how you felt-I know, I know," gurgled Billy, incoherently.	true	168.09	174.22	15
5968_55202_000020_000002	"There he stood with his pink just as I did--only he had a brown beard, and he didn't have Spunk--and I had to telephone to prepare folks, just as you did.	"There he stood with his pink just as I did-only he had a brown beard, and he didn't have Spunk-and I had to telephone to prepare folks, just as you did.	false	174.41	182.94	17
5968_55202_000020_000003	And the room--the room! I fixed the room, too," she babbled breathlessly, "only I had curling tongs and hair pins in it instead of guns and spiders!"	And the room-the room! I fixed the room, too," she babbled breathlessly, "only I had curling tongs and hair pins in it instead of guns and spiders!"	true	182.94	192.76	18
5968_55202_000021_000000	"Child, child! what _are_ you talking about?" William's face was red.	"Child, child! what underscore are underscore you talking about?" William's face was red.	false	193.07	197.83	24
5968_55202_000022_000000	"A _man!_--_Mary Jane!_" Cyril was merely cross.	"A underscore man!underscore--underscore Mary Jane!underscore" Cyril was merely cross.	false	198.2	202.6	18.21712
5968_55202_000023_000000	"Billy, what does this mean?" Bertram had grown a little white.	"Billy, what does this mean?" Bertram had grown a little white.	false	203.27	206.65	18.017653
5968_55202_000024_000000	Billy began to laugh again, yet she was plainly trying to control herself.	Billy began to laugh again, yet she was plainly trying to control herself.	true	206.96	211.12	22
5968_55202_000025_000000	"I'll tell you.	"I'll tell you.	true	211.22	212.115	22.515587
5968_55202_000025_000001	I must tell you.	I must tell you.	true	212.115	213.18	30.011238
5968_55202_000025_000002	Aunt Hannah is keeping him up-stairs so I can tell you," she panted.	Aunt Hannah is keeping him up stairs so I can tell you," she panted.	true	213.18	216.45	18
5968_55202_000025_000003	"But it was so funny, when I expected a girl, you know, to see him with his brown beard, and he was so tall and big!	"But it was so funny, when I expected a girl, you know, to see him with his brown beard, and he was so tall and big!	true	216.45	224.475	23
5968_55202_000025_000004	And, of course, it made me think how _I_ came, and was a girl when you expected a boy; and Mrs. Carleton had just said to-day that maybe this girl would even things up.	And, of course, it made me think how underscore I underscore came, and was a girl when you expected a boy; and mrs Carleton had just said to day that maybe this girl would even things up.	false	224.475	234.48	18
5968_55202_000025_000005	Oh, it was so funny!"	Oh, it was so funny!"	true	234.48	235.99	22.228476
5968_55202_000026_000000	"Billy, my-my dear," remonstrated Uncle William, mildly.	"Billy, my my dear," remonstrated Uncle William, mildly.	true	236.93	242.17	18.052738
5968_55202_000027_000000	"But what _is_ his name?" demanded Cyril.	"But what underscore is underscore his name?" demanded Cyril.	false	242.9	245.5	20
5968_55202_000028_000000	"Did the creature sign himself 'Mary Jane'?" exploded Bertram.	"Did the creature sign himself 'Mary Jane'?" exploded Bertram.	true	245.57	249.07	23
5968_55202_000029_000000	"I don't know his name, except that it's 'M.	"I don't know his name, except that it's 'M.	true	249.62	251.67	17.93712
5968_55202_000029_000001	J.'--and that's how he signed the letters.	J.'--and that's how he signed the letters.	true	251.67	253.875	16
5968_55202_000029_000002	But he _is_ called 'Mary Jane' sometimes, and in the letter he quoted somebody's speech--I've forgotten just how--but in it he was called 'Mary Jane,' and, of course, Aunt Hannah took him for a girl," explained Billy, grown a little more coherent now.	But he underscore is underscore called 'Mary Jane' sometimes, and in the letter he quoted somebody's speech-I've forgotten just how-but in it he was called 'Mary Jane,' and, of course, Aunt Hannah took him for a girl," explained Billy, grown a little more coherent now.	false	253.875	268.36	20
5968_55202_000030_000000	"Didn't he write again?" asked William.	"Didn't he write again?" asked William.	true	269.03	271.39	20.91557
5968_55202_000031_000000	"Yes."	"Yes."	true	271.43	272.2	26.491276
5968_55202_000032_000000	"Well, why didn't he correct the mistake, then?" demanded Bertram.	"Well, why didn't he correct the mistake, then?" demanded Bertram.	false	272.63	276.13	20.448421
5968_55202_000033_000000	Billy chuckled.	Billy chuckled.	false	276.38	278.4	25.28333
5968_55202_000034_000000	"He didn't want to, I guess.	"He didn't want to, I guess.	true	278.4	279.6	13
5968_55202_000034_000001	He thought it was too good a joke."	He thought it was too good a joke."	true	279.6	281.68	22.919592
5968_55202_000035_000000	"Joke!" scoffed Cyril.	"Joke!" scoffed Cyril.	true	281.96	284.11	22.619274
5968_55202_000036_000000	"But, see here, Billy, he isn't going to live here--now?" Bertram's voice was almost savage.	"But, see here, Billy, he isn't going to live here-now?" Bertram's voice was almost savage.	true	284.81	290.74	23.425884
5968_55202_000037_000000	"Oh, no, he isn't going to live here--now," interposed smooth tones from the doorway.	"Oh, no, he isn't going to live here-now," interposed smooth tones from the doorway.	true	290.99	297.49	21.36586
