1752_16632_000013_000000	CHAPTER I	CHAPTER one
1752_16632_000014_000000	THE PLAY BOX	THE PLAY BOX
1752_16632_000015_000000	At the sound of footsteps along the hall Miss Terry looked up from the letter which she was reading for the sixth time.	At the sound of footsteps along the hall Miss Terry looked up from the letter which she was reading for the sixth time.
1752_16632_000015_000001	"Of course I would not see him," she said, pursing her lips into a hard line.	"Of course I would not see him," she said, pursing her lips into a hard line.
1752_16632_000015_000002	"Certainly not!"	"Certainly not!"
1752_16632_000016_000000	A bump on the library door, as from an opposing knee, did duty for a knock.	A bump on the library door, as from an opposing knee, did duty for a knock.
1752_16632_000017_000001	"Set it down on the rug by the fire-place.	"Set it down on the rug by the fire place.
1752_16632_000017_000002	I am going to look it over and burn up the rubbish this evening."	I am going to look it over and burn up the rubbish this evening."
1752_16632_000018_000000	She glanced once more at the letter in her hand, then with a sniff tossed it upon the fire.	She glanced once more at the letter in her hand, then with a sniff tossed it upon the fire.
1752_16632_000019_000000	"Yes'm," said Norah, as she set down the box with a thump.	"Yes'm," said Norah, as she set down the box with a thump.
1752_16632_000019_000001	She stooped once more to pick up something which had fallen out when the cover was jarred open.	She stooped once more to pick up something which had fallen out when the cover was jarred open.
1752_16632_000019_000003	Norah stood holding it between thumb and finger, staring amazedly.	Norah stood holding it between thumb and finger, staring amazedly.
1752_16632_000019_000004	Who would think to find such a bit of frivolity in the house of Miss Terry!	Who would think to find such a bit of frivolity in the house of Miss Terry!
1752_16632_000020_000000	Her mistress looked up from the fire, where the bit of writing was writhing painfully, and caught the expression of Norah's face.	Her mistress looked up from the fire, where the bit of writing was writhing painfully, and caught the expression of Norah's face.
1752_16632_000021_000000	"What have you there?" she asked, frowning, as she took the object into her own hands.	"What have you there?" she asked, frowning, as she took the object into her own hands.
1752_16632_000021_000001	"The Christmas Angel!" she exclaimed under her breath.	"The Christmas Angel!" she exclaimed under her breath.
1752_16632_000021_000002	"I had quite forgotten it." Then as if it burned her fingers she thrust the little image back into the box and turned to Norah brusquely.	"I had quite forgotten it." Then as if it burned her fingers she thrust the little image back into the box and turned to Norah brusquely.
1752_16632_000021_000003	"There, that's all. You can go now, Norah," she said.	"There, that's all. You can go now, Norah," she said.
1752_16632_000022_000000	"Yes'm," answered the maid.	"Yes'm," answered the maid.
1752_16632_000022_000001	She hesitated.	She hesitated.
1752_16632_000022_000002	"If you please'm, it's Christmas Eve."	"If you please'm, it's Christmas Eve."
1752_16632_000023_000000	"Well, I believe so," snapped Miss Terry, who seemed to be in a particularly bad humor this evening.	"Well, I believe so," snapped Miss Terry, who seemed to be in a particularly bad humor this evening.
1752_16632_000023_000001	"What do you want?"	"What do you want?"
1752_16632_000024_000000	Norah flushed; but she was hardened to her mistress's manner.	Norah flushed; but she was hardened to her mistress's manner.
1752_16632_000024_000001	"Only to ask if I may go out for a little while to see the decorations and hear the singing."	"Only to ask if I may go out for a little while to see the decorations and hear the singing."
1752_16632_000025_000000	"Decorations?	"Decorations?
1752_16632_000025_000001	Singing?	Singing?
1752_16632_000025_000002	Fiddlestick!" retorted Miss Terry, poker in hand. "What decorations?	Fiddlestick!" retorted Miss Terry, poker in hand. "What decorations?
1752_16632_000025_000003	What singing?"	What singing?"
1752_16632_000026_000000	"Why, all the windows along the street are full of candles," answered Norah; "rows of candles in every house, to light the Christ Child on his way when he comes through the city to-night."	"Why, all the windows along the street are full of candles," answered Norah; "rows of candles in every house, to light the Christ Child on his way when he comes through the city to night."
1752_16632_000027_000000	"Fiddlestick!" again snarled her mistress.	"Fiddlestick!" again snarled her mistress.
1752_16632_000028_000000	"And choir-boys are going about the streets, they say, singing carols in front of the lighted houses," continued Norah enthusiastically.	"And choir boys are going about the streets, they say, singing carols in front of the lighted houses," continued Norah enthusiastically.
1752_16632_000028_000001	"It must sound so pretty!"	"It must sound so pretty!"
1752_16632_000029_000000	"They had much better be at home in bed.	"They had much better be at home in bed.
1752_16632_000029_000001	I believe people are losing their minds!"	I believe people are losing their minds!"
1752_16632_000030_000000	"Please'm, may I go?" asked Norah again.	"Please'm, may I go?" asked Norah again.
1752_16632_000031_000001	Moreover she was young and warm and enthusiastic.	Moreover she was young and warm and enthusiastic.
1752_16632_000031_000003	It was so this Christmas Eve; but she made her request with apparent calmness.	It was so this Christmas Eve; but she made her request with apparent calmness.
1752_16632_000032_000000	"Yes, go along," assented her mistress ungraciously.	"Yes, go along," assented her mistress ungraciously.
1752_16632_000033_000000	"Thank you, 'm," said the servant demurely, but with a brightening of her blue eyes.	"Thank you, 'm," said the servant demurely, but with a brightening of her blue eyes.
1752_16632_000033_000001	And presently the area door banged behind her quick-retreating footsteps.	And presently the area door banged behind her quick retreating footsteps.
1752_16632_000034_000001	Didn't take her long to get ready!" muttered Miss Terry, giving the fire a vicious poke.	Didn't take her long to get ready!" muttered Miss Terry, giving the fire a vicious poke.
1752_16632_000034_000003	Well, it was what she wanted.	Well, it was what she wanted.
1752_16632_000034_000004	It was of her own doing.	It was of her own doing.
1752_16632_000034_000005	If she had wished--	If she had wished-
1752_16632_000035_000001	A bit of paper there was crumbling into ashes. Alone on Christmas Eve!	A bit of paper there was crumbling into ashes. Alone on Christmas Eve!
1752_16632_000035_000003	Was there not a stalwart officer waiting for her on the nearest corner?	Was there not a stalwart officer waiting for her on the nearest corner?
1752_16632_000035_000004	Even Norah could feel a simple childish pleasure in candles and carols and merriment, and the old, old superstition.	Even Norah could feel a simple childish pleasure in candles and carols and merriment, and the old, old superstition.
1752_16632_000036_000000	"Stuff and nonsense!" mused Miss Terry scornfully.	"Stuff and nonsense!" mused Miss Terry scornfully.
1752_16632_000036_000001	"What is our Christmas, anyway?	"What is our Christmas, anyway?
1752_16632_000036_000002	A time for shopkeepers to sell and for foolish folks to kill themselves in buying.	A time for shopkeepers to sell and for foolish folks to kill themselves in buying.
1752_16632_000036_000003	Christmas spirit?	Christmas spirit?
1752_16632_000036_000004	No!	No!
1752_16632_000036_000005	It is all humbug,--all selfishness, and worry; an unwholesome season of unnatural activities.	It is all humbug,--all selfishness, and worry; an unwholesome season of unnatural activities.
1752_16632_000036_000006	I am glad I am out of it.	I am glad I am out of it.
1752_16632_000036_000007	I am glad no one expects anything of me,--nor I of any one.	I am glad no one expects anything of me,--nor I of any one.
1752_16632_000036_000008	I am quite independent; blessedly independent of the whole foolish business.	I am quite independent; blessedly independent of the whole foolish business.
1752_16632_000036_000009	It is a good time to begin clearing up for the new year.	It is a good time to begin clearing up for the new year.
1752_16632_000036_000010	I'm glad I thought of it.	I'm glad I thought of it.
1752_16632_000036_000011	I've long threatened to get rid of the stuff that has been accumulating in that corner of the attic.	I've long threatened to get rid of the stuff that has been accumulating in that corner of the attic.
1752_16632_000036_000012	Now I will begin."	Now I will begin."
1752_16632_000037_000000	She tugged the packing-case an inch nearer the fire.	She tugged the packing case an inch nearer the fire.
1752_16632_000037_000001	It was like Miss Terry to insist upon that nearer inch.	It was like Miss Terry to insist upon that nearer inch.
1752_16632_000037_000002	Then she raised the cover.	Then she raised the cover.
1752_16632_000037_000003	It was a box full of children's battered toys, old-fashioned and quaint; the toys in vogue thirty--forty--fifty years earlier, when Miss Terry was a child.	It was a box full of children's battered toys, old-fashioned and quaint; the toys in vogue thirty-forty-fifty years earlier, when Miss Terry was a child.
1752_16632_000037_000004	She gave a reminiscent sniff as she threw up the cover and saw on the under side of it a big label of pasteboard unevenly lettered.	She gave a reminiscent sniff as she threw up the cover and saw on the under side of it a big label of pasteboard unevenly lettered.
1752_16632_000039_000001	There was a great deal in that "humph." It meant: Yes, Tom's name had plenty of room, while poor little Angelina had to squeeze in as well as she could.	There was a great deal in that "humph." It meant: Yes, Tom's name had plenty of room, while poor little Angelina had to squeeze in as well as she could.
1752_16632_000039_000002	How like Tom!	How like Tom!
1752_16632_000039_000003	This accounted for everything, even to his not being in his sister's house this very night. How unreasonable he had been!	This accounted for everything, even to his not being in his sister's house this very night. How unreasonable he had been!
1752_16632_000040_000000	Miss Terry shrugged impatiently.	Miss Terry shrugged impatiently.
1752_16632_000040_000001	Why think of Tom to-night?	Why think of Tom to night?
1752_16632_000040_000002	Years ago he had deliberately cut himself adrift from her interests.	Years ago he had deliberately cut himself adrift from her interests.
1752_16632_000040_000003	No need to think of him now.	No need to think of him now.
1752_16632_000040_000004	It was too late to appease her.	It was too late to appease her.
1752_16632_000040_000005	But here were all these toys to be got rid of.	But here were all these toys to be got rid of.
1752_16632_000040_000006	The fire was hungry for them.	The fire was hungry for them.
1752_16632_000040_000007	Why not begin?	Why not begin?
1752_16632_000041_000000	Miss Terry stooped to poke over the contents of the box with lean, long fingers.	Miss Terry stooped to poke over the contents of the box with lean, long fingers.
1752_16632_000041_000001	In one corner thrust up a doll's arm; in another, an animal's tail pointed heavenward.	In one corner thrust up a doll's arm; in another, an animal's tail pointed heavenward.
1752_16632_000041_000002	She caught glimpses of glitter and tinsel, wheels and fragments of unidentifiable toys.	She caught glimpses of glitter and tinsel, wheels and fragments of unidentifiable toys.
1752_16632_000042_000000	"What rubbish!" she said.	"What rubbish!" she said.
1752_16632_000042_000001	"Yes, I'll burn them all.	"Yes, I'll burn them all.
1752_16632_000042_000002	They are good for nothing else.	They are good for nothing else.
1752_16632_000042_000003	I suppose some folks would try to give them away, and bore a lot of people to death.	I suppose some folks would try to give them away, and bore a lot of people to death.
1752_16632_000042_000005	Nonsense!	Nonsense!
1752_16632_000042_000006	I know better.	I know better.
1752_16632_000042_000007	It is all foolishness, this craze for giving. Most things are better destroyed as soon as you are done with them.	It is all foolishness, this craze for giving. Most things are better destroyed as soon as you are done with them.
1752_16632_000042_000008	Why, nobody wants such truck as this.	Why, nobody wants such truck as this.
1752_16632_000042_000009	Now, could any child ever have cared for so silly a thing?" She pulled out a faded jumping-jack, and regarded it scornfully.	Now, could any child ever have cared for so silly a thing?" She pulled out a faded jumping jack, and regarded it scornfully.
1752_16632_000042_000010	"Idiotic!	"Idiotic!
1752_16632_000042_000011	Such toys are demoralizing for children--weaken their minds.	Such toys are demoralizing for children-weaken their minds.
1752_16632_000042_000012	It is a shame to think how every one seems bound to spoil children, especially at Christmas time.	It is a shame to think how every one seems bound to spoil children, especially at Christmas time.
1752_16632_000042_000013	Well, no one can say that I have added to the shameful waste."	Well, no one can say that I have added to the shameful waste."
1752_16632_000043_000000	Miss Terry tossed the poor jumping-jack on the fire, and eyed his last contortions with grim satisfaction.	Miss Terry tossed the poor jumping jack on the fire, and eyed his last contortions with grim satisfaction.
1752_16632_000044_000000	But as she watched, a quaint idea came to her.	But as she watched, a quaint idea came to her.
1752_16632_000044_000001	She was famous for eccentric ideas.	She was famous for eccentric ideas.
1752_16632_000045_000000	"I will try an experiment," she said.	"I will try an experiment," she said.
1752_16632_000045_000001	"I will prove once for all my point about the 'Christmas spirit.' I will drop some of these old toys out on the sidewalk and see what happens.	"I will prove once for all my point about the 'Christmas spirit.' I will drop some of these old toys out on the sidewalk and see what happens.
1752_16632_000045_000002	It may be interesting."	It may be interesting."
1752_16632_000046_000000	CHAPTER II	CHAPTER two
1752_16632_000047_000000	JACK-IN-THE-BOX	JACK IN THE BOX
1752_16632_000048_000000	Miss Terry rose and crossed two rooms to the front window, looking out upon the street.	Miss Terry rose and crossed two rooms to the front window, looking out upon the street.
1752_16632_000048_000001	A flare of light almost blinded her eyes.	A flare of light almost blinded her eyes.
1752_16632_000048_000002	Every window opposite her along the block, as far as she could see, was illuminated with a row of lighted candles across the sash.	Every window opposite her along the block, as far as she could see, was illuminated with a row of lighted candles across the sash.
1752_16632_000048_000003	The soft, unusual glow threw into relief the pretty curtains and wreaths of green, and gave glimpses of cosy interiors and flitting happy figures.	The soft, unusual glow threw into relief the pretty curtains and wreaths of green, and gave glimpses of cosy interiors and flitting happy figures.
1752_16632_000049_000000	"What a waste of candles!" scolded Miss Terry.	"What a waste of candles!" scolded Miss Terry.
1752_16632_000049_000001	"Folks are growing terribly extravagant."	"Folks are growing terribly extravagant."
1752_16632_000050_000000	The street was white with snow which had fallen a few hours earlier, piled in drifts along the curb of the little-traveled terrace.	The street was white with snow which had fallen a few hours earlier, piled in drifts along the curb of the little traveled terrace.
1752_16632_000050_000001	But the sidewalks were neatly shoveled and swept clean, as became the eminently respectable part of the city where Miss Terry lived.	But the sidewalks were neatly shoveled and swept clean, as became the eminently respectable part of the city where Miss Terry lived.
1752_16632_000050_000002	A long flight of steps, with iron railing at the side, led down from the front door, upon which a silver plate had for generations in decorous flourishes announced the name of Terry.	A long flight of steps, with iron railing at the side, led down from the front door, upon which a silver plate had for generations in decorous flourishes announced the name of Terry.
1752_16632_000051_000000	Miss Terry returned to the play box and drew out between thumb and finger the topmost toy.	Miss Terry returned to the play box and drew out between thumb and finger the topmost toy.
1752_16632_000051_000001	It happened to be a wooden box, with a wire hasp for fastening the cover.	It happened to be a wooden box, with a wire hasp for fastening the cover.
1752_16632_000051_000002	Half unconsciously she pressed the spring, and a hideous Jack-in-the-box sprang out to confront her with a squeak, a leering smile, and a red nose.	Half unconsciously she pressed the spring, and a hideous Jack in the box sprang out to confront her with a squeak, a leering smile, and a red nose.
1752_16632_000051_000003	Miss Terry eyed him with disfavor.	Miss Terry eyed him with disfavor.
1752_16632_000052_000000	"I always did hate that thing," she said.	"I always did hate that thing," she said.
1752_16632_000052_000001	"Tom was continually frightening me with it, I remember." As if to be rid of unwelcome memories she shut her mouth tight, even as she shut Jack back into his box, snapping the spring into place.	"Tom was continually frightening me with it, I remember." As if to be rid of unwelcome memories she shut her mouth tight, even as she shut Jack back into his box, snapping the spring into place.
1752_16632_000052_000002	"This will do to begin with," she thought.	"This will do to begin with," she thought.
1752_16632_000052_000003	She crossed to the window, which she opened quickly, and tossed out the box, so that it fell squarely in the middle of the sidewalk.	She crossed to the window, which she opened quickly, and tossed out the box, so that it fell squarely in the middle of the sidewalk.
1752_16632_000052_000004	Then closing the window and turning down the lights in the room behind her, Miss Terry hid in the folds of the curtain and watched to see what would happen to Jack.	Then closing the window and turning down the lights in the room behind her, Miss Terry hid in the folds of the curtain and watched to see what would happen to Jack.
1752_16632_000053_000000	The street was quiet.	The street was quiet.
1752_16632_000053_000001	Few persons passed on either side.	Few persons passed on either side.
1752_16632_000053_000002	At last she spied two little ragamuffins approaching.	At last she spied two little ragamuffins approaching.
1752_16632_000053_000003	They seemed to be Jewish lads of the newsboy class, and they eyed the display of candles appraisingly.	They seemed to be Jewish lads of the newsboy class, and they eyed the display of candles appraisingly.
1752_16632_000053_000004	The smaller boy first caught sight of the box in the middle of the sidewalk.	The smaller boy first caught sight of the box in the middle of the sidewalk.
1752_16632_000054_000000	"Hello!	"Hello!
1752_16632_000056_000001	Lemme look at it."	Lemme look at it."
1752_16632_000058_000000	"Give it here!" commanded the bigger boy.	"Give it here!" commanded the bigger boy.
1752_16632_000059_000001	You let it alone!	You let it alone!
1752_16632_000059_000002	It's mine!" asserted the other, edging away along the curbstone.	It's mine!" asserted the other, edging away along the curbstone.
1752_16632_000059_000003	"I saw it first.	"I saw it first.
1752_16632_000059_000004	You can't have it."	You can't have it."
1752_16632_000060_000000	"Give it here.	"Give it here.
1752_16632_000060_000001	I saw it first myself.	I saw it first myself.
1752_16632_000060_000002	Hand it over, or I'll smash you!"	Hand it over, or I'll smash you!"
1752_16632_000061_000000	The bigger boy advanced threateningly.	The bigger boy advanced threateningly.
1752_16632_000063_000000	He started to run, but the bigger fellow was too quick for him.	He started to run, but the bigger fellow was too quick for him.
1752_16632_000063_000001	He pounced across the sidewalk, and soon the twain were struggling in the snowdrift, pummeling one another with might and main.	He pounced across the sidewalk, and soon the twain were struggling in the snowdrift, pummeling one another with might and main.
1752_16632_000064_000000	"I told you so!" commented Miss Terry from behind the curtain.	"I told you so!" commented Miss Terry from behind the curtain.
1752_16632_000064_000001	"Here's the first show of the beautiful Christmas spirit that is supposed to be abroad. Look at the little beasts fighting over something that neither of them really wants!"	"Here's the first show of the beautiful Christmas spirit that is supposed to be abroad. Look at the little beasts fighting over something that neither of them really wants!"
1752_16632_000065_000000	Just then Miss Terry spied a blue-coated figure leisurely approaching.	Just then Miss Terry spied a blue coated figure leisurely approaching.
1752_16632_000065_000001	At the same moment an instinct seemed to warn the struggling urchins.	At the same moment an instinct seemed to warn the struggling urchins.
1752_16632_000066_000000	"Cop!" said a muffled voice from the pile of arms and legs, and in an instant two black shadows were flitting down the street; but not before the bigger boy had wrenched the box from the pocket of the little chap.	"Cop!" said a muffled voice from the pile of arms and legs, and in an instant two black shadows were flitting down the street; but not before the bigger boy had wrenched the box from the pocket of the little chap.
1752_16632_000067_000000	"So that is the end of experiment number one," quoth Miss Terry, smiling grimly.	"So that is the end of experiment number one," quoth Miss Terry, smiling grimly.
1752_16632_000067_000001	"It happened just about as I expected.	"It happened just about as I expected.
1752_16632_000067_000002	They will be fighting again as soon as they are out of sight.	They will be fighting again as soon as they are out of sight.
1752_16632_000067_000003	They are Jews; but that doesn't make any difference about the Christmas spirit.	They are Jews; but that doesn't make any difference about the Christmas spirit.
1752_16632_000067_000004	Now let's see what becomes of the next experiment."	Now let's see what becomes of the next experiment."
1752_16632_000068_000000	CHAPTER III	CHAPTER three
1752_16632_000070_000000	She returned to the play box by the fire, and rummaged for a few minutes among the tangled toys.	She returned to the play box by the fire, and rummaged for a few minutes among the tangled toys.
1752_16632_000070_000001	Then with something like a chuckle she drew out a soft, pale creature with four wobbly legs.	Then with something like a chuckle she drew out a soft, pale creature with four wobbly legs.
1752_16632_000071_000000	"The Flanton Dog!" she said.	"The Flanton Dog!" she said.
1752_16632_000071_000002	I had forgotten all about him. It was Tom who coined the name for him because he was made of Canton flannel."	I had forgotten all about him. It was Tom who coined the name for him because he was made of Canton flannel."
1752_16632_000072_000000	She stood the thing up on the table as well as his weak legs would allow, and inspected him critically.	She stood the thing up on the table as well as his weak legs would allow, and inspected him critically.
1752_16632_000072_000002	One of the black beads which had served him for eyes was gone.	One of the black beads which had served him for eyes was gone.
1752_16632_000072_000003	His ears, which had originally stood up saucily on his head, now drooped in limp dejection.	His ears, which had originally stood up saucily on his head, now drooped in limp dejection.
