6189_64708_000001_000000	THE ENCHANTED STAG	THE ENCHANTED STAG
6189_64708_000002_000001	One day the boy took his sister's hand, and said to her, "Dear little sister, since our mother died we have not had one happy hour.	One day the boy took his sister's hand, and said to her, "Dear little sister, since our mother died we have not had one happy hour.
6189_64708_000002_000002	Our stepmother gives us dry hard crusts for dinner and supper; she often knocks us about, and threatens to kick us out of the house.	Our stepmother gives us dry hard crusts for dinner and supper; she often knocks us about, and threatens to kick us out of the house.
6189_64708_000002_000003	Even the little dogs under the table fare better than we do, for she often throws them nice pieces to eat.	Even the little dogs under the table fare better than we do, for she often throws them nice pieces to eat.
6189_64708_000002_000004	Heaven pity us!	Heaven pity us!
6189_64708_000002_000006	Come, let us go out into the wide world!"	Come, let us go out into the wide world!"
6189_64708_000003_000000	So they went out, and wandered over fields and meadows the whole day till evening.	So they went out, and wandered over fields and meadows the whole day till evening.
6189_64708_000003_000001	At last they found themselves in a large forest; it began to rain, and the little sister said, "See, brother, heaven and our hearts weep together." At last, tired out with hunger and sorrow, and the long journey, they crept into a hollow tree, laid themselves down, and slept till morning.	At last they found themselves in a large forest; it began to rain, and the little sister said, "See, brother, heaven and our hearts weep together." At last, tired out with hunger and sorrow, and the long journey, they crept into a hollow tree, laid themselves down, and slept till morning.
6189_64708_000004_000000	When they awoke the sun was high in the heavens, and shone brightly into the hollow tree, so they left their place of shelter and wandered away in search of water.	When they awoke the sun was high in the heavens, and shone brightly into the hollow tree, so they left their place of shelter and wandered away in search of water.
6189_64708_000005_000000	"Oh, I am so thirsty!" said the boy.	"Oh, I am so thirsty!" said the boy.
6189_64708_000005_000001	"If we could only find a brook or a stream." He stopped to listen, and said, "Stay, I think I hear a running stream." So he took his sister by the hand, and they ran together to find it.	"If we could only find a brook or a stream." He stopped to listen, and said, "Stay, I think I hear a running stream." So he took his sister by the hand, and they ran together to find it.
6189_64708_000006_000001	She had seen the children go away, and, following them cautiously like a snake, had bewitched all the springs and streams in the forest.	She had seen the children go away, and, following them cautiously like a snake, had bewitched all the springs and streams in the forest.
6189_64708_000006_000002	The pleasant trickling of a brook over the pebbles was heard by the children as they reached it, and the boy was just stooping to drink, when the sister heard in the babbling of the brook:	The pleasant trickling of a brook over the pebbles was heard by the children as they reached it, and the boy was just stooping to drink, when the sister heard in the babbling of the brook:
6189_64708_000007_000000	"Whoever drinks of me, a tiger soon will be."	"Whoever drinks of me, a tiger soon will be."
