510_130103_000001_000000	Chapter 11	Chapter eleven
510_130103_000002_000000	He became aware that the furnace roar of the battle was growing louder. Great blown clouds had floated to the still heights of air before him. The noise, too, was approaching.	He became aware that the furnace roar of the battle was growing louder. Great blown clouds had floated to the still heights of air before him. The noise, too, was approaching.
510_130103_000003_000000	As he rounded a hillock, he perceived that the roadway was now a crying mass of wagons, teams, and men.	As he rounded a hillock, he perceived that the roadway was now a crying mass of wagons, teams, and men.
510_130103_000003_000001	From the heaving tangle issued exhortations, commands, imprecations.	From the heaving tangle issued exhortations, commands, imprecations.
510_130103_000003_000002	Fear was sweeping it all along. The cracking whips bit and horses plunged and tugged.	Fear was sweeping it all along. The cracking whips bit and horses plunged and tugged.
510_130103_000003_000003	The white-topped wagons strained and stumbled in their exertions like fat sheep.	The white topped wagons strained and stumbled in their exertions like fat sheep.
510_130103_000004_000000	The youth felt comforted in a measure by this sight.	The youth felt comforted in a measure by this sight.
510_130103_000004_000001	They were all retreating.	They were all retreating.
510_130103_000004_000002	Perhaps, then, he was not so bad after all.	Perhaps, then, he was not so bad after all.
510_130103_000004_000003	He seated himself and watched the terror-stricken wagons.	He seated himself and watched the terror stricken wagons.
510_130103_000004_000004	They fled like soft, ungainly animals.	They fled like soft, ungainly animals.
510_130103_000004_000006	There was an amount of pleasure to him in watching the wild march of this vindication.	There was an amount of pleasure to him in watching the wild march of this vindication.
510_130103_000005_000001	It came swiftly on.	It came swiftly on.
510_130103_000005_000002	Avoiding the obstructions gave it the sinuous movement of a serpent.	Avoiding the obstructions gave it the sinuous movement of a serpent.
510_130103_000005_000003	The men at the head butted mules with their musket stocks.	The men at the head butted mules with their musket stocks.
510_130103_000005_000004	They prodded teamsters indifferent to all howls.	They prodded teamsters indifferent to all howls.
510_130103_000005_000005	The men forced their way through parts of the dense mass by strength.	The men forced their way through parts of the dense mass by strength.
510_130103_000005_000006	The blunt head of the column pushed.	The blunt head of the column pushed.
