4586_19665_000002_000000	CHAPTER TWENTY NINE.	CHAPTER TWENTY NINE.
4586_19665_000003_000000	COMING TO AN UNDERSTANDING.	COMING TO AN UNDERSTANDING.
4586_19665_000004_000001	He went straight to his room, at his mother's old house, and did not breakfast with the Rowlands.	He went straight to his room, at his mother's old house, and did not breakfast with the Rowlands.
4586_19665_000004_000002	He knocked at their door when breakfast was finished, and sent to request Mrs Rowland's presence in the drawing-room.	He knocked at their door when breakfast was finished, and sent to request Mrs Rowland's presence in the drawing room.
4586_19665_000005_000000	There was all due politeness in Enderby's way of inducing his sister to sit down, and of asking after the health of herself and her children.	There was all due politeness in Enderby's way of inducing his sister to sit down, and of asking after the health of herself and her children.
4586_19665_000006_000000	"We are all wonderfully improved, thank you, brother.	"We are all wonderfully improved, thank you, brother.
4586_19665_000006_000002	Mr Walcot's care will be new life to us."	Mr Walcot's care will be new life to us."
4586_19665_000007_000000	"Whose care?"	"Whose care?"
4586_19665_000008_000000	"Mr Walcot's.	"Mr Walcot's.
4586_19665_000008_000001	We brought him with us last night; and he is to go at once into my mother's house.	We brought him with us last night; and he is to go at once into my mother's house.
4586_19665_000008_000002	He is a surgeon of the first degree of eminence.	He is a surgeon of the first degree of eminence.
4586_19665_000008_000003	I think myself extremely fortunate in having secured him. The chief reason, however, of my inviting him here was, that my poor mother might be properly taken care of.	I think myself extremely fortunate in having secured him. The chief reason, however, of my inviting him here was, that my poor mother might be properly taken care of.
4586_19665_000008_000005	Now that she will be in good hands, I shall feel that I have done my duty."	Now that she will be in good hands, I shall feel that I have done my duty."
4586_19665_000009_000000	"And, pray, does Rowland know of your having brought this stranger here?"	"And, pray, does Rowland know of your having brought this stranger here?"
4586_19665_000010_000000	"Of course.	"Of course.
4586_19665_000010_000001	Mr Walcot is our guest till his own house can be prepared for him.	Mr Walcot is our guest till his own house can be prepared for him.
4586_19665_000010_000002	As I tell you, he arrived with me, last night."	As I tell you, he arrived with me, last night."
4586_19665_000011_000000	"And now let me tell you, sister, that either Mr Walcot is not a man of honour, or you have misinformed him of the true state of affairs here: I suspect the latter to be the case.	"And now let me tell you, sister, that either Mr Walcot is not a man of honour, or you have misinformed him of the true state of affairs here: I suspect the latter to be the case.
4586_19665_000011_000001	It is of a piece with the whole of your conduct, towards Mr Hope--conduct unpardonable for its untruthfulness, and hateful for its malice."	It is of a piece with the whole of your conduct, towards Mr Hope-conduct unpardonable for its untruthfulness, and hateful for its malice."
4586_19665_000013_000001	Mr Hope must have justice, and you have no one to blame but yourself that justice must be done at your expense.	Mr Hope must have justice, and you have no one to blame but yourself that justice must be done at your expense.
4586_19665_000013_000002	I give you fair notice that I shall discharge my duty fully, in the painful circumstances in which you have contrived to place all your family."	I give you fair notice that I shall discharge my duty fully, in the painful circumstances in which you have contrived to place all your family."
4586_19665_000014_000000	"Do what you will, Philip.	"Do what you will, Philip.
4586_19665_000014_000001	My first duty is to take care of the health of my parent and my children; and if, by the same means, Deerbrook is provided with a medical man worthy of its confidence, all Deerbrook will thank me."	My first duty is to take care of the health of my parent and my children; and if, by the same means, Deerbrook is provided with a medical man worthy of its confidence, all Deerbrook will thank me."
4586_19665_000015_000000	"Ignorant and stupid as Deerbrook is about many things, Priscilla, it is not so wicked as to thank any one for waging a cowardly war against the good, for disparaging the able and accomplished, and fabricating and circulating injurious stories against people too magnanimous for the slanderer to understand."	"Ignorant and stupid as Deerbrook is about many things, Priscilla, it is not so wicked as to thank any one for waging a cowardly war against the good, for disparaging the able and accomplished, and fabricating and circulating injurious stories against people too magnanimous for the slanderer to understand."
4586_19665_000016_000000	"I do not know what you mean, Philip."	"I do not know what you mean, Philip."
4586_19665_000017_000001	You do not know that he and his wife are not happy.	You do not know that he and his wife are not happy.
