2929_86777_000000_000000	Chapter 71.	Chapter seventy one.	false	0.84	20.35	20.714132
2929_86777_000000_000001	Bread and Salt.	Bread and Salt.	true	20.6	22.18	21.468775
2929_86777_000001_000000	Madame de Morcerf entered an archway of trees with her companion.	Madame de Morcerf entered an archway of trees with her companion.	false	22.88	26.62	17.852898
2929_86777_000001_000001	It led through a grove of lindens to a conservatory.	It led through a grove of lindens to a conservatory.	true	26.78	29.77	18.491821
2929_86777_000002_000000	"It was too warm in the room, was it not, count?" she asked.	"It was too warm in the room, was it not, count?" she asked.	true	30.05	33.7	18.98857
2929_86777_000003_000000	"Yes, madame; and it was an excellent idea of yours to open the doors and the blinds." As he ceased speaking, the count felt the hand of Mercedes tremble.	"Yes, madame; and it was an excellent idea of yours to open the doors and the blinds." As he ceased speaking, the count felt the hand of Mercedes tremble.	true	33.86	43.12	19.128582
2929_86777_000003_000001	"But you," he said, "with that light dress, and without anything to cover you but that gauze scarf, perhaps you feel cold?"	"But you," he said, "with that light dress, and without anything to cover you but that gauze scarf, perhaps you feel cold?"	true	43.13	50.08	20.611359
2929_86777_000004_000000	"Do you know where I am leading you?" said the countess, without replying to the question.	"Do you know where I am leading you?" said the countess, without replying to the question.	true	50.24	54.7	20.138222
2929_86777_000005_000000	"No, madame," replied Monte Cristo; "but you see I make no resistance."	"No, madame," replied Monte Cristo; "but you see I make no resistance."	true	54.92	59.44	20.487762
2929_86777_000006_000000	"We are going to the greenhouse that you see at the other end of the grove."	"We are going to the greenhouse that you see at the other end of the grove."	true	59.54	63.28	19.852938
2929_86777_000007_000000	The count looked at Mercedes as if to interrogate her, but she continued to walk on in silence, and he refrained from speaking.	The count looked at Mercedes as if to interrogate her, but she continued to walk on in silence, and he refrained from speaking.	true	63.38	70.21	20.260424
2929_86777_000007_000001	They reached the building, ornamented with magnificent fruits, which ripen at the beginning of July in the artificial temperature which takes the place of the sun, so frequently absent in our climate.	They reached the building, ornamented with magnificent fruits, which ripen at the beginning of July in the artificial temperature which takes the place of the sun, so frequently absent in our climate.	true	70.25	81.31	20.982279
2929_86777_000007_000002	The countess left the arm of Monte Cristo, and gathered a bunch of Muscatel grapes.	The countess left the arm of Monte Cristo, and gathered a bunch of Muscatel grapes.	true	81.32	85.78	19.609066
2929_86777_000007_000003	"See, count," she said, with a smile so sad in its expression that one could almost detect the tears on her eyelids--"see, our French grapes are not to be compared, I know, with yours of Sicily and Cyprus, but you will make allowance for our northern sun." The count bowed, but stepped back. "Do you refuse?" said Mercedes, in a tremulous voice.	"See, count," she said, with a smile so sad in its expression that one could almost detect the tears on her eyelids-"see, our French grapes are not to be compared, I know, with yours of Sicily and Cyprus, but you will make allowance for our northern sun" The count bowed, but stepped back. "Do you refuse?" said Mercedes, in a tremulous voice.	false	85.85	106.9	20.537342
2929_86777_000007_000004	"Pray excuse me, madame," replied Monte Cristo, "but I never eat Muscatel grapes."	"Pray excuse me, madame," replied Monte Cristo, "but I never eat Muscatel grapes."	true	106.97	112.18	20.634256
