2592_166433_000001_000000	CHAPTER XIV.	CHAPTER fourteen.
2592_166433_000001_000001	"FREE!	"FREE!
2592_166433_000001_000002	BUT A MONSTER!"	BUT A MONSTER!"
2592_166433_000002_000000	The peculiar ability of the human mind to slip so readily into the refuge of the commonplace after, or even during, some well-nigh intolerable crisis, has been to me long one of the most interesting phenomena of our psychology.	The peculiar ability of the human mind to slip so readily into the refuge of the commonplace after, or even during, some well nigh intolerable crisis, has been to me long one of the most interesting phenomena of our psychology.
2592_166433_000005_000000	And these paths are bordered and screened, figuratively and literally, with bush and trees of his own selection, setting out and cultivation--shelters of the familiar, the habitual, the customary.	And these paths are bordered and screened, figuratively and literally, with bush and trees of his own selection, setting out and cultivation-shelters of the familiar, the habitual, the customary.
2592_166433_000006_000000	On these ancestral paths, within these barriers of usage, man moves hidden and secure as the animals in their haunts--or so he thinks.	On these ancestral paths, within these barriers of usage, man moves hidden and secure as the animals in their haunts-or so he thinks.
2592_166433_000008_000000	But they are home to him!	But they are home to him!
2592_166433_000009_000000	Therefore it is that he scurries from some open place of revelation, some storm of emotion, some strength-testing struggle, back into the shelter of the obvious; finding it an intellectual environment that demands no slightest expenditure of mental energy or initiative, strength to sally forth again into the unfamiliar.	Therefore it is that he scurries from some open place of revelation, some storm of emotion, some strength testing struggle, back into the shelter of the obvious; finding it an intellectual environment that demands no slightest expenditure of mental energy or initiative, strength to sally forth again into the unfamiliar.
2592_166433_000010_000000	I crave pardon for this digression.	I crave pardon for this digression.
2592_166433_000010_000001	I set it down because now I remember how, when Drake at last broke the silence that had closed in upon the passing of that still, small voice the essence of these thoughts occurred to me.	I set it down because now I remember how, when Drake at last broke the silence that had closed in upon the passing of that still, small voice the essence of these thoughts occurred to me.
2592_166433_000011_000000	He strode over to the weeping girl, and in his voice was a roughness that angered me until I realized his purpose.	He strode over to the weeping girl, and in his voice was a roughness that angered me until I realized his purpose.
2592_166433_000012_000000	"Get up, Ruth," he ordered.	"Get up, ruth," he ordered.
2592_166433_000012_000001	"He came back once and he'll come back again.	"He came back once and he'll come back again.
2592_166433_000012_000003	I'm hungry."	I'm hungry."
2592_166433_000014_000000	"Eat!" she exclaimed.	"Eat!" she exclaimed.
2592_166433_000014_000001	"You can be hungry?"	"You can be hungry?"
2592_166433_000015_000001	"Come on; we've got to make the best of it."	"Come on; we've got to make the best of it."
2592_166433_000016_000001	You must eat--and then rest."	You must eat-and then rest."
2592_166433_000017_000000	"No use crying in the milk even if it's spilt," observed Drake, even more cheerfully brutal.	"No use crying in the milk even if it's spilt," observed Drake, even more cheerfully brutal.
