1311_134170_000001_000000	CHAPTER 8	CHAPTER eight
1311_134170_000005_000000	GREETINGS	GREETINGS
1311_134170_000006_000000	"This is all?" Jack said.	"This is all?" Jack said.
1311_134170_000010_000000	The message stared up at them cryptically.	The message stared up at them cryptically.
1311_134170_000012_000001	Can you hear me?	Can you hear me?
1311_134170_000013_000001	Then a voice came whispering through the static.	Then a voice came whispering through the static.
1311_134170_000014_000000	"We need your co-ordinates in order to tell," Tiger said.	"We need your co ordinates in order to tell," Tiger said.
1311_134170_000014_000001	"Who are you?"	"Who are you?"
1311_134170_000016_000002	"Check these out fast," he told Jack.	"Check these out fast," he told Jack.
1311_134170_000017_000002	We are all dying, but if you must have a contract to come...."	We are all dying, but if you must have a contract to come...."
1311_134170_000018_000001	"We're coming.	"We're coming.
1311_134170_000019_000002	A planet calling for help, with no Hospital Earth contract!"	A planet calling for help, with no Hospital Earth contract!"
1311_134170_000020_000000	"They sound desperate," Dal said.	"They sound desperate," Dal said.
1311_134170_000022_000003	Tiger was right; this was almost too good to be true.	Tiger was right; this was almost too good to be true.
1311_134170_000028_000001	Says it's an Earth-type planet, and not much else.	Says it's an Earth type planet, and not much else.
1311_134170_000028_000002	Gives reference to the full report in the Confederation files.	Gives reference to the full report in the Confederation files.
1311_134170_000032_000000	"Contract!" Jack said.	"Contract!" Jack said.
1311_134170_000032_000001	"It doesn't even say there are any people there. Not a word about any kind of life form."	"It doesn't even say there are any people there. Not a word about any kind of life form."
1311_134170_000036_000000	Jack stared at him.	Jack stared at him.
1311_134170_000036_000002	We can't do that, they'd skin us alive.	We can't do that, they'd skin us alive.
1311_134170_000038_000000	Tiger got the request off while Jack and Dal strapped down for the conversion to Koenig drive.	Tiger got the request off while Jack and Dal strapped down for the conversion to Koenig drive.
