203_132069_000002_000000	THE PENDULUM	THE PENDULUM
203_132069_000003_000000	"Eighty-first street--let 'em out, please," yelled the shepherd in blue.	"Eighty first street-let 'em out, please," yelled the shepherd in blue.
203_132069_000004_000000	A flock of citizen sheep scrambled out and another flock scrambled aboard.	A flock of citizen sheep scrambled out and another flock scrambled aboard.
203_132069_000004_000001	Ding-ding!	Ding ding!
203_132069_000004_000002	The cattle cars of the Manhattan Elevated rattled away, and John Perkins drifted down the stairway of the station with the released flock.	The cattle cars of the Manhattan Elevated rattled away, and john Perkins drifted down the stairway of the station with the released flock.
203_132069_000005_000000	John walked slowly toward his flat.	john walked slowly toward his flat.
203_132069_000005_000001	Slowly, because in the lexicon of his daily life there was no such word as "perhaps." There are no surprises awaiting a man who has been married two years and lives in a flat.	Slowly, because in the lexicon of his daily life there was no such word as "perhaps." There are no surprises awaiting a man who has been married two years and lives in a flat.
203_132069_000005_000002	As he walked John Perkins prophesied to himself with gloomy and downtrodden cynicism the foregone conclusions of the monotonous day.	As he walked john Perkins prophesied to himself with gloomy and downtrodden cynicism the foregone conclusions of the monotonous day.
203_132069_000006_000000	Katy would meet him at the door with a kiss flavored with cold cream and butter-scotch.	Katy would meet him at the door with a kiss flavored with cold cream and butter scotch.
203_132069_000006_000001	He would remove his coat, sit upon a macadamized lounge and read, in the evening paper, of Russians and Japs slaughtered by the deadly linotype.	He would remove his coat, sit upon a macadamized lounge and read, in the evening paper, of Russians and Japs slaughtered by the deadly linotype.
203_132069_000006_000003	After dinner Katy would show him the new patch in her crazy quilt that the iceman had cut for her off the end of his four-in-hand. At half-past seven they would spread newspapers over the furniture to catch the pieces of plastering that fell when the fat man in the flat overhead began to take his physical culture exercises.	After dinner Katy would show him the new patch in her crazy quilt that the iceman had cut for her off the end of his four in hand. At half past seven they would spread newspapers over the furniture to catch the pieces of plastering that fell when the fat man in the flat overhead began to take his physical culture exercises.
203_132069_000006_000004	Exactly at eight Hickey & Mooney, of the vaudeville team (unbooked) in the flat across the hall, would yield to the gentle influence of delirium tremens and begin to overturn chairs under the delusion that Hammerstein was pursuing them with a five-hundred-dollar-a-week contract.	Exactly at eight Hickey and Mooney, of the vaudeville team (unbooked) in the flat across the hall, would yield to the gentle influence of delirium tremens and begin to overturn chairs under the delusion that Hammerstein was pursuing them with a five hundred dollar a week contract.
203_132069_000007_000001	And he knew that at a quarter past eight he would summon his nerve and reach for his hat, and that his wife would deliver this speech in a querulous tone:	And he knew that at a quarter past eight he would summon his nerve and reach for his hat, and that his wife would deliver this speech in a querulous tone:
203_132069_000008_000000	"Now, where are you going, I'd like to know, John Perkins?"	"Now, where are you going, I'd like to know, john Perkins?"
203_132069_000010_000000	Of late such had been John Perkins's habit.	Of late such had been john Perkins's habit.
203_132069_000010_000001	At ten or eleven he would return.	At ten or eleven he would return.
203_132069_000010_000002	Sometimes Katy would be asleep; sometimes waiting up, ready to melt in the crucible of her ire a little more gold plating from the wrought steel chains of matrimony.	Sometimes Katy would be asleep; sometimes waiting up, ready to melt in the crucible of her ire a little more gold plating from the wrought steel chains of matrimony.
203_132069_000010_000003	For these things Cupid will have to answer when he stands at the bar of justice with his victims from the Frogmore flats.	For these things Cupid will have to answer when he stands at the bar of justice with his victims from the Frogmore flats.
203_132069_000011_000000	To-night John Perkins encountered a tremendous upheaval of the commonplace when he reached his door.	To night john Perkins encountered a tremendous upheaval of the commonplace when he reached his door.
203_132069_000011_000001	No Katy was there with her affectionate, confectionate kiss.	No Katy was there with her affectionate, confectionate kiss.
203_132069_000011_000002	The three rooms seemed in portentous disorder.	The three rooms seemed in portentous disorder.
203_132069_000011_000003	All about lay her things in confusion.	All about lay her things in confusion.
203_132069_000011_000004	Shoes in the middle of the floor, curling tongs, hair bows, kimonos, powder box, jumbled together on dresser and chairs--this was not Katy's way.	Shoes in the middle of the floor, curling tongs, hair bows, kimonos, powder box, jumbled together on dresser and chairs-this was not Katy's way.
203_132069_000011_000005	With a sinking heart John saw the comb with a curling cloud of her brown hair among its teeth.	With a sinking heart john saw the comb with a curling cloud of her brown hair among its teeth.
203_132069_000012_000000	Hanging conspicuously to the gas jet by a string was a folded paper. John seized it.	Hanging conspicuously to the gas jet by a string was a folded paper. john seized it.
203_132069_000012_000001	It was a note from his wife running thus:	It was a note from his wife running thus:
203_132069_000013_000001	Brother Sam is going to meet me at the depot there.	Brother Sam is going to meet me at the depot there.
203_132069_000013_000002	There is cold mutton in the ice box.	There is cold mutton in the ice box.
203_132069_000013_000004	Pay the milkman 50 cents.	Pay the milkman fifty cents.
203_132069_000013_000005	She had it bad last spring.	She had it bad last spring.
203_132069_000013_000006	Don't forget to write to the company about the gas meter, and your good socks are in the top drawer. I will write to-morrow.	Don't forget to write to the company about the gas meter, and your good socks are in the top drawer. I will write to morrow.
203_132069_000014_000000	Hastily, KATY.	Hastily, KATY.
203_132069_000015_000000	Never during their two years of matrimony had he and Katy been separated for a night.	Never during their two years of matrimony had he and Katy been separated for a night.
203_132069_000015_000001	John read the note over and over in a dumbfounded way.	john read the note over and over in a dumbfounded way.
203_132069_000016_000000	There on the back of a chair hung, pathetically empty and formless, the red wrapper with black dots that she always wore while getting the meals.	There on the back of a chair hung, pathetically empty and formless, the red wrapper with black dots that she always wore while getting the meals.
203_132069_000016_000001	Her week-day clothes had been tossed here and there in her haste.	Her week day clothes had been tossed here and there in her haste.
203_132069_000016_000002	A little paper bag of her favorite butter-scotch lay with its string yet unwound.	A little paper bag of her favorite butter scotch lay with its string yet unwound.
203_132069_000016_000003	A daily paper sprawled on the floor, gaping rectangularly where a railroad time-table had been clipped from it. Everything in the room spoke of a loss, of an essence gone, of its soul and life departed.	A daily paper sprawled on the floor, gaping rectangularly where a railroad time table had been clipped from it. Everything in the room spoke of a loss, of an essence gone, of its soul and life departed.
203_132069_000017_000001	When he touched her clothes a thrill of something like terror went through him.	When he touched her clothes a thrill of something like terror went through him.
203_132069_000017_000002	He had never thought what existence would be without Katy.	He had never thought what existence would be without Katy.
203_132069_000017_000003	She had become so thoroughly annealed into his life that she was like the air he breathed--necessary but scarcely noticed.	She had become so thoroughly annealed into his life that she was like the air he breathed-necessary but scarcely noticed.
203_132069_000017_000004	Now, without warning, she was gone, vanished, as completely absent as if she had never existed.	Now, without warning, she was gone, vanished, as completely absent as if she had never existed.
203_132069_000017_000005	Of course it would be only for a few days, or at most a week or two, but it seemed to him as if the very hand of death had pointed a finger at his secure and uneventful home.	Of course it would be only for a few days, or at most a week or two, but it seemed to him as if the very hand of death had pointed a finger at his secure and uneventful home.
203_132069_000018_000001	Bright among withdrawn blessings now appeared to him the ghosts of pot roasts and the salad with tan polish dressing.	Bright among withdrawn blessings now appeared to him the ghosts of pot roasts and the salad with tan polish dressing.
203_132069_000018_000002	His home was dismantled.	His home was dismantled.
203_132069_000018_000003	A quinzied mother-in-law had knocked his lares and penates sky-high.	A quinzied mother in law had knocked his lares and penates sky high.
203_132069_000019_000000	He did not care to smoke.	He did not care to smoke.
203_132069_000019_000002	The night was his.	The night was his.
203_132069_000019_000003	He might go forth unquestioned and thrum the strings of jollity as free as any gay bachelor there.	He might go forth unquestioned and thrum the strings of jollity as free as any gay bachelor there.
203_132069_000019_000004	He might carouse and wander and have his fling until dawn if he liked; and there would be no wrathful Katy waiting for him, bearing the chalice that held the dregs of his joy. He might play pool at McCloskey's with his roistering friends until Aurora dimmed the electric bulbs if he chose.	He might carouse and wander and have his fling until dawn if he liked; and there would be no wrathful Katy waiting for him, bearing the chalice that held the dregs of his joy. He might play pool at McCloskey's with his roistering friends until Aurora dimmed the electric bulbs if he chose.
203_132069_000019_000006	Katy was gone.	Katy was gone.
203_132069_000020_000000	John Perkins was not accustomed to analyzing his emotions.	john Perkins was not accustomed to analyzing his emotions.
203_132069_000020_000002	He knew now that Katy was necessary to his happiness.	He knew now that Katy was necessary to his happiness.
203_132069_000020_000003	His feeling for her, lulled into unconsciousness by the dull round of domesticity, had been sharply stirred by the loss of her presence.	His feeling for her, lulled into unconsciousness by the dull round of domesticity, had been sharply stirred by the loss of her presence.
203_132069_000021_000000	"I'm a double-dyed dub," mused John Perkins, "the way I've been treating Katy.	"I'm a double dyed dub," mused john Perkins, "the way I've been treating Katy.
203_132069_000021_000002	The poor girl here all alone with nothing to amuse her, and me acting that way!	The poor girl here all alone with nothing to amuse her, and me acting that way!
203_132069_000021_000004	I'm going to make it up for the little girl.	I'm going to make it up for the little girl.
203_132069_000021_000005	I'll take her out and let her see some amusement.	I'll take her out and let her see some amusement.
203_132069_000021_000006	And I'll cut out the McCloskey gang right from this minute."	And I'll cut out the McCloskey gang right from this minute."
203_132069_000022_000001	And at McCloskey's the boys were knocking the balls idly into the pockets against the hour for the nightly game.	And at McCloskey's the boys were knocking the balls idly into the pockets against the hour for the nightly game.
