203_132069_000000_000000	In some dungeon below the accurate ear of Mrs. Pickens, the landlady, located the smash.	In some dungeon below the accurate ear of mrs Pickens, the landlady, located the smash.	false	0	5.04	24.904333
203_132069_000001_000000	"It's that wild Mr. Babbitt coming home soused again," she said. "And he's got such a nice little wife, too!"	"It's that wild mr Babbitt coming home soused again," she said. "And he's got such a nice little wife, too!"	false	5.04	24.975	22.655722
203_132069_000002_000000	THE PENDULUM	THE PENDULUM	true	24.975	26.29	22.18205
203_132069_000003_000000	"Eighty-first street--let 'em out, please," yelled the shepherd in blue.	"Eighty first street-let 'em out, please," yelled the shepherd in blue.	true	30.44	35.26	22.694239
203_132069_000004_000000	A flock of citizen sheep scrambled out and another flock scrambled aboard.	A flock of citizen sheep scrambled out and another flock scrambled aboard.	true	35.45	40.54	22.400482
203_132069_000004_000001	Ding-ding!	Ding ding!	true	40.67	41.62	31.29642
203_132069_000004_000002	The cattle cars of the Manhattan Elevated rattled away, and John Perkins drifted down the stairway of the station with the released flock.	The cattle cars of the Manhattan Elevated rattled away, and john Perkins drifted down the stairway of the station with the released flock.	true	41.96	51.16	21.63189
203_132069_000005_000000	John walked slowly toward his flat.	john walked slowly toward his flat.	true	52.58	55	28.519169
203_132069_000005_000001	Slowly, because in the lexicon of his daily life there was no such word as "perhaps." There are no surprises awaiting a man who has been married two years and lives in a flat.	Slowly, because in the lexicon of his daily life there was no such word as "perhaps." There are no surprises awaiting a man who has been married two years and lives in a flat.	true	55.55	68.02	21.691196
203_132069_000005_000002	As he walked John Perkins prophesied to himself with gloomy and downtrodden cynicism the foregone conclusions of the monotonous day.	As he walked john Perkins prophesied to himself with gloomy and downtrodden cynicism the foregone conclusions of the monotonous day.	true	68.6	78.19	24.37624
203_132069_000006_000000	Katy would meet him at the door with a kiss flavored with cold cream and butter-scotch.	Katy would meet him at the door with a kiss flavored with cold cream and butter scotch.	true	79.22	84.22	24.584942
203_132069_000006_000001	He would remove his coat, sit upon a macadamized lounge and read, in the evening paper, of Russians and Japs slaughtered by the deadly linotype.	He would remove his coat, sit upon a macadamized lounge and read, in the evening paper, of Russians and Japs slaughtered by the deadly linotype.	true	84.92	96.13	23.731533
203_132069_000006_000002	For dinner there would be pot roast, a salad flavored with a dressing warranted not to crack or injure the leather, stewed rhubarb and the bottle of strawberry marmalade blushing at the certificate of chemical purity on its label.	For dinner there would be pot roast, a salad flavored with a dressing warranted not to crack or injure the leather, stewed rhubarb and the bottle of strawberry marmalade blushing at the certificate of chemical purity on its label.	false	96.59	112.12	24.499601
203_132069_000006_000003	After dinner Katy would show him the new patch in her crazy quilt that the iceman had cut for her off the end of his four-in-hand. At half-past seven they would spread newspapers over the furniture to catch the pieces of plastering that fell when the fat man in the flat overhead began to take his physical culture exercises.	After dinner Katy would show him the new patch in her crazy quilt that the iceman had cut for her off the end of his four in hand. At half past seven they would spread newspapers over the furniture to catch the pieces of plastering that fell when the fat man in the flat overhead began to take his physical culture exercises.	true	113.09	133.93	22.535295
