6696_73296_000000_000000	FAMILY DOCTORS	FAMILY DOCTORS	true	27.09	28.41	26.759604
6696_73296_000001_000000	From 'Emma'	From 'Emma'	false	28.41	32.28	26.25937
6696_73296_000002_000000	While they were thus comfortably occupied, Mr. Woodhouse was enjoying a full flow of happy regrets and tearful affection with his daughter.	While they were thus comfortably occupied, mr Woodhouse was enjoying a full flow of happy regrets and tearful affection with his daughter.	true	32.28	40.09	21.59958
6696_73296_000003_000000	"My poor, dear Isabella," said he, fondly taking her hand, and interrupting for a few moments her busy labors for some one of her five children, "how long it is, how terribly long since you were here!	"My poor, dear Isabella," said he, fondly taking her hand, and interrupting for a few moments her busy labors for some one of her five children, "how long it is, how terribly long since you were here!	true	40.58	54.24	21.110945
6696_73296_000003_000001	And how tired you must be after your journey!	And how tired you must be after your journey!	false	54.24	56.8	21.281536
6696_73296_000003_000002	You must go to bed early, my dear,--and I recommend a little gruel to you before you go.	You must go to bed early, my dear,--and I recommend a little gruel to you before you go.	true	57.02	61.35	21.885271
6696_73296_000003_000003	You and I will have a nice basin of gruel together.	You and I will have a nice basin of gruel together.	true	61.35	63.99	20.885033
6696_73296_000003_000004	My dear Emma, suppose we all have a little gruel."	My dear Emma, suppose we all have a little gruel."	true	63.99	67.24	20.32229
6696_73296_000004_000000	Emma could not suppose any such thing, knowing as she did that both the Mr. Knightleys were as unpersuadable on that article as herself, and two basins only were ordered.	Emma could not suppose any such thing, knowing as she did that both the mr Knightleys were as unpersuadable on that article as herself, and two basins only were ordered.	true	67.37	77.71	21.420305
6696_73296_000004_000001	After a little more discourse in praise of gruel, with some wondering at its not being taken every evening by everybody, he proceeded to say, with an air of grave reflection:--	After a little more discourse in praise of gruel, with some wondering at its not being taken every evening by everybody, he proceeded to say, with an air of grave reflection:--	true	77.84	88.15	22.273369
6696_73296_000005_000000	"It was an awkward business, my dear, your spending the autumn at South End instead of coming here.	"It was an awkward business, my dear, your spending the autumn at South End instead of coming here.	true	88.55	95.14	24.468464
6696_73296_000005_000001	I never had much opinion of the sea air."	I never had much opinion of the sea air."	true	95.3	98.11	21.232141
6696_73296_000006_000000	"Mr. Wingfield most strenuously recommended it, sir, or we should not have gone.	"mr Wingfield most strenuously recommended it, sir, or we should not have gone.	true	98.54	103.69	23.283308
6696_73296_000006_000001	He recommended it for all the children, but particularly for the weakness in little Bella's throat,--both sea air and bathing."	He recommended it for all the children, but particularly for the weakness in little Bella's throat,--both sea air and bathing."	true	103.79	110.67	21.788322
6696_73296_000007_000000	"Ah, my dear, but Perry had many doubts about the sea doing her any good; and as to myself, I have been long perfectly convinced, though perhaps I never told you so before, that the sea is very rarely of use to anybody.	"Ah, my dear, but Perry had many doubts about the sea doing her any good; and as to myself, I have been long perfectly convinced, though perhaps I never told you so before, that the sea is very rarely of use to anybody.	false	110.67	124.72	21.977598
6696_73296_000007_000001	I am sure it almost killed me once."	I am sure it almost killed me once."	true	124.88	127.21	19.562859
6696_73296_000008_000000	"Come, come," cried Emma, feeling this to be an unsafe subject, "I must beg you not to talk of the sea.	"Come, come," cried Emma, feeling this to be an unsafe subject, "I must beg you not to talk of the sea.	true	127.55	133.74	20.447447
6696_73296_000008_000001	It makes me envious and miserable; I who have never seen it!	It makes me envious and miserable; I who have never seen it!	true	133.74	136.96	17.589527
6696_73296_000008_000002	South End is prohibited, if you please.	South End is prohibited, if you please.	true	137.18	139.54	22.748772
6696_73296_000008_000003	My dear Isabella, I have not heard you make one inquiry after Mr. Perry yet; and he never forgets you."	My dear Isabella, I have not heard you make one inquiry after mr Perry yet; and he never forgets you."	true	139.97	146.23	22.283817
6696_73296_000009_000000	"Oh, good Mr. Perry, how is he, sir?"	"Oh, good mr Perry, how is he, sir?"	true	146.3	149.56	19.497883
6696_73296_000010_000000	"Why, pretty well; but not quite well.	"Why, pretty well; but not quite well.	true	149.84	152.8	19.75454
6696_73296_000010_000001	Poor Perry is bilious, and he has not time to take care of himself; he tells me he has not time to take care of himself--which is very sad--but he is always wanted all round the country.	Poor Perry is bilious, and he has not time to take care of himself; he tells me he has not time to take care of himself-which is very sad-but he is always wanted all round the country.	true	152.96	163.33	24.441488
6696_73296_000010_000002	I suppose there is not a man in such practice anywhere.	I suppose there is not a man in such practice anywhere.	true	163.49	166.39	18.840498
6696_73296_000010_000003	But then, there is not so clever a man anywhere."	But then, there is not so clever a man anywhere."	true	166.61	169.75	21.921885
6696_73296_000011_000000	"And Mrs. Perry and the children, how are they?	"And mrs Perry and the children, how are they?	false	170.18	172.59	24.67419
6696_73296_000011_000001	Do the children grow?	Do the children grow?	true	172.59	174.22	24.253819
6696_73296_000011_000002	I have a great regard for Mr. Perry.	I have a great regard for mr Perry.	true	174.29	176.29	25.819723
6696_73296_000011_000003	I hope he will be calling soon.	I hope he will be calling soon.	false	176.42	178.2	19.017445
6696_73296_000011_000004	He will be so pleased to see my little ones."	He will be so pleased to see my little ones."	true	178.2	180.55	20.976988
6696_73296_000012_000000	"I hope he will be here to-morrow, for I have a question or two to ask him about myself of some consequence.	"I hope he will be here to morrow, for I have a question or two to ask him about myself of some consequence.	false	180.62	186.31	24.778063
6696_73296_000012_000001	And, my dear, whenever he comes, you had better let him look at little Bella's throat."	And, my dear, whenever he comes, you had better let him look at little Bella's throat."	true	186.5	190.9	23.264244
6696_73296_000013_000000	"Oh, my dear sir, her throat is so much better that I have hardly any uneasiness about it.	"Oh, my dear sir, her throat is so much better that I have hardly any uneasiness about it.	false	191.09	195.85	21.112003
6696_73296_000013_000001	Either bathing has been of the greatest service to her, or else it is to be attributed to an excellent embrocation of Mr. Wingfield's, which we have been applying at times ever since August."	Either bathing has been of the greatest service to her, or else it is to be attributed to an excellent embrocation of mr Wingfield's, which we have been applying at times ever since August."	true	196.1	205.77	23.43598
6696_73296_000014_000000	"It is not very likely, my dear, that bathing should have been of use to her; and if I had known you were wanting an embrocation, I would have spoken to--"	"It is not very likely, my dear, that bathing should have been of use to her; and if I had known you were wanting an embrocation, I would have spoken to-"	false	205.77	213.345	20.694008
6696_73296_000015_000000	"You seem to me to have forgotten Mrs. and Miss Bates," said Emma: "I have not heard one inquiry after them."	"You seem to me to have forgotten mrs and Miss Bates," said Emma: "I have not heard one inquiry after them."	false	213.345	218.685	21.882065
6696_73296_000016_000000	"Oh, the good Bateses--I am quite ashamed of myself; but you mention them in most of your letters.	"Oh, the good Bateses-I am quite ashamed of myself; but you mention them in most of your letters.	false	218.685	223.57	22.13379
6696_73296_000016_000001	I hope they are quite well.	I hope they are quite well.	true	223.85	225.49	26.294832
6696_73296_000016_000002	Good old Mrs. Bates.	Good old mrs Bates.	true	225.53	227.115	23.464838
6696_73296_000016_000003	I will call upon her to-morrow, and take my children.	I will call upon her to morrow, and take my children.	true	227.115	229.6	17.66752
6696_73296_000016_000004	They are always so pleased to see my children.	They are always so pleased to see my children.	true	229.64	231.85	24.799639
6696_73296_000016_000005	And that excellent Miss Bates!--such thorough worthy people!	And that excellent Miss Bates!--such thorough worthy people!	true	232.04	235.57	30.996492
6696_73296_000016_000006	How are they, sir?"	How are they, sir?"	true	235.76	236.95	22.276978
6696_73296_000017_000000	"Why, pretty well, my dear, upon the whole.	"Why, pretty well, my dear, upon the whole.	true	237.35	239.835	23.234718
6696_73296_000017_000001	But poor Mrs. Bates had a bad cold about a month ago."	But poor mrs Bates had a bad cold about a month ago."	true	239.835	243.07	22.37219
6696_73296_000018_000000	"How sorry I am! but colds were never so prevalent as they have been this autumn.	"How sorry I am! but colds were never so prevalent as they have been this autumn.	true	243.26	248.47	20.735785
6696_73296_000018_000001	Mr. Wingfield told me that he had never known them more general or heavy, except when it has been quite an influenza."	mr Wingfield told me that he had never known them more general or heavy, except when it has been quite an influenza."	false	248.87	255.1	24.407494
6696_73296_000019_000000	"That has been a good deal the case, my dear, but not to the degree you mention.	"That has been a good deal the case, my dear, but not to the degree you mention.	true	255.71	259.48	22.229969
6696_73296_000019_000001	Perry says that colds have been very general, but not so heavy as he has very often known them in November.	Perry says that colds have been very general, but not so heavy as he has very often known them in November.	true	259.94	266.05	20.812313
6696_73296_000019_000002	Perry does not call it altogether a sickly season."	Perry does not call it altogether a sickly season."	true	266.24	269.41	23.042534
6696_73296_000020_000000	"No, I do not know that Mr. Wingfield considers it _very_ sickly, except--"	"No, I do not know that mr Wingfield considers it underscore very underscore sickly, except-"	false	269.75	274.35	25.149153
6696_73296_000021_000000	"Ah, my poor, dear child, the truth is, that in London it is always a sickly season.	"Ah, my poor, dear child, the truth is, that in London it is always a sickly season.	false	274.35	280.18	19.947859
6696_73296_000021_000001	Nobody is healthy in London, nobody can be.	Nobody is healthy in London, nobody can be.	true	280.28	282.615	18.472301
6696_73296_000021_000002	It is a dreadful thing to have you forced to live there;--so far off!--and the air so bad!"	It is a dreadful thing to have you forced to live there;--so far off!--and the air so bad!"	true	282.615	287.59	23.22076
6696_73296_000022_000000	"No, indeed, _we_ are not at all in a bad air.	"No, indeed, underscore we underscore are not at all in a bad air.	false	287.84	291.01	18.439028
6696_73296_000022_000001	Our part of London is so very superior to most others.	Our part of London is so very superior to most others.	true	291.35	294.7	23.544748
6696_73296_000022_000002	You must not confound us with London in general, my dear sir.	You must not confound us with London in general, my dear sir.	true	294.83	298.15	18.485815
6696_73296_000022_000003	The neighborhood of Brunswick Square is very different from almost all the rest.	The neighborhood of Brunswick Square is very different from almost all the rest.	true	298.37	302.44	24.07996
6696_73296_000022_000004	We are so very airy!	We are so very airy!	true	302.6	304.33	21.200935
6696_73296_000022_000005	I should be unwilling, I own, to live in any other part of the town; there is hardly any other that I could be satisfied to have my children in: but _we_ are so remarkably airy!	I should be unwilling, I own, to live in any other part of the town; there is hardly any other that I could be satisfied to have my children in: but underscore we underscore are so remarkably airy!	false	304.58	314.92	21.485424
6696_73296_000022_000006	Mr. Wingfield thinks the vicinity of Brunswick Square decidedly the most favorable as to air."	mr Wingfield thinks the vicinity of Brunswick Square decidedly the most favorable as to air."	true	315.08	320.94	24.955133
6696_73296_000023_000000	"Ah, my dear, it is not like Hartfield.	"Ah, my dear, it is not like Hartfield.	false	320.94	323.4	19.428066
6696_73296_000023_000001	You make the best of it--but after you have been a week at Hartfield, you are all of you different creatures; you do not look like the same.	You make the best of it-but after you have been a week at Hartfield, you are all of you different creatures; you do not look like the same.	false	323.4	330.18	21.765144
6696_73296_000023_000002	Now, I cannot say that I think you are any of you looking well at present."	Now, I cannot say that I think you are any of you looking well at present."	true	330.18	334.45	22.886595
6696_73296_000024_000000	"I am sorry to hear you say so, sir; but I assure you, excepting those little nervous headaches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual from their journey and the happiness of coming.	"I am sorry to hear you say so, sir; but I assure you, excepting those little nervous headaches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual from their journey and the happiness of coming.	true	334.7	352.9	22.843937
