242_122625_000004_000000	PREFACE	PREFACE
242_122625_000005_000000	A preface to the first edition of "Jane Eyre" being unnecessary, I gave none: this second edition demands a few words both of acknowledgment and miscellaneous remark.	A preface to the first edition of "Jane Eyre" being unnecessary, I gave none: this second edition demands a few words both of acknowledgment and miscellaneous remark.
242_122625_000006_000000	My thanks are due in three quarters.	My thanks are due in three quarters.
242_122625_000007_000000	To the Public, for the indulgent ear it has inclined to a plain tale with few pretensions.	To the Public, for the indulgent ear it has inclined to a plain tale with few pretensions.
242_122625_000008_000000	To the Press, for the fair field its honest suffrage has opened to an obscure aspirant.	To the Press, for the fair field its honest suffrage has opened to an obscure aspirant.
242_122625_000011_000001	I mean the timorous or carping few who doubt the tendency of such books as "Jane Eyre:" in whose eyes whatever is unusual is wrong; whose ears detect in each protest against bigotry--that parent of crime--an insult to piety, that regent of God on earth.	I mean the timorous or carping few who doubt the tendency of such books as "Jane Eyre:" in whose eyes whatever is unusual is wrong; whose ears detect in each protest against bigotry-that parent of crime-an insult to piety, that regent of God on earth.
242_122625_000012_000001	Self-righteousness is not religion.	Self righteousness is not religion.
242_122625_000012_000002	To attack the first is not to assail the last.	To attack the first is not to assail the last.
242_122625_000013_000001	Men too often confound them: they should not be confounded: appearance should not be mistaken for truth; narrow human doctrines, that only tend to elate and magnify a few, should not be substituted for the world-redeeming creed of Christ.	Men too often confound them: they should not be confounded: appearance should not be mistaken for truth; narrow human doctrines, that only tend to elate and magnify a few, should not be substituted for the world redeeming creed of Christ.
242_122625_000014_000000	The world may not like to see these ideas dissevered, for it has been accustomed to blend them; finding it convenient to make external show pass for sterling worth--to let white-washed walls vouch for clean shrines.	The world may not like to see these ideas dissevered, for it has been accustomed to blend them; finding it convenient to make external show pass for sterling worth-to let white washed walls vouch for clean shrines.
242_122625_000017_000000	Why have I alluded to this man?	Why have I alluded to this man?
242_122625_000017_000002	They say he is like Fielding: they talk of his wit, humour, comic powers.	They say he is like Fielding: they talk of his wit, humour, comic powers.
242_122625_000017_000005	Finally, I have alluded to Mr. Thackeray, because to him--if he will accept the tribute of a total stranger--I have dedicated this second edition of "JANE EYRE."	Finally, I have alluded to mr Thackeray, because to him-if he will accept the tribute of a total stranger-I have dedicated this second edition of "JANE EYRE."
242_122625_000020_000000	NOTE TO THE THIRD EDITION	NOTE TO THE THIRD EDITION
242_122625_000021_000001	If, therefore, the authorship of other works of fiction has been attributed to me, an honour is awarded where it is not merited; and consequently, denied where it is justly due.	If, therefore, the authorship of other works of fiction has been attributed to me, an honour is awarded where it is not merited; and consequently, denied where it is justly due.
